hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|P69525|TMPS9_MOUSE	1065	Trypsin.aln	236	3e-39	140.4	2.7e-12	1.9e-09	42.9	32	234	204	437	196	439	0.7	1	3	0.9915254237288136	0.19061032863849764	Trypsin
sp|P69525|TMPS9_MOUSE	1065	Trypsin.aln	236	3e-39	140.4	2.9e-11	2e-08	39.6	32	231	505	734	491	738	0.68	2	3	0.9745762711864406	0.18779342723004694	Trypsin
sp|P69525|TMPS9_MOUSE	1065	Trypsin.aln	236	3e-39	140.4	1.8e-15	1.3e-12	53.3	19	233	820	1062	807	1063	0.74	3	3	1.0296610169491525	0.20187793427230047	Trypsin
sp|P69526|TMPS9_RAT	1061	Trypsin.aln	236	3.5e-38	137.0	9.8e-11	6.8e-08	37.8	32	234	204	437	198	439	0.68	1	3	0.9915254237288136	0.19132893496701225	Trypsin
sp|P69526|TMPS9_RAT	1061	Trypsin.aln	236	3.5e-38	137.0	1.3e-11	8.9e-09	40.7	31	231	504	734	487	738	0.68	2	3	0.9788135593220338	0.18944392082940623	Trypsin
sp|P69526|TMPS9_RAT	1061	Trypsin.aln	236	3.5e-38	137.0	1.6e-15	1.1e-12	53.5	19	233	816	1058	805	1059	0.74	3	3	1.0296610169491525	0.20263901979264845	Trypsin
sp|Q7Z410|TMPS9_HUMAN	1059	Trypsin.aln	236	3.2e-37	133.8	2.2e-10	1.5e-07	36.7	32	233	202	434	192	436	0.65	1	3	0.9872881355932204	0.1907459867799811	Trypsin
sp|Q7Z410|TMPS9_HUMAN	1059	Trypsin.aln	236	3.2e-37	133.8	6.5e-12	4.5e-09	41.7	32	231	503	732	488	736	0.67	2	3	0.9745762711864406	0.18885741265344666	Trypsin
sp|Q7Z410|TMPS9_HUMAN	1059	Trypsin.aln	236	3.2e-37	133.8	2.4e-14	1.7e-11	49.7	19	232	814	1055	805	1057	0.73	3	3	1.0254237288135593	0.20207743153918792	Trypsin
sp|Q00871|CTRB1_PENVA	271	Trypsin.aln	236	5.1e-31	113.5	1e-33	7e-31	113.1	29	236	42	269	34	269	0.81	1	1	0.9661016949152542	0.7675276752767528	Trypsin
sp|A0A182C2Z2|OVCH_HALRO	1575	Trypsin.aln	236	4e-30	110.6	1.5e-10	1e-07	37.3	32	232	35	277	17	280	0.65	1	3	1.0296610169491525	0.12761904761904763	Trypsin
sp|A0A182C2Z2|OVCH_HALRO	1575	Trypsin.aln	236	4e-30	110.6	2.2e-16	1.5e-13	56.3	26	236	568	811	557	811	0.68	2	3	1.0338983050847457	0.13396825396825396	Trypsin
sp|A0A182C2Z2|OVCH_HALRO	1575	Trypsin.aln	236	4e-30	110.6	0.004	2.8	12.9	46	231	1365	1571	1356	1574	0.62	3	3	0.8771186440677966	0.1180952380952381	Trypsin
sp|P52905|TRYI_DROME	252	Trypsin.aln	236	3.9e-29	107.3	6.8e-32	4.7e-29	107.1	10	234	6	249	1	251	0.78	1	1	1.0338983050847457	0.8928571428571429	Trypsin
sp|P36178|CTRB2_PENVA	271	Trypsin.aln	236	3.9e-28	104.1	7.7e-31	5.4e-28	103.6	29	236	42	269	34	269	0.8	1	1	0.9661016949152542	0.7675276752767528	Trypsin
sp|P35004|TRYB_DROME	253	Trypsin.aln	236	1.7e-27	102.0	2.7e-30	1.8e-27	101.9	7	233	5	252	1	253	0.75	1	1	1.0508474576271187	0.8972332015810277	Trypsin
sp|P35049|TRYP_FUSOX	248	Trypsin.aln	236	1.3e-26	99.1	2.3e-29	1.6e-26	98.8	14	233	5	247	2	248	0.78	1	1	1.0296610169491525	0.8870967741935484	Trypsin
