hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|D4AZ24|ENG1_ARTBC	909	Glyco_hydro81C.aln	714	9.8e-247	825.4	2.6e-251	1.3e-246	825.1	1	710	188	901	188	904	0.96	1	1	1.0	0.7810781078107811	Glyco_hydro81C
sp|Q09850|ENG2_SCHPO	706	Glyco_hydro81C.aln	714	5.7e-174	584.9	1.4e-178	6.9e-174	584.6	26	713	21	704	11	705	0.95	1	1	0.957983193277311	0.9745042492917847	Glyco_hydro81C
sp|P53753|ENG1_YEAST	1117	Glyco_hydro81C.aln	714	3.6e-166	559.2	1.3e-170	6.3e-166	558.3	7	712	403	1113	395	1115	0.93	1	1	0.9957983193277311	0.6320501342882722	Glyco_hydro81C
sp|Q5AIR7|ENG1_CANAL	1145	Glyco_hydro81C.aln	714	1.2e-157	531.0	2.4e-162	1.2e-157	531.0	8	711	429	1141	423	1144	0.91	1	1	0.9985994397759104	0.6148471615720524	Glyco_hydro81C
sp|Q12168|ENG2_YEAST	779	Glyco_hydro81C.aln	714	1.2e-156	527.7	2.9e-161	1.4e-156	527.5	2	708	71	775	70	779	0.92	1	1	0.9873949579831933	0.9075738125802311	Glyco_hydro81C
sp|Q9UT45|ENG1_SCHPO	1016	Glyco_hydro81C.aln	714	3.5e-150	506.3	1e-154	5e-150	505.8	5	711	46	737	43	740	0.92	1	1	0.969187675070028	0.6958661417322834	Glyco_hydro81C
sp|A0A023I7E1|ENG1_RHIMI	796	Glyco_hydro81C.aln	714	3.1e-90	308.1	8.5e-95	4.1e-90	307.7	20	691	45	728	35	741	0.82	1	1	0.957983193277311	0.8442211055276382	Glyco_hydro81C
sp|P93159|ENG1_SOYBN	668	Glyco_hydro81C.aln	714	8.1e-41	144.8	9.5e-43	4.5e-38	135.7	150	679	125	637	107	659	0.79	2	2	0.7184873949579832	0.7934131736526946	Glyco_hydro81C
sp|Q47N06|ENG1_THEFY	758	Glyco_hydro81C.aln	714	1.1e-25	94.7	3.4e-30	1.6e-25	94.2	384	686	380	676	362	699	0.83	1	1	0.41596638655462187	0.3997361477572559	Glyco_hydro81C
sp|A3DD66|ENG1_ACET2	773	Glyco_hydro81C.aln	714	2e-23	87.3	6.6e-28	3.2e-23	86.6	386	685	327	621	311	635	0.81	1	1	0.41316526610644255	0.38809831824062097	Glyco_hydro81C
sp|Q9KG76|ENG1_HALH5	1020	Glyco_hydro81C.aln	714	6.7e-18	69.0	2.5e-22	1.2e-17	68.2	382	621	383	620	373	678	0.81	1	1	0.3333333333333333	0.23529411764705882	Glyco_hydro81C
