hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|A0A0K8P6T7|PETH_PISS1	290	PBS.aln	332	7.1e-71	244.9	3.3e-74	8e-71	244.7	1	277	1	289	1	290	0.98	1	1	0.8704819277108434	0.9551724137931035	PBS
sp|P19833|LIP1_MORS1	319	PBS.aln	332	1.4e-65	227.5	6.2e-69	1.5e-65	227.4	2	277	9	318	1	319	0.96	1	1	0.9337349397590361	0.8652037617554859	PBS
sp|G8GER6|PETH1_THEFU	319	PBS.aln	332	3.7e-50	176.8	1.8e-53	4.4e-50	176.6	17	269	42	307	14	318	0.9	1	1	0.8012048192771084	0.7931034482758621	PBS
sp|Q47RJ7|PETH1_THEFY	319	PBS.aln	332	3.7e-50	176.8	1.8e-53	4.4e-50	176.6	17	269	42	307	14	318	0.9	1	1	0.8012048192771084	0.7931034482758621	PBS
sp|Q9L2J6|BHETH_STRCO	310	PBS.aln	332	4.8e-50	176.4	2.4e-53	5.9e-50	176.1	12	279	26	309	13	310	0.93	1	1	0.8554216867469879	0.864516129032258	PBS
sp|Q47RJ6|PETH2_THEFY	301	PBS.aln	332	6.2e-50	176.0	3.1e-53	7.6e-50	175.8	16	269	23	289	4	300	0.9	1	1	0.8042168674698795	0.8438538205980066	PBS
sp|Q6A0I4|PETH2_THEFU	301	PBS.aln	332	6.2e-50	176.0	3.1e-53	7.6e-50	175.8	16	269	23	289	4	300	0.9	1	1	0.8042168674698795	0.8438538205980066	PBS
sp|F7IX06|PETH2_THEAE	300	PBS.aln	332	8.7e-50	175.6	4.3e-53	1.1e-49	175.3	15	274	21	296	2	299	0.91	1	1	0.8313253012048193	0.8666666666666667	PBS
sp|D4Q9N1|PETH1_THEAE	296	PBS.aln	332	2.2e-49	174.2	1.1e-52	2.8e-49	173.9	8	271	16	289	2	295	0.92	1	1	0.8253012048192772	0.8918918918918919	PBS
sp|Q99174|CUTI_FUSSC	230	PBS.aln	332	3.9e-49	173.4	1.8e-52	4.3e-49	173.3	12	270	1	229	1	230	0.97	1	1	0.6897590361445783	1.126086956521739	PBS
sp|P0DX29|PETH1_AMYMS	309	PBS.aln	332	7.2e-49	172.6	3.6e-52	8.8e-49	172.3	8	275	29	304	20	309	0.93	1	1	0.8313253012048193	0.8673139158576052	PBS
sp|P00590|CUTI1_FUSVN	230	PBS.aln	332	6.4e-48	169.4	2.9e-51	7e-48	169.3	13	270	2	229	1	230	0.97	1	1	0.6867469879518072	1.1217391304347826	PBS
sp|E9LVH9|PETH2_THECS	262	PBS.aln	332	1.3e-47	168.4	6e-51	1.5e-47	168.3	27	269	2	250	1	261	0.95	1	1	0.75	0.9274809160305344	PBS
sp|E9LVH8|PETH1_THECS	262	PBS.aln	332	2.9e-47	167.3	1.4e-50	3.3e-47	167.1	27	269	2	250	1	261	0.95	1	1	0.75	0.9274809160305344	PBS
sp|Q96UT0|CUTI2_FUSVN	231	PBS.aln	332	5.1e-47	166.5	2.3e-50	5.6e-47	166.3	13	270	2	230	1	231	0.96	1	1	0.6897590361445783	1.1168831168831168	PBS
sp|B8MVS3|CUTI1_ASPFN	213	PBS.aln	332	6.7e-46	162.8	3.1e-49	7.4e-46	162.6	12	263	1	212	1	213	0.95	1	1	0.6385542168674698	1.1830985915492958	PBS
sp|P52956|CUTI1_ASPOR	213	PBS.aln	332	6.7e-46	162.8	3.1e-49	7.4e-46	162.6	12	263	1	212	1	213	0.95	1	1	0.6385542168674698	1.1830985915492958	PBS
sp|Q96US9|CUTI3_FUSVN	231	PBS.aln	332	1.4e-45	161.7	6.5e-49	1.6e-45	161.6	13	270	2	230	1	231	0.96	1	1	0.6897590361445783	1.1168831168831168	PBS
sp|G9BY57|PETH_UNKP	293	PBS.aln	332	5.9e-45	159.7	3.1e-48	7.6e-45	159.3	14	275	18	288	2	292	0.92	1	1	0.8162650602409639	0.89419795221843	PBS
sp|B0Y537|CUTI2_ASPFC	214	PBS.aln	332	1.3e-40	145.4	5.9e-44	1.4e-40	145.3	14	264	3	213	1	214	0.94	1	1	0.6355421686746988	1.1728971962616823	PBS
sp|Q4WQV2|CUTI2_ASPFU	214	PBS.aln	332	1.3e-40	145.4	5.9e-44	1.4e-40	145.3	14	264	3	213	1	214	0.94	1	1	0.6355421686746988	1.1728971962616823	PBS
sp|A1CVT3|CUTI2_NEOFI	215	PBS.aln	332	2.4e-39	141.3	1.1e-42	2.6e-39	141.1	14	264	3	213	1	215	0.94	1	1	0.6355421686746988	1.1674418604651162	PBS
sp|B8NBB2|CUTI2_ASPFN	259	PBS.aln	332	5.4e-38	136.8	2.6e-41	6.3e-38	136.6	15	266	4	221	1	243	0.89	1	1	0.6566265060240963	0.972972972972973	PBS
sp|B8NCM8|CUTI3_ASPFN	224	PBS.aln	332	1.4e-37	135.4	6.4e-41	1.5e-37	135.3	16	264	7	222	1	224	0.93	1	1	0.6506024096385542	1.1116071428571428	PBS
sp|Q2TZY7|CUTI2_ASPOR	221	PBS.aln	332	2.1e-37	134.9	1e-40	2.5e-37	134.6	15	260	4	209	1	215	0.91	1	1	0.6204819277108434	1.1131221719457014	PBS
sp|A1DGN0|CUTI1_NEOFI	211	PBS.aln	332	2.2e-37	134.8	1e-40	2.4e-37	134.7	14	262	3	210	1	211	0.9	1	1	0.6265060240963856	1.180094786729858	PBS
sp|Q2U199|CUTI3_ASPOR	224	PBS.aln	332	6.3e-37	133.3	2.8e-40	6.9e-37	133.2	18	264	9	222	1	224	0.91	1	1	0.6445783132530121	1.1026785714285714	PBS
sp|B0XRY3|CUTI1_ASPFC	211	PBS.aln	332	7.4e-37	133.1	3.3e-40	8.1e-37	132.9	14	262	3	210	1	211	0.9	1	1	0.6265060240963856	1.180094786729858	PBS
sp|Q4X1N0|CUTI1_ASPFU	211	PBS.aln	332	7.4e-37	133.1	3.3e-40	8.1e-37	132.9	14	262	3	210	1	211	0.9	1	1	0.6265060240963856	1.180094786729858	PBS
sp|B6H2E9|CUTI2_PENRW	212	PBS.aln	332	2.6e-36	131.3	1.2e-39	2.8e-36	131.2	16	263	5	211	1	212	0.91	1	1	0.6234939759036144	1.169811320754717	PBS
sp|Q5AVY9|CUTI2_EMENI	255	PBS.aln	332	5.6e-35	126.9	2.7e-38	6.5e-35	126.7	17	264	6	221	1	243	0.85	1	1	0.6506024096385542	0.9725490196078431	PBS
sp|Q5B2C1|CUTI1_EMENI	213	PBS.aln	332	5.3e-34	123.7	2.5e-37	6e-34	123.5	25	260	16	210	2	213	0.88	1	1	0.5873493975903614	1.107981220657277	PBS
sp|P41744|CUTI_ALTBR	209	PBS.aln	332	5.5e-34	123.6	2.8e-37	6.9e-34	123.3	37	259	19	202	8	208	0.92	1	1	0.5542168674698795	1.0669856459330143	PBS
sp|Q0CD01|CUTI1_ASPTN	209	PBS.aln	332	8.5e-34	123.0	4e-37	9.6e-34	122.8	39	260	21	206	6	209	0.9	1	1	0.5602409638554217	1.062200956937799	PBS
sp|Q0CES4|CUTI2_ASPTN	216	PBS.aln	332	9.7e-34	122.8	4.4e-37	1.1e-33	122.7	15	263	4	215	1	216	0.9	1	1	0.6385542168674698	1.1527777777777777	PBS
sp|A2R2W3|CUTI1_ASPNC	262	PBS.aln	332	1.3e-33	122.3	6.9e-37	1.7e-33	122.0	16	266	12	233	4	252	0.86	1	1	0.6686746987951807	0.9580152671755725	PBS
sp|Q0CNE3|CUTI3_ASPTN	218	PBS.aln	332	2.4e-33	121.5	1.1e-36	2.6e-33	121.4	18	264	8	218	1	218	0.91	1	1	0.6355421686746988	1.1330275229357798	PBS
sp|A5ABE6|CUTI2_ASPNC	271	PBS.aln	332	6.6e-33	120.1	3.5e-36	8.5e-33	119.7	23	268	12	216	6	245	0.87	1	1	0.6174698795180723	0.9077490774907749	PBS
sp|A1D9W1|CUTI3_NEOFI	217	PBS.aln	332	9.3e-33	119.6	4.1e-36	1e-32	119.5	23	264	13	216	1	217	0.89	1	1	0.6144578313253012	1.1152073732718895	PBS
sp|Q5AX00|CUTI3_EMENI	221	PBS.aln	332	4e-32	117.5	1.9e-35	4.7e-32	117.3	25	264	15	220	3	221	0.89	1	1	0.6204819277108434	1.085972850678733	PBS
sp|Q0CRP4|CUTI5_ASPTN	220	PBS.aln	332	1.1e-31	116.1	4.7e-35	1.1e-31	116.0	16	264	9	219	1	220	0.9	1	1	0.6355421686746988	1.1318181818181818	PBS
sp|B0YEP5|CUTI3_ASPFC	217	PBS.aln	332	1.4e-31	115.7	6.3e-35	1.5e-31	115.6	26	264	16	216	1	217	0.89	1	1	0.6054216867469879	1.1013824884792627	PBS
sp|Q4W9Z4|CUTI3_ASPFU	217	PBS.aln	332	1.4e-31	115.7	6.3e-35	1.5e-31	115.6	26	264	16	216	1	217	0.89	1	1	0.6054216867469879	1.1013824884792627	PBS
sp|Q0CW01|CUTI4_ASPTN	219	PBS.aln	332	9.6e-31	113.0	4.3e-34	1e-30	112.8	16	264	8	218	1	219	0.92	1	1	0.6355421686746988	1.1369863013698631	PBS
sp|A1CSZ4|CUTI1_ASPCL	211	PBS.aln	332	2.8e-30	111.5	1.3e-33	3.3e-30	111.2	14	245	3	197	1	204	0.88	1	1	0.5873493975903614	1.099526066350711	PBS
sp|P11373|CUTI1_COLGL	224	PBS.aln	332	2.9e-30	111.4	1.5e-33	3.5e-30	111.1	10	247	9	210	2	223	0.9	1	1	0.608433734939759	1.0625	PBS
sp|B6HLS9|CUTI1_PENRW	208	PBS.aln	332	2.3e-29	108.4	1.1e-32	2.7e-29	108.2	13	248	2	196	1	206	0.9	1	1	0.5873493975903614	1.1346153846153846	PBS
sp|P10951|CUTI_COLTU	228	PBS.aln	332	1.7e-28	105.5	7.7e-32	1.9e-28	105.4	21	262	10	226	1	228	0.93	1	1	0.6536144578313253	1.0614035087719298	PBS
sp|P30272|CUTI1_PYRO7	228	PBS.aln	332	6.1e-27	100.5	2.8e-30	6.9e-27	100.3	17	246	6	211	1	226	0.91	1	1	0.6204819277108434	1.0087719298245614	PBS
sp|P29292|CUTI_DIDRA	223	PBS.aln	332	1.2e-26	99.5	5.8e-30	1.4e-26	99.3	23	247	26	208	4	222	0.86	1	1	0.5512048192771084	1.0089686098654709	PBS
sp|A1C9G0|CUTI3_ASPCL	215	PBS.aln	332	5.1e-26	97.5	2.4e-29	5.7e-26	97.3	17	262	7	214	1	215	0.87	1	1	0.6265060240963856	1.1441860465116278	PBS
sp|D4AZ24|ENG1_ARTBC	909	PBS.aln	332	3.1e-25	94.9	2.3e-05	0.056	18.4	42	110	314	402	251	543	0.81	1	2	0.2680722891566265	0.07590759075907591	PBS
sp|D4AZ24|ENG1_ARTBC	909	PBS.aln	332	3.1e-25	94.9	1.4e-22	3.4e-19	75.0	177	328	630	904	593	906	0.95	2	2	0.8283132530120482	0.16721672167216722	PBS
sp|A6WFI5|CUTI_KINRD	294	PBS.aln	332	2.2e-23	88.8	1.1e-26	2.7e-23	88.5	42	284	16	270	2	288	0.83	1	1	0.7680722891566265	0.826530612244898	PBS
sp|G4MZV6|CUTI2_PYRO7	214	PBS.aln	332	9.9e-19	73.5	4.9e-22	1.2e-18	73.2	17	248	8	203	2	214	0.83	1	1	0.5903614457831325	1.0841121495327102	PBS
sp|P9WP38|CULP3_MYCTO	262	PBS.aln	332	5.3e-17	67.8	2.9e-20	7e-17	67.4	42	264	31	227	9	245	0.82	1	1	0.5933734939759037	0.851145038167939	PBS
sp|Q8TGB8|CUTI_MONFR	201	PBS.aln	332	5.6e-17	67.7	3.1e-20	7.6e-17	67.3	27	247	20	187	3	198	0.83	1	1	0.5060240963855421	1.099502487562189	PBS
sp|P0A537|CULP3_MYCBO	262	PBS.aln	332	1.1e-16	66.8	6e-20	1.5e-16	66.4	42	264	31	227	9	245	0.83	1	1	0.5933734939759037	0.851145038167939	PBS
sp|P9WP39|CULP3_MYCTU	262	PBS.aln	332	1.1e-16	66.8	6e-20	1.5e-16	66.4	42	264	31	227	9	245	0.83	1	1	0.5933734939759037	0.851145038167939	PBS
sp|Q00298|CUTI_BOTFU	202	PBS.aln	332	3.2e-16	65.2	1.7e-19	4.1e-16	64.9	27	256	13	193	2	200	0.81	1	1	0.5451807228915663	1.1386138613861385	PBS
sp|O06319|CULP4_MYCTU	226	PBS.aln	332	3.8e-16	65.0	1.9e-19	4.6e-16	64.7	42	261	26	224	9	226	0.76	1	1	0.5993975903614458	0.9734513274336283	PBS
sp|B9U443|CUTI1_COPCI	199	PBS.aln	332	8e-16	63.9	4.4e-19	1.1e-15	63.5	13	249	5	189	1	197	0.8	1	1	0.5572289156626506	1.1909547738693467	PBS
sp|P63880|CULP1_MYCBO	217	PBS.aln	332	8.5e-16	63.8	4.2e-19	1e-15	63.6	29	264	24	214	1	216	0.79	1	1	0.5753012048192772	1.087557603686636	PBS
sp|P9WP42|CULP1_MYCTO	217	PBS.aln	332	8.5e-16	63.8	4.2e-19	1e-15	63.6	29	264	24	214	1	216	0.79	1	1	0.5753012048192772	1.087557603686636	PBS
sp|P9WP43|CULP1_MYCTU	217	PBS.aln	332	8.5e-16	63.8	4.2e-19	1e-15	63.6	29	264	24	214	1	216	0.79	1	1	0.5753012048192772	1.087557603686636	PBS
sp|C8VJF5|CUTI4_EMENI	223	PBS.aln	332	1.7e-15	62.8	1e-18	2.5e-15	62.3	16	259	25	217	14	222	0.82	1	1	0.5813253012048193	1.094170403587444	PBS
sp|A0A024SC78|CUTI1_HYPJR	248	PBS.aln	332	2.6e-15	62.3	1.3e-18	3.1e-15	62.0	39	247	51	235	7	245	0.81	1	1	0.5572289156626506	0.842741935483871	PBS
sp|G0RH85|CUTI1_HYPJQ	248	PBS.aln	332	2.6e-15	62.3	1.3e-18	3.1e-15	62.0	39	247	51	235	7	245	0.81	1	1	0.5572289156626506	0.842741935483871	PBS
