hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|I3R9Z4|PHAC_HALMT	492	PHB_depo_C.aln	410	8.6e-08	36.5	7.4e-06	0.39	14.6	79	191	45	162	13	177	0.7	1	2	0.28780487804878047	0.22967479674796748	PHB_depo_C
sp|I3R9Z4|PHAC_HALMT	492	PHB_depo_C.aln	410	8.6e-08	36.5	1.8e-07	0.0091	19.9	299	406	253	355	206	359	0.77	2	2	0.25121951219512195	0.21951219512195122	PHB_depo_C
sp|G0HQZ6|PHAC_HALHT	474	PHB_depo_C.aln	410	3.6e-06	31.1	2e-05	1.0	13.2	123	189	102	172	37	195	0.66	1	2	0.17317073170731706	0.14135021097046413	PHB_depo_C
sp|G0HQZ6|PHAC_HALHT	474	PHB_depo_C.aln	410	3.6e-06	31.1	2.7e-06	0.14	16.0	302	404	268	365	227	371	0.82	2	2	0.23902439024390243	0.21729957805907174	PHB_depo_C
sp|Q5UYM0|PHAC_HALMA	475	PHB_depo_C.aln	410	4.6e-06	30.8	2.1e-05	1.1	13.1	123	187	102	170	38	194	0.63	1	2	0.16829268292682928	0.1368421052631579	PHB_depo_C
sp|Q5UYM0|PHAC_HALMA	475	PHB_depo_C.aln	410	4.6e-06	30.8	3.2e-06	0.17	15.8	302	404	268	365	231	371	0.82	2	2	0.23902439024390243	0.2168421052631579	PHB_depo_C
sp|P45370|PHAC_ALLVD	355	PHB_depo_C.aln	410	0.00026	25.0	5.4e-08	0.0028	21.6	90	216	53	181	40	355	0.7	1	1	0.3146341463414634	0.35774647887323946	PHB_depo_C
sp|P73390|PHAC_SYNY3	378	PHB_depo_C.aln	410	0.0078	20.2	5.6e-05	2.9	11.7	90	221	70	201	50	207	0.73	1	2	0.32195121951219513	0.3492063492063492	PHB_depo_C
sp|P73390|PHAC_SYNY3	378	PHB_depo_C.aln	410	0.0078	20.2	0.0019	100.0	6.6	303	406	275	374	245	378	0.89	2	2	0.24390243902439024	0.2751322751322751	PHB_depo_C
sp|Q6BDR8|NSE4_SCHPO	300	PHB_depo_C.aln	410	0.082	16.8	2.6e-06	0.14	16.1	129	219	60	147	54	157	0.84	1	1	0.2146341463414634	0.30333333333333334	PHB_depo_C
sp|P58156|CBPX2_SACS2	393	PHB_depo_C.aln	410	0.78	13.6	2.3e-05	1.2	13.0	311	403	208	306	207	312	0.85	1	1	0.24146341463414633	0.2366412213740458	PHB_depo_C
sp|P80092|CBPX1_SACS2	393	PHB_depo_C.aln	410	0.89	13.4	2.6e-05	1.3	12.8	311	403	208	306	207	312	0.85	1	1	0.24146341463414633	0.2366412213740458	PHB_depo_C
sp|Q5FUN5|RL32_GLUOX	70	PHB_depo_C.aln	410	2.0	12.3	4.1e-05	2.1	12.1	361	387	24	50	17	59	0.91	1	1	0.06585365853658537	0.38571428571428573	PHB_depo_C
sp|P54069|BEM46_SCHPO	299	PHB_depo_C.aln	410	2.6	11.9	7.4e-05	3.9	11.3	325	397	215	284	199	293	0.83	1	1	0.17073170731707318	0.24414715719063546	PHB_depo_C
sp|A5FV67|RL32_ACICJ	67	PHB_depo_C.aln	410	3.2	11.5	6.4e-05	3.3	11.5	361	387	24	50	14	65	0.87	1	1	0.06585365853658537	0.40298507462686567	PHB_depo_C
