hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|Q24995|ARY_GALME	702	Di-copper.aln	733	0.0	1095.7	0.0	0.0	1095.6	13	733	3	702	1	702	0.97	1	1	0.9549795361527967	1.0270655270655271	Di-copper
sp|P14296|ARYA_MANSE	702	Di-copper.aln	733	3.1e-234	784.4	4.4e-238	3.9e-234	784.1	35	722	31	696	3	701	0.96	1	1	0.9085948158253752	0.98005698005698	Di-copper
sp|Q7Z1F8|ARY_ANTPE	704	Di-copper.aln	733	5.3e-226	757.2	6.6e-230	5.8e-226	757.0	13	733	5	704	1	704	0.95	1	1	0.9549795361527967	1.0241477272727273	Di-copper
sp|P14297|ARYB_MANSE	703	Di-copper.aln	733	1.2e-225	756.0	1.6e-229	1.4e-225	755.7	29	733	20	703	2	703	0.94	1	1	0.9331514324693042	1.0028449502133712	Di-copper
sp|P20613|SSP2_BOMMO	704	Di-copper.aln	733	2.8e-211	708.5	3.8e-215	3.4e-211	708.2	17	674	10	650	1	667	0.96	1	1	0.8744884038199181	0.9346590909090909	Di-copper
sp|P22327|AJSP1_TRINI	624	Di-copper.aln	733	1.9e-183	616.5	3.1e-186	2.7e-182	612.7	11	590	2	574	1	593	0.96	1	2	0.781718963165075	0.9294871794871795	Di-copper
sp|P22327|AJSP1_TRINI	624	Di-copper.aln	733	1.9e-183	616.5	0.014	120.0	5.5	695	712	599	616	594	622	0.85	2	2	0.02455661664392906	0.028846153846153848	Di-copper
sp|Q06343|BJSB2_TRINI	749	Di-copper.aln	733	3e-150	506.8	4.3e-154	3.8e-150	506.4	36	713	26	702	2	713	0.91	1	1	0.9236016371077762	0.9052069425901201	Di-copper
sp|A0A8U0WQF3|HEX7A_APIME	684	Di-copper.aln	733	9.3e-143	482.0	1.4e-146	1.2e-142	481.6	34	713	26	678	6	683	0.92	1	1	0.8908594815825375	0.9941520467836257	Di-copper
sp|A0A8U1C2Y4|HEX7C_APIME	686	Di-copper.aln	733	1.2e-141	478.3	1.6e-145	1.4e-141	478.1	30	716	21	684	2	686	0.89	1	1	0.9058663028649386	1.001457725947522	Di-copper
sp|Q6J4Q1|HEX7B_APIME	683	Di-copper.aln	733	2.3e-138	467.5	3e-142	2.6e-138	467.3	22	715	11	679	1	682	0.89	1	1	0.91268758526603	1.0161054172767203	Di-copper
sp|P09179|SSP1_BOMMO	747	Di-copper.aln	733	6.2e-134	452.8	9.4e-138	8.3e-134	452.4	46	711	42	701	8	714	0.91	1	1	0.9004092769440655	0.891566265060241	Di-copper
sp|P11995|LSP1A_DROME	816	Di-copper.aln	733	1.4e-128	435.1	1.1e-26	9.5e-23	85.2	35	192	26	182	4	220	0.86	1	2	0.21418826739427013	0.19362745098039216	Di-copper
sp|P11995|LSP1A_DROME	816	Di-copper.aln	733	1.4e-128	435.1	1.8e-108	1.6e-104	355.5	212	724	293	798	271	803	0.89	2	2	0.6903137789904502	0.6286764705882353	Di-copper
sp|P11996|LSP1B_DROME	789	Di-copper.aln	733	3.8e-126	427.1	4.3e-26	3.8e-22	83.2	35	226	26	218	5	228	0.85	1	2	0.26330150068212826	0.24334600760456274	Di-copper
sp|P11996|LSP1B_DROME	789	Di-copper.aln	733	3.8e-126	427.1	1e-106	9.1e-103	349.8	214	726	268	767	246	773	0.9	2	2	0.6821282401091405	0.6501901140684411	Di-copper
sp|Q17020|HEXA_ANOGA	692	Di-copper.aln	733	1.2e-125	425.4	1.7e-129	1.5e-125	425.0	18	713	12	686	4	691	0.88	1	1	0.9208731241473397	1.0057803468208093	Di-copper
sp|Q06342|BJSB1_TRINI	748	Di-copper.aln	733	6.7e-124	419.6	9.7e-128	8.5e-124	419.3	42	711	33	699	2	707	0.89	1	1	0.9099590723055935	0.8957219251336899	Di-copper
sp|Q17127|HEXA_BLADI	733	Di-copper.aln	733	6e-122	413.2	8.3e-56	7.3e-52	181.5	30	328	22	304	2	314	0.89	1	2	0.3860845839017735	0.40791268758526605	Di-copper
sp|Q17127|HEXA_BLADI	733	Di-copper.aln	733	6e-122	413.2	1.1e-72	9.6e-69	237.3	332	717	351	728	321	732	0.87	2	2	0.5156889495225102	0.5266030013642565	Di-copper
sp|P28513|ARY1_CALVI	759	Di-copper.aln	733	6.7e-122	413.0	0.46	4100.0	0.5	14	75	7	65	2	91	0.82	1	3	0.08049113233287858	0.08168642951251646	Di-copper
sp|P28513|ARY1_CALVI	759	Di-copper.aln	733	6.7e-122	413.0	2.2e-21	1.9e-17	67.7	122	230	93	202	78	221	0.81	2	3	0.15006821282401092	0.14361001317523056	Di-copper
sp|P28513|ARY1_CALVI	759	Di-copper.aln	733	6.7e-122	413.0	2.2e-107	1.9e-103	352.0	214	713	249	739	219	750	0.89	3	3	0.669849931787176	0.6587615283267457	Di-copper
sp|Q25641|CRPI_PERAM	685	Di-copper.aln	733	3e-119	404.2	1.9e-122	1.7e-118	401.8	13	715	5	680	1	684	0.87	1	1	0.922237380627558	1.0262773722627738	Di-copper
sp|P28514|ARY2_CALVI	759	Di-copper.aln	733	9.6e-119	402.6	0.61	5400.0	0.1	26	75	19	65	2	83	0.79	1	3	0.06412005457025921	0.06587615283267458	Di-copper
sp|P28514|ARY2_CALVI	759	Di-copper.aln	733	9.6e-119	402.6	6.9e-21	6.1e-17	66.0	122	228	93	200	77	220	0.82	2	3	0.14733969986357434	0.14097496706192358	Di-copper
sp|P28514|ARY2_CALVI	759	Di-copper.aln	733	9.6e-119	402.6	9.1e-105	8e-101	343.3	215	714	250	740	221	751	0.89	3	3	0.669849931787176	0.6587615283267457	Di-copper
sp|P11997|LSP1G_DROME	772	Di-copper.aln	733	1.8e-118	401.7	2.9e-26	2.6e-22	83.8	17	230	7	215	2	242	0.86	1	2	0.28512960436562074	0.2772020725388601	Di-copper
sp|P11997|LSP1G_DROME	772	Di-copper.aln	733	1.8e-118	401.7	6.9e-99	6.1e-95	323.9	203	711	251	750	238	764	0.9	2	2	0.6821282401091405	0.6593264248704663	Di-copper
