hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|A0A0K8P6T7|PETH_PISS1	290	PBSeT.aln	316	8.5e-88	299.5	1.4e-91	9.8e-88	299.3	48	312	30	286	10	290	0.92	1	1	0.8132911392405063	0.9137931034482759	PBSeT
sp|Q9L2J6|BHETH_STRCO	310	PBSeT.aln	316	3e-83	284.6	5.4e-87	3.7e-83	284.3	36	316	39	308	19	308	0.92	1	1	0.8544303797468354	0.9064516129032258	PBSeT
sp|D4Q9N1|PETH1_THEAE	296	PBSeT.aln	316	3.3e-81	277.9	5.7e-85	3.9e-81	277.6	42	316	31	296	7	296	0.9	1	1	0.8417721518987342	0.9290540540540541	PBSeT
sp|F7IX06|PETH2_THEAE	300	PBSeT.aln	316	4.9e-78	267.5	8.3e-82	5.7e-78	267.3	45	316	38	300	10	300	0.92	1	1	0.8322784810126582	0.9066666666666666	PBSeT
sp|Q47RJ6|PETH2_THEFY	301	PBSeT.aln	316	9.5e-78	266.5	1.6e-81	1.1e-77	266.3	45	316	39	301	10	301	0.92	1	1	0.8322784810126582	0.9036544850498339	PBSeT
sp|Q6A0I4|PETH2_THEFU	301	PBSeT.aln	316	9.5e-78	266.5	1.6e-81	1.1e-77	266.3	45	316	39	301	10	301	0.92	1	1	0.8322784810126582	0.9036544850498339	PBSeT
sp|E9LVH8|PETH1_THECS	262	PBSeT.aln	316	1.6e-77	265.8	2.7e-81	1.9e-77	265.6	50	316	5	262	2	262	0.94	1	1	0.8164556962025317	1.0190839694656488	PBSeT
sp|G8GER6|PETH1_THEFU	319	PBSeT.aln	316	3.3e-76	261.5	5.7e-80	3.9e-76	261.2	45	316	57	319	25	319	0.91	1	1	0.8322784810126582	0.8526645768025078	PBSeT
sp|Q47RJ7|PETH1_THEFY	319	PBSeT.aln	316	3.3e-76	261.5	5.7e-80	3.9e-76	261.2	45	316	57	319	25	319	0.91	1	1	0.8322784810126582	0.8526645768025078	PBSeT
sp|E9LVH9|PETH2_THECS	262	PBSeT.aln	316	5.2e-76	260.8	9.1e-80	6.2e-76	260.5	50	316	5	262	2	262	0.94	1	1	0.8164556962025317	1.0190839694656488	PBSeT
sp|P0DX29|PETH1_AMYMS	309	PBSeT.aln	316	1.6e-73	252.7	2.7e-77	1.9e-73	252.4	47	316	49	307	27	307	0.92	1	1	0.819620253164557	0.8737864077669902	PBSeT
sp|G9BY57|PETH_UNKP	293	PBSeT.aln	316	6e-72	247.5	1.2e-75	8.3e-72	247.0	49	301	38	279	29	290	0.93	1	1	0.7658227848101266	0.863481228668942	PBSeT
sp|P19833|LIP1_MORS1	319	PBSeT.aln	316	6.5e-71	244.1	1.4e-74	9.6e-71	243.5	56	311	67	314	1	319	0.8	1	1	0.7848101265822784	0.8025078369905956	PBSeT
sp|F8QQ74|NAAC_BRASZ	248	PBSeT.aln	316	0.00036	24.8	6.4e-08	0.00044	24.5	93	197	29	141	11	189	0.8	1	1	0.3575949367088608	0.42338709677419356	PBSeT
sp|F0XS04|DAPB_GROCL	975	PBSeT.aln	316	0.0081	20.3	0.94	6400.0	1.0	96	151	296	348	280	361	0.71	1	2	0.16772151898734178	0.057435897435897436	PBSeT
sp|F0XS04|DAPB_GROCL	975	PBSeT.aln	316	0.0081	20.3	1.1e-05	0.072	17.2	107	202	751	852	746	888	0.66	2	2	0.3227848101265823	0.09846153846153846	PBSeT
sp|G2JHL6|AIDA_ACIBM	304	PBSeT.aln	316	0.01	20.0	5.1e-05	0.35	15.0	167	221	108	166	85	187	0.8	1	2	0.18670886075949367	0.18092105263157895	PBSeT
sp|G2JHL6|AIDA_ACIBM	304	PBSeT.aln	316	0.01	20.0	0.24	1600.0	2.9	211	232	236	257	230	275	0.86	2	2	0.06962025316455696	0.07236842105263158	PBSeT
sp|A0A1W5T1Y7|POXO_PENOX	421	PBSeT.aln	316	0.016	19.4	3.5e-06	0.024	18.8	167	222	227	282	208	299	0.87	1	1	0.17721518987341772	0.1330166270783848	PBSeT
sp|P83006|PAFA2_RAT	390	PBSeT.aln	316	0.017	19.3	1.6	11000.0	0.2	111	132	114	135	94	151	0.79	1	2	0.06962025316455696	0.05641025641025641	PBSeT
sp|P83006|PAFA2_RAT	390	PBSeT.aln	316	0.017	19.3	7.5e-05	0.51	14.4	164	294	219	367	214	377	0.59	2	2	0.47151898734177217	0.33589743589743587	PBSeT
sp|S8ASK9|POXO_PENO1	421	PBSeT.aln	316	0.04	18.1	8.9e-06	0.061	17.5	167	222	227	282	208	299	0.87	1	1	0.17721518987341772	0.1330166270783848	PBSeT
sp|Q8VDG7|PAFA2_MOUSE	390	PBSeT.aln	316	0.044	17.9	1.9	13000.0	-0.1	109	132	112	135	97	158	0.76	1	2	0.0759493670886076	0.06153846153846154	PBSeT
sp|Q8VDG7|PAFA2_MOUSE	390	PBSeT.aln	316	0.044	17.9	8.9e-05	0.61	14.2	164	204	219	260	215	375	0.76	2	2	0.13291139240506328	0.10512820512820513	PBSeT
sp|Q9WXP3|NTPTH_THEMA	174	PBSeT.aln	316	0.058	17.5	1.2e-05	0.08	17.1	207	255	107	153	97	160	0.87	1	1	0.14873417721518986	0.28160919540229884	PBSeT
sp|P29715|BPOA2_KITAU	278	PBSeT.aln	316	0.086	17.0	0.04	270.0	5.5	92	189	19	109	5	133	0.74	1	2	0.2879746835443038	0.35251798561151076	PBSeT
sp|P29715|BPOA2_KITAU	278	PBSeT.aln	316	0.086	17.0	0.0023	16.0	9.5	192	255	195	256	186	264	0.75	2	2	0.1962025316455696	0.2302158273381295	PBSeT
sp|B1LAB2|NTPTH_THESQ	174	PBSeT.aln	316	0.089	16.9	1.8e-05	0.12	16.5	207	255	107	153	97	160	0.87	1	1	0.14873417721518986	0.28160919540229884	PBSeT
