hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|O06997|YVDP_BACSU	447	FAD_binding_4.aln	448	4.3e-288	960.0	1.8e-291	4.8e-288	959.8	1	446	1	446	1	447	1.0	1	1	0.9955357142857143	0.9977628635346756	FAD_binding_4
sp|Q796Y5|YGAK_BACSU	451	FAD_binding_4.aln	448	2e-102	348.1	8.3e-106	2.2e-102	347.9	1	445	1	444	1	447	0.96	1	1	0.9910714285714286	0.9866962305986696	FAD_binding_4
sp|Q9SA89|BBE12_ARATH	533	FAD_binding_4.aln	448	2.9e-41	146.5	1.8e-44	4.8e-41	145.8	35	445	79	527	60	530	0.79	1	1	1.0022321428571428	0.7711069418386491	FAD_binding_4
sp|Q93ZA3|BBE13_ARATH	534	FAD_binding_4.aln	448	3.4e-41	146.3	1.6e-44	4.3e-41	145.9	44	445	95	531	84	534	0.8	1	1	0.9754464285714286	0.7528089887640449	FAD_binding_4
sp|Q9SVG5|BBE18_ARATH	532	FAD_binding_4.aln	448	7.8e-41	145.1	5.9e-44	1.6e-40	144.1	39	445	90	525	68	527	0.81	1	1	0.9732142857142857	0.7650375939849624	FAD_binding_4
sp|Q9FKV0|BBE24_ARATH	541	FAD_binding_4.aln	448	4.4e-40	142.6	1.6e-42	4.3e-39	139.4	44	445	98	538	86	541	0.72	1	1	0.984375	0.7430683918669131	FAD_binding_4
sp|Q9FKU9|BBE25_ARATH	542	FAD_binding_4.aln	448	4.7e-40	142.5	4.5e-43	1.2e-39	141.2	45	445	98	539	84	541	0.74	1	1	0.9866071428571429	0.7398523985239852	FAD_binding_4
sp|Q33DQ2|CBCAS_CANSA	545	FAD_binding_4.aln	448	7.4e-40	141.9	5.3e-43	1.4e-39	140.9	32	445	80	539	64	541	0.75	1	1	1.0267857142857142	0.7596330275229358	FAD_binding_4
sp|Q8GTB6|THCAS_CANSA	545	FAD_binding_4.aln	448	1.9e-39	140.5	1.5e-42	4e-39	139.4	32	445	80	539	64	541	0.78	1	1	1.0267857142857142	0.7596330275229358	FAD_binding_4
sp|Q54H55|Y8969_DICDI	452	FAD_binding_4.aln	448	2.1e-39	140.4	1.3e-42	3.4e-39	139.7	7	445	21	449	17	452	0.88	1	1	0.9575892857142857	0.9712389380530974	FAD_binding_4
sp|Q9SVG3|BBE21_ARATH	539	FAD_binding_4.aln	448	7.9e-39	138.5	6.1e-42	1.6e-38	137.4	4	445	51	534	48	537	0.79	1	1	1.0803571428571428	0.8200371057513914	FAD_binding_4
