hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|P12625|PHB_RALPI	488	P4HB.aln	540	5.4e-214	716.8	8.3e-218	6.5e-214	716.5	1	540	1	488	1	488	1.0	1	1	0.9037037037037037	1.1065573770491803	P4HB
sp|O05527|PHB_DELAC	494	P4HB.aln	540	4.4e-191	641.2	5.7e-195	4.4e-191	641.2	130	540	23	494	19	494	0.99	2	2	0.8740740740740741	0.8319838056680162	P4HB
sp|B2NHN2|PHAZ_TALFU	339	P4HB.aln	540	6.6e-29	105.9	1.1e-32	8.6e-29	105.5	132	373	19	329	6	339	0.87	1	1	0.575925925925926	0.7138643067846607	P4HB
sp|P52090|PHA1_PAULE	414	P4HB.aln	540	2.9e-28	103.8	3.6e-32	2.9e-28	103.8	22	193	24	194	9	265	0.87	1	1	0.31666666666666665	0.41545893719806765	P4HB
sp|Q4WBW4|AXE1_ASPFU	371	P4HB.aln	540	4.1e-18	70.3	5.2e-22	4.1e-18	70.3	32	213	30	207	4	280	0.76	1	1	0.3296296296296296	0.49056603773584906	P4HB
sp|Q92194|AXE1_ASPAW	304	P4HB.aln	540	2.6e-16	64.4	3.6e-20	2.8e-16	64.2	14	215	12	208	3	265	0.83	1	1	0.3648148148148148	0.6644736842105263	P4HB
sp|Q96W96|AXE1_ASPFI	303	P4HB.aln	540	1.3e-15	62.1	1.9e-19	1.5e-15	61.8	15	214	12	206	4	270	0.82	1	1	0.3611111111111111	0.6600660066006601	P4HB
sp|A2QZI3|AXE1_ASPNC	303	P4HB.aln	540	1.8e-15	61.6	2.7e-19	2.1e-15	61.3	15	214	12	206	4	270	0.81	1	1	0.3611111111111111	0.6600660066006601	P4HB
sp|A1DBP9|AXE1_NEOFI	368	P4HB.aln	540	2.3e-15	61.2	2.9e-19	2.3e-15	61.2	34	213	32	207	2	273	0.79	1	1	0.32592592592592595	0.4891304347826087	P4HB
sp|B8NBI2|AXE1_ASPFN	307	P4HB.aln	540	6.9e-15	59.6	1e-18	8e-15	59.4	44	214	46	209	15	266	0.82	1	1	0.3037037037037037	0.5570032573289903	P4HB
sp|A1CSZ8|AXE1_ASPCL	308	P4HB.aln	540	1.2e-14	58.8	1.8e-18	1.4e-14	58.7	38	214	38	210	4	275	0.79	1	1	0.32037037037037036	0.5746753246753247	P4HB
sp|A9JPE6|AXE1_ASPFL	307	P4HB.aln	540	1.5e-14	58.6	2.2e-18	1.7e-14	58.3	44	214	46	209	15	266	0.83	1	1	0.3037037037037037	0.5570032573289903	P4HB
sp|Q75P26|AXE1_ASPOR	307	P4HB.aln	540	1.5e-14	58.6	2.2e-18	1.7e-14	58.3	44	214	46	209	15	266	0.83	1	1	0.3037037037037037	0.5570032573289903	P4HB
sp|Q9LCQ7|OPH_PSESP	379	P4HB.aln	540	1.2e-06	32.4	8.4e-10	6.6e-06	30.0	44	182	71	233	44	260	0.78	1	1	0.30185185185185187	0.36675461741424803	P4HB
sp|B8N7Z6|FAEC_ASPFN	270	P4HB.aln	540	1.5e-06	32.2	2.6e-10	2e-06	31.7	11	178	4	168	1	178	0.74	1	1	0.3055555555555556	0.6222222222222222	P4HB
sp|Q2UI81|FAEC_ASPOR	270	P4HB.aln	540	2.6e-06	31.4	4.7e-10	3.7e-06	30.8	11	178	4	168	1	177	0.75	1	1	0.3055555555555556	0.6222222222222222	P4HB
