hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|Q47RJ6|PETH2_THEFY	301	PET.aln	309	4.3e-123	415.9	1.3e-125	4.7e-123	415.7	10	290	4	301	1	301	0.93	1	1	0.9644012944983819	0.9335548172757475	PET
sp|Q6A0I4|PETH2_THEFU	301	PET.aln	309	4.3e-123	415.9	1.3e-125	4.7e-123	415.7	10	290	4	301	1	301	0.93	1	1	0.9644012944983819	0.9335548172757475	PET
sp|G8GER6|PETH1_THEFU	319	PET.aln	309	1.5e-122	414.1	5.1e-125	1.8e-122	413.8	10	290	22	319	14	319	0.92	1	1	0.9644012944983819	0.8808777429467085	PET
sp|Q47RJ7|PETH1_THEFY	319	PET.aln	309	1.5e-122	414.1	5.1e-125	1.8e-122	413.8	10	290	22	319	14	319	0.92	1	1	0.9644012944983819	0.8808777429467085	PET
sp|D4Q9N1|PETH1_THEAE	296	PET.aln	309	2.8e-122	413.2	8.5e-125	3.1e-122	413.1	25	290	18	296	1	296	0.92	1	1	0.9029126213592233	0.8986486486486487	PET
sp|F7IX06|PETH2_THEAE	300	PET.aln	309	7.1e-121	408.6	2.4e-123	8.5e-121	408.3	19	290	20	300	2	300	0.93	1	1	0.9093851132686084	0.9066666666666666	PET
sp|E9LVH8|PETH1_THECS	262	PET.aln	309	2.4e-120	406.8	7.4e-123	2.7e-120	406.7	33	290	1	262	1	262	0.99	1	1	0.8478964401294499	0.9847328244274809	PET
sp|E9LVH9|PETH2_THECS	262	PET.aln	309	6.4e-120	405.4	2e-122	7.1e-120	405.3	33	290	1	262	1	262	0.99	1	1	0.8478964401294499	0.9847328244274809	PET
sp|Q9L2J6|BHETH_STRCO	310	PET.aln	309	4.8e-116	392.7	1.7e-118	6.2e-116	392.4	20	290	25	308	12	309	0.95	1	1	0.919093851132686	0.8741935483870967	PET
sp|A0A0K8P6T7|PETH_PISS1	290	PET.aln	309	7.6e-116	392.1	2.3e-118	8.3e-116	391.9	14	288	8	289	1	290	0.94	1	1	0.912621359223301	0.9482758620689655	PET
sp|G9BY57|PETH_UNKP	293	PET.aln	309	1.1e-114	388.2	3.5e-117	1.2e-114	388.1	8	289	3	290	1	293	0.96	1	1	0.9320388349514563	0.962457337883959	PET
sp|P0DX29|PETH1_AMYMS	309	PET.aln	309	1.2e-113	384.9	4.1e-116	1.5e-113	384.5	22	290	33	307	16	308	0.94	1	1	0.889967637540453	0.8705501618122977	PET
sp|P19833|LIP1_MORS1	319	PET.aln	309	1.1e-82	283.2	3.1e-85	1.1e-82	283.1	32	289	25	319	1	319	0.85	1	1	0.9546925566343042	0.8087774294670846	PET
sp|Q99390|YPT2_ECOLX	286	PET.aln	309	1.1e-22	86.1	3.7e-25	1.3e-22	85.8	72	260	15	285	5	286	0.83	1	1	0.8770226537216829	0.6608391608391608	PET
sp|G2JHL6|AIDA_ACIBM	304	PET.aln	309	4.3e-22	84.1	2.7e-24	9.7e-22	83.0	71	260	26	300	8	302	0.8	1	1	0.889967637540453	0.625	PET
sp|P29368|YPT1_ECOLX	286	PET.aln	309	2.4e-21	81.7	8.3e-24	3e-21	81.4	72	260	15	285	5	286	0.83	1	1	0.8770226537216829	0.6608391608391608	PET
sp|P82597|MGLP_BAC25	250	PET.aln	309	3.5e-20	77.8	1.2e-22	4.2e-20	77.6	84	256	21	244	5	249	0.82	1	1	0.7249190938511327	0.692	PET
sp|P9WLC7|Y2307_MYCTU	281	PET.aln	309	7.2e-18	70.3	2.2e-20	8e-18	70.1	25	250	15	266	1	277	0.74	1	1	0.8155339805825242	0.8042704626334519	PET
sp|P9WLC6|Y2307_MYCTO	281	PET.aln	309	7.2e-18	70.3	2.2e-20	8e-18	70.1	25	250	15	266	1	277	0.74	1	1	0.8155339805825242	0.8042704626334519	PET
sp|P37967|PNBA_BACSU	489	PET.aln	309	1.7e-17	69.1	5.9e-20	2.1e-17	68.7	22	300	2	462	1	485	0.73	1	1	1.4919093851132685	0.5705521472392638	PET
sp|Q8VDG7|PAFA2_MOUSE	390	PET.aln	309	2.4e-17	68.6	1.1e-19	3.9e-17	67.9	81	270	98	371	76	387	0.74	1	1	0.8867313915857605	0.48717948717948717	PET
