hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|P41773|LIPB_PSEFL	476	beta_Roll.aln	617	9e-253	845.3	3e-232	3.2e-228	764.2	1	405	1	405	1	406	1.0	1	2	0.6564019448946515	0.8508403361344538	beta_Roll
sp|P41773|LIPB_PSEFL	476	beta_Roll.aln	617	9e-253	845.3	1.3e-28	1.4e-24	91.6	541	616	403	475	403	476	0.98	2	2	0.11831442463533225	0.15966386554621848	beta_Roll
sp|P26504|LIPA_PSEFL	449	beta_Roll.aln	617	2.9e-184	619.0	6.3e-183	6.8e-179	601.3	1	405	1	405	1	406	0.93	1	2	0.6564019448946515	0.9020044543429844	beta_Roll
sp|P26504|LIPA_PSEFL	449	beta_Roll.aln	617	2.9e-184	619.0	7.3e-09	7.9e-05	26.3	540	562	402	424	401	427	0.92	2	2	0.03727714748784441	0.051224944320712694	beta_Roll
sp|Q9JYV5|FRPC_NEIMB	1829	beta_Roll.aln	617	3.3e-53	186.1	3.9e-10	4.2e-06	30.5	509	567	868	928	829	971	0.81	1	9	0.09886547811993517	0.03225806451612903	beta_Roll
sp|Q9JYV5|FRPC_NEIMB	1829	beta_Roll.aln	617	3.3e-53	186.1	3.1e-06	0.034	17.7	485	545	999	1059	984	1068	0.79	2	9	0.09886547811993517	0.03335155822854018	beta_Roll
sp|Q9JYV5|FRPC_NEIMB	1829	beta_Roll.aln	617	3.3e-53	186.1	7.6e-11	8.2e-07	32.9	499	561	1058	1120	1056	1160	0.85	3	9	0.10210696920583469	0.03444505194095134	beta_Roll
sp|Q9JYV5|FRPC_NEIMB	1829	beta_Roll.aln	617	3.3e-53	186.1	4.1e-06	0.045	17.2	486	555	1200	1267	1188	1270	0.78	4	9	0.11021069692058347	0.03827227993439038	beta_Roll
sp|Q9JYV5|FRPC_NEIMB	1829	beta_Roll.aln	617	3.3e-53	186.1	8.3e-11	9e-07	32.7	499	566	1258	1327	1256	1371	0.83	5	9	0.11345218800648298	0.037178786221979225	beta_Roll
sp|Q9JYV5|FRPC_NEIMB	1829	beta_Roll.aln	617	3.3e-53	186.1	4.1e-06	0.045	17.2	485	555	1399	1467	1385	1470	0.77	6	9	0.11183144246353323	0.038819026790595956	beta_Roll
sp|Q9JYV5|FRPC_NEIMB	1829	beta_Roll.aln	617	3.3e-53	186.1	2.4e-11	2.5e-07	34.6	491	566	1450	1527	1449	1571	0.85	7	9	0.12641815235008103	0.04155276107162384	beta_Roll
