hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|P50325|CDA_AMYRO	421	Polysacc_deac_1.aln	508	3.6e-114	387.2	5.3e-116	5.8e-112	379.9	1	505	1	419	1	421	0.88	1	1	0.8248031496062992	1.1995249406175772	Polysacc_deac_1
sp|O13842|CDA1_SCHPO	320	Polysacc_deac_1.aln	508	1.2e-59	207.3	2.1e-62	2.3e-58	203.1	85	431	19	319	2	320	0.84	1	1	0.59251968503937	1.084375	Polysacc_deac_1
sp|J9VND2|CDA2_CRYNH	455	Polysacc_deac_1.aln	508	1.9e-56	196.7	4.4e-44	4.8e-40	142.6	67	275	56	252	42	254	0.84	1	2	0.38779527559055116	0.4593406593406593	Polysacc_deac_1
sp|Q55U20|CDA2_CRYNB	458	Polysacc_deac_1.aln	508	1.5e-52	183.9	2.2e-43	2.4e-39	140.3	62	275	52	253	42	255	0.88	1	2	0.39763779527559057	0.4672489082969432	Polysacc_deac_1
sp|Q55U20|CDA2_CRYNB	458	Polysacc_deac_1.aln	508	1.5e-52	183.9	1.5e-15	1.6e-11	48.5	305	463	254	423	253	439	0.62	2	2	0.3346456692913386	0.3471615720524017	Polysacc_deac_1
sp|J9VPD7|CDA1_CRYNH	470	Polysacc_deac_1.aln	508	6.4e-25	92.7	3.9e-26	4.2e-22	83.4	112	489	113	448	100	468	0.78	1	1	0.6614173228346457	0.8042553191489362	Polysacc_deac_1
sp|P82476|CDA3_CRYNH	412	Polysacc_deac_1.aln	508	8.1e-25	92.4	6.8e-26	7.4e-22	82.6	117	480	79	404	62	410	0.73	1	1	0.6417322834645669	0.883495145631068	Polysacc_deac_1
sp|P0CP77|CDA3_CRYNB	410	Polysacc_deac_1.aln	508	1.4e-23	88.3	4.8e-25	5.2e-21	79.8	146	464	102	382	76	409	0.75	1	1	0.5531496062992126	0.7780487804878049	Polysacc_deac_1
sp|P0CP76|CDA3_CRYNJ	410	Polysacc_deac_1.aln	508	4.3e-23	86.7	1.6e-24	1.7e-20	78.1	146	464	102	382	76	409	0.75	1	1	0.5531496062992126	0.7780487804878049	Polysacc_deac_1
sp|B5ZA76|PGDAE_HELPG	293	Polysacc_deac_1.aln	508	1.3e-14	58.7	1.1e-17	1.2e-13	55.5	191	422	40	283	30	292	0.79	1	1	0.48031496062992124	0.7918088737201365	Polysacc_deac_1
sp|O25080|PGDAE_HELPY	293	Polysacc_deac_1.aln	508	6.9e-14	56.3	6.4e-17	7e-13	53.0	191	422	40	283	33	292	0.8	1	1	0.48031496062992124	0.7918088737201365	Polysacc_deac_1
