hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|Q8K4H1|KFA_MOUSE	305	BD-FAE.aln	293	3.6e-28	103.5	3.9e-31	5e-28	103.1	37	277	60	296	45	303	0.79	1	1	0.8088737201365188	0.7901639344262295	BD-FAE
sp|Q8VYP9|ICML1_ARATH	476	BD-FAE.aln	293	7.4e-28	102.5	7.9e-31	1e-27	102.1	38	263	181	423	170	454	0.84	1	1	0.8293515358361775	0.47478991596638653	BD-FAE
sp|Q94AS5|ICME_ARATH	427	BD-FAE.aln	293	1.2e-26	98.5	1.2e-29	1.6e-26	98.2	45	292	126	402	111	403	0.83	1	1	0.9453924914675768	0.5807962529274004	BD-FAE
sp|Q50681|LIPM_MYCTU	431	BD-FAE.aln	293	1.9e-26	97.9	2.2e-29	2.8e-26	97.3	29	244	143	373	125	400	0.84	1	1	0.78839590443686	0.5011600928074246	BD-FAE
sp|P96402|LIPC_MYCTU	403	BD-FAE.aln	293	4.3e-26	96.7	5.3e-29	6.8e-26	96.1	45	264	137	372	121	399	0.82	1	1	0.8054607508532423	0.5459057071960298	BD-FAE
sp|Q5Z9I2|IMCL1_ORYSJ	425	BD-FAE.aln	293	6.3e-25	92.9	6.5e-28	8.3e-25	92.5	36	286	125	394	113	401	0.83	1	1	0.9215017064846417	0.5905882352941176	BD-FAE
sp|Q1PET6|ICML2_ARATH	422	BD-FAE.aln	293	8.4e-24	89.2	8.8e-27	1.1e-23	88.8	36	292	123	397	105	398	0.81	1	1	0.9385665529010239	0.6090047393364929	BD-FAE
sp|Q566U4|KFA_DANRE	293	BD-FAE.aln	293	1e-23	88.9	1.2e-26	1.5e-23	88.4	32	268	46	276	29	290	0.84	1	1	0.78839590443686	0.8088737201365188	BD-FAE
sp|I6Y9F7|LIPQ_MYCTU	421	BD-FAE.aln	293	1.3e-23	88.6	1.7e-26	2.2e-23	87.8	25	261	126	378	110	401	0.78	1	1	0.863481228668942	0.5629453681710214	BD-FAE
sp|Q6L5F5|IMCE_ORYSJ	414	BD-FAE.aln	293	1.6e-23	88.2	2.6e-26	3.3e-23	87.2	36	292	116	389	110	390	0.82	1	1	0.9351535836177475	0.6207729468599034	BD-FAE
sp|B5XB27|KFA_SALSA	294	BD-FAE.aln	293	1.6e-22	85.0	1.7e-25	2.2e-22	84.6	31	268	45	277	22	291	0.78	1	1	0.7952218430034129	0.8095238095238095	BD-FAE
sp|Q9VMC9|KFA_DROME	300	BD-FAE.aln	293	2.3e-22	84.5	2.4e-25	3.1e-22	84.1	49	270	65	286	56	298	0.84	1	1	0.757679180887372	0.74	BD-FAE
sp|A0A0G3FWY4|AQDA1_RHOER	302	BD-FAE.aln	293	6.3e-21	79.8	1.7e-20	2.2e-17	68.2	53	186	53	195	35	202	0.85	1	2	0.4880546075085324	0.44370860927152317	BD-FAE
sp|A0A0G3FWY4|AQDA1_RHOER	302	BD-FAE.aln	293	6.3e-21	79.8	0.011	14.0	9.7	227	288	222	283	218	288	0.9	2	2	0.21160409556313994	0.2052980132450331	BD-FAE
sp|Q5VNW5|IMCL2_ORYSJ	338	BD-FAE.aln	293	1.5e-20	78.6	1.4e-23	1.8e-20	78.3	36	229	111	319	75	324	0.8	1	1	0.7133105802047781	0.5739644970414202	BD-FAE
sp|Q63HM1|KFA_HUMAN	303	BD-FAE.aln	293	4.4e-19	73.7	4.3e-22	5.5e-19	73.4	33	278	58	297	34	303	0.75	1	1	0.8191126279863481	0.8118811881188119	BD-FAE
sp|P24484|LIP2_MORS1	433	BD-FAE.aln	293	1.6e-15	62.0	2.1e-17	2.6e-14	58.0	56	272	148	402	122	420	0.74	1	1	0.8703071672354948	0.5011547344110855	BD-FAE
