hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|O05527|PHB_DELAC	494	E-set.aln	497	5.4e-163	548.3	1e-166	6.1e-163	548.1	9	497	11	494	1	494	0.92	1	1	0.9738430583501007	0.9898785425101214	E-set
sp|B2NHN2|PHAZ_TALFU	339	E-set.aln	497	7.1e-103	349.9	1.4e-106	8.5e-103	349.7	17	344	14	336	3	339	0.95	1	1	0.6498993963782697	0.967551622418879	E-set
sp|P12625|PHB_RALPI	488	E-set.aln	497	1.9e-51	180.3	0.1	600.0	3.8	220	290	37	112	25	132	0.65	1	3	0.1529175050301811	0.14549180327868852	E-set
sp|P12625|PHB_RALPI	488	E-set.aln	497	1.9e-51	180.3	1.4e-08	8.2e-05	26.5	29	79	150	200	124	275	0.71	2	3	0.10261569416498995	0.10450819672131148	E-set
sp|P12625|PHB_RALPI	488	E-set.aln	497	1.9e-51	180.3	9.2e-50	5.4e-46	162.3	343	497	336	488	325	488	0.94	3	3	0.30784708249496984	0.3176229508196721	E-set
sp|P50899|GUXB_CELFA	1090	E-set.aln	497	3.4e-26	97.0	3.1e-13	1.8e-09	41.8	346	441	697	794	676	799	0.82	1	3	0.19718309859154928	0.08807339449541285	E-set
sp|P50899|GUXB_CELFA	1090	E-set.aln	497	3.4e-26	97.0	1.5e-09	8.6e-06	29.7	347	443	795	892	790	896	0.75	2	3	0.19718309859154928	0.0889908256880734	E-set
sp|P50899|GUXB_CELFA	1090	E-set.aln	497	3.4e-26	97.0	3.8e-11	2.2e-07	35.0	353	449	896	997	887	1021	0.82	3	3	0.2052313883299799	0.0889908256880734	E-set
sp|P50401|GUXA_CELFA	872	E-set.aln	497	7e-20	76.2	4e-13	2.4e-09	41.5	332	445	461	576	456	578	0.85	1	3	0.23340040241448692	0.13073394495412843	E-set
sp|P50401|GUXA_CELFA	872	E-set.aln	497	7e-20	76.2	3.3e-09	1.9e-05	28.6	352	445	577	674	568	676	0.8	2	3	0.19718309859154928	0.10779816513761468	E-set
sp|P50401|GUXA_CELFA	872	E-set.aln	497	7e-20	76.2	1.2e-08	7.3e-05	26.7	353	445	676	776	671	787	0.81	3	3	0.20321931589537223	0.10665137614678899	E-set
sp|P52090|PHA1_PAULE	414	E-set.aln	497	6.2e-15	59.9	0.012	73.0	6.9	226	315	45	114	29	140	0.7	1	2	0.14084507042253522	0.21739130434782608	E-set
sp|P52090|PHA1_PAULE	414	E-set.aln	497	6.2e-15	59.9	1.1e-18	6.2e-15	59.9	30	149	139	252	117	307	0.87	2	2	0.22937625754527163	0.2898550724637681	E-set
sp|P50400|GUND_CELFI	747	E-set.aln	497	3.1e-14	57.6	2.6e-09	1.5e-05	28.9	336	438	439	543	415	551	0.83	1	2	0.2112676056338028	0.13788487282463185	E-set
sp|P50400|GUND_CELFI	747	E-set.aln	497	3.1e-14	57.6	7.3e-11	4.3e-07	34.0	343	448	542	649	539	679	0.78	2	2	0.21730382293762576	0.14190093708165996	E-set
sp|Q05638|CHIX_STROI	597	E-set.aln	497	1.4e-13	55.4	2.3e-17	1.4e-13	55.4	340	437	159	252	151	282	0.85	1	1	0.1891348088531187	0.16415410385259632	E-set
sp|G2QND5|FAEB_THET4	291	E-set.aln	497	1.9e-11	48.4	0.052	310.0	4.8	234	291	35	86	18	98	0.81	1	2	0.10462776659959759	0.19931271477663232	E-set
sp|G2QND5|FAEB_THET4	291	E-set.aln	497	1.9e-11	48.4	3.6e-13	2.1e-09	41.6	29	150	120	240	100	253	0.78	2	2	0.24346076458752516	0.41924398625429554	E-set
sp|P20533|CHIA1_NIACI	699	E-set.aln	497	3.4e-11	47.6	1e-09	5.9e-06	30.2	271	441	382	555	368	560	0.76	1	2	0.3501006036217304	0.2446351931330472	E-set
sp|P20533|CHIA1_NIACI	699	E-set.aln	497	3.4e-11	47.6	1.3e-07	0.00074	23.3	353	463	561	674	553	688	0.81	2	2	0.22937625754527163	0.15879828326180256	E-set
sp|P36909|CHIT_STRLI	619	E-set.aln	497	5.4e-10	43.6	7.0	41000.0	-2.2	397	462	49	113	24	124	0.63	1	2	0.13078470824949698	0.10662358642972536	E-set
sp|P36909|CHIT_STRLI	619	E-set.aln	497	5.4e-10	43.6	9.3e-14	5.4e-10	43.6	349	438	139	231	127	275	0.85	2	2	0.18712273641851107	0.14539579967689822	E-set
sp|Q23551|UNC22_CAEEL	7158	E-set.aln	497	1.8e-09	41.9	0.47	2800.0	1.6	398	425	2047	2074	2036	2085	0.81	1	15	0.056338028169014086	0.003911707180776753	E-set
sp|Q23551|UNC22_CAEEL	7158	E-set.aln	497	1.8e-09	41.9	0.074	440.0	4.3	400	433	2244	2277	2229	2288	0.78	2	15	0.06841046277665996	0.004749930148086058	E-set
sp|Q23551|UNC22_CAEEL	7158	E-set.aln	497	1.8e-09	41.9	1.0	5900.0	0.6	403	426	2348	2371	2329	2380	0.82	3	15	0.0482897384305835	0.003352891869237217	E-set
sp|Q23551|UNC22_CAEEL	7158	E-set.aln	497	1.8e-09	41.9	0.82	4800.0	0.9	398	424	2828	2854	2815	2862	0.86	4	15	0.05432595573440644	0.0037720033528918693	E-set
sp|Q23551|UNC22_CAEEL	7158	E-set.aln	497	1.8e-09	41.9	3.4	20000.0	-1.2	398	424	3125	3151	3109	3165	0.73	5	15	0.05432595573440644	0.0037720033528918693	E-set
sp|Q23551|UNC22_CAEEL	7158	E-set.aln	497	1.8e-09	41.9	2.1	12000.0	-0.5	401	425	3522	3546	3504	3557	0.7	6	15	0.05030181086519115	0.003492595697122101	E-set
sp|Q23551|UNC22_CAEEL	7158	E-set.aln	497	1.8e-09	41.9	0.39	2300.0	1.9	394	426	3709	3741	3690	3753	0.84	7	15	0.06639839034205232	0.004610226320201173	E-set
sp|Q23551|UNC22_CAEEL	7158	E-set.aln	497	1.8e-09	41.9	0.091	530.0	4.0	398	425	3813	3840	3769	3855	0.8	8	15	0.056338028169014086	0.003911707180776753	E-set
sp|Q23551|UNC22_CAEEL	7158	E-set.aln	497	1.8e-09	41.9	0.19	1100.0	3.0	393	430	4101	4137	4068	4167	0.82	9	15	0.0744466800804829	0.005308745459625594	E-set
sp|Q23551|UNC22_CAEEL	7158	E-set.aln	497	1.8e-09	41.9	2.2	13000.0	-0.6	357	423	4249	4325	4217	4337	0.74	10	15	0.15492957746478872	0.009360156468287232	E-set
sp|Q23551|UNC22_CAEEL	7158	E-set.aln	497	1.8e-09	41.9	0.00011	0.67	13.6	389	433	4392	4438	4386	4445	0.81	11	15	0.09456740442655935	0.006286672254819782	E-set
sp|Q23551|UNC22_CAEEL	7158	E-set.aln	497	1.8e-09	41.9	1.5	8600.0	0.0	395	430	4589	4625	4568	4638	0.84	12	15	0.0744466800804829	0.005029337803855826	E-set
