hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|P77931|PVADH_PSESP	639	PVA.aln	502	1.5e-228	764.5	1.4e-232	1.7e-228	764.3	5	502	5	639	1	639	0.95	1	1	1.2649402390438247	0.7793427230046949	PVA
sp|Q588Z1|PVADH_SPHS1	654	PVA.aln	502	3e-220	737.1	3.1e-224	3.5e-220	736.8	6	502	71	654	13	654	0.98	1	1	1.1633466135458168	0.7599388379204893	PVA
sp|Q9LCQ7|OPH_PSESP	379	PVA.aln	502	9.7e-156	524.3	1e-159	1.2e-155	524.0	1	341	1	369	1	375	0.99	1	1	0.7350597609561753	0.899736147757256	PVA
sp|Q588Z2|OPH_SPHS1	364	PVA.aln	502	8.2e-145	488.2	8.6e-149	9.9e-145	488.0	1	341	1	353	1	362	0.99	1	1	0.703187250996016	0.9368131868131868	PVA
sp|P54504|RSBRD_BACSU	278	PVA.aln	502	5.8e-13	53.3	6.9e-17	7.9e-13	52.8	379	498	141	269	121	272	0.82	1	1	0.25697211155378485	0.4316546762589928	PVA
sp|P42409|RSBRA_BACSU	274	PVA.aln	502	6.3e-13	53.2	7.6e-17	8.8e-13	52.7	358	488	110	247	93	268	0.83	1	1	0.2749003984063745	0.4781021897810219	PVA
sp|O34860|RSBRB_BACSU	277	PVA.aln	502	6.7e-09	39.9	7.4e-13	8.4e-09	39.6	384	498	155	274	113	276	0.88	1	1	0.23904382470119523	0.4151624548736462	PVA
sp|O31856|RSBRC_BACSU	282	PVA.aln	502	4.7e-07	33.8	5.4e-11	6.2e-07	33.4	377	498	145	274	110	278	0.84	1	1	0.2589641434262948	0.4326241134751773	PVA
sp|Q60282|Y3523_METJA	827	PVA.aln	502	5.4e-07	33.6	0.037	420.0	4.3	393	454	112	172	90	176	0.8	1	7	0.12151394422310757	0.07496977025392987	PVA
sp|Q60282|Y3523_METJA	827	PVA.aln	502	5.4e-07	33.6	0.075	850.0	3.2	357	420	160	216	150	254	0.77	2	7	0.11354581673306773	0.0773881499395405	PVA
sp|Q60282|Y3523_METJA	827	PVA.aln	502	5.4e-07	33.6	1.4	16000.0	-1.0	87	116	260	289	253	318	0.76	3	7	0.05976095617529881	0.036275695284159616	PVA
sp|Q60282|Y3523_METJA	827	PVA.aln	502	5.4e-07	33.6	0.023	260.0	4.9	420	452	502	534	463	561	0.75	4	7	0.06573705179282868	0.03990326481257558	PVA
sp|Q60282|Y3523_METJA	827	PVA.aln	502	5.4e-07	33.6	0.00053	6.1	10.3	348	451	516	627	512	639	0.74	5	7	0.22310756972111553	0.12575574365175332	PVA
sp|Q60282|Y3523_METJA	827	PVA.aln	502	5.4e-07	33.6	0.0047	54.0	7.2	384	459	600	674	565	696	0.75	6	7	0.14940239043824702	0.09189842805320435	PVA
sp|Q60282|Y3523_METJA	827	PVA.aln	502	5.4e-07	33.6	0.0016	18.0	8.8	391	456	725	788	712	802	0.83	7	7	0.12749003984063745	0.07980652962515115	PVA
sp|Q8KIL1|SLDA_GLUTH	740	PVA.aln	502	7.1e-06	29.9	0.36	4200.0	1.0	144	200	149	217	106	222	0.69	1	3	0.13745019920318724	0.07702702702702703	PVA
sp|Q8KIL1|SLDA_GLUTH	740	PVA.aln	502	7.1e-06	29.9	3e-07	0.0035	21.0	221	323	296	407	271	434	0.72	2	3	0.22310756972111553	0.13918918918918918	PVA
sp|Q8KIL1|SLDA_GLUTH	740	PVA.aln	502	7.1e-06	29.9	0.044	500.0	4.0	420	449	660	690	642	718	0.74	3	3	0.061752988047808766	0.04054054054054054	PVA
sp|Q88JH5|PEDE_PSEPK	631	PVA.aln	502	1e-05	29.4	0.00031	3.5	11.1	393	460	120	197	101	202	0.77	1	3	0.1553784860557769	0.10776545166402536	PVA
sp|Q88JH5|PEDE_PSEPK	631	PVA.aln	502	1e-05	29.4	0.034	400.0	4.4	342	363	221	241	194	263	0.77	2	3	0.04183266932270916	0.03486529318541997	PVA
sp|Q88JH5|PEDE_PSEPK	631	PVA.aln	502	1e-05	29.4	0.0012	14.0	9.2	423	455	539	571	499	593	0.77	3	3	0.06573705179282868	0.05229793977812995	PVA
sp|Q70JN9|SLDA_GLUOX	743	PVA.aln	502	1.2e-05	29.1	1.4	16000.0	-1.0	157	177	171	192	130	246	0.61	1	3	0.043824701195219126	0.02826379542395693	PVA
sp|Q70JN9|SLDA_GLUOX	743	PVA.aln	502	1.2e-05	29.1	1.5e-07	0.0017	22.0	219	313	298	401	276	435	0.77	2	3	0.20717131474103587	0.1278600269179004	PVA
sp|Q70JN9|SLDA_GLUOX	743	PVA.aln	502	1.2e-05	29.1	0.039	450.0	4.2	407	449	652	694	646	723	0.76	3	3	0.08565737051792828	0.05787348586810229	PVA
sp|Q4W6G0|QGDA_PSEPU	718	PVA.aln	502	1.5e-05	28.8	3.1e-07	0.0035	21.0	395	470	111	201	101	226	0.82	1	3	0.18127490039840638	0.10584958217270195	PVA
sp|Q4W6G0|QGDA_PSEPU	718	PVA.aln	502	1.5e-05	28.8	0.17	2000.0	2.1	255	339	260	357	254	371	0.66	2	3	0.1952191235059761	0.11838440111420613	PVA
sp|Q4W6G0|QGDA_PSEPU	718	PVA.aln	502	1.5e-05	28.8	0.15	1800.0	2.2	424	456	516	548	493	577	0.82	3	3	0.06573705179282868	0.04596100278551532	PVA
sp|Q46444|QHED_COMTE	708	PVA.aln	502	2.6e-05	28.1	1.9	22000.0	-1.4	19	98	23	116	15	121	0.53	1	4	0.18725099601593626	0.11299435028248588	PVA
sp|Q46444|QHED_COMTE	708	PVA.aln	502	2.6e-05	28.1	2.1e-06	0.024	18.3	395	471	120	211	106	223	0.84	2	4	0.18326693227091634	0.10875706214689265	PVA
sp|Q46444|QHED_COMTE	708	PVA.aln	502	2.6e-05	28.1	0.023	260.0	5.0	255	312	270	337	256	360	0.76	3	4	0.13545816733067728	0.08192090395480225	PVA
sp|Q46444|QHED_COMTE	708	PVA.aln	502	2.6e-05	28.1	0.0039	45.0	7.5	422	466	518	562	498	573	0.83	4	4	0.08964143426294821	0.0635593220338983	PVA
sp|A8R3S4|QEDH_PSEPU	623	PVA.aln	502	3.6e-05	27.6	0.00068	7.8	10.0	394	456	113	184	96	195	0.79	1	3	0.14342629482071714	0.10112359550561797	PVA
sp|A8R3S4|QEDH_PSEPU	623	PVA.aln	502	3.6e-05	27.6	0.035	400.0	4.3	342	364	213	234	203	257	0.76	2	3	0.043824701195219126	0.03691813804173355	PVA
sp|A8R3S4|QEDH_PSEPU	623	PVA.aln	502	3.6e-05	27.6	0.002	23.0	8.5	394	456	501	564	477	588	0.75	3	3	0.12749003984063745	0.10112359550561797	PVA
sp|Q9Z4J7|QEDH_PSEAE	623	PVA.aln	502	6.7e-05	26.7	0.00024	2.8	11.5	393	461	112	190	94	202	0.77	1	3	0.15737051792828685	0.11075441412520064	PVA
sp|Q9Z4J7|QEDH_PSEAE	623	PVA.aln	502	6.7e-05	26.7	0.13	1500.0	2.4	342	365	213	235	186	257	0.75	2	3	0.045816733067729085	0.038523274478330656	PVA
