hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|I6WZK7|MMCO_MYCTU	504	CU_oxidase.aln	483	2.2e-143	483.1	2.4e-146	5.8e-143	481.8	12	483	42	503	22	503	0.92	1	1	0.9565217391304348	0.9365079365079365	CU_oxidase
sp|P59571|COPA_PSESM	589	CU_oxidase.aln	483	2.6e-136	459.8	2.4e-139	6e-136	458.7	32	482	43	587	38	588	0.94	1	1	1.1283643892339545	0.765704584040747	CU_oxidase
sp|P12374|COPA_PSEUB	609	CU_oxidase.aln	483	1.5e-135	457.3	2.6e-96	6.3e-93	316.8	29	334	40	350	32	367	0.94	1	2	0.6438923395445134	0.5024630541871922	CU_oxidase
sp|Q47452|PCOA_ECOLX	605	CU_oxidase.aln	483	4.9e-135	455.6	9.9e-137	2.4e-133	450.1	30	482	41	603	18	604	0.94	1	1	1.165631469979296	0.7487603305785124	CU_oxidase
sp|J9VQZ4|LAC2_CRYNH	594	CU_oxidase.aln	483	2.5e-50	176.3	1.3e-30	3.2e-27	100.1	27	172	55	208	35	218	0.88	1	3	0.3188405797101449	0.24579124579124578	CU_oxidase
sp|J9VQZ4|LAC2_CRYNH	594	CU_oxidase.aln	483	2.5e-50	176.3	4.8e-14	1.2e-10	45.5	253	398	265	431	255	438	0.77	2	3	0.34575569358178054	0.24579124579124578	CU_oxidase
sp|Q02079|LAC3_THACU	572	CU_oxidase.aln	483	1.9e-48	170.1	2.1e-17	5.2e-14	56.5	245	397	212	420	201	429	0.77	2	3	0.432712215320911	0.2674825174825175	CU_oxidase
sp|Q02075|LAC2_THACU	599	CU_oxidase.aln	483	5.1e-48	168.7	6.5e-24	1.6e-20	78.0	43	181	32	186	19	210	0.78	1	3	0.32091097308488614	0.23205342237061768	CU_oxidase
sp|J9VY90|LAC1_CRYNH	624	CU_oxidase.aln	483	2.4e-46	163.2	9.9e-31	2.4e-27	100.5	27	170	55	206	36	220	0.89	1	3	0.3146997929606625	0.23076923076923078	CU_oxidase
sp|Q03966|LAC1_CRYPA	591	CU_oxidase.aln	483	1.7e-45	160.4	9.5e-19	2.3e-15	61.0	245	396	249	412	217	420	0.76	2	3	0.33954451345755693	0.2571912013536379	CU_oxidase
sp|P56193|LAC1_THACU	576	CU_oxidase.aln	483	1.7e-45	160.3	2.6e-15	6.3e-12	49.7	245	397	212	421	202	430	0.81	2	3	0.43478260869565216	0.265625	CU_oxidase
sp|Q55P57|LAC1_CRYNB	624	CU_oxidase.aln	483	2e-45	160.1	3.4e-30	8.4e-27	98.7	27	169	55	205	36	217	0.89	1	3	0.31262939958592134	0.22916666666666666	CU_oxidase
sp|A0A5B8YWJ2|GME65_PESMI	613	CU_oxidase.aln	483	2.8e-45	159.6	9.8e-26	2.4e-22	84.0	26	167	56	204	47	211	0.87	1	3	0.3084886128364389	0.23164763458401305	CU_oxidase
sp|P06811|LAC1_NEUCR	619	CU_oxidase.aln	483	2.6e-44	156.4	2.9e-18	7.1e-15	59.4	247	395	268	426	246	435	0.83	2	3	0.32919254658385094	0.2407108239095315	CU_oxidase
sp|A0A067XMP0|PTAE_PESFW	610	CU_oxidase.aln	483	1.4e-42	150.7	1.7e-32	4.3e-29	106.3	25	309	47	310	29	325	0.79	1	2	0.546583850931677	0.4672131147540984	CU_oxidase
sp|Q8LPL3|ASO_ARATH	573	CU_oxidase.aln	483	3.8e-42	149.3	1.4e-38	3.4e-35	126.4	52	307	43	285	29	292	0.89	1	2	0.5031055900621118	0.4467713787085515	CU_oxidase
sp|O59896|LAC1_PYCCI	518	CU_oxidase.aln	483	1.6e-41	147.2	7.2e-22	1.8e-18	71.3	32	168	23	173	14	182	0.8	1	3	0.31262939958592134	0.2644787644787645	CU_oxidase
sp|Q12719|LAC4_TRAVE	520	CU_oxidase.aln	483	2.1e-41	146.9	1.1e-21	2.8e-18	70.6	32	168	24	174	2	184	0.8	1	3	0.31262939958592134	0.26346153846153847	CU_oxidase
sp|Q99055|LAC4_TRAVI	520	CU_oxidase.aln	483	4e-41	145.9	1.9e-21	4.7e-18	69.9	31	168	23	174	2	180	0.8	1	3	0.3146997929606625	0.2653846153846154	CU_oxidase
