hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|H8ZPX2|SAPD_PSESP	477	PEG.aln	668	1.5e-121	412.0	3e-124	1.9e-121	411.7	1	472	1	464	1	470	0.97	1	1	0.6946107784431138	0.989517819706499	PEG
sp|Q9WWW2|ALKJ_PSEPU	552	PEG.aln	668	3.1e-109	371.3	2.8e-51	1.7e-48	170.6	70	414	2	306	1	315	0.95	1	2	0.4565868263473054	0.625	PEG
sp|Q9WWW2|ALKJ_PSEPU	552	PEG.aln	668	3.1e-109	371.3	8e-60	5e-57	198.8	454	663	322	530	316	534	0.95	2	2	0.312874251497006	0.3804347826086957	PEG
sp|Q00593|ALKJ_ECTOL	558	PEG.aln	668	4.9e-108	367.4	5e-46	3.1e-43	153.2	70	414	2	306	1	314	0.94	1	2	0.4565868263473054	0.6182795698924731	PEG
sp|Q00593|ALKJ_ECTOL	558	PEG.aln	668	4.9e-108	367.4	6.8e-64	4.2e-61	212.3	455	663	323	530	317	535	0.95	2	2	0.31137724550898205	0.37455197132616486	PEG
sp|Q2YUN1|ALDH_STAAB	475	PEG.aln	668	1.1e-105	359.6	2.2e-108	1.4e-105	359.3	1	472	1	463	1	470	0.96	1	1	0.6931137724550899	0.9936842105263158	PEG
sp|Q2FF06|ALDH_STAA3	475	PEG.aln	668	7e-105	357.0	1.4e-107	8.5e-105	356.7	1	472	1	463	1	470	0.96	1	1	0.6931137724550899	0.9936842105263158	PEG
sp|Q2FWD6|ALDH_STAA8	475	PEG.aln	668	7e-105	357.0	1.4e-107	8.5e-105	356.7	1	472	1	463	1	470	0.96	1	1	0.6931137724550899	0.9936842105263158	PEG
sp|Q5HE78|ALDH_STAAC	475	PEG.aln	668	7e-105	357.0	1.4e-107	8.5e-105	356.7	1	472	1	463	1	470	0.96	1	1	0.6931137724550899	0.9936842105263158	PEG
sp|Q7A4D8|ALDH_STAAN	475	PEG.aln	668	7e-105	357.0	1.4e-107	8.5e-105	356.7	1	472	1	463	1	470	0.96	1	1	0.6931137724550899	0.9936842105263158	PEG
sp|Q99SD6|ALDH_STAAM	475	PEG.aln	668	7e-105	357.0	1.4e-107	8.5e-105	356.7	1	472	1	463	1	470	0.96	1	1	0.6931137724550899	0.9936842105263158	PEG
sp|Q6GEV3|ALDH_STAAR	475	PEG.aln	668	8.4e-105	356.7	1.6e-107	1e-104	356.4	1	472	1	463	1	470	0.96	1	1	0.6931137724550899	0.9936842105263158	PEG
sp|Q6G7I8|ALDH_STAAS	475	PEG.aln	668	1.1e-104	356.3	2.2e-107	1.3e-104	356.0	1	472	1	463	1	470	0.96	1	1	0.6931137724550899	0.9936842105263158	PEG
sp|Q8NVG4|ALDH_STAAW	475	PEG.aln	668	1.1e-104	356.3	2.2e-107	1.3e-104	356.0	1	472	1	463	1	470	0.96	1	1	0.6931137724550899	0.9936842105263158	PEG
sp|Q49Z69|ALD1_STAS1	475	PEG.aln	668	1.3e-103	352.8	2.4e-106	1.5e-103	352.5	1	472	1	463	1	469	0.97	1	1	0.6931137724550899	0.9936842105263158	PEG
sp|Q5HMA0|ALD1_STAEQ	475	PEG.aln	668	3e-102	348.3	5.9e-105	3.7e-102	348.0	1	472	1	463	1	470	0.96	1	1	0.6931137724550899	0.9936842105263158	PEG
sp|Q8CNI5|ALD1_STAES	475	PEG.aln	668	3e-102	348.3	5.9e-105	3.7e-102	348.0	1	472	1	463	1	470	0.96	1	1	0.6931137724550899	0.9936842105263158	PEG
sp|Q4L803|ALD1_STAHJ	475	PEG.aln	668	9.1e-100	340.1	1.8e-102	1.1e-99	339.8	1	472	1	463	1	470	0.96	1	1	0.6931137724550899	0.9936842105263158	PEG
sp|Q6UPE0|CHDH_RAT	599	PEG.aln	668	3.2e-88	301.9	1.8e-42	1.1e-39	141.5	69	388	45	338	36	360	0.91	1	2	0.44011976047904194	0.5342237061769616	PEG
sp|Q8BJ64|CHDH_MOUSE	596	PEG.aln	668	9.8e-86	293.7	9.1e-42	5.7e-39	139.2	70	388	43	335	35	357	0.91	1	2	0.43862275449101795	0.535234899328859	PEG
sp|Q8NE62|CHDH_HUMAN	594	PEG.aln	668	1.2e-84	290.1	7.3e-42	4.5e-39	139.5	69	388	40	333	26	348	0.93	1	2	0.44011976047904194	0.5387205387205387	PEG
sp|A7N2P9|BETA_VIBC1	569	PEG.aln	668	1.1e-83	286.9	1.5e-45	9.5e-43	151.6	69	390	4	293	1	315	0.93	1	2	0.4341317365269461	0.5659050966608085	PEG
sp|A7N2P9|BETA_VIBC1	569	PEG.aln	668	1.1e-83	286.9	5.1e-40	3.2e-37	133.4	461	663	330	533	324	537	0.96	2	2	0.30538922155688625	0.35676625659050965	PEG
sp|Q6LGH5|BETA_PHOPR	568	PEG.aln	668	1e-81	280.4	4.2e-45	2.6e-42	150.2	70	390	5	293	2	314	0.94	1	2	0.43263473053892215	0.5651408450704225	PEG
sp|Q6LGH5|BETA_PHOPR	568	PEG.aln	668	1e-81	280.4	1.8e-38	1.1e-35	128.2	463	663	332	533	324	536	0.96	2	2	0.3023952095808383	0.3538732394366197	PEG
sp|A6X2G7|BETA_BRUA4	549	PEG.aln	668	1.8e-80	276.3	2.2e-42	1.3e-39	141.2	71	390	4	288	1	309	0.95	1	2	0.42664670658682635	0.5828779599271403	PEG
sp|Q8D3K2|BETA_VIBVU	560	PEG.aln	668	3.2e-80	275.5	7.5e-40	4.7e-37	132.8	69	390	4	293	1	322	0.94	1	2	0.4341317365269461	0.575	PEG
sp|Q8D3K2|BETA_VIBVU	560	PEG.aln	668	3.2e-80	275.5	2.7e-42	1.7e-39	140.9	461	662	330	532	318	535	0.95	2	2	0.30389221556886226	0.3607142857142857	PEG
sp|Q8G1Z8|BETA_BRUSU	549	PEG.aln	668	3.6e-79	272.0	1.2e-78	7.5e-76	261.0	71	662	4	527	1	530	0.94	1	1	0.7844311377245509	1.0783242258652095	PEG
sp|Q7MF12|BETA_VIBVY	560	PEG.aln	668	5.5e-79	271.4	6.1e-39	3.8e-36	129.8	69	390	4	293	1	317	0.94	1	2	0.4341317365269461	0.575	PEG
sp|Q7MF12|BETA_VIBVY	560	PEG.aln	668	5.5e-79	271.4	5.7e-42	3.6e-39	139.8	461	662	330	532	312	535	0.95	2	2	0.30389221556886226	0.3607142857142857	PEG
sp|A9M9H8|BETA_BRUC2	549	PEG.aln	668	8e-79	270.8	2.7e-78	1.7e-75	259.9	71	662	4	527	1	530	0.94	1	1	0.7844311377245509	1.0783242258652095	PEG
sp|A5VPA6|BETA_BRUO2	549	PEG.aln	668	8.4e-79	270.8	5.4e-40	3.3e-37	133.3	71	390	4	288	1	309	0.95	1	2	0.42664670658682635	0.5828779599271403	PEG
sp|B0CKN4|BETA_BRUSI	549	PEG.aln	668	8.4e-79	270.8	5.4e-40	3.3e-37	133.3	71	390	4	288	1	309	0.95	1	2	0.42664670658682635	0.5828779599271403	PEG
sp|Q8YFY2|BETA_BRUME	549	PEG.aln	668	9.3e-79	270.6	3.1e-40	1.9e-37	134.1	71	390	4	288	1	309	0.95	1	2	0.42664670658682635	0.5828779599271403	PEG
sp|Q8UH55|BETA_AGRFC	549	PEG.aln	668	1.2e-78	270.3	5e-44	3.1e-41	146.6	71	388	4	287	1	309	0.97	1	2	0.4251497005988024	0.5792349726775956	PEG
sp|P54223|BETA_RHIME	549	PEG.aln	668	1.8e-78	269.7	6.4e-43	4e-40	143.0	71	388	4	287	1	309	0.96	1	2	0.4251497005988024	0.5792349726775956	PEG
sp|P54223|BETA_RHIME	549	PEG.aln	668	1.8e-78	269.7	2.1e-37	1.3e-34	124.8	462	662	326	527	316	530	0.95	2	2	0.3023952095808383	0.366120218579235	PEG
sp|Q988C9|4PADH_RHILO	543	PEG.aln	668	5.2e-78	268.2	2.2e-44	1.4e-41	147.8	69	400	6	303	3	307	0.98	1	2	0.44610778443113774	0.6114180478821363	PEG
sp|Q988C9|4PADH_RHILO	543	PEG.aln	668	5.2e-78	268.2	1.7e-35	1e-32	118.5	441	663	312	536	305	540	0.87	2	2	0.33682634730538924	0.4106813996316759	PEG
sp|B5ZUG2|BETA_RHILW	549	PEG.aln	668	2e-77	266.2	2.1e-43	1.3e-40	144.6	71	388	4	287	1	309	0.97	1	2	0.4251497005988024	0.5792349726775956	PEG
sp|A6U6Y8|BETA_SINMW	549	PEG.aln	668	3.2e-77	265.5	1e-41	6.3e-39	139.0	71	388	4	287	1	309	0.96	1	2	0.4251497005988024	0.5792349726775956	PEG
sp|A6U6Y8|BETA_SINMW	549	PEG.aln	668	3.2e-77	265.5	2.2e-37	1.4e-34	124.7	462	662	326	527	316	531	0.95	2	2	0.3023952095808383	0.366120218579235	PEG
sp|Q1QXE1|BETA1_CHRSD	560	PEG.aln	668	1.8e-76	263.1	1.3e-37	8.1e-35	125.4	68	401	5	309	2	317	0.92	1	2	0.4565868263473054	0.5964285714285714	PEG
sp|B9JBA2|BETA_RHIR8	549	PEG.aln	668	2.2e-76	262.8	1.4e-41	8.9e-39	138.5	71	388	4	287	1	309	0.97	1	2	0.4251497005988024	0.5792349726775956	PEG
sp|Q1MJU4|BETA_RHIJ3	549	PEG.aln	668	3.4e-76	262.2	2.3e-43	1.4e-40	144.4	71	388	4	287	1	309	0.96	1	2	0.4251497005988024	0.5792349726775956	PEG
