hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|P52090|PHA1_PAULE	414	PHV.aln	431	1.4e-165	556.2	3.2e-169	1.9e-165	555.8	2	400	12	392	2	396	0.99	1	1	0.8839907192575406	0.9637681159420289	PHV
sp|P12625|PHB_RALPI	488	PHV.aln	431	1.6e-123	417.6	3.5e-127	2e-123	417.3	14	431	13	488	1	488	0.9	1	1	1.1044083526682134	0.8565573770491803	PHV
sp|O05527|PHB_DELAC	494	PHV.aln	431	3.5e-46	162.8	3.3e-21	1.9e-17	68.1	124	321	23	247	2	251	0.77	1	3	0.5220417633410673	0.4008097165991903	PHV
sp|O05527|PHB_DELAC	494	PHV.aln	431	3.5e-46	162.8	1.4e-07	0.00081	23.2	44	166	235	371	233	375	0.74	2	3	0.31786542923433875	0.24898785425101214	PHV
sp|O05527|PHB_DELAC	494	PHV.aln	431	3.5e-46	162.8	1e-23	5.9e-20	76.4	347	431	350	494	331	494	0.57	3	3	0.33642691415313225	0.1720647773279352	PHV
sp|G2QND5|FAEB_THET4	291	PHV.aln	431	2.3e-43	153.5	5.1e-47	2.9e-43	153.2	17	266	11	261	2	276	0.9	1	1	0.5823665893271461	0.8591065292096219	PHV
sp|Q9HGR3|FAEB_NEUCR	292	PHV.aln	431	2.7e-43	153.3	5.8e-47	3.4e-43	153.0	26	268	14	263	2	282	0.85	1	1	0.580046403712297	0.8321917808219178	PHV
sp|Q9HE18|FAEB_TALFU	353	PHV.aln	431	4.9e-42	149.2	8.4e-46	4.9e-42	149.2	25	288	18	281	3	284	0.89	1	1	0.6125290023201856	0.7478753541076487	PHV
sp|B8M9H9|FAEB_TALSN	358	PHV.aln	431	9.1e-42	148.3	1.6e-45	9.1e-42	148.3	26	287	18	280	4	281	0.88	1	2	0.6102088167053364	0.7318435754189944	PHV
sp|B8M9H9|FAEB_TALSN	358	PHV.aln	431	9.1e-42	148.3	0.048	280.0	5.0	309	362	274	327	264	354	0.77	2	2	0.12529002320185614	0.15083798882681565	PHV
sp|A8PB24|AXE1_COPC7	374	PHV.aln	431	9.4e-42	148.2	2.3	13000.0	-0.6	307	371	9	84	6	92	0.68	1	2	0.17633410672853828	0.17379679144385027	PHV
sp|A8PB24|AXE1_COPC7	374	PHV.aln	431	9.4e-42	148.2	1.6e-45	9.4e-42	148.2	28	288	101	362	82	371	0.88	2	2	0.6078886310904872	0.6978609625668449	PHV
sp|A1CSZ8|AXE1_ASPCL	308	PHV.aln	431	1.5e-41	147.6	3.1e-45	1.8e-41	147.3	22	287	24	295	4	303	0.87	1	1	0.6310904872389791	0.8636363636363636	PHV
sp|Q5B037|AXE1_EMENI	304	PHV.aln	431	8.7e-40	141.7	1.8e-43	1e-39	141.5	28	247	31	253	3	286	0.87	1	1	0.5174013921113689	0.7236842105263158	PHV
sp|B8NBI2|AXE1_ASPFN	307	PHV.aln	431	3.9e-39	139.6	8.2e-43	4.7e-39	139.3	26	254	32	263	4	292	0.87	1	1	0.5382830626450116	0.745928338762215	PHV
sp|A9JPE6|AXE1_ASPFL	307	PHV.aln	431	2e-38	137.3	4.1e-42	2.4e-38	137.0	26	254	32	263	4	292	0.87	1	1	0.5382830626450116	0.745928338762215	PHV
sp|Q75P26|AXE1_ASPOR	307	PHV.aln	431	2e-38	137.3	4.1e-42	2.4e-38	137.0	26	254	32	263	4	292	0.87	1	1	0.5382830626450116	0.745928338762215	PHV
sp|A1DBP9|AXE1_NEOFI	368	PHV.aln	431	2.1e-38	137.2	3.5e-42	2.1e-38	137.2	11	286	7	292	2	299	0.89	1	1	0.6635730858468677	0.75	PHV
sp|Q4WBW4|AXE1_ASPFU	371	PHV.aln	431	4e-38	136.2	6.9e-42	4e-38	136.2	11	287	7	293	2	302	0.88	1	1	0.665893271461717	0.7466307277628033	PHV
sp|Q8NJP6|AXE1_TALPU	382	PHV.aln	431	4.2e-37	132.9	7.3e-41	4.2e-37	132.9	10	288	8	297	1	306	0.87	1	1	0.6728538283062645	0.7303664921465969	PHV
sp|Q96W96|AXE1_ASPFI	303	PHV.aln	431	4.9e-36	129.4	9.9e-40	5.7e-36	129.1	5	287	8	291	1	298	0.9	1	1	0.6589327146171694	0.933993399339934	PHV
sp|Q92194|AXE1_ASPAW	304	PHV.aln	431	7.6e-36	128.7	1.7e-39	9.6e-36	128.4	28	287	32	292	9	299	0.91	1	1	0.605568445475638	0.8552631578947368	PHV
sp|A2QZI3|AXE1_ASPNC	303	PHV.aln	431	3.3e-35	126.6	6.7e-39	3.9e-35	126.4	5	287	8	291	1	298	0.9	1	1	0.6589327146171694	0.933993399339934	PHV
sp|Q0C8Z1|AXE1_ASPTN	311	PHV.aln	431	1.9e-33	120.9	4e-37	2.3e-33	120.6	19	286	21	298	4	306	0.84	1	1	0.6450116009280742	0.8617363344051447	PHV
sp|B2NHN2|PHAZ_TALFU	339	PHV.aln	431	8.3e-32	115.4	4.5e-27	2.6e-23	87.4	129	300	22	214	15	216	0.81	1	3	0.44779582366589327	0.5073746312684366	PHV
sp|B2NHN2|PHAZ_TALFU	339	PHV.aln	431	8.3e-32	115.4	5.3e-10	3.1e-06	31.2	24	96	206	286	203	296	0.87	2	3	0.18793503480278423	0.2153392330383481	PHV
sp|B2NHN2|PHAZ_TALFU	339	PHV.aln	431	8.3e-32	115.4	0.011	61.0	7.1	320	344	301	325	296	335	0.85	3	3	0.058004640371229696	0.07374631268436578	PHV
sp|A9GMG8|CE1_SORC5	456	PHV.aln	431	4.8e-28	103.1	1.2e-31	6.9e-28	102.5	12	294	16	308	8	420	0.84	1	1	0.679814385150812	0.6206140350877193	PHV
sp|B8YG19|XS20E_NEOPA	671	PHV.aln	431	3.8e-16	63.8	6.5e-20	3.8e-16	63.8	44	178	60	184	7	202	0.9	1	2	0.2900232018561485	0.20119225037257824	PHV
sp|B8YG19|XS20E_NEOPA	671	PHV.aln	431	3.8e-16	63.8	6.3	36000.0	-2.0	257	370	349	463	326	476	0.71	2	2	0.2668213457076566	0.16989567809239942	PHV
sp|Q5J1R3|NOCK_NOCUT	344	PHV.aln	431	1.4e-08	38.9	7.9e-12	4.6e-08	37.2	39	172	67	201	11	210	0.78	1	2	0.31322505800464034	0.38953488372093026	PHV
sp|Q5J1R3|NOCK_NOCUT	344	PHV.aln	431	1.4e-08	38.9	3.3	19000.0	-1.1	269	289	296	316	253	319	0.62	2	2	0.048723897911832945	0.061046511627906974	PHV
sp|P22757|HE_PARLI	587	PHV.aln	431	0.00031	24.6	5.3e-08	0.00031	24.6	305	366	305	368	255	552	0.71	1	1	0.14849187935034802	0.10562180579216354	PHV
sp|Q9LCQ7|OPH_PSESP	379	PHV.aln	431	0.0012	22.6	3.4e-07	0.002	21.9	120	222	179	281	7	288	0.8	1	1	0.23897911832946636	0.2717678100263852	PHV
sp|Q9Y871|FAEB_PIREQ	536	PHV.aln	431	0.002	22.0	5.2e-07	0.003	21.3	57	170	309	418	272	425	0.69	1	2	0.2552204176334107	0.2126865671641791	PHV
sp|Q9Y871|FAEB_PIREQ	536	PHV.aln	431	0.002	22.0	2.4	14000.0	-0.6	238	289	476	524	441	532	0.74	2	2	0.1136890951276102	0.09701492537313433	PHV
sp|Q0J969|CAEH1_ORYSJ	266	PHV.aln	431	0.003	21.3	6.6e-07	0.0038	21.0	36	198	28	202	1	209	0.65	1	1	0.4060324825986079	0.6127819548872181	PHV
sp|Q588Z2|OPH_SPHS1	364	PHV.aln	431	0.0043	20.8	9.3e-07	0.0054	20.5	120	224	166	271	22	274	0.84	1	1	0.2459396751740139	0.28846153846153844	PHV
sp|B2RIT0|DPP5_PORG3	684	PHV.aln	431	0.0047	20.7	1.5e-06	0.0085	19.9	35	239	414	642	400	647	0.74	1	1	0.531322505800464	0.2997076023391813	PHV
sp|B2RJX3|PTP_PORG3	732	PHV.aln	431	0.0085	19.8	2.2e-06	0.013	19.2	76	167	536	625	438	645	0.77	1	1	0.2088167053364269	0.12568306010928962	PHV
sp|Q7MUW6|PTP_PORGI	732	PHV.aln	431	0.0097	19.7	2.6e-06	0.015	19.0	76	167	536	625	484	645	0.72	1	1	0.2088167053364269	0.12568306010928962	PHV
sp|A0A1D8EJG8|GCE1_SODAL	496	PHV.aln	431	0.012	19.4	4.6e-06	0.027	18.2	92	162	252	324	245	364	0.77	1	1	0.16937354988399073	0.1431451612903226	PHV
sp|Q0J968|CAEH2_ORYSJ	235	PHV.aln	431	0.012	19.3	2.8e-06	0.016	18.9	59	197	12	160	3	170	0.71	1	1	0.345707656612529	0.5914893617021276	PHV
sp|Q51718|PHAZ_PSEFL	278	PHV.aln	431	0.018	18.8	4.7e-06	0.027	18.2	138	177	164	203	160	215	0.88	1	1	0.09280742459396751	0.14388489208633093	PHV
sp|B8N7Z6|FAEC_ASPFN	270	PHV.aln	431	0.026	18.2	6.2e-06	0.036	17.8	111	174	108	170	5	178	0.9	1	1	0.14617169373549885	0.23703703703703705	PHV
sp|Q47RJ6|PETH2_THEFY	301	PHV.aln	431	0.038	17.7	2.9e-05	0.17	15.6	107	162	131	186	4	193	0.69	1	1	0.12993039443155452	0.18604651162790697	PHV
sp|Q6A0I4|PETH2_THEFU	301	PHV.aln	431	0.038	17.7	2.9e-05	0.17	15.6	107	162	131	186	4	193	0.69	1	1	0.12993039443155452	0.18604651162790697	PHV
sp|Q54RS7|ELMOC_DICDI	618	PHV.aln	431	0.041	17.6	9.6e-06	0.055	17.2	333	371	241	277	135	323	0.66	1	1	0.08584686774941995	0.06310679611650485	PHV
sp|A1C9D4|FAEC1_ASPCL	272	PHV.aln	431	0.043	17.5	1.3e-05	0.078	16.7	112	174	112	172	4	178	0.77	1	1	0.14153132250580047	0.23161764705882354	PHV
sp|E9LVH8|PETH1_THECS	262	PHV.aln	431	0.051	17.3	1.2e-05	0.07	16.8	109	162	94	147	40	155	0.88	1	1	0.12529002320185614	0.20610687022900764	PHV
sp|Q8GYK2|SOBRL_ARATH	262	PHV.aln	431	0.053	17.2	1e-05	0.059	17.1	112	183	113	187	13	203	0.77	1	1	0.1740139211136891	0.2748091603053435	PHV
sp|V5YMB3|DAPB3_PSEMX	689	PHV.aln	431	0.06	17.1	2e-05	0.12	16.1	39	241	394	610	381	618	0.78	1	1	0.5034802784222738	0.2946298984034833	PHV
sp|P40387|TPS1_SCHPO	513	PHV.aln	431	0.064	17.0	1.6e-05	0.092	16.4	28	108	378	467	365	480	0.85	1	1	0.2088167053364269	0.15789473684210525	PHV
sp|Q0CDX2|FAEC_ASPTN	270	PHV.aln	431	0.068	16.9	1.8e-05	0.11	16.2	116	174	114	170	103	177	0.84	1	1	0.13225058004640372	0.21851851851851853	PHV
sp|A1CC33|FAEC2_ASPCL	272	PHV.aln	431	0.082	16.6	1.6e-05	0.092	16.4	115	174	115	172	7	185	0.87	1	1	0.1345707656612529	0.22058823529411764	PHV
sp|Q7JKY3|DPF1_CAEEL	799	PHV.aln	431	0.096	16.4	2.5e-05	0.14	15.8	115	229	638	747	581	779	0.76	1	1	0.2552204176334107	0.1439299123904881	PHV
sp|Q2UI81|FAEC_ASPOR	270	PHV.aln	431	0.096	16.4	2.2e-05	0.13	16.0	114	174	111	170	5	177	0.9	1	1	0.13921113689095127	0.22592592592592592	PHV
sp|Q5VWZ2|LYPL1_HUMAN	237	PHV.aln	431	0.11	16.2	4.4e-05	0.26	15.0	119	181	100	158	3	167	0.6	1	2	0.1368909512761021	0.26582278481012656	PHV
sp|Q5VWZ2|LYPL1_HUMAN	237	PHV.aln	431	0.11	16.2	2.1	12000.0	-0.4	204	241	159	195	146	204	0.74	2	2	0.08584686774941995	0.16033755274261605	PHV
sp|Q7RWX8|FAED_NEUCR	290	PHV.aln	431	0.11	16.2	2.5e-05	0.15	15.8	115	177	127	189	116	264	0.85	1	1	0.14617169373549885	0.21724137931034482	PHV
sp|A4D9B6|FAEC_ASPFU	272	PHV.aln	431	0.12	16.1	7.1e-05	0.41	14.3	116	174	116	172	4	177	0.83	1	1	0.13225058004640372	0.21691176470588236	PHV
sp|B0XU32|FAEC_ASPFC	272	PHV.aln	431	0.12	16.1	7.1e-05	0.41	14.3	116	174	116	172	4	177	0.83	1	1	0.13225058004640372	0.21691176470588236	PHV
sp|A1DI08|FAEC_NEOFI	272	PHV.aln	431	0.15	15.8	0.0001	0.6	13.8	115	174	115	172	4	178	0.78	1	1	0.1345707656612529	0.22058823529411764	PHV
sp|Q08E20|ESTD_BOVIN	282	PHV.aln	431	0.16	15.7	4e-05	0.23	15.1	55	170	44	173	14	191	0.7	1	1	0.30162412993039445	0.41134751773049644	PHV
sp|A2QYU7|FAEC_ASPNC	270	PHV.aln	431	0.16	15.7	5.7e-05	0.33	14.6	111	174	108	170	101	176	0.84	1	1	0.14617169373549885	0.23703703703703705	PHV
sp|Q338C0|AARE2_ORYSJ	772	PHV.aln	431	0.16	15.6	5.7e-05	0.33	14.6	135	168	606	639	588	663	0.83	1	1	0.07888631090487239	0.04404145077720207	PHV
sp|Q5R8C2|LYPL1_PONAB	237	PHV.aln	431	0.18	15.5	7.4e-05	0.43	14.2	119	181	100	158	6	168	0.62	1	2	0.1368909512761021	0.26582278481012656	PHV
sp|Q5R8C2|LYPL1_PONAB	237	PHV.aln	431	0.18	15.5	2.5	15000.0	-0.7	205	241	160	195	152	205	0.73	2	2	0.08352668213457076	0.15611814345991562	PHV
sp|P16721|UL11P_HCMVA	275	PHV.aln	431	0.21	15.3	4e-05	0.23	15.1	305	388	107	200	33	217	0.66	1	1	0.21809744779582366	0.3054545454545455	PHV
sp|O42881|APTH1_SCHPO	224	PHV.aln	431	0.21	15.3	4.6e-05	0.27	14.9	54	171	15	141	4	160	0.68	1	1	0.29466357308584684	0.5267857142857143	PHV
