hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|P12625|PHB_RALPI	488	Esterase_PHB.aln	477	8.6e-180	603.7	3.7e-183	9.5e-180	603.5	10	476	12	488	1	488	0.98	1	1	1.0	0.9569672131147541	Esterase_PHB
sp|P52090|PHA1_PAULE	414	Esterase_PHB.aln	477	1.3e-131	444.8	9.8e-135	2.5e-131	443.8	1	362	1	369	1	375	0.94	1	2	0.7735849056603774	0.8743961352657005	Esterase_PHB
sp|P52090|PHA1_PAULE	414	Esterase_PHB.aln	477	1.3e-131	444.8	0.082	210.0	5.5	413	441	354	390	352	395	0.68	2	2	0.07756813417190776	0.07004830917874397	Esterase_PHB
sp|O05527|PHB_DELAC	494	Esterase_PHB.aln	477	1.7e-94	322.4	1.6e-10	4e-07	34.3	138	246	30	148	18	177	0.76	1	3	0.24947589098532494	0.22064777327935223	Esterase_PHB
sp|O05527|PHB_DELAC	494	Esterase_PHB.aln	477	1.7e-94	322.4	2e-36	5.1e-33	119.7	12	138	134	332	132	335	0.84	2	3	0.4171907756813417	0.25708502024291496	Esterase_PHB
sp|O05527|PHB_DELAC	494	Esterase_PHB.aln	477	1.7e-94	322.4	1.6e-54	4e-51	179.4	327	476	340	494	331	494	0.96	3	3	0.3249475890985325	0.30364372469635625	Esterase_PHB
sp|Q9HGR3|FAEB_NEUCR	292	Esterase_PHB.aln	477	5.5e-51	178.9	2.7e-54	6.9e-51	178.6	25	292	12	278	2	287	0.9	1	1	0.559748427672956	0.9178082191780822	Esterase_PHB
sp|G2QND5|FAEB_THET4	291	Esterase_PHB.aln	477	8.3e-50	175.0	3.7e-53	9.6e-50	174.8	32	289	19	275	1	280	0.9	1	1	0.5387840670859538	0.8865979381443299	Esterase_PHB
sp|A8PB24|AXE1_COPC7	374	Esterase_PHB.aln	477	1.1e-48	171.3	5.5e-52	1.4e-48	170.9	29	295	98	364	8	371	0.87	1	1	0.559748427672956	0.713903743315508	Esterase_PHB
sp|A1CSZ8|AXE1_ASPCL	308	Esterase_PHB.aln	477	1.5e-46	164.3	7.2e-50	1.9e-46	164.0	27	294	30	297	4	305	0.86	1	1	0.5618448637316562	0.8701298701298701	Esterase_PHB
sp|Q5B037|AXE1_EMENI	304	Esterase_PHB.aln	477	1.2e-45	161.3	5.6e-49	1.5e-45	161.0	27	289	26	287	2	299	0.82	1	1	0.549266247379455	0.8651315789473685	Esterase_PHB
sp|B8NBI2|AXE1_ASPFN	307	Esterase_PHB.aln	477	1.5e-44	157.7	7.2e-48	1.9e-44	157.4	17	291	15	292	2	304	0.82	1	1	0.5828092243186582	0.8957654723127035	Esterase_PHB
sp|A9JPE6|AXE1_ASPFL	307	Esterase_PHB.aln	477	8.1e-44	155.3	3.8e-47	9.9e-44	155.0	17	291	15	292	2	304	0.83	1	1	0.5828092243186582	0.8957654723127035	Esterase_PHB
sp|Q75P26|AXE1_ASPOR	307	Esterase_PHB.aln	477	8.1e-44	155.3	3.8e-47	9.9e-44	155.0	17	291	15	292	2	304	0.83	1	1	0.5828092243186582	0.8957654723127035	Esterase_PHB
sp|Q96W96|AXE1_ASPFI	303	Esterase_PHB.aln	477	1.4e-43	154.5	6.2e-47	1.6e-43	154.3	7	294	7	293	1	301	0.87	1	1	0.6016771488469602	0.9504950495049505	Esterase_PHB
sp|B8M9H9|FAEB_TALSN	358	Esterase_PHB.aln	477	1.8e-43	154.1	1.5e-46	3.9e-43	153.0	33	345	19	316	3	353	0.84	1	1	0.6247379454926625	0.8743016759776536	Esterase_PHB
