hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
e542ce1613	545	AB_hydrolase.aln	334	1.1e-09	33.1	3.3e-11	1.3e-09	32.9	44	187	20	236	1	334	0.68	1	1	0.6497005988023952	0.26422018348623855	AB_hydrolase.hmm
03f3222488	548	AB_hydrolase.aln	334	1.4e-09	32.8	4.7e-11	1.9e-09	32.4	70	187	108	239	63	324	0.76	1	1	0.39520958083832336	0.21532846715328466	AB_hydrolase.hmm
f41c6d89a0	555	AB_hydrolase.aln	334	1.4e-09	32.8	4.8e-11	1.9e-09	32.4	70	187	108	239	65	329	0.75	1	1	0.39520958083832336	0.2126126126126126	AB_hydrolase.hmm
114e6d2abe	545	AB_hydrolase.aln	334	1.5e-09	32.7	4.4e-11	1.7e-09	32.5	44	187	48	236	1	338	0.67	1	1	0.5658682634730539	0.26422018348623855	AB_hydrolase.hmm
54b0f51654	548	AB_hydrolase.aln	334	2.1e-09	32.3	6.8e-11	2.7e-09	31.9	70	185	108	237	65	318	0.76	1	1	0.38922155688622756	0.2116788321167883	AB_hydrolase.hmm
9c28e36175	545	AB_hydrolase.aln	334	2.2e-09	32.2	7e-11	2.8e-09	31.9	47	187	64	236	6	327	0.69	1	1	0.5179640718562875	0.25871559633027524	AB_hydrolase.hmm
afb51f2a48	545	AB_hydrolase.aln	334	1.9e-08	29.1	5.5e-10	2.2e-08	28.9	46	185	63	234	1	321	0.66	1	1	0.5149700598802395	0.25688073394495414	AB_hydrolase.hmm
4fd7439f5f	545	AB_hydrolase.aln	334	3.1e-08	28.4	9.1e-10	3.6e-08	28.2	46	185	63	234	1	323	0.65	1	1	0.5149700598802395	0.25688073394495414	AB_hydrolase.hmm
59bb4d8994	545	AB_hydrolase.aln	334	3.5e-08	28.2	1e-09	4.1e-08	28.0	46	185	63	234	1	321	0.65	1	1	0.5149700598802395	0.25688073394495414	AB_hydrolase.hmm
59b2a8967d	383	TIM_barrel.aln	428	6.2e-35	115.3	1.3e-34	1.9e-33	110.4	40	387	20	357	14	365	0.79	1	1	0.7897196261682243	0.9086161879895561	TIM_barrel.hmm
4363ef0515	383	TIM_barrel.aln	428	2.2e-34	113.5	1.2e-33	1.7e-32	107.2	40	387	20	357	12	371	0.78	1	1	0.7897196261682243	0.9086161879895561	TIM_barrel.hmm
d067f42a88	410	TIM_barrel.aln	428	2.3e-34	113.4	4.3e-34	6.5e-33	108.7	40	387	47	384	41	391	0.78	1	1	0.7897196261682243	0.848780487804878	TIM_barrel.hmm
bbcdf9d411	383	TIM_barrel.aln	428	3.5e-34	112.8	1.7e-33	2.5e-32	106.7	40	386	20	356	7	363	0.75	1	1	0.7873831775700935	0.9060052219321149	TIM_barrel.hmm
2dfc35b340	383	TIM_barrel.aln	428	1e-33	111.3	5.7e-33	8.5e-32	105.0	40	387	20	357	14	366	0.78	1	1	0.7897196261682243	0.9086161879895561	TIM_barrel.hmm
e50684fc1d	361	TIM_barrel.aln	428	5.8e-33	108.8	6.4e-33	9.5e-32	104.8	106	387	52	335	1	350	0.79	1	1	0.6635514018691588	0.7811634349030471	TIM_barrel.hmm
a31a183afc	383	TIM_barrel.aln	428	6.7e-33	108.6	2.8e-32	4.2e-31	102.7	60	387	43	357	14	370	0.75	1	1	0.735981308411215	0.856396866840731	TIM_barrel.hmm
c6e7853f94	389	TIM_barrel.aln	428	1.5e-32	107.5	6.5e-32	9.6e-31	101.5	39	386	27	365	13	372	0.79	1	1	0.7920560747663551	0.8946015424164524	TIM_barrel.hmm
2fbb6704a4	390	TIM_barrel.aln	428	9.8e-32	104.8	9.1e-31	1.4e-29	97.7	115	393	84	371	21	377	0.81	1	1	0.6728971962616822	0.7153846153846154	TIM_barrel.hmm
66be5d4ef2	381	TIM_barrel.aln	428	1.6e-31	104.1	5.9e-31	8.8e-30	98.4	39	387	17	355	12	363	0.82	1	1	0.7920560747663551	0.916010498687664	TIM_barrel.hmm
bc53177eef	398	TIM_barrel.aln	428	1.3e-27	91.2	1.1e-26	1.6e-25	84.3	119	387	83	365	77	372	0.77	2	2	0.6612149532710281	0.6758793969849246	TIM_barrel.hmm
501458601d	402	TIM_barrel.aln	428	1.4e-27	91.1	1e-25	1.5e-24	81.1	119	388	83	366	76	398	0.76	2	2	0.6635514018691588	0.6716417910447762	TIM_barrel.hmm
