hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|Q79F77|NYLC_PAEUR	355	DmpA_ArgJ.aln	344	1.5e-162	545.6	7.7e-167	1.7e-162	545.5	1	329	1	355	1	355	0.97	1	1	1.0319767441860466	0.9267605633802817	DmpA_ArgJ
sp|Q1EPR5|NYLC_AGRS5	355	DmpA_ArgJ.aln	344	2.2e-161	541.8	1.1e-165	2.5e-161	541.6	1	329	1	355	1	355	0.97	1	1	1.0319767441860466	0.9267605633802817	DmpA_ArgJ
sp|Q1EPR4|NYLC_KOCS2	355	DmpA_ArgJ.aln	344	1.1e-160	539.5	5.6e-165	1.2e-160	539.3	1	329	1	355	1	355	0.98	1	1	1.0319767441860466	0.9267605633802817	DmpA_ArgJ
sp|Q14T92|NYLC2_AGRS5	306	DmpA_ArgJ.aln	344	1.3e-150	506.3	6.8e-155	1.5e-150	506.2	31	329	1	306	1	306	0.99	1	1	0.8895348837209303	0.9771241830065359	DmpA_ArgJ
sp|Q52VH2|BAPA_SPHXN	402	DmpA_ArgJ.aln	344	2e-90	308.4	1e-94	2.2e-90	308.3	6	344	23	385	1	385	0.95	1	1	1.055232558139535	0.8432835820895522	DmpA_ArgJ
sp|P53425|Y1167_MYCLE	362	DmpA_ArgJ.aln	344	3.3e-73	251.8	2e-77	4.4e-73	251.4	27	337	5	342	2	348	0.94	1	1	0.9825581395348837	0.8591160220994475	DmpA_ArgJ
sp|P64812|Y1368_MYCBO	344	DmpA_ArgJ.aln	344	8.1e-70	240.7	4.1e-74	9.1e-70	240.5	31	340	2	336	1	340	0.93	1	1	0.9738372093023255	0.9011627906976745	DmpA_ArgJ
sp|P9WM22|Y1333_MYCTO	344	DmpA_ArgJ.aln	344	8.1e-70	240.7	4.1e-74	9.1e-70	240.5	31	340	2	336	1	340	0.93	1	1	0.9738372093023255	0.9011627906976745	DmpA_ArgJ
sp|P9WM23|Y1333_MYCTU	344	DmpA_ArgJ.aln	344	8.1e-70	240.7	4.1e-74	9.1e-70	240.5	31	340	2	336	1	340	0.93	1	1	0.9738372093023255	0.9011627906976745	DmpA_ArgJ
sp|A0MTQ2|BAPA_SPHMI	396	DmpA_ArgJ.aln	344	2.1e-61	213.0	1.2e-65	2.7e-61	212.7	6	339	16	371	5	376	0.88	1	1	1.0348837209302326	0.8434343434343434	DmpA_ArgJ
sp|P0DJQ5|GNAT2_STRCL	393	DmpA_ArgJ.aln	344	9.8e-43	151.7	1.3e-25	2.8e-21	81.1	3	137	3	149	1	157	0.92	1	2	0.4273255813953488	0.3435114503816794	DmpA_ArgJ
sp|P0DJQ5|GNAT2_STRCL	393	DmpA_ArgJ.aln	344	9.8e-43	151.7	5.9e-24	1.3e-19	75.6	231	344	164	309	139	309	0.88	2	2	0.42441860465116277	0.2900763358778626	DmpA_ArgJ
sp|P0DJQ6|ARGJ3_STRCL	393	DmpA_ArgJ.aln	344	9.8e-43	151.7	1.3e-25	2.8e-21	81.1	3	137	3	149	1	157	0.92	1	2	0.4273255813953488	0.3435114503816794	DmpA_ArgJ
sp|P0DJQ6|ARGJ3_STRCL	393	DmpA_ArgJ.aln	344	9.8e-43	151.7	5.9e-24	1.3e-19	75.6	231	344	164	309	139	309	0.88	2	2	0.42441860465116277	0.2900763358778626	DmpA_ArgJ
