hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|D4AZ24|ENG1_ARTBC	909	6_Hairpin.aln	714	9.8e-247	825.4	2.6e-251	1.3e-246	825.1	1	710	188	901	188	904	0.96	1	1	1.0	0.7810781078107811	6_Hairpin
sp|Q09850|ENG2_SCHPO	706	6_Hairpin.aln	714	5.7e-174	584.9	1.4e-178	6.9e-174	584.6	26	713	21	704	11	705	0.95	1	1	0.957983193277311	0.9745042492917847	6_Hairpin
sp|P53753|ENG1_YEAST	1117	6_Hairpin.aln	714	3.6e-166	559.2	1.3e-170	6.3e-166	558.3	7	712	403	1113	395	1115	0.93	1	1	0.9957983193277311	0.6320501342882722	6_Hairpin
sp|Q5AIR7|ENG1_CANAL	1145	6_Hairpin.aln	714	1.2e-157	531.0	2.4e-162	1.2e-157	531.0	8	711	429	1141	423	1144	0.91	1	1	0.9985994397759104	0.6148471615720524	6_Hairpin
sp|Q12168|ENG2_YEAST	779	6_Hairpin.aln	714	1.2e-156	527.7	2.9e-161	1.4e-156	527.5	2	708	71	775	70	779	0.92	1	1	0.9873949579831933	0.9075738125802311	6_Hairpin
sp|Q9UT45|ENG1_SCHPO	1016	6_Hairpin.aln	714	3.5e-150	506.3	1e-154	5e-150	505.8	5	711	46	737	43	740	0.92	1	1	0.969187675070028	0.6958661417322834	6_Hairpin
sp|A0A023I7E1|ENG1_RHIMI	796	6_Hairpin.aln	714	3.1e-90	308.1	8.5e-95	4.1e-90	307.7	20	691	45	728	35	741	0.82	1	1	0.957983193277311	0.8442211055276382	6_Hairpin
sp|P93159|ENG1_SOYBN	668	6_Hairpin.aln	714	8.1e-41	144.8	9.5e-43	4.5e-38	135.7	150	679	125	637	107	659	0.79	2	2	0.7184873949579832	0.7934131736526946	6_Hairpin
sp|Q47N06|ENG1_THEFY	758	6_Hairpin.aln	714	1.1e-25	94.7	3.4e-30	1.6e-25	94.2	384	686	380	676	362	699	0.83	1	1	0.41596638655462187	0.3997361477572559	6_Hairpin
sp|A3DD66|ENG1_ACET2	773	6_Hairpin.aln	714	2e-23	87.3	6.6e-28	3.2e-23	86.6	386	685	327	621	311	635	0.81	1	1	0.41316526610644255	0.38809831824062097	6_Hairpin
sp|Q9KG76|ENG1_HALH5	1020	6_Hairpin.aln	714	6.7e-18	69.0	2.5e-22	1.2e-17	68.2	382	621	383	620	373	678	0.81	1	1	0.3333333333333333	0.23529411764705882	6_Hairpin
sp|G8GER6|PETH1_THEFU	319	AB_hydrolase.aln	334	1.1e-95	326.5	3.7e-98	1.3e-95	326.2	11	276	28	318	13	319	0.89	1	1	0.8712574850299402	0.8338557993730408	AB_hydrolase
sp|Q47RJ7|PETH1_THEFY	319	AB_hydrolase.aln	334	1.1e-95	326.5	3.7e-98	1.3e-95	326.2	11	276	28	318	13	319	0.89	1	1	0.8712574850299402	0.8338557993730408	AB_hydrolase
sp|D4Q9N1|PETH1_THEAE	296	AB_hydrolase.aln	334	2.4e-95	325.3	7.8e-98	2.7e-95	325.2	14	276	12	295	1	296	0.9	1	1	0.8502994011976048	0.8885135135135135	AB_hydrolase
sp|Q47RJ6|PETH2_THEFY	301	AB_hydrolase.aln	334	7.2e-95	323.7	2.3e-97	7.9e-95	323.6	10	276	9	300	1	301	0.89	1	1	0.874251497005988	0.8870431893687708	AB_hydrolase
sp|Q6A0I4|PETH2_THEFU	301	AB_hydrolase.aln	334	7.2e-95	323.7	2.3e-97	7.9e-95	323.6	10	276	9	300	1	301	0.89	1	1	0.874251497005988	0.8870431893687708	AB_hydrolase
sp|F7IX06|PETH2_THEAE	300	AB_hydrolase.aln	334	2.1e-93	318.9	6.8e-96	2.3e-93	318.8	12	276	10	299	1	300	0.89	1	1	0.8682634730538922	0.8833333333333333	AB_hydrolase
sp|E9LVH9|PETH2_THECS	262	AB_hydrolase.aln	334	5.2e-92	314.3	1.7e-94	5.7e-92	314.2	45	276	7	261	1	262	0.95	1	1	0.7634730538922155	0.8854961832061069	AB_hydrolase
sp|E9LVH8|PETH1_THECS	262	AB_hydrolase.aln	334	5e-91	311.1	1.6e-93	5.6e-91	311.0	45	276	7	261	1	262	0.95	1	1	0.7634730538922155	0.8854961832061069	AB_hydrolase
sp|Q9L2J6|BHETH_STRCO	310	AB_hydrolase.aln	334	5.9e-89	304.3	2.1e-91	7.1e-89	304.0	25	277	26	308	13	310	0.9	1	1	0.8473053892215568	0.8161290322580645	AB_hydrolase
sp|P0DX29|PETH1_AMYMS	309	AB_hydrolase.aln	334	5.1e-86	294.7	1.8e-88	6.1e-86	294.4	26	277	29	307	14	309	0.93	1	1	0.8353293413173652	0.8155339805825242	AB_hydrolase
sp|A0A0K8P6T7|PETH_PISS1	290	AB_hydrolase.aln	334	9.6e-86	293.7	3.1e-88	1e-85	293.6	17	275	8	289	1	290	0.89	1	1	0.844311377245509	0.8931034482758621	AB_hydrolase
sp|G9BY57|PETH_UNKP	293	AB_hydrolase.aln	334	4.7e-84	288.2	1.5e-86	5.1e-84	288.1	15	274	6	290	1	293	0.89	1	1	0.8532934131736527	0.8873720136518771	AB_hydrolase
sp|P19833|LIP1_MORS1	319	AB_hydrolase.aln	334	2.2e-66	230.1	7.2e-69	2.5e-66	229.9	11	275	2	318	1	319	0.87	1	1	0.9491017964071856	0.8307210031347962	AB_hydrolase
sp|P52090|PHA1_PAULE	414	AB_hydrolase.aln	334	1e-30	112.8	3.5e-33	1.2e-30	112.6	13	299	14	413	1	414	0.69	1	1	1.1976047904191616	0.6932367149758454	AB_hydrolase
sp|P12625|PHB_RALPI	488	AB_hydrolase.aln	334	1.1e-23	89.7	4.3e-26	1.5e-23	89.3	17	294	4	450	1	481	0.65	1	1	1.3383233532934131	0.569672131147541	AB_hydrolase
sp|P9WLC6|Y2307_MYCTO	281	AB_hydrolase.aln	334	1.4e-21	82.8	5e-24	1.7e-21	82.5	28	252	11	273	1	279	0.71	1	1	0.7874251497005988	0.800711743772242	AB_hydrolase
sp|P9WLC7|Y2307_MYCTU	281	AB_hydrolase.aln	334	1.7e-21	82.6	5.7e-24	1.9e-21	82.4	28	252	11	273	1	279	0.71	1	1	0.7874251497005988	0.800711743772242	AB_hydrolase
sp|Q51718|PHAZ_PSEFL	278	AB_hydrolase.aln	334	6.2e-21	80.7	2.1e-23	7.1e-21	80.5	24	249	6	275	1	277	0.72	1	1	0.8083832335329342	0.8129496402877698	AB_hydrolase
sp|P82597|MGLP_BAC25	250	AB_hydrolase.aln	334	7.1e-20	77.2	2.5e-22	8.4e-20	77.0	76	244	13	230	2	249	0.78	1	1	0.6526946107784432	0.676	AB_hydrolase
sp|Q5B037|AXE1_EMENI	304	AB_hydrolase.aln	334	1.3e-18	73.0	4.2e-21	1.4e-18	72.9	29	223	8	241	1	302	0.69	1	1	0.7005988023952096	0.6414473684210527	AB_hydrolase
sp|P37967|PNBA_BACSU	489	AB_hydrolase.aln	334	1.8e-18	72.6	8.3e-21	2.8e-18	72.0	44	217	35	258	2	464	0.63	1	1	0.6706586826347305	0.3558282208588957	AB_hydrolase
sp|P0A573|Y2734_MYCBO	341	AB_hydrolase.aln	334	1.8e-18	72.6	6.9e-21	2.4e-18	72.2	82	261	35	314	9	339	0.67	1	1	0.8383233532934131	0.5278592375366569	AB_hydrolase
sp|P9WNH2|Y2715_MYCTO	341	AB_hydrolase.aln	334	1.8e-18	72.6	6.9e-21	2.4e-18	72.2	82	261	35	314	9	339	0.67	1	1	0.8383233532934131	0.5278592375366569	AB_hydrolase
sp|P9WNH3|Y2715_MYCTU	341	AB_hydrolase.aln	334	1.8e-18	72.6	6.9e-21	2.4e-18	72.2	82	261	35	314	9	339	0.67	1	1	0.8383233532934131	0.5278592375366569	AB_hydrolase
sp|Q99390|YPT2_ECOLX	286	AB_hydrolase.aln	334	2.2e-18	72.3	7.8e-21	2.7e-18	72.0	72	252	15	275	6	286	0.79	1	1	0.781437125748503	0.6328671328671329	AB_hydrolase
sp|G2JHL6|AIDA_ACIBM	304	AB_hydrolase.aln	334	2.7e-18	72.0	1.4e-20	4.7e-18	71.2	70	250	25	299	5	302	0.72	1	1	0.8233532934131736	0.5953947368421053	AB_hydrolase
sp|D2D3B6|FUMD_SPHMC	540	AB_hydrolase.aln	334	2.9e-18	71.9	1e-20	3.4e-18	71.7	44	209	50	362	15	488	0.73	1	1	0.937125748502994	0.3074074074074074	AB_hydrolase
sp|B8NBI2|AXE1_ASPFN	307	AB_hydrolase.aln	334	3.2e-18	71.8	1.2e-20	4e-18	71.5	25	214	8	240	1	304	0.7	1	1	0.6976047904191617	0.6188925081433225	AB_hydrolase
sp|Q6F3I7|DAP4_PSEMX	745	AB_hydrolase.aln	334	7.5e-18	70.6	2.2e-20	7.5e-18	70.6	33	245	467	722	413	743	0.68	1	1	0.7664670658682635	0.2859060402684564	AB_hydrolase
sp|P96402|LIPC_MYCTU	403	AB_hydrolase.aln	334	1.4e-17	69.7	5e-20	1.7e-17	69.4	81	246	144	382	49	400	0.71	1	1	0.7155688622754491	0.4119106699751861	AB_hydrolase
sp|A1CSZ8|AXE1_ASPCL	308	AB_hydrolase.aln	334	2.6e-17	68.8	8.3e-20	2.8e-17	68.7	32	249	8	305	1	308	0.66	1	1	0.8922155688622755	0.7077922077922078	AB_hydrolase
sp|P29368|YPT1_ECOLX	286	AB_hydrolase.aln	334	2.6e-17	68.8	9.4e-20	3.2e-17	68.5	72	252	15	275	6	286	0.79	1	1	0.781437125748503	0.6328671328671329	AB_hydrolase
sp|A9JPE6|AXE1_ASPFL	307	AB_hydrolase.aln	334	2.9e-17	68.6	1.1e-19	3.7e-17	68.3	25	214	8	240	1	304	0.69	1	1	0.6976047904191617	0.6188925081433225	AB_hydrolase
sp|Q75P26|AXE1_ASPOR	307	AB_hydrolase.aln	334	2.9e-17	68.6	1.1e-19	3.7e-17	68.3	25	214	8	240	1	304	0.69	1	1	0.6976047904191617	0.6188925081433225	AB_hydrolase
sp|P39839|YUXL_BACSU	657	AB_hydrolase.aln	334	4.1e-17	68.1	2.1e-19	7.1e-17	67.4	73	249	418	654	379	657	0.73	1	1	0.7095808383233533	0.2694063926940639	AB_hydrolase
sp|P70683|PAFA_CAVPO	436	AB_hydrolase.aln	334	4.2e-17	68.1	1.2e-18	3.9e-16	64.9	71	246	132	388	46	432	0.72	1	1	0.7694610778443114	0.4036697247706422	AB_hydrolase
sp|Q588Z2|OPH_SPHS1	364	AB_hydrolase.aln	334	5.8e-17	67.6	1.8e-19	6.2e-17	67.5	16	246	7	325	1	364	0.69	1	1	0.9550898203592815	0.6346153846153846	AB_hydrolase
sp|Q8XA81|YHFR_ECO57	284	AB_hydrolase.aln	334	1e-16	66.8	3.5e-19	1.2e-16	66.6	33	252	20	273	1	283	0.66	1	1	0.7604790419161677	0.7746478873239436	AB_hydrolase
