hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|A0A0K8P6T7|PETH_PISS1	290	ECOVIO-FT.aln	316	8.5e-88	299.5	1.4e-91	9.8e-88	299.3	48	312	30	286	10	290	0.92	1	1	0.8132911392405063	0.9137931034482759	ECOVIO-FT
sp|Q9L2J6|BHETH_STRCO	310	ECOVIO-FT.aln	316	3e-83	284.6	5.4e-87	3.7e-83	284.3	36	316	39	308	19	308	0.92	1	1	0.8544303797468354	0.9064516129032258	ECOVIO-FT
sp|D4Q9N1|PETH1_THEAE	296	ECOVIO-FT.aln	316	3.3e-81	277.9	5.7e-85	3.9e-81	277.6	42	316	31	296	7	296	0.9	1	1	0.8417721518987342	0.9290540540540541	ECOVIO-FT
sp|F7IX06|PETH2_THEAE	300	ECOVIO-FT.aln	316	4.9e-78	267.5	8.3e-82	5.7e-78	267.3	45	316	38	300	10	300	0.92	1	1	0.8322784810126582	0.9066666666666666	ECOVIO-FT
sp|Q47RJ6|PETH2_THEFY	301	ECOVIO-FT.aln	316	9.5e-78	266.5	1.6e-81	1.1e-77	266.3	45	316	39	301	10	301	0.92	1	1	0.8322784810126582	0.9036544850498339	ECOVIO-FT
sp|Q6A0I4|PETH2_THEFU	301	ECOVIO-FT.aln	316	9.5e-78	266.5	1.6e-81	1.1e-77	266.3	45	316	39	301	10	301	0.92	1	1	0.8322784810126582	0.9036544850498339	ECOVIO-FT
sp|E9LVH8|PETH1_THECS	262	ECOVIO-FT.aln	316	1.6e-77	265.8	2.7e-81	1.9e-77	265.6	50	316	5	262	2	262	0.94	1	1	0.8164556962025317	1.0190839694656488	ECOVIO-FT
sp|G8GER6|PETH1_THEFU	319	ECOVIO-FT.aln	316	3.3e-76	261.5	5.7e-80	3.9e-76	261.2	45	316	57	319	25	319	0.91	1	1	0.8322784810126582	0.8526645768025078	ECOVIO-FT
sp|Q47RJ7|PETH1_THEFY	319	ECOVIO-FT.aln	316	3.3e-76	261.5	5.7e-80	3.9e-76	261.2	45	316	57	319	25	319	0.91	1	1	0.8322784810126582	0.8526645768025078	ECOVIO-FT
sp|E9LVH9|PETH2_THECS	262	ECOVIO-FT.aln	316	5.2e-76	260.8	9.1e-80	6.2e-76	260.5	50	316	5	262	2	262	0.94	1	1	0.8164556962025317	1.0190839694656488	ECOVIO-FT
sp|P0DX29|PETH1_AMYMS	309	ECOVIO-FT.aln	316	1.6e-73	252.7	2.7e-77	1.9e-73	252.4	47	316	49	307	27	307	0.92	1	1	0.819620253164557	0.8737864077669902	ECOVIO-FT
sp|G9BY57|PETH_UNKP	293	ECOVIO-FT.aln	316	6e-72	247.5	1.2e-75	8.3e-72	247.0	49	301	38	279	29	290	0.93	1	1	0.7658227848101266	0.863481228668942	ECOVIO-FT
sp|P19833|LIP1_MORS1	319	ECOVIO-FT.aln	316	6.5e-71	244.1	1.4e-74	9.6e-71	243.5	56	311	67	314	1	319	0.8	1	1	0.7848101265822784	0.8025078369905956	ECOVIO-FT
