hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|O05527|PHB_DELAC	494	fn3.aln	498	1.1e-179	603.4	2.7e-183	1.3e-179	603.2	8	498	10	494	1	494	0.92	1	1	0.9738955823293173	0.9939271255060729	fn3
sp|B2NHN2|PHAZ_TALFU	339	fn3.aln	498	2.6e-114	387.8	6.4e-118	3e-114	387.6	13	343	11	336	2	339	0.94	1	1	0.6546184738955824	0.976401179941003	fn3
sp|P12625|PHB_RALPI	488	fn3.aln	498	1.9e-53	187.0	0.011	51.0	7.4	223	290	40	113	24	150	0.7	1	3	0.14859437751004015	0.13934426229508196	fn3
sp|P12625|PHB_RALPI	488	fn3.aln	498	1.9e-53	187.0	2.2e-06	0.01	19.7	28	133	150	246	132	310	0.73	2	3	0.19477911646586346	0.21721311475409835	fn3
sp|P12625|PHB_RALPI	488	fn3.aln	498	1.9e-53	187.0	2.9e-52	1.4e-48	171.0	339	498	333	488	325	488	0.95	3	3	0.3132530120481928	0.32786885245901637	fn3
sp|P50899|GUXB_CELFA	1090	fn3.aln	498	4.7e-34	123.0	3.1e-15	1.4e-11	48.9	348	439	702	793	675	801	0.81	1	3	0.18473895582329317	0.08440366972477065	fn3
sp|P50899|GUXB_CELFA	1090	fn3.aln	498	4.7e-34	123.0	6.8e-12	3.2e-08	37.8	349	441	799	892	792	897	0.8	2	3	0.18875502008032127	0.0853211009174312	fn3
sp|P50899|GUXB_CELFA	1090	fn3.aln	498	4.7e-34	123.0	1.6e-14	7.6e-11	46.5	351	450	896	997	888	1021	0.84	3	3	0.20481927710843373	0.09174311926605505	fn3
sp|P50401|GUXA_CELFA	872	fn3.aln	498	4.2e-27	100.1	1e-14	4.6e-11	47.2	350	441	482	574	457	578	0.82	1	3	0.18674698795180722	0.10550458715596331	fn3
sp|P50401|GUXA_CELFA	872	fn3.aln	498	4.2e-27	100.1	3e-11	1.4e-07	35.7	351	438	578	669	571	676	0.83	2	3	0.18473895582329317	0.10091743119266056	fn3
sp|P50401|GUXA_CELFA	872	fn3.aln	498	4.2e-27	100.1	4.5e-11	2.1e-07	35.1	351	444	676	771	668	799	0.81	3	3	0.1927710843373494	0.10779816513761468	fn3
sp|Q8WZ42|TITIN_HUMAN	34350	fn3.aln	498	2.8e-20	77.6	4.2	20000.0	-1.1	353	421	14813	14892	14713	14901	0.75	1	39	0.1606425702811245	0.0020087336244541485	fn3
sp|Q8WZ42|TITIN_HUMAN	34350	fn3.aln	498	2.8e-20	77.6	2.7	13000.0	-0.4	380	423	15051	15094	15013	15126	0.83	2	39	0.08835341365461848	0.0012809315866084425	fn3
