hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|I6WZK7|MMCO_MYCTU	504	CU_oxidase.aln	483	2.2e-143	483.1	2.4e-146	5.8e-143	481.8	12	483	42	503	22	503	0.92	1	1	0.9565217391304348	0.9365079365079365	CU_oxidase
sp|P59571|COPA_PSESM	589	CU_oxidase.aln	483	2.6e-136	459.8	2.4e-139	6e-136	458.7	32	482	43	587	38	588	0.94	1	1	1.1283643892339545	0.765704584040747	CU_oxidase
sp|P12374|COPA_PSEUB	609	CU_oxidase.aln	483	1.5e-135	457.3	2.6e-96	6.3e-93	316.8	29	334	40	350	32	367	0.94	1	2	0.6438923395445134	0.5024630541871922	CU_oxidase
sp|P12374|COPA_PSEUB	609	CU_oxidase.aln	483	1.5e-135	457.3	3.6e-45	8.7e-42	148.1	346	482	468	607	445	608	0.92	2	2	0.2898550724637681	0.22495894909688013	CU_oxidase
sp|Q47452|PCOA_ECOLX	605	CU_oxidase.aln	483	4.9e-135	455.6	9.9e-137	2.4e-133	450.1	30	482	41	603	18	604	0.94	1	1	1.165631469979296	0.7487603305785124	CU_oxidase
sp|Q96WM9|LAC2_BOTFU	581	CU_oxidase.aln	483	6.5e-52	181.5	1.8e-31	4.3e-28	102.9	33	168	68	207	36	225	0.83	1	3	0.2898550724637681	0.23407917383820998	CU_oxidase
sp|Q96WM9|LAC2_BOTFU	581	CU_oxidase.aln	483	6.5e-52	181.5	1.1e-15	2.8e-12	50.8	244	309	253	318	226	330	0.92	2	3	0.13664596273291926	0.11359724612736662	CU_oxidase
sp|Q96WM9|LAC2_BOTFU	581	CU_oxidase.aln	483	6.5e-52	181.5	4.2e-08	0.0001	25.9	420	478	463	539	459	544	0.8	3	3	0.15942028985507245	0.10154905335628227	CU_oxidase
sp|J9VQZ4|LAC2_CRYNH	594	CU_oxidase.aln	483	2.5e-50	176.3	1.3e-30	3.2e-27	100.1	27	172	55	208	35	218	0.88	1	3	0.3188405797101449	0.24579124579124578	CU_oxidase
sp|J9VQZ4|LAC2_CRYNH	594	CU_oxidase.aln	483	2.5e-50	176.3	4.8e-14	1.2e-10	45.5	253	398	265	431	255	438	0.77	2	3	0.34575569358178054	0.24579124579124578	CU_oxidase
sp|J9VQZ4|LAC2_CRYNH	594	CU_oxidase.aln	483	2.5e-50	176.3	6.2e-09	1.5e-05	28.6	417	481	476	559	460	561	0.82	3	3	0.17391304347826086	0.10942760942760943	CU_oxidase
sp|J5JH35|OPS5_BEAB2	590	CU_oxidase.aln	483	1.8e-49	173.4	3.7e-28	9.2e-25	92.0	38	167	78	211	16	216	0.82	1	3	0.2774327122153209	0.22033898305084745	CU_oxidase
sp|J5JH35|OPS5_BEAB2	590	CU_oxidase.aln	483	1.8e-49	173.4	3e-15	7.3e-12	49.4	250	308	265	323	256	336	0.93	2	3	0.12215320910973085	0.1	CU_oxidase
sp|J5JH35|OPS5_BEAB2	590	CU_oxidase.aln	483	1.8e-49	173.4	3.7e-09	9.1e-06	29.3	419	476	473	545	455	552	0.79	3	3	0.15113871635610765	0.09830508474576272	CU_oxidase
sp|Q02079|LAC3_THACU	572	CU_oxidase.aln	483	1.9e-48	170.1	1e-22	2.6e-19	74.0	44	172	33	174	14	200	0.8	1	3	0.2939958592132505	0.22552447552447552	CU_oxidase
sp|Q02079|LAC3_THACU	572	CU_oxidase.aln	483	1.9e-48	170.1	2.1e-17	5.2e-14	56.5	245	397	212	420	201	429	0.77	2	3	0.432712215320911	0.2674825174825175	CU_oxidase
sp|Q02079|LAC3_THACU	572	CU_oxidase.aln	483	1.9e-48	170.1	7.8e-12	1.9e-08	38.2	420	480	469	537	441	540	0.82	3	3	0.14285714285714285	0.10664335664335664	CU_oxidase
sp|Q02075|LAC2_THACU	599	CU_oxidase.aln	483	5.1e-48	168.7	6.5e-24	1.6e-20	78.0	43	181	32	186	19	210	0.78	1	3	0.32091097308488614	0.23205342237061768	CU_oxidase
sp|Q02075|LAC2_THACU	599	CU_oxidase.aln	483	5.1e-48	168.7	1.8e-14	4.4e-11	46.9	226	309	196	279	184	295	0.86	2	3	0.17391304347826086	0.14023372287145242	CU_oxidase
