hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|Q3L8N0|LCP_STRK3	407	Globin.aln	398	2.3e-206	690.2	3.6e-211	2.5e-206	690.1	1	397	1	406	1	407	1.0	1	1	1.020100502512563	0.9754299754299754	Globin
sp|B7KIU7|PYRD_GLOC7	377	Globin.aln	398	0.23	15.3	4.4e-06	0.32	14.8	209	340	134	270	123	298	0.78	1	1	0.3442211055276382	0.35013262599469497	Globin
sp|C4LJL7|ATPD_CORK4	271	Globin.aln	398	1.6	12.4	0.00029	21.0	8.8	291	360	33	105	10	115	0.79	1	2	0.18341708542713567	0.25830258302583026	Globin
sp|C4LJL7|ATPD_CORK4	271	Globin.aln	398	1.6	12.4	0.042	3000.0	1.7	89	136	129	172	107	206	0.74	2	2	0.11055276381909548	0.17712177121771217	Globin
sp|Q5ZS10|IHFA_LEGPH	99	Globin.aln	398	2.9	11.6	6.5e-05	4.6	10.9	313	346	2	34	1	49	0.89	1	2	0.0829145728643216	0.3434343434343434	Globin
sp|Q5ZS10|IHFA_LEGPH	99	Globin.aln	398	2.9	11.6	1.6	110000.0	-3.5	137	159	74	96	68	98	0.65	2	2	0.05778894472361809	0.23232323232323232	Globin
sp|B4F063|RNFH_PROMH	97	Globin.aln	398	4.5	11.0	6.7e-05	4.8	10.9	285	336	25	77	4	83	0.82	1	1	0.13316582914572864	0.5360824742268041	Globin
sp|A6UFF8|FPG_SINMW	306	Globin.aln	398	5.9	10.6	0.00011	8.2	10.1	146	183	245	282	229	296	0.83	1	1	0.09547738693467336	0.12418300653594772	Globin
sp|Q6G4T2|FPG_BARHE	291	Globin.aln	398	7.2	10.3	0.00015	11.0	9.7	115	182	198	268	193	272	0.92	1	1	0.17839195979899497	0.23367697594501718	Globin
sp|Q59752|FPG_RHIME	301	Globin.aln	398	7.9	10.2	0.00015	11.0	9.7	142	180	233	274	224	289	0.86	1	1	0.10552763819095477	0.12956810631229235	Globin
