hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|P41365|LIPB_PSEA2	342	PGAP1.aln	283	1.9e-110	373.6	9.4e-114	2.1e-110	373.4	1	278	1	301	1	341	0.97	1	1	1.0636042402826855	0.8128654970760234	PGAP1
sp|P25275|LIP_PSES5	364	PGAP1.aln	283	1.8e-06	32.4	5e-09	1.1e-05	29.8	79	164	84	167	52	225	0.79	1	1	0.2968197879858657	0.23626373626373626	PGAP1
sp|P22088|LIP_BURCE	364	PGAP1.aln	283	3.3e-06	31.6	7.7e-09	1.7e-05	29.2	80	170	85	174	54	227	0.74	1	1	0.31802120141342755	0.25	PGAP1
sp|P0DUB9|LIP_PSEPS	319	PGAP1.aln	283	7e-06	30.5	1.2e-08	2.6e-05	28.6	100	167	60	127	41	184	0.7	1	1	0.24028268551236748	0.21316614420062696	PGAP1
sp|P0DUB8|LIP_BURPL	358	PGAP1.aln	283	1.3e-05	29.6	1.4e-08	3.1e-05	28.4	99	164	98	162	77	223	0.7	1	1	0.22968197879858657	0.18435754189944134	PGAP1
sp|Q6BRG1|BST1_DEBHA	1032	PGAP1.aln	283	1.7e-05	29.2	1.3e-08	3e-05	28.4	97	170	160	240	145	275	0.81	1	1	0.2862190812720848	0.07170542635658915	PGAP1
sp|P08658|LIP_PSEFR	293	PGAP1.aln	283	4.7e-05	27.8	3.8e-08	8.4e-05	26.9	93	193	51	177	41	187	0.89	1	1	0.44876325088339225	0.3447098976109215	PGAP1
sp|Q93V61|LCAT3_ARATH	447	PGAP1.aln	283	0.00012	26.5	1.1e-07	0.00024	25.5	107	159	157	212	152	226	0.89	1	1	0.1978798586572438	0.1185682326621924	PGAP1
sp|O14249|CLD1_SCHPO	428	PGAP1.aln	283	0.00014	26.2	8.6e-08	0.00019	25.8	95	185	148	247	84	260	0.8	1	1	0.35335689045936397	0.21261682242990654	PGAP1
sp|Q6CF60|BST1C_YARLI	833	PGAP1.aln	283	0.00073	23.9	8e-07	0.0018	22.6	98	158	96	163	81	184	0.8	1	1	0.24028268551236748	0.07322929171668667	PGAP1
sp|Q59VP0|BST1_CANAL	390	PGAP1.aln	283	0.00096	23.5	5.8e-07	0.0013	23.1	98	156	170	232	154	284	0.82	1	1	0.2226148409893993	0.15128205128205127	PGAP1
sp|P43571|BST1_YEAST	1029	PGAP1.aln	283	0.0011	23.3	8.2e-07	0.0018	22.5	94	170	195	281	163	401	0.71	1	1	0.30742049469964666	0.07482993197278912	PGAP1
sp|Q71N54|LCAT4_ARATH	535	PGAP1.aln	283	0.0014	22.9	1.1e-06	0.0024	22.2	98	159	153	217	115	240	0.86	1	1	0.22968197879858657	0.11588785046728972	PGAP1
sp|Q8RFC2|HUTH1_FUSNN	516	PGAP1.aln	283	0.002	22.4	0.016	35.0	8.5	150	186	328	365	312	374	0.79	1	2	0.13427561837455831	0.07170542635658915	PGAP1
sp|Q8RFC2|HUTH1_FUSNN	516	PGAP1.aln	283	0.002	22.4	0.0018	4.0	11.6	113	153	377	417	372	433	0.85	2	2	0.14487632508833923	0.07945736434108527	PGAP1
sp|Q6C2Z2|BST1A_YARLI	1076	PGAP1.aln	283	0.0023	22.2	1.7e-06	0.0039	21.5	94	161	202	276	189	311	0.79	1	1	0.26501766784452296	0.06319702602230483	PGAP1
sp|P47139|YJ68_YEAST	656	PGAP1.aln	283	0.0093	20.2	9.3e-06	0.021	19.1	102	157	337	392	331	404	0.84	1	1	0.1978798586572438	0.08536585365853659	PGAP1
sp|B3E278|METXA_TRIL1	367	PGAP1.aln	283	0.0098	20.2	6e-06	0.013	19.7	105	169	127	191	122	296	0.85	1	1	0.22968197879858657	0.1771117166212534	PGAP1
sp|Q79F14|ESTB_BACSU	210	PGAP1.aln	283	0.013	19.7	8e-06	0.018	19.3	43	154	25	134	11	200	0.8	1	1	0.38869257950530034	0.5333333333333333	PGAP1
sp|A6TSX0|HUTH_ALKMQ	507	PGAP1.aln	283	0.014	19.7	0.01	22.0	9.1	151	192	324	366	315	369	0.84	1	2	0.1519434628975265	0.08284023668639054	PGAP1
sp|A6TSX0|HUTH_ALKMQ	507	PGAP1.aln	283	0.014	19.7	0.02	44.0	8.2	112	149	370	407	367	425	0.88	2	2	0.13427561837455831	0.07495069033530571	PGAP1
sp|Q6BZU7|BST1B_YARLI	955	PGAP1.aln	283	0.014	19.6	1.3e-05	0.029	18.6	98	156	142	211	130	242	0.76	1	1	0.24734982332155478	0.061780104712041886	PGAP1
sp|P54857|TGL2_YEAST	326	PGAP1.aln	283	0.015	19.5	1e-05	0.023	19.0	106	162	126	181	95	217	0.81	1	1	0.1978798586572438	0.17484662576687116	PGAP1
