hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|P55496|Y4IM_SINFN	432	Cytochrome-c.aln	680	2.2e-11	47.8	0.00043	49.0	7.0	308	401	152	234	148	249	0.77	1	2	0.12205882352941176	0.2175925925925926	Cytochrome-c
sp|P55496|Y4IM_SINFN	432	Cytochrome-c.aln	680	2.2e-11	47.8	1.1e-13	1.3e-08	38.6	457	549	251	355	241	392	0.72	2	2	0.15441176470588236	0.2152777777777778	Cytochrome-c
sp|P55493|Y4IJ_SINFN	596	Cytochrome-c.aln	680	1.3e-09	41.9	0.013	1400.0	2.1	217	248	137	171	125	181	0.69	1	4	0.051470588235294115	0.053691275167785234	Cytochrome-c
sp|P55493|Y4IJ_SINFN	596	Cytochrome-c.aln	680	1.3e-09	41.9	0.06	6900.0	-0.1	365	401	337	377	318	380	0.79	2	4	0.060294117647058824	0.06208053691275168	Cytochrome-c
sp|P55493|Y4IJ_SINFN	596	Cytochrome-c.aln	680	1.3e-09	41.9	3.6e-12	4.1e-07	33.7	497	546	473	530	412	556	0.67	3	4	0.08529411764705883	0.08389261744966443	Cytochrome-c
sp|P55493|Y4IJ_SINFN	596	Cytochrome-c.aln	680	1.3e-09	41.9	0.047	5400.0	0.2	653	680	560	596	543	596	0.75	4	4	0.054411764705882354	0.04697986577181208	Cytochrome-c
sp|P0DV69|IDRP2_DENI1	367	Cytochrome-c.aln	680	0.21	14.8	0.0011	120.0	5.7	213	232	58	77	47	129	0.88	1	3	0.029411764705882353	0.05449591280653951	Cytochrome-c
sp|P0DV69|IDRP2_DENI1	367	Cytochrome-c.aln	680	0.21	14.8	0.039	4400.0	0.5	524	553	228	257	199	284	0.78	2	3	0.04411764705882353	0.08174386920980926	Cytochrome-c
sp|P0DV69|IDRP2_DENI1	367	Cytochrome-c.aln	680	0.21	14.8	0.0019	220.0	4.8	510	536	284	310	257	316	0.76	3	3	0.039705882352941174	0.07356948228882834	Cytochrome-c
sp|P37197|CCP_ECOLI	465	Cytochrome-c.aln	680	1.0	12.6	0.21	25000.0	-1.9	308	329	232	253	223	259	0.84	1	2	0.03235294117647059	0.047311827956989246	Cytochrome-c
sp|P37197|CCP_ECOLI	465	Cytochrome-c.aln	680	1.0	12.6	3.3e-05	3.7	10.7	488	542	378	431	372	447	0.83	2	2	0.07941176470588235	0.11827956989247312	Cytochrome-c
sp|A0A391NKV7|IDRP2_PSEXS	368	Cytochrome-c.aln	680	7.8	9.6	0.0099	1100.0	2.5	213	232	59	78	45	93	0.82	1	3	0.029411764705882353	0.05434782608695652	Cytochrome-c
sp|A0A391NKV7|IDRP2_PSEXS	368	Cytochrome-c.aln	680	7.8	9.6	0.11	13000.0	-1.0	312	350	99	140	85	227	0.64	2	3	0.061764705882352944	0.10597826086956522	Cytochrome-c
sp|A0A391NKV7|IDRP2_PSEXS	368	Cytochrome-c.aln	680	7.8	9.6	0.00083	95.0	6.0	486	537	262	312	243	317	0.77	3	3	0.075	0.14130434782608695	Cytochrome-c
