query	hmm	tlen	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
3HBOH.aln	sp|Q0K9H3|HBOH_CUPNH	718	718	0.0	1492.2	0.0	0.0	1492.0	1	718	1	718	1	718	1.0	1	1	1.0	1.0	3HBOH
Abhydrolase_1.aln	sp|P26495|PHAZ_ECTOL	283	275	1.7e-91	311.4	5.2e-94	1.9e-91	311.2	1	275	1	273	1	273	0.95	1	1	0.9927272727272727	0.9717314487632509	Abhydrolase_1
Abhydrolase_3.aln	sp|P9WK86|NLHH_MYCTO	319	333	1.6e-75	259.3	1.2e-78	1.7e-75	259.1	51	328	33	314	5	319	0.9	1	1	0.8468468468468469	0.8714733542319749	Abhydrolase_3
Abhydrolase_6.aln	sp|Q4W8C9|3HBOH_CUPNH	293	293	1.2e-164	551.6	1.6e-168	1.4e-164	551.4	1	293	1	293	1	293	1.0	1	1	1.0	1.0	Abhydrolase_6
Amidase.aln	sp|P13398|NYLA_PAEUR	493	481	7.5e-195	653.2	1.1e-197	8.5e-195	653.0	1	481	1	485	1	485	0.99	1	1	1.0083160083160083	0.9756592292089249	Amidase
BD-FAE.aln	sp|Q8K4H1|KFA_MOUSE	305	293	3.6e-28	103.5	3.9e-31	5e-28	103.1	37	277	60	296	45	303	0.79	1	1	0.8088737201365188	0.7901639344262295	BD-FAE
Beta-lactamase.aln	sp|P07062|NYLB2_PAEUR	392	429	2.4e-150	506.5	1.2e-153	5e-150	505.5	1	421	1	391	1	392	0.96	1	1	0.9114219114219114	1.0739795918367347	Beta-lactamase
CBM_1.aln	sp|B2NHN2|PHAZ_TALFU	339	454	1.9e-169	569.5	4.2e-173	2.2e-169	569.3	55	382	11	337	3	339	0.98	1	1	0.7202643171806168	0.967551622418879	CBM_1
COesterase.aln	sp|P37967|PNBA_BACSU	489	500	5.3e-200	670.8	2.8e-203	5.9e-200	670.6	5	499	2	488	1	489	0.99	1	1	0.974	1.0122699386503067	COesterase
Cu-oxidase_2.aln	sp|I6WZK7|MMCO_MYCTU	504	424	6.1e-102	346.3	5.9e-104	2e-100	341.3	38	423	118	489	97	490	0.93	1	1	0.8773584905660378	0.7658730158730159	Cu-oxidase_2
Cu-oxidase_3.aln	sp|Q47452|PCOA_ECOLX	605	501	2.4e-148	499.6	1.5e-151	3.8e-148	499.0	55	499	42	603	17	605	0.94	1	1	1.1217564870259482	0.7355371900826446	Cu-oxidase_3
