hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|P26495|PHAZ_ECTOL	283	PHO.aln	316	2.1e-118	400.1	2.5e-121	2.3e-118	399.9	55	315	2	278	1	279	0.99	1	1	0.8765822784810127	0.9222614840989399	PHO
sp|Q51718|PHAZ_PSEFL	278	PHO.aln	316	3.4e-104	353.4	3.4e-83	3.2e-80	274.7	1	210	1	216	1	217	0.99	1	2	0.6835443037974683	0.7553956834532374	PHO
sp|Q5UQ83|YR526_MIMIV	346	PHO.aln	316	1.4e-33	121.4	2e-36	1.9e-33	121.0	28	252	50	316	39	330	0.9	1	1	0.8449367088607594	0.6502890173410405	PHO
sp|P71668|LIPI_MYCTU	320	PHO.aln	316	3.6e-18	70.8	5.4e-21	5e-18	70.3	81	248	82	291	56	316	0.85	1	1	0.6645569620253164	0.525	PHO
sp|Q8KQK1|ESTZ_PSEPU	318	PHO.aln	316	1.1e-16	65.8	1.6e-19	1.5e-16	65.5	26	239	21	282	6	296	0.78	1	1	0.8291139240506329	0.6729559748427673	PHO
sp|P9WK86|NLHH_MYCTO	319	PHO.aln	316	4.5e-16	63.9	7.2e-19	6.6e-16	63.3	61	248	57	290	35	301	0.81	1	1	0.740506329113924	0.5893416927899686	PHO
sp|P9WK87|NLHH_MYCTU	319	PHO.aln	316	4.5e-16	63.9	7.2e-19	6.6e-16	63.3	61	248	57	290	35	301	0.81	1	1	0.740506329113924	0.5893416927899686	PHO
sp|P95125|LIPN_MYCTU	376	PHO.aln	316	1.6e-15	62.1	2.6e-18	2.4e-15	61.5	75	247	127	344	117	354	0.87	1	1	0.689873417721519	0.4601063829787234	PHO
sp|B5BLW5|ARE_SACSO	306	PHO.aln	316	1.2e-14	59.2	1.8e-17	1.6e-14	58.7	81	248	73	281	51	287	0.81	1	1	0.6613924050632911	0.5490196078431373	PHO
sp|Q9US38|YFZ3_SCHPO	341	PHO.aln	316	6.5e-14	56.8	1.1e-16	1e-13	56.2	72	252	87	316	80	335	0.78	1	1	0.7278481012658228	0.530791788856305	PHO
sp|B2GV54|NCEH1_RAT	408	PHO.aln	316	9.9e-13	52.9	1.7e-13	1.5e-10	45.7	57	250	80	380	67	386	0.85	1	1	0.9525316455696202	0.47549019607843135	PHO
sp|W7MTJ1|FDB39_GIBM7	318	PHO.aln	316	3.1e-12	51.3	4.2e-15	3.9e-12	50.9	59	256	47	293	37	313	0.82	1	1	0.7816455696202531	0.6226415094339622	PHO
sp|Q52532|MHPC_PSESP	283	PHO.aln	316	3.1e-12	51.3	4.5e-15	4.1e-12	50.9	84	296	35	273	9	282	0.75	1	1	0.7563291139240507	0.7526501766784452	PHO
sp|Q1JQE6|NCEH1_BOVIN	408	PHO.aln	316	4e-11	47.6	5.7e-12	5.3e-09	40.7	63	250	85	380	67	388	0.86	1	1	0.9367088607594937	0.46078431372549017	PHO
sp|B1M5I5|RUTD_METRJ	259	PHO.aln	316	4e-11	47.6	6.9e-14	6.4e-11	46.9	78	305	10	257	6	259	0.8	1	1	0.7848101265822784	0.8803088803088803	PHO
sp|Q9LYC1|GID1B_ARATH	358	PHO.aln	316	3.3e-10	44.6	5.2e-13	4.8e-10	44.1	73	239	96	310	61	323	0.78	1	1	0.680379746835443	0.4664804469273743	PHO
sp|P19076|DMPD_PSEUF	283	PHO.aln	316	4.3e-10	44.2	8.7e-13	8.1e-10	43.3	82	305	29	275	11	282	0.77	1	1	0.7816455696202531	0.7915194346289752	PHO
sp|Q4ZXS0|RUTD_PSEU2	259	PHO.aln	316	5.1e-10	44.0	7.1e-13	6.5e-10	43.6	126	288	57	239	29	255	0.78	1	1	0.5791139240506329	0.6293436293436293	PHO
sp|C5B0U6|RUTD_METEA	260	PHO.aln	316	1.1e-09	42.9	1.5e-12	1.4e-09	42.6	133	304	63	257	38	259	0.79	1	1	0.6170886075949367	0.6615384615384615	PHO
sp|P23133|TODF_PSEP1	276	PHO.aln	316	2.2e-09	41.9	4.6e-12	4.3e-09	41.0	110	284	59	251	16	267	0.72	1	1	0.6107594936708861	0.6340579710144928	PHO
