hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|Q47452|PCOA_ECOLX	605	Cu-oxidase_3.aln	501	2.4e-148	499.6	1.5e-151	3.8e-148	499.0	55	499	42	603	17	605	0.94	1	1	1.1217564870259482	0.7355371900826446	Cu-oxidase_3
sp|P12374|COPA_PSEUB	609	Cu-oxidase_3.aln	501	9.3e-144	484.5	5.9e-147	1.6e-143	483.8	54	499	41	607	32	609	0.95	1	1	1.1317365269461077	0.7323481116584565	Cu-oxidase_3
sp|P59571|COPA_PSESM	589	Cu-oxidase_3.aln	501	2.9e-143	482.9	1.5e-146	3.9e-143	482.4	57	499	44	587	40	589	0.94	1	1	1.0858283433133733	0.7521222410865874	Cu-oxidase_3
sp|I6WZK7|MMCO_MYCTU	504	Cu-oxidase_3.aln	501	5.3e-129	435.8	2.4e-132	6.4e-129	435.6	5	500	18	503	9	504	0.91	1	1	0.9700598802395209	0.9841269841269841	Cu-oxidase_3
sp|Q96WM9|LAC2_BOTFU	581	Cu-oxidase_3.aln	501	4.1e-52	182.2	2.7e-49	7.1e-46	161.6	55	324	64	320	7	365	0.84	1	2	0.5129740518962076	0.46471600688468157	Cu-oxidase_3
sp|J5JH35|OPS5_BEAB2	590	Cu-oxidase_3.aln	501	3.4e-51	179.2	8.8e-47	2.3e-43	153.3	56	322	70	324	8	440	0.82	1	2	0.5089820359281437	0.45254237288135596	Cu-oxidase_3
sp|J9VQZ4|LAC2_CRYNH	594	Cu-oxidase_3.aln	501	2.3e-48	169.8	5.2e-44	1.4e-40	144.2	76	413	76	433	31	440	0.76	1	2	0.7145708582834331	0.569023569023569	Cu-oxidase_3
sp|Q02075|LAC2_THACU	599	Cu-oxidase_3.aln	501	9.8e-48	167.7	8e-40	2.1e-36	130.4	76	325	36	282	26	314	0.81	1	3	0.4930139720558882	0.41736227045075125	Cu-oxidase_3
sp|J9VY90|LAC1_CRYNH	624	Cu-oxidase_3.aln	501	1.6e-47	167.0	1.8e-42	4.8e-39	139.1	53	325	57	324	22	330	0.81	1	2	0.5349301397205589	0.4375	Cu-oxidase_3
sp|Q55P57|LAC1_CRYNB	624	Cu-oxidase_3.aln	501	1.7e-47	167.0	7.3e-34	1.9e-30	110.7	54	205	58	212	28	248	0.84	1	3	0.3093812375249501	0.24358974358974358	Cu-oxidase_3
sp|Q02079|LAC3_THACU	572	Cu-oxidase_3.aln	501	1.7e-47	167.0	1.7e-40	4.6e-37	132.6	75	332	35	288	11	424	0.75	1	2	0.5069860279441117	0.45104895104895104	Cu-oxidase_3
sp|P14133|ASO_CUCSA	587	Cu-oxidase_3.aln	501	3.8e-47	165.8	4.6e-44	1.2e-40	144.4	83	324	60	305	53	313	0.87	1	2	0.49101796407185627	0.4122657580919932	Cu-oxidase_3
sp|A0A067XMP2|PTAK_PESFW	585	Cu-oxidase_3.aln	501	1.1e-46	164.3	2.7e-38	7.1e-35	125.3	76	322	79	320	57	334	0.85	1	2	0.48303393213572854	0.4222222222222222	Cu-oxidase_3
sp|Q12570|LAC1_BOTFU	561	Cu-oxidase_3.aln	501	3.5e-46	162.6	1.4e-40	3.6e-37	132.9	63	326	66	306	39	360	0.8	1	2	0.4810379241516966	0.47058823529411764	Cu-oxidase_3
sp|A0A067XMP0|PTAE_PESFW	610	Cu-oxidase_3.aln	501	3.9e-46	162.5	3.5e-41	9.1e-38	134.9	51	322	49	310	22	321	0.86	1	2	0.5229540918163673	0.4459016393442623	Cu-oxidase_3
sp|P37064|ASO_CUCPM	552	Cu-oxidase_3.aln	501	3.3e-44	156.1	2.8e-40	7.2e-37	131.9	83	324	25	270	18	279	0.88	1	2	0.49101796407185627	0.4384057971014493	Cu-oxidase_3
sp|P56193|LAC1_THACU	576	Cu-oxidase_3.aln	501	1.6e-43	153.9	5.8e-37	1.5e-33	120.9	75	331	35	287	17	429	0.77	1	2	0.5049900199600799	0.4461805555555556	Cu-oxidase_3
sp|Q02081|LAC4_THACU	531	Cu-oxidase_3.aln	501	2.2e-43	153.4	2.2e-38	5.7e-35	125.6	75	326	36	283	22	303	0.79	1	2	0.49500998003992014	0.4745762711864407	Cu-oxidase_3
sp|P24792|ASO_CUCMA	579	Cu-oxidase_3.aln	501	3.3e-43	152.8	2.1e-39	5.6e-36	129.0	84	324	56	300	49	315	0.87	1	2	0.48902195608782434	0.4162348877374784	Cu-oxidase_3
sp|Q40588|ASO_TOBAC	578	Cu-oxidase_3.aln	501	5.9e-43	152.0	1.4e-40	3.6e-37	132.9	77	324	46	298	36	317	0.84	1	2	0.5049900199600799	0.4290657439446367	Cu-oxidase_3
sp|Q8LPL3|ASO_ARATH	573	Cu-oxidase_3.aln	501	3.1e-42	149.6	5.7e-41	1.5e-37	134.2	83	321	45	286	38	340	0.85	1	2	0.48303393213572854	0.41710296684118675	Cu-oxidase_3
sp|M4DUF2|ASO_BRARP	570	Cu-oxidase_3.aln	501	8.9e-42	148.1	4.9e-40	1.3e-36	131.1	80	326	39	290	33	315	0.83	1	2	0.5029940119760479	0.43333333333333335	Cu-oxidase_3
sp|Q03966|LAC1_CRYPA	591	Cu-oxidase_3.aln	501	1.9e-41	147.0	3.5e-38	9.2e-35	125.0	78	323	86	314	63	325	0.82	1	3	0.45708582834331335	0.41624365482233505	Cu-oxidase_3
sp|Q4WQY8|TPCJ_ASPFU	609	Cu-oxidase_3.aln	501	4e-41	146.0	4.3e-35	1.1e-31	114.8	55	325	55	319	44	336	0.83	1	2	0.5289421157684631	0.44499178981937604	Cu-oxidase_3
sp|Q6CII3|FET3_KLULA	631	Cu-oxidase_3.aln	501	7.3e-41	145.1	4.7e-11	1.2e-07	35.5	256	449	202	433	173	439	0.73	2	3	0.4630738522954092	0.3074484944532488	Cu-oxidase_3
