hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|Q9HZY8|EST_PSEAE	201	Lipase_GDSL_2.aln	201	3.7e-94	318.8	1.4e-98	4.1e-94	318.7	1	201	1	201	1	201	1.0	1	1	1.0	1.0	Lipase_GDSL_2
sp|Q07792|ESTE_VIBMI	200	Lipase_GDSL_2.aln	201	9.5e-47	164.0	3.8e-51	1.1e-46	163.8	9	190	8	189	2	199	0.93	1	1	0.9054726368159204	0.91	Lipase_GDSL_2
sp|P0ADA1|TESA_ECOLI	208	Lipase_GDSL_2.aln	201	9.5e-47	164.0	3.5e-51	1.1e-46	163.9	4	200	10	203	7	204	0.94	1	1	0.9651741293532339	0.9471153846153846	Lipase_GDSL_2
sp|P0ADA2|TESA_ECOL6	208	Lipase_GDSL_2.aln	201	9.5e-47	164.0	3.5e-51	1.1e-46	163.9	4	200	10	203	7	204	0.94	1	1	0.9651741293532339	0.9471153846153846	Lipase_GDSL_2
sp|P54451|YQEF_BACSU	243	Lipase_GDSL_2.aln	201	0.0082	20.6	3.9e-07	0.012	20.1	40	128	46	137	8	152	0.81	1	1	0.4577114427860697	0.3662551440329218	Lipase_GDSL_2
sp|Q00017|RHA1_ASPAC	250	Lipase_GDSL_2.aln	201	0.1	17.0	5.3e-06	0.16	16.3	8	98	4	93	1	100	0.89	1	1	0.44776119402985076	0.364	Lipase_GDSL_2
sp|Q979K3|RL18E_THEVO	122	Lipase_GDSL_2.aln	201	0.35	15.2	1.4e-05	0.43	15.0	107	190	13	96	5	103	0.9	1	1	0.417910447761194	0.6885245901639344	Lipase_GDSL_2
sp|Q1IIY8|ARGR_KORVE	148	Lipase_GDSL_2.aln	201	0.48	14.8	2.1e-05	0.64	14.4	38	105	65	132	54	145	0.83	1	1	0.3383084577114428	0.4594594594594595	Lipase_GDSL_2
sp|B0U330|KDSB_XYLFM	257	Lipase_GDSL_2.aln	201	0.5	14.7	2.3e-05	0.71	14.3	34	99	42	109	33	134	0.84	1	1	0.3383084577114428	0.25680933852140075	Lipase_GDSL_2
sp|Q9BYZ2|LDH6B_HUMAN	381	Lipase_GDSL_2.aln	201	1.1	13.6	0.14	4100.0	2.0	119	151	15	47	5	55	0.75	1	2	0.16417910447761194	0.08661417322834646	Lipase_GDSL_2
sp|Q9BYZ2|LDH6B_HUMAN	381	Lipase_GDSL_2.aln	201	1.1	13.6	0.00069	21.0	9.5	46	102	57	110	48	119	0.88	2	2	0.26865671641791045	0.14960629921259844	Lipase_GDSL_2
sp|Q9PB46|KDSB_XYLFA	257	Lipase_GDSL_2.aln	201	1.3	13.3	6.3e-05	1.9	12.9	34	99	42	109	33	134	0.84	1	1	0.3383084577114428	0.25680933852140075	Lipase_GDSL_2
sp|B8F5Q8|RECR_GLAP5	201	Lipase_GDSL_2.aln	201	1.4	13.3	6.8e-05	2.0	12.7	18	79	99	162	89	174	0.84	1	1	0.31840796019900497	0.30845771144278605	Lipase_GDSL_2
sp|Q87BW1|KDSB_XYLFT	252	Lipase_GDSL_2.aln	201	1.6	13.1	7.2e-05	2.2	12.7	34	99	37	104	28	129	0.84	1	1	0.3383084577114428	0.2619047619047619	Lipase_GDSL_2
sp|B2I6C4|KDSB_XYLF2	257	Lipase_GDSL_2.aln	201	1.6	13.1	7.5e-05	2.3	12.6	34	99	42	109	33	134	0.84	1	1	0.3383084577114428	0.25680933852140075	Lipase_GDSL_2
sp|Q09LX1|AXE2_GEOSE	219	Lipase_GDSL_2.aln	201	1.9	12.8	9.3e-05	2.8	12.3	46	101	44	97	7	206	0.88	1	1	0.26865671641791045	0.2557077625570776	Lipase_GDSL_2
sp|Q0ABJ9|ARGC_ALKEH	343	Lipase_GDSL_2.aln	201	2.1	12.7	2.8	84000.0	-2.3	65	100	6	41	2	45	0.69	1	3	0.1791044776119403	0.10495626822157435	Lipase_GDSL_2
sp|Q0ABJ9|ARGC_ALKEH	343	Lipase_GDSL_2.aln	201	2.1	12.7	0.00036	11.0	10.4	41	103	156	212	127	230	0.78	2	3	0.2835820895522388	0.1836734693877551	Lipase_GDSL_2
sp|Q0ABJ9|ARGC_ALKEH	343	Lipase_GDSL_2.aln	201	2.1	12.7	0.53	16000.0	0.0	45	121	258	334	239	338	0.79	3	3	0.38308457711442784	0.22448979591836735	Lipase_GDSL_2
sp|A8A1C2|DCYD_ECOHS	328	Lipase_GDSL_2.aln	201	2.6	12.4	0.00014	4.2	11.7	58	139	187	264	163	295	0.76	1	1	0.3880597014925373	0.25	Lipase_GDSL_2
sp|B1KPT0|PIMT_SHEWM	211	Lipase_GDSL_2.aln	201	2.6	12.4	0.00013	4.0	11.8	74	124	67	117	37	135	0.75	1	1	0.2537313432835821	0.24170616113744076	Lipase_GDSL_2
sp|Q4R816|LDH6B_MACFA	381	Lipase_GDSL_2.aln	201	5.8	11.3	0.92	28000.0	-0.7	119	152	15	48	6	55	0.76	1	2	0.1691542288557214	0.08923884514435695	Lipase_GDSL_2
sp|Q4R816|LDH6B_MACFA	381	Lipase_GDSL_2.aln	201	5.8	11.3	0.00074	22.0	9.4	45	94	56	103	41	119	0.86	2	2	0.23880597014925373	0.13123359580052493	Lipase_GDSL_2
