hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|Q3C1E3|TPDA1_COMSP	413	TP.aln	329	1.3e-149	503.2	1.5e-153	1.5e-149	503.0	1	323	3	413	3	413	0.99	1	1	1.249240121580547	0.7820823244552058	TP
sp|Q3C1D5|TPDA2_COMSP	413	TP.aln	329	2.4e-149	502.4	2.7e-153	2.7e-149	502.2	1	323	3	413	3	413	0.99	1	1	1.249240121580547	0.7820823244552058	TP
sp|Q3C1D2|TPDR2_COMSP	336	TP.aln	329	2.1e-107	364.5	7.3e-77	7.2e-73	251.0	18	184	1	173	1	174	0.99	1	2	0.5258358662613982	0.49702380952380953	TP
sp|Q3C1D2|TPDR2_COMSP	336	TP.aln	329	2.1e-107	364.5	1e-34	9.9e-31	112.5	216	329	174	317	172	317	0.99	2	2	0.4376899696048632	0.3392857142857143	TP
sp|Q3C1E0|TPDR1_COMSP	336	TP.aln	329	7.5e-107	362.7	1e-76	1e-72	250.5	18	184	1	173	1	174	0.99	1	2	0.5258358662613982	0.49702380952380953	TP
sp|Q3C1E0|TPDR1_COMSP	336	TP.aln	329	7.5e-107	362.7	2.5e-34	2.5e-30	111.2	216	329	174	317	172	317	0.99	2	2	0.4376899696048632	0.3392857142857143	TP
sp|Q5D0X4|TPHB_COMTE	315	TP.aln	329	2.9e-80	275.3	7.8e-17	7.7e-13	53.7	1	102	1	66	1	70	0.95	1	2	0.2006079027355623	0.3238095238095238	TP
sp|Q5D0X4|TPHB_COMTE	315	TP.aln	329	2.9e-80	275.3	8e-68	7.9e-64	221.3	137	329	67	315	63	315	0.98	2	2	0.756838905775076	0.6126984126984127	TP
sp|Q3C1E1|TPHB_COMSP	315	TP.aln	329	3e-80	275.2	9.3e-17	9.2e-13	53.4	1	102	1	66	1	70	0.95	1	2	0.2006079027355623	0.3238095238095238	TP
sp|Q3C1E1|TPHB_COMSP	315	TP.aln	329	3e-80	275.2	7e-68	6.9e-64	221.5	137	329	67	315	63	315	0.98	2	2	0.756838905775076	0.6126984126984127	TP
sp|Q84BZ3|ANDAC_BURCE	423	TP.aln	329	4.2e-34	123.6	5.6e-38	5.5e-34	123.2	31	318	89	422	68	423	0.88	1	1	1.0151975683890577	0.6808510638297872	TP
sp|Q3C1E2|TPDB1_COMSP	154	TP.aln	329	1.9e-31	114.8	0.0023	22.0	9.4	18	46	1	23	1	29	0.89	1	2	0.06990881458966565	0.18831168831168832	TP
sp|Q3C1E2|TPDB1_COMSP	154	TP.aln	329	1.9e-31	114.8	2.9e-32	2.9e-28	104.4	118	239	39	153	27	154	0.92	2	2	0.3495440729483283	0.7922077922077922	TP
sp|Q3C1D4|TPDB2_COMSP	154	TP.aln	329	4.6e-31	113.6	0.0029	28.0	9.1	18	46	1	23	1	35	0.89	1	2	0.06990881458966565	0.18831168831168832	TP
sp|Q3C1D4|TPDB2_COMSP	154	TP.aln	329	4.6e-31	113.6	4.8e-32	4.7e-28	103.7	119	239	40	153	28	154	0.92	2	2	0.3465045592705167	0.7857142857142857	TP
sp|O52379|NAGG_RALSP	423	TP.aln	329	3.3e-20	77.9	4.1e-24	4e-20	77.6	9	318	74	422	53	423	0.81	1	1	1.060790273556231	0.7328605200945626	TP
sp|P26395|RFBI_SALTY	330	TP.aln	329	4.7e-09	41.2	2.7e-09	2.7e-05	28.9	24	189	7	170	1	184	0.82	1	2	0.49848024316109424	0.503030303030303	TP
sp|P26395|RFBI_SALTY	330	TP.aln	329	4.7e-09	41.2	0.0011	11.0	10.5	244	277	193	226	173	235	0.88	2	2	0.1033434650455927	0.10303030303030303	TP
sp|Q66DP5|ASCD_YERPS	329	TP.aln	329	2.5e-07	35.6	9.1e-09	9e-05	27.2	25	184	8	172	1	192	0.78	1	2	0.5015197568389058	0.48632218844984804	TP
sp|Q66DP5|ASCD_YERPS	329	TP.aln	329	2.5e-07	35.6	0.015	150.0	6.7	244	277	198	231	172	248	0.83	2	2	0.1033434650455927	0.1033434650455927	TP
sp|P68641|ASCD_YERPE	329	TP.aln	329	5.1e-07	34.5	1.9e-08	0.00019	26.1	25	184	8	172	1	189	0.77	1	2	0.5015197568389058	0.48632218844984804	TP
sp|P68641|ASCD_YERPE	329	TP.aln	329	5.1e-07	34.5	0.013	130.0	7.0	244	277	198	231	172	268	0.84	2	2	0.1033434650455927	0.1033434650455927	TP
sp|Q03304|TMOF_ECTME	326	TP.aln	329	8.6e-05	27.2	1.6e-08	0.00016	26.3	25	186	5	188	2	220	0.75	1	1	0.5592705167173252	0.49693251533742333	TP
sp|P0DPQ8|GCOB_AMYS7	334	TP.aln	329	0.00011	26.9	2.6e-08	0.00026	25.6	34	189	13	177	10	192	0.75	1	2	0.5015197568389058	0.46706586826347307	TP
sp|P0DPQ8|GCOB_AMYS7	334	TP.aln	329	0.00011	26.9	5.4	53000.0	-1.7	229	291	188	253	174	260	0.76	2	2	0.2006079027355623	0.18862275449101795	TP
sp|A0A0H3LQK8|PDXA2_BORBR	351	TP.aln	329	0.009	20.6	1.5e-06	0.015	19.8	146	318	98	325	86	340	0.8	1	1	0.6930091185410334	0.4928774928774929	TP
sp|Q52126|NDOR_PSEPU	328	TP.aln	329	0.013	20.1	7e-05	0.69	14.4	48	184	28	168	8	186	0.81	1	3	0.42857142857142855	0.4176829268292683	TP
sp|Q52126|NDOR_PSEPU	328	TP.aln	329	0.013	20.1	1.2	12000.0	0.5	245	270	196	221	178	233	0.83	2	3	0.0790273556231003	0.07926829268292683	TP
sp|Q52126|NDOR_PSEPU	328	TP.aln	329	0.013	20.1	0.78	7700.0	1.1	58	93	272	307	228	318	0.62	3	3	0.1094224924012158	0.10975609756097561	TP
sp|Q2N8X0|PDXA_ERYLH	336	TP.aln	329	0.035	18.7	0.015	150.0	6.7	5	52	5	57	4	85	0.8	1	2	0.16109422492401215	0.14285714285714285	TP
sp|Q2N8X0|PDXA_ERYLH	336	TP.aln	329	0.035	18.7	0.0017	17.0	9.8	236	318	211	320	196	330	0.84	2	2	0.3343465045592705	0.24702380952380953	TP
sp|Q8IED5|FER_PLAF7	194	TP.aln	329	0.038	18.5	6.3e-06	0.062	17.8	19	102	98	185	84	193	0.73	1	1	0.2674772036474164	0.4329896907216495	TP
sp|A7GFE5|PDXA2_CLOBL	334	TP.aln	329	0.089	17.3	7.5	75000.0	-2.2	202	279	18	99	13	124	0.57	1	2	0.24924012158054712	0.23353293413173654	TP
sp|A7GFE5|PDXA2_CLOBL	334	TP.aln	329	0.089	17.3	2.2e-05	0.22	16.0	224	325	195	326	99	329	0.72	2	2	0.4012158054711246	0.30538922155688625	TP
sp|B1IGV8|PDXA2_CLOBK	334	TP.aln	329	0.089	17.3	7.5	75000.0	-2.2	202	279	18	99	13	124	0.57	1	2	0.24924012158054712	0.23353293413173654	TP
sp|B1IGV8|PDXA2_CLOBK	334	TP.aln	329	0.089	17.3	2.2e-05	0.22	16.0	224	325	195	326	99	329	0.72	2	2	0.4012158054711246	0.30538922155688625	TP
sp|A5I3X9|PDXA2_CLOBH	334	TP.aln	329	0.11	17.1	7.5	75000.0	-2.2	202	279	18	99	13	124	0.57	1	2	0.24924012158054712	0.23353293413173654	TP
sp|A5I3X9|PDXA2_CLOBH	334	TP.aln	329	0.11	17.1	2.6e-05	0.26	15.8	224	325	195	326	99	329	0.72	2	2	0.4012158054711246	0.30538922155688625	TP
sp|A7FVM3|PDXA2_CLOB1	334	TP.aln	329	0.11	17.1	7.5	75000.0	-2.2	202	279	18	99	13	124	0.57	1	2	0.24924012158054712	0.23353293413173654	TP
sp|A7FVM3|PDXA2_CLOB1	334	TP.aln	329	0.11	17.1	2.6e-05	0.26	15.8	224	325	195	326	99	329	0.72	2	2	0.4012158054711246	0.30538922155688625	TP
sp|B1KVV5|PDXA2_CLOBM	334	TP.aln	329	0.11	17.1	7.5	75000.0	-2.2	202	279	18	99	13	124	0.57	1	2	0.24924012158054712	0.23353293413173654	TP
sp|B1KVV5|PDXA2_CLOBM	334	TP.aln	329	0.11	17.1	2.6e-05	0.26	15.8	224	325	195	326	99	329	0.72	2	2	0.4012158054711246	0.30538922155688625	TP
sp|C1FQK1|PDXA2_CLOBJ	334	TP.aln	329	0.11	17.1	7.5	75000.0	-2.2	202	279	18	99	13	124	0.57	1	2	0.24924012158054712	0.23353293413173654	TP
sp|C1FQK1|PDXA2_CLOBJ	334	TP.aln	329	0.11	17.1	2.6e-05	0.26	15.8	224	325	195	326	99	329	0.72	2	2	0.4012158054711246	0.30538922155688625	TP
sp|C3KYY3|PDXA2_CLOB6	334	TP.aln	329	0.13	16.8	8.2	81000.0	-2.3	11	27	11	27	8	55	0.78	1	2	0.05167173252279635	0.05089820359281437	TP
sp|C3KYY3|PDXA2_CLOB6	334	TP.aln	329	0.13	16.8	2.4e-05	0.24	15.9	224	325	195	326	87	329	0.71	2	2	0.4012158054711246	0.30538922155688625	TP
sp|E9RFT0|MIMB_MYCGD	348	TP.aln	329	0.14	16.7	3.3e-05	0.33	15.5	39	205	22	200	6	214	0.75	1	2	0.5440729483282675	0.47988505747126436	TP
sp|E9RFT0|MIMB_MYCGD	348	TP.aln	329	0.14	16.7	5.9	58000.0	-1.8	239	290	206	263	195	268	0.62	2	2	0.1762917933130699	0.14942528735632185	TP
sp|Q92TP3|PDXAL_RHIME	348	TP.aln	329	0.2	16.2	0.9	8900.0	0.9	8	32	16	48	12	66	0.85	1	2	0.10030395136778116	0.07183908045977011	TP
sp|Q92TP3|PDXAL_RHIME	348	TP.aln	329	0.2	16.2	0.00019	1.8	13.0	230	321	213	331	163	338	0.81	2	2	0.3617021276595745	0.26436781609195403	TP
sp|Q0K4F5|PDXA2_CUPNH	333	TP.aln	329	0.22	16.0	3.6e-05	0.36	15.3	174	323	128	324	97	329	0.81	1	1	0.5987841945288754	0.45045045045045046	TP
sp|C0QBU5|PDXA_DESAH	340	TP.aln	329	0.23	16.0	8.3	82000.0	-2.3	11	26	11	26	8	34	0.8	1	2	0.0486322188449848	0.047058823529411764	TP
sp|C0QBU5|PDXA_DESAH	340	TP.aln	329	0.23	16.0	4.5e-05	0.44	15.0	170	327	116	329	86	331	0.75	2	2	0.6504559270516718	0.4647058823529412	TP
sp|Q1XDG7|FER_PYRYE	99	TP.aln	329	0.24	15.9	2.8e-05	0.27	15.7	32	100	18	90	9	98	0.74	1	1	0.22188449848024316	0.696969696969697	TP
sp|O07824|NDOB_PSEFL	449	TP.aln	329	0.24	15.9	0.00058	5.7	11.4	16	105	59	164	53	210	0.81	1	2	0.3221884498480243	0.20044543429844097	TP
sp|O07824|NDOB_PSEFL	449	TP.aln	329	0.24	15.9	0.34	3300.0	2.3	231	317	325	424	316	435	0.62	2	2	0.303951367781155	0.19376391982182628	TP
sp|O85987|PDXAL_NOVAR	330	TP.aln	329	0.27	15.7	0.63	6200.0	1.4	9	26	13	30	8	60	0.76	1	2	0.0547112462006079	0.05454545454545454	TP
sp|O85987|PDXAL_NOVAR	330	TP.aln	329	0.27	15.7	0.00029	2.9	12.3	282	325	249	319	160	323	0.63	2	2	0.21580547112462006	0.13333333333333333	TP
sp|Q89ZK3|PDXA_BACTN	364	TP.aln	329	0.28	15.7	4.1e-05	0.4	15.2	209	323	182	323	164	327	0.78	1	1	0.4316109422492401	0.3159340659340659	TP
sp|P51320|FER_PORPU	99	TP.aln	329	0.3	15.6	3.3e-05	0.33	15.5	31	97	17	88	4	98	0.77	1	1	0.2188449848024316	0.6767676767676768	TP
