hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|Q47RJ6|PETH2_THEFY	301	PU.aln	382	7.5e-102	346.9	1.2e-104	8.9e-102	346.6	35	339	10	300	2	301	0.97	1	1	0.7617801047120419	1.0132890365448506	PU
sp|Q6A0I4|PETH2_THEFU	301	PU.aln	382	7.5e-102	346.9	1.2e-104	8.9e-102	346.6	35	339	10	300	2	301	0.97	1	1	0.7617801047120419	1.0132890365448506	PU
sp|G8GER6|PETH1_THEFU	319	PU.aln	382	3.6e-101	344.6	5.2e-104	4e-101	344.5	34	339	27	318	3	319	0.93	1	1	0.7643979057591623	0.9592476489028213	PU
sp|Q47RJ7|PETH1_THEFY	319	PU.aln	382	3.6e-101	344.6	5.2e-104	4e-101	344.5	34	339	27	318	3	319	0.93	1	1	0.7643979057591623	0.9592476489028213	PU
sp|E9LVH8|PETH1_THECS	262	PU.aln	382	6.4e-99	337.2	9.4e-102	7.1e-99	337.1	65	339	2	261	1	262	0.98	1	1	0.680628272251309	1.049618320610687	PU
sp|E9LVH9|PETH2_THECS	262	PU.aln	382	2.2e-98	335.5	3.2e-101	2.4e-98	335.3	65	339	2	261	1	262	0.98	1	1	0.680628272251309	1.049618320610687	PU
sp|D4Q9N1|PETH1_THEAE	296	PU.aln	382	2e-96	329.0	3e-99	2.3e-96	328.8	41	338	16	294	3	296	0.92	1	1	0.7303664921465969	1.0067567567567568	PU
sp|F7IX06|PETH2_THEAE	300	PU.aln	382	6.2e-95	324.1	9.7e-98	7.3e-95	323.9	39	339	13	299	5	300	0.94	1	1	0.7513089005235603	1.0033333333333334	PU
sp|G9BY57|PETH_UNKP	293	PU.aln	382	1.8e-93	319.3	2.9e-96	2.2e-93	319.0	37	334	12	290	5	293	0.95	1	1	0.7303664921465969	1.0170648464163823	PU
sp|Q9L2J6|BHETH_STRCO	310	PU.aln	382	5.8e-90	307.7	9.3e-93	7e-90	307.5	38	339	24	307	2	309	0.91	1	1	0.743455497382199	0.9741935483870968	PU
sp|P0DX29|PETH1_AMYMS	309	PU.aln	382	6.4e-88	301.0	1e-90	7.7e-88	300.8	40	339	24	306	10	308	0.94	1	1	0.7408376963350786	0.970873786407767	PU
sp|P19833|LIP1_MORS1	319	PU.aln	382	6.8e-79	271.3	1.1e-81	8.4e-79	271.0	34	339	5	319	3	319	0.94	1	1	0.824607329842932	0.9592476489028213	PU
sp|Q12559|AMDS_ASPOR	545	PU.aln	382	2e-65	227.0	3.3e-68	2.5e-65	226.7	3	353	70	545	69	545	0.95	1	1	1.2460732984293195	0.6440366972477064	PU
sp|A0A0K8P6T7|PETH_PISS1	290	PU.aln	382	1.6e-64	224.0	2.5e-67	1.9e-64	223.8	58	338	22	289	6	290	0.89	1	1	0.7015706806282722	0.9689655172413794	PU
sp|P41773|LIPB_PSEFL	476	PU.aln	382	2.7e-62	216.7	4.3e-65	3.3e-62	216.4	26	375	1	461	1	470	0.9	1	1	1.206806282722513	0.7352941176470589	PU
sp|Q9AHE8|AMDA_RHIRD	517	PU.aln	382	3.8e-60	209.6	6.1e-63	4.6e-60	209.3	3	355	30	516	24	517	0.94	1	1	1.274869109947644	0.6827852998065764	PU
sp|A7NKM0|GATA_ROSCS	490	PU.aln	382	1.6e-50	178.0	2.5e-53	1.9e-50	177.7	2	355	20	479	1	485	0.94	1	1	1.2041884816753927	0.7224489795918367	PU
sp|P08158|AMDS_EMENI	548	PU.aln	382	3.6e-50	176.8	6.7e-53	5.1e-50	176.3	3	352	69	543	68	545	0.93	1	1	1.243455497382199	0.6386861313868614	PU
sp|A5UXF9|GATA_ROSS1	487	PU.aln	382	1.6e-49	174.6	2.6e-52	1.9e-49	174.4	2	355	20	479	1	481	0.95	1	1	1.2041884816753927	0.7268993839835729	PU
sp|Q8DK65|GATA_THEVB	482	PU.aln	382	5.4e-48	169.6	8.1e-51	6.1e-48	169.4	4	363	17	480	1	482	0.91	1	1	1.2146596858638743	0.7468879668049793	PU
sp|B8G974|GATA_CHLAD	488	PU.aln	382	9.1e-48	168.9	1.4e-50	1.1e-47	168.6	2	355	20	480	1	483	0.94	1	1	1.206806282722513	0.7254098360655737	PU
sp|P73558|GATA_SYNY3	483	PU.aln	382	1.5e-47	168.1	2.5e-50	1.9e-47	167.8	3	355	16	476	1	480	0.92	1	1	1.206806282722513	0.7308488612836439	PU
sp|A9WCD8|GATA_CHLAA	487	PU.aln	382	3e-47	167.2	4.4e-50	3.3e-47	167.0	2	356	20	481	1	487	0.93	1	1	1.2094240837696335	0.728952772073922	PU
sp|B9LER8|GATA_CHLSY	487	PU.aln	382	3e-47	167.2	4.4e-50	3.3e-47	167.0	2	356	20	481	1	487	0.93	1	1	1.2094240837696335	0.728952772073922	PU
sp|B1WYP3|GATA_CROS5	482	PU.aln	382	6.8e-47	166.0	1.1e-49	8.5e-47	165.7	4	355	17	476	1	478	0.88	1	1	1.2041884816753927	0.7302904564315352	PU
sp|Q8YY02|GATA_NOSS1	486	PU.aln	382	1.1e-46	165.3	1.6e-49	1.2e-46	165.1	4	354	17	479	1	485	0.92	1	1	1.212041884816754	0.7222222222222222	PU
sp|Q3M6N4|GATA_TRIV2	486	PU.aln	382	2.3e-46	164.2	3.6e-49	2.7e-46	164.0	4	354	17	479	1	485	0.91	1	1	1.212041884816754	0.7222222222222222	PU
sp|B8FCK9|GATA_DESAL	485	PU.aln	382	4.3e-46	163.3	6.8e-49	5.2e-46	163.1	4	352	21	477	1	482	0.91	1	1	1.1963350785340314	0.7195876288659794	PU
sp|B2IYD7|GATA_NOSP7	486	PU.aln	382	2.3e-45	160.9	3.9e-48	2.9e-45	160.6	4	354	17	479	1	485	0.87	1	1	1.212041884816754	0.7222222222222222	PU
sp|Q3AD36|GATA_CARHZ	485	PU.aln	382	2.9e-45	160.6	4.6e-48	3.5e-45	160.4	3	352	20	477	1	482	0.95	1	1	1.198952879581152	0.7216494845360825	PU
sp|Q113L8|GATA_TRIEI	485	PU.aln	382	3.3e-45	160.4	5.8e-48	4.4e-45	160.0	12	356	47	481	15	484	0.9	1	1	1.138743455497382	0.711340206185567	PU
sp|O06491|GATA_BACSU	485	PU.aln	382	3.7e-45	160.3	6.4e-48	4.8e-45	159.9	14	355	31	480	19	483	0.9	1	1	1.1780104712041886	0.7051546391752578	PU
sp|B8HY89|GATA_CYAP4	482	PU.aln	382	3.7e-45	160.3	6.4e-48	4.8e-45	159.9	12	356	47	478	15	481	0.89	1	1	1.130890052356021	0.7157676348547718	PU
sp|A4IJZ2|GATA_GEOTN	485	PU.aln	382	4.3e-45	160.0	7.6e-48	5.7e-45	159.6	23	354	53	479	20	482	0.9	1	1	1.117801047120419	0.6845360824742268	PU
sp|A7Z267|GATA_BACVZ	485	PU.aln	382	4.6e-45	160.0	8e-48	6e-45	159.6	23	355	51	480	19	483	0.89	1	1	1.12565445026178	0.6865979381443299	PU
sp|Q8THJ1|GATA_METAC	476	PU.aln	382	5.1e-45	159.8	8.8e-48	6.6e-45	159.4	4	353	19	467	2	471	0.91	1	1	1.175392670157068	0.7352941176470589	PU
sp|P20261|LIP1_DIURU	549	PU.aln	382	5.4e-45	159.7	8.1e-48	6.1e-45	159.6	2	382	6	549	1	549	0.95	1	1	1.4240837696335078	0.6939890710382514	PU
