hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|Q8VDG7|PAFA2_MOUSE	390	PAF-AH_p_II.aln	365	2.3e-10	44.8	7.9e-09	6.2e-05	26.9	77	135	98	158	91	164	0.8	1	3	0.16712328767123288	0.15128205128205127	PAF-AH_p_II
sp|Q8VDG7|PAFA2_MOUSE	390	PAF-AH_p_II.aln	365	2.3e-10	44.8	0.00064	5.0	10.8	148	184	205	241	191	255	0.79	2	3	0.10136986301369863	0.09487179487179487	PAF-AH_p_II
sp|Q8VDG7|PAFA2_MOUSE	390	PAF-AH_p_II.aln	365	2.3e-10	44.8	0.12	910.0	3.3	271	313	272	314	263	349	0.87	3	3	0.1178082191780822	0.11025641025641025	PAF-AH_p_II
sp|P79106|PAFA2_BOVIN	392	PAF-AH_p_II.aln	365	4e-10	44.0	5.1e-09	4e-05	27.5	77	115	99	137	92	149	0.9	1	3	0.10684931506849316	0.09948979591836735	PAF-AH_p_II
sp|P79106|PAFA2_BOVIN	392	PAF-AH_p_II.aln	365	4e-10	44.0	0.00092	7.2	10.3	136	184	195	243	176	254	0.86	2	3	0.13424657534246576	0.125	PAF-AH_p_II
sp|P79106|PAFA2_BOVIN	392	PAF-AH_p_II.aln	365	4e-10	44.0	0.24	1800.0	2.3	273	313	276	316	268	330	0.91	3	3	0.11232876712328767	0.10459183673469388	PAF-AH_p_II
sp|P83006|PAFA2_RAT	390	PAF-AH_p_II.aln	365	1.9e-09	41.8	1.4e-08	0.00011	26.1	75	134	97	157	91	164	0.79	1	3	0.16712328767123288	0.15384615384615385	PAF-AH_p_II
sp|P83006|PAFA2_RAT	390	PAF-AH_p_II.aln	365	1.9e-09	41.8	0.0025	20.0	8.8	149	184	206	241	185	254	0.76	2	3	0.09863013698630137	0.09230769230769231	PAF-AH_p_II
sp|P83006|PAFA2_RAT	390	PAF-AH_p_II.aln	365	1.9e-09	41.8	0.12	930.0	3.3	270	313	271	314	248	333	0.9	3	3	0.12054794520547946	0.11282051282051282	PAF-AH_p_II
sp|Q99487|PAFA2_HUMAN	392	PAF-AH_p_II.aln	365	2.4e-09	41.4	1.5e-08	0.00012	26.0	77	115	99	137	92	148	0.91	1	3	0.10684931506849316	0.09948979591836735	PAF-AH_p_II
sp|Q99487|PAFA2_HUMAN	392	PAF-AH_p_II.aln	365	2.4e-09	41.4	0.00035	2.8	11.6	131	184	190	243	176	255	0.86	2	3	0.14794520547945206	0.1377551020408163	PAF-AH_p_II
sp|Q99487|PAFA2_HUMAN	392	PAF-AH_p_II.aln	365	2.4e-09	41.4	1.7	14000.0	-0.5	272	313	275	316	266	326	0.89	3	3	0.11506849315068493	0.10714285714285714	PAF-AH_p_II
sp|F7IX06|PETH2_THEAE	300	PAF-AH_p_II.aln	365	6e-08	36.8	5.5e-10	4.3e-06	30.7	75	195	86	187	77	190	0.89	1	2	0.27945205479452057	0.4033333333333333	PAF-AH_p_II
sp|F7IX06|PETH2_THEAE	300	PAF-AH_p_II.aln	365	6e-08	36.8	0.48	3800.0	1.3	265	318	198	252	187	274	0.75	2	2	0.1506849315068493	0.18	PAF-AH_p_II
sp|Q90678|PAFA_CHICK	422	PAF-AH_p_II.aln	365	8.1e-08	36.4	5.5e-07	0.0043	20.9	77	115	127	165	112	182	0.88	1	3	0.10684931506849316	0.0924170616113744	PAF-AH_p_II
sp|Q90678|PAFA_CHICK	422	PAF-AH_p_II.aln	365	8.1e-08	36.4	0.0065	51.0	7.5	149	185	238	274	226	280	0.83	2	3	0.10136986301369863	0.08767772511848342	PAF-AH_p_II
sp|Q90678|PAFA_CHICK	422	PAF-AH_p_II.aln	365	8.1e-08	36.4	0.057	440.0	4.4	250	334	284	371	275	384	0.74	3	3	0.2410958904109589	0.2014218009478673	PAF-AH_p_II
sp|D4Q9N1|PETH1_THEAE	296	PAF-AH_p_II.aln	365	9.3e-08	36.2	4.8e-10	3.8e-06	30.9	75	195	82	183	73	188	0.89	1	2	0.27945205479452057	0.40878378378378377	PAF-AH_p_II
sp|D4Q9N1|PETH1_THEAE	296	PAF-AH_p_II.aln	365	9.3e-08	36.2	0.93	7300.0	0.4	266	318	195	248	187	270	0.69	2	2	0.14794520547945206	0.17905405405405406	PAF-AH_p_II
sp|Q28262|PAFA_CANLF	444	PAF-AH_p_II.aln	365	9.7e-08	36.2	6.7e-08	0.00052	23.9	75	115	142	180	126	202	0.88	1	2	0.10684931506849316	0.09234234234234234	PAF-AH_p_II
sp|Q28262|PAFA_CANLF	444	PAF-AH_p_II.aln	365	9.7e-08	36.2	0.0011	8.5	10.0	162	185	259	282	245	287	0.86	2	2	0.06575342465753424	0.05405405405405406	PAF-AH_p_II
sp|G9BY57|PETH_UNKP	293	PAF-AH_p_II.aln	365	4e-07	34.1	3.7e-08	0.00029	24.7	78	190	85	178	71	185	0.88	1	2	0.25753424657534246	0.3856655290102389	PAF-AH_p_II
sp|G9BY57|PETH_UNKP	293	PAF-AH_p_II.aln	365	4e-07	34.1	0.083	650.0	3.8	270	322	198	251	186	258	0.71	2	2	0.14794520547945206	0.18088737201365188	PAF-AH_p_II
sp|Q28017|PAFA_BOVIN	444	PAF-AH_p_II.aln	365	4.1e-07	34.1	7.1e-08	0.00056	23.8	75	115	142	180	119	195	0.85	1	2	0.10684931506849316	0.09234234234234234	PAF-AH_p_II
sp|Q28017|PAFA_BOVIN	444	PAF-AH_p_II.aln	365	4.1e-07	34.1	0.0045	35.0	8.0	162	185	259	282	244	286	0.84	2	2	0.06575342465753424	0.05405405405405406	PAF-AH_p_II
sp|Q13093|PAFA_HUMAN	441	PAF-AH_p_II.aln	365	4.6e-07	33.9	2e-07	0.0016	22.3	78	115	143	180	127	196	0.9	1	2	0.10410958904109589	0.08616780045351474	PAF-AH_p_II
sp|Q13093|PAFA_HUMAN	441	PAF-AH_p_II.aln	365	4.6e-07	33.9	0.0018	14.0	9.3	163	185	259	281	245	287	0.87	2	2	0.06301369863013699	0.05215419501133787	PAF-AH_p_II
sp|Q22943|PAFA_CAEEL	388	PAF-AH_p_II.aln	365	4.7e-07	33.9	5.6	44000.0	-2.2	19	56	16	52	9	58	0.76	1	3	0.10136986301369863	0.0979381443298969	PAF-AH_p_II
sp|Q22943|PAFA_CAEEL	388	PAF-AH_p_II.aln	365	4.7e-07	33.9	1.3e-08	9.9e-05	26.3	77	139	106	168	78	175	0.81	2	3	0.1726027397260274	0.16237113402061856	PAF-AH_p_II
sp|Q22943|PAFA_CAEEL	388	PAF-AH_p_II.aln	365	4.7e-07	33.9	0.06	470.0	4.3	160	187	221	248	204	258	0.74	3	3	0.07671232876712329	0.07216494845360824	PAF-AH_p_II
sp|P70683|PAFA_CAVPO	436	PAF-AH_p_II.aln	365	5.7e-07	33.6	4.4e-08	0.00035	24.5	75	115	142	180	128	199	0.88	1	3	0.10684931506849316	0.09403669724770643	PAF-AH_p_II
sp|P70683|PAFA_CAVPO	436	PAF-AH_p_II.aln	365	5.7e-07	33.6	0.04	310.0	4.9	162	185	256	279	241	283	0.84	2	3	0.06575342465753424	0.05504587155963303	PAF-AH_p_II
sp|P70683|PAFA_CAVPO	436	PAF-AH_p_II.aln	365	5.7e-07	33.6	0.91	7200.0	0.4	245	316	284	354	279	381	0.82	3	3	0.19452054794520549	0.1651376146788991	PAF-AH_p_II
sp|E9LVH9|PETH2_THECS	262	PAF-AH_p_II.aln	365	2.3e-06	31.6	7.5e-09	5.9e-05	27.0	75	195	48	149	39	154	0.88	1	2	0.27945205479452057	0.4618320610687023	PAF-AH_p_II
sp|E9LVH9|PETH2_THECS	262	PAF-AH_p_II.aln	365	2.3e-06	31.6	2.1	17000.0	-0.8	268	316	163	212	152	225	0.63	2	2	0.136986301369863	0.18702290076335878	PAF-AH_p_II
sp|G8GER6|PETH1_THEFU	319	PAF-AH_p_II.aln	365	4.6e-06	30.6	1.2e-08	9.2e-05	26.4	75	195	105	206	97	211	0.88	1	2	0.27945205479452057	0.3793103448275862	PAF-AH_p_II
