hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|Q5U780|LIP_BACSP	416	Lip_C.aln	429	1.4e-137	464.0	1.1e-141	1.6e-137	463.8	42	426	29	414	20	416	0.92	1	1	0.8997668997668997	0.9254807692307693	Lip_C
sp|Q2FUU5|LIP1_STAA8	680	Lip_C.aln	429	1.5e-100	342.0	6.7	99000.0	-3.4	146	187	40	81	31	88	0.74	1	2	0.0979020979020979	0.061764705882352944	Lip_C
sp|Q2FUU5|LIP1_STAA8	680	Lip_C.aln	429	1.5e-100	342.0	1e-104	1.5e-100	342.0	34	428	289	666	260	669	0.89	2	2	0.8811188811188811	0.5808823529411765	Lip_C
sp|Q5HCM7|LIP1_STAAC	680	Lip_C.aln	429	1.5e-100	342.0	6.7	99000.0	-3.4	146	187	40	81	31	88	0.74	1	2	0.0979020979020979	0.061764705882352944	Lip_C
sp|Q5HCM7|LIP1_STAAC	680	Lip_C.aln	429	1.5e-100	342.0	1e-104	1.5e-100	342.0	34	428	289	666	260	669	0.89	2	2	0.8811188811188811	0.5808823529411765	Lip_C
sp|Q6G604|LIP1_STAAS	680	Lip_C.aln	429	1.5e-100	342.0	6.7	99000.0	-3.4	146	187	40	81	31	88	0.74	1	2	0.0979020979020979	0.061764705882352944	Lip_C
sp|Q6G604|LIP1_STAAS	680	Lip_C.aln	429	1.5e-100	342.0	1e-104	1.5e-100	342.0	34	428	289	666	260	669	0.89	2	2	0.8811188811188811	0.5808823529411765	Lip_C
sp|Q8NUI5|LIP1_STAAW	680	Lip_C.aln	429	1.5e-100	342.0	6.7	99000.0	-3.4	146	187	40	81	31	88	0.74	1	2	0.0979020979020979	0.061764705882352944	Lip_C
sp|Q8NUI5|LIP1_STAAW	680	Lip_C.aln	429	1.5e-100	342.0	1e-104	1.5e-100	342.0	34	428	289	666	260	669	0.89	2	2	0.8811188811188811	0.5808823529411765	Lip_C
sp|P65288|LIP1_STAAM	680	Lip_C.aln	429	1.7e-100	341.8	6.7	99000.0	-3.4	146	187	40	81	31	88	0.74	1	2	0.0979020979020979	0.061764705882352944	Lip_C
sp|P65288|LIP1_STAAM	680	Lip_C.aln	429	1.7e-100	341.8	1.2e-104	1.7e-100	341.8	34	428	289	666	260	669	0.89	2	2	0.8811188811188811	0.5808823529411765	Lip_C
sp|P65289|LIP1_STAAN	680	Lip_C.aln	429	1.7e-100	341.8	6.7	99000.0	-3.4	146	187	40	81	31	88	0.74	1	2	0.0979020979020979	0.061764705882352944	Lip_C
sp|P65289|LIP1_STAAN	680	Lip_C.aln	429	1.7e-100	341.8	1.2e-104	1.7e-100	341.8	34	428	289	666	260	669	0.89	2	2	0.8811188811188811	0.5808823529411765	Lip_C
sp|Q6GDD3|LIP1_STAAR	680	Lip_C.aln	429	1.9e-100	341.6	6.7	99000.0	-3.4	146	187	40	81	31	88	0.74	1	2	0.0979020979020979	0.061764705882352944	Lip_C
sp|Q6GDD3|LIP1_STAAR	680	Lip_C.aln	429	1.9e-100	341.6	1.3e-104	1.9e-100	341.6	40	428	292	666	261	669	0.9	2	2	0.8741258741258742	0.5720588235294117	Lip_C
sp|Q5HKP6|LIP_STAEQ	688	Lip_C.aln	429	1.2e-99	339.0	1.9e-103	2.9e-99	337.8	23	427	281	674	272	678	0.89	1	1	0.9184149184149184	0.5886627906976745	Lip_C
