hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|D4Q9N1|PETH1_THEAE	296	PCL.aln	261	2.1e-75	258.7	6.7e-78	2.3e-75	258.6	8	243	20	295	1	296	0.93	1	1	1.0574712643678161	0.7972972972972973	PCL
sp|F7IX06|PETH2_THEAE	300	PCL.aln	261	6.9e-75	257.1	2.2e-77	7.4e-75	257.0	4	243	16	299	1	300	0.95	1	1	1.0881226053639848	0.8	PCL
sp|G8GER6|PETH1_THEFU	319	PCL.aln	261	2.1e-74	255.5	7.3e-77	2.5e-74	255.2	4	243	35	318	19	319	0.94	1	1	1.0881226053639848	0.7523510971786834	PCL
sp|Q47RJ7|PETH1_THEFY	319	PCL.aln	261	2.1e-74	255.5	7.3e-77	2.5e-74	255.2	4	243	35	318	19	319	0.94	1	1	1.0881226053639848	0.7523510971786834	PCL
sp|Q47RJ6|PETH2_THEFY	301	PCL.aln	261	5.5e-74	254.1	1.7e-76	5.9e-74	254.0	3	243	16	300	1	301	0.94	1	1	1.0919540229885059	0.8006644518272426	PCL
sp|Q6A0I4|PETH2_THEFU	301	PCL.aln	261	5.5e-74	254.1	1.7e-76	5.9e-74	254.0	3	243	16	300	1	301	0.94	1	1	1.0919540229885059	0.8006644518272426	PCL
sp|Q9L2J6|BHETH_STRCO	310	PCL.aln	261	8.2e-73	250.3	2.9e-75	1e-72	250.0	7	244	30	308	21	310	0.94	1	1	1.0689655172413792	0.7677419354838709	PCL
sp|P0DX29|PETH1_AMYMS	309	PCL.aln	261	2.8e-71	245.2	1e-73	3.5e-71	244.9	8	245	30	308	23	309	0.94	1	1	1.0689655172413792	0.7702265372168284	PCL
sp|E9LVH9|PETH2_THECS	262	PCL.aln	261	2.3e-70	242.3	7.9e-73	2.7e-70	242.0	28	243	11	261	2	262	0.93	1	1	0.9616858237547893	0.8244274809160306	PCL
sp|E9LVH8|PETH1_THECS	262	PCL.aln	261	4.3e-70	241.3	1.4e-72	4.7e-70	241.2	27	243	10	261	1	262	0.94	1	1	0.9655172413793104	0.8282442748091603	PCL
sp|G9BY57|PETH_UNKP	293	PCL.aln	261	5.1e-70	241.1	1.7e-72	5.8e-70	240.9	4	235	14	289	1	292	0.95	1	1	1.0574712643678161	0.7918088737201365	PCL
sp|A0A0K8P6T7|PETH_PISS1	290	PCL.aln	261	6.6e-63	217.8	2.3e-65	7.8e-63	217.6	13	234	13	287	4	290	0.94	1	1	1.053639846743295	0.7655172413793103	PCL
sp|P19833|LIP1_MORS1	319	PCL.aln	261	1.3e-60	210.3	3.9e-63	1.3e-60	210.2	5	242	12	318	1	319	0.91	1	1	1.1762452107279693	0.7460815047021944	PCL
sp|P52090|PHA1_PAULE	414	PCL.aln	261	2.9e-45	160.0	1e-47	3.6e-45	159.7	2	241	15	384	1	408	0.86	1	1	1.417624521072797	0.5797101449275363	PCL
sp|P00590|CUTI1_FUSVN	230	PCL.aln	261	1.3e-27	102.1	5.5e-30	1.9e-27	101.6	7	223	2	224	1	229	0.9	1	1	0.8544061302681992	0.9434782608695652	PCL
sp|Q99174|CUTI_FUSSC	230	PCL.aln	261	5.5e-27	100.1	2.3e-29	7.9e-27	99.5	7	223	2	224	1	229	0.89	1	1	0.8544061302681992	0.9434782608695652	PCL
