hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|Q47RJ6|PETH2_THEFY	301	PE.aln	329	5.8e-70	241.6	7e-73	7e-70	241.4	7	326	21	295	1	299	0.92	1	1	0.8358662613981763	1.06312292358804	PE
sp|Q6A0I4|PETH2_THEFU	301	PE.aln	329	5.8e-70	241.6	7e-73	7e-70	241.4	7	326	21	295	1	299	0.92	1	1	0.8358662613981763	1.06312292358804	PE
sp|G8GER6|PETH1_THEFU	319	PE.aln	329	1.1e-69	240.7	1.4e-72	1.4e-69	240.3	6	326	38	313	19	317	0.93	1	1	0.8389057750759878	1.006269592476489	PE
sp|Q47RJ7|PETH1_THEFY	319	PE.aln	329	1.1e-69	240.7	1.4e-72	1.4e-69	240.3	6	326	38	313	19	317	0.93	1	1	0.8389057750759878	1.006269592476489	PE
sp|E9LVH8|PETH1_THECS	262	PE.aln	329	8.6e-68	234.5	1.2e-70	1.2e-67	234.0	25	326	8	256	2	260	0.98	1	1	0.756838905775076	1.1526717557251909	PE
sp|E9LVH9|PETH2_THECS	262	PE.aln	329	2.1e-67	233.2	2.9e-70	2.9e-67	232.8	25	326	8	256	2	260	0.98	1	1	0.756838905775076	1.1526717557251909	PE
sp|D4Q9N1|PETH1_THEAE	296	PE.aln	329	2.5e-65	226.4	3.5e-68	3.4e-65	225.9	15	326	13	290	4	294	0.94	1	1	0.8449848024316109	1.054054054054054	PE
sp|F7IX06|PETH2_THEAE	300	PE.aln	329	4e-64	222.4	5.5e-67	5.4e-64	222.0	15	326	23	294	7	298	0.92	1	1	0.8267477203647416	1.04	PE
sp|A0A0K8P6T7|PETH_PISS1	290	PE.aln	329	1.1e-61	214.3	1.4e-64	1.4e-61	214.0	6	325	6	286	1	288	0.95	1	1	0.8541033434650456	1.103448275862069	PE
sp|G9BY57|PETH_UNKP	293	PE.aln	329	5.8e-54	189.0	7.2e-57	7.1e-54	188.7	9	320	13	282	4	292	0.9	1	1	0.8206686930091185	1.0648464163822526	PE
sp|P0DX29|PETH1_AMYMS	309	PE.aln	329	2.2e-51	180.5	3e-54	2.9e-51	180.1	9	273	30	293	19	304	0.91	1	1	0.8024316109422492	0.8576051779935275	PE
sp|Q9L2J6|BHETH_STRCO	310	PE.aln	329	9.8e-51	178.4	1.3e-53	1.2e-50	178.1	11	314	33	292	12	304	0.9	1	1	0.790273556231003	0.9806451612903225	PE
sp|P52090|PHA1_PAULE	414	PE.aln	329	1.8e-48	171.0	2.2e-51	2.1e-48	170.7	6	315	13	413	2	414	0.89	1	1	1.2188449848024316	0.748792270531401	PE
sp|P12625|PHB_RALPI	488	PE.aln	329	8.6e-45	158.9	9.8e-48	9.8e-45	158.7	10	303	9	484	1	488	0.93	1	1	1.446808510638298	0.6024590163934426	PE
sp|P19833|LIP1_MORS1	319	PE.aln	329	4.1e-33	120.5	5.1e-36	5.1e-33	120.2	24	274	31	300	5	317	0.84	1	1	0.8206686930091185	0.786833855799373	PE
sp|P37967|PNBA_BACSU	489	PE.aln	329	3e-24	91.4	4.1e-27	4e-24	90.9	23	321	16	459	3	472	0.81	1	1	1.3495440729483283	0.6114519427402862	PE
sp|Q6H941|ALKB2_PSEAE	377	PE.aln	329	1.8e-22	85.5	2e-25	2e-22	85.4	3	311	14	375	1	377	0.85	1	1	1.1003039513677813	0.8196286472148541	PE
sp|Q9I0R2|ALKB1_PSEAE	382	PE.aln	329	3.9e-22	84.4	4.8e-25	4.7e-22	84.1	3	316	14	380	1	382	0.82	1	1	1.115501519756839	0.8219895287958116	PE
sp|O05527|PHB_DELAC	494	PE.aln	329	4.7e-22	84.2	1.9e-22	1.9e-19	75.6	15	304	197	491	189	494	0.89	2	2	0.8966565349544073	0.5870445344129555	PE
sp|P00590|CUTI1_FUSVN	230	PE.aln	329	2e-21	82.1	3.5e-24	3.4e-21	81.3	16	306	6	224	1	230	0.91	1	1	0.6656534954407295	1.2652173913043478	PE
sp|Q99174|CUTI_FUSSC	230	PE.aln	329	3.8e-20	77.9	6.7e-23	6.6e-20	77.1	19	306	9	224	1	230	0.91	1	1	0.6565349544072948	1.2521739130434784	PE
sp|B8NBI2|AXE1_ASPFN	307	PE.aln	329	4.5e-20	77.6	5e-23	4.9e-20	77.5	46	209	37	257	2	297	0.81	1	1	0.6717325227963525	0.5342019543973942	PE
sp|Q5B037|AXE1_EMENI	304	PE.aln	329	5e-20	77.5	5.9e-23	5.9e-20	77.3	35	209	38	256	3	293	0.77	1	1	0.6656534954407295	0.5756578947368421	PE
sp|A9JPE6|AXE1_ASPFL	307	PE.aln	329	9.5e-20	76.6	1.1e-22	1e-19	76.4	46	209	37	257	2	297	0.81	1	1	0.6717325227963525	0.5342019543973942	PE
sp|Q75P26|AXE1_ASPOR	307	PE.aln	329	9.5e-20	76.6	1.1e-22	1e-19	76.4	46	209	37	257	2	297	0.81	1	1	0.6717325227963525	0.5342019543973942	PE
sp|Q96UT0|CUTI2_FUSVN	231	PE.aln	329	1.7e-19	75.8	2.8e-22	2.8e-19	75.0	16	306	6	225	1	231	0.89	1	1	0.668693009118541	1.2597402597402598	PE
sp|Q5U780|LIP_BACSP	416	PE.aln	329	1.9e-19	75.6	2.4e-22	2.4e-19	75.2	50	302	20	405	8	413	0.87	1	1	1.1732522796352585	0.6081730769230769	PE
