hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|Q588Z1|PVADH_SPHS1	654	PQQ_2.aln	654	0.0	1392.9	0.0	0.0	1392.8	1	654	1	654	1	654	1.0	1	1	1.0	1.0	PQQ_2
sp|P77931|PVADH_PSESP	639	PQQ_2.aln	654	0.0	1349.3	0.0	0.0	1349.1	1	654	1	639	1	639	1.0	1	1	0.9770642201834863	1.0234741784037558	PQQ_2
sp|C5AXV8|EXAF_METEA	587	PQQ_2.aln	654	2.2e-18	70.5	6.4e-20	4.3e-16	62.9	147	415	36	315	18	324	0.81	1	2	0.42813455657492355	0.45826235093696766	PQQ_2
sp|C5AXV8|EXAF_METEA	587	PQQ_2.aln	654	2.2e-18	70.5	0.00054	3.6	10.3	544	597	480	533	467	568	0.75	2	2	0.08256880733944955	0.0919931856899489	PQQ_2
sp|I0JWN7|XOXF_METFB	611	PQQ_2.aln	654	8.1e-17	65.3	3.6e-15	2.4e-11	47.2	151	415	45	331	32	340	0.71	1	2	0.43883792048929665	0.4337152209492635	PQQ_2
sp|I0JWN7|XOXF_METFB	611	PQQ_2.aln	654	8.1e-17	65.3	3.8e-06	0.026	17.4	539	591	486	538	465	565	0.84	2	2	0.08103975535168195	0.0867430441898527	PQQ_2
sp|Q8GR64|QHED_PSEPU	690	PQQ_2.aln	654	2.4e-16	63.7	1.3e-19	8.7e-16	61.9	150	416	36	316	15	330	0.79	1	4	0.42966360856269115	0.3869565217391304	PQQ_2
sp|Q8GR64|QHED_PSEPU	690	PQQ_2.aln	654	2.4e-16	63.7	4.2	28000.0	-2.6	343	380	384	422	356	448	0.69	2	4	0.05963302752293578	0.05507246376811594	PQQ_2
sp|Q8GR64|QHED_PSEPU	690	PQQ_2.aln	654	2.4e-16	63.7	0.004	27.0	7.4	171	239	461	530	434	555	0.74	3	4	0.10703363914373089	0.1	PQQ_2
sp|Q8GR64|QHED_PSEPU	690	PQQ_2.aln	654	2.4e-16	63.7	1.6	11000.0	-1.2	33	60	591	618	584	623	0.86	4	4	0.04281345565749235	0.04057971014492753	PQQ_2
sp|Q46444|QHED_COMTE	708	PQQ_2.aln	654	5.3e-15	59.3	4.9e-17	3.3e-13	53.4	151	416	57	338	32	347	0.77	1	3	0.43119266055045874	0.3757062146892655	PQQ_2
sp|Q46444|QHED_COMTE	708	PQQ_2.aln	654	5.3e-15	59.3	0.00028	1.9	11.2	545	605	502	562	492	599	0.77	2	3	0.09327217125382263	0.08615819209039548	PQQ_2
sp|Q46444|QHED_COMTE	708	PQQ_2.aln	654	5.3e-15	59.3	2.8	18000.0	-1.9	39	61	619	641	589	651	0.77	3	3	0.035168195718654434	0.03248587570621469	PQQ_2
sp|Q88JH0|PEDH_PSEPK	595	PQQ_2.aln	654	7.5e-14	55.5	6e-14	4e-10	43.2	151	415	41	321	33	329	0.74	1	2	0.42966360856269115	0.44537815126050423	PQQ_2
sp|Q88JH0|PEDH_PSEPK	595	PQQ_2.aln	654	7.5e-14	55.5	0.00078	5.2	9.8	558	593	497	532	468	564	0.82	2	2	0.05504587155963303	0.06050420168067227	PQQ_2
sp|A0A3F2YLY8|XOXF_METBY	617	PQQ_2.aln	654	8.5e-14	55.3	2.1e-14	1.4e-10	44.7	134	416	18	326	4	336	0.72	1	2	0.4724770642201835	0.4586709886547812	PQQ_2
sp|A0A3F2YLY8|XOXF_METBY	617	PQQ_2.aln	654	8.5e-14	55.3	1.7e-05	0.12	15.2	537	613	489	569	475	594	0.76	2	2	0.12385321100917432	0.12479740680713128	PQQ_2
sp|Q9AGW3|BOH_THABB	623	PQQ_2.aln	654	1.5e-13	54.5	1.3e-11	8.7e-08	35.5	156	304	49	208	9	298	0.71	1	2	0.24464831804281345	0.2391653290529695	PQQ_2
sp|Q9AGW3|BOH_THABB	623	PQQ_2.aln	654	1.5e-13	54.5	3.8e-07	0.0025	20.7	552	596	526	570	522	601	0.87	2	2	0.06880733944954129	0.07223113964686999	PQQ_2
sp|P29968|XOXF_PARDE	600	PQQ_2.aln	654	4.7e-13	52.9	3.5e-16	2.3e-12	50.6	151	416	32	317	25	326	0.78	1	2	0.43730886850152906	0.44333333333333336	PQQ_2
sp|P29968|XOXF_PARDE	600	PQQ_2.aln	654	4.7e-13	52.9	0.0087	58.0	6.3	544	613	484	557	467	579	0.72	2	2	0.11314984709480122	0.11666666666666667	PQQ_2
sp|Q934G0|LUH_PSESP	695	PQQ_2.aln	654	5.4e-13	52.7	0.00026	1.8	11.3	514	606	91	185	61	199	0.79	1	4	0.1452599388379205	0.13381294964028778	PQQ_2
sp|Q934G0|LUH_PSESP	695	PQQ_2.aln	654	5.4e-13	52.7	5.7e-09	3.8e-05	26.7	317	414	200	316	185	325	0.7	2	4	0.17889908256880735	0.1410071942446043	PQQ_2
sp|Q934G0|LUH_PSESP	695	PQQ_2.aln	654	5.4e-13	52.7	2.5e-06	0.017	18.0	555	599	484	528	455	553	0.75	3	4	0.06880733944954129	0.06474820143884892	PQQ_2
sp|Q934G0|LUH_PSESP	695	PQQ_2.aln	654	5.4e-13	52.7	0.88	5900.0	-0.3	47	85	603	642	591	672	0.74	4	4	0.06116207951070336	0.05611510791366906	PQQ_2
sp|Q9Z4J7|QEDH_PSEAE	623	PQQ_2.aln	654	7.9e-13	52.1	8.2e-12	5.5e-08	36.1	157	304	55	213	37	350	0.75	1	3	0.24311926605504589	0.2375601926163724	PQQ_2
sp|Q9Z4J7|QEDH_PSEAE	623	PQQ_2.aln	654	7.9e-13	52.1	0.87	5800.0	-0.3	319	587	500	515	494	522	0.62	2	3	0.024464831804281346	0.4317817014446228	PQQ_2
sp|Q9Z4J7|QEDH_PSEAE	623	PQQ_2.aln	654	7.9e-13	52.1	5.7e-06	0.038	16.8	559	595	528	564	509	596	0.79	3	3	0.05657492354740061	0.0593900481540931	PQQ_2
sp|Q4W6G0|QGDA_PSEPU	718	PQQ_2.aln	654	2e-11	47.5	3.4e-13	2.3e-09	40.7	152	416	49	328	40	337	0.78	1	2	0.42813455657492355	0.36908077994428967	PQQ_2
sp|Q4W6G0|QGDA_PSEPU	718	PQQ_2.aln	654	2e-11	47.5	0.0082	54.0	6.4	557	595	510	548	484	589	0.64	2	2	0.05963302752293578	0.054317548746518104	PQQ_2
sp|Q88JH5|PEDE_PSEPK	631	PQQ_2.aln	654	2.1e-11	47.4	3.2e-10	2.2e-06	30.9	155	381	61	308	31	362	0.61	1	3	0.37920489296636084	0.35974643423137875	PQQ_2
sp|Q88JH5|PEDE_PSEPK	631	PQQ_2.aln	654	2.1e-11	47.4	0.9	6000.0	-0.3	572	588	508	524	501	539	0.77	2	3	0.02599388379204893	0.02694136291600634	PQQ_2
sp|Q88JH5|PEDE_PSEPK	631	PQQ_2.aln	654	2.1e-11	47.4	4.7e-06	0.032	17.1	563	595	540	572	527	604	0.8	3	3	0.05045871559633028	0.05229793977812995	PQQ_2
sp|A8R3S4|QEDH_PSEPU	623	PQQ_2.aln	654	9.5e-11	45.3	2.5e-10	1.6e-06	31.3	157	303	55	212	27	219	0.72	1	5	0.2415902140672783	0.23595505617977527	PQQ_2
sp|A8R3S4|QEDH_PSEPU	623	PQQ_2.aln	654	9.5e-11	45.3	0.51	3400.0	0.5	452	485	211	239	197	256	0.79	2	5	0.04434250764525994	0.05457463884430177	PQQ_2
sp|A8R3S4|QEDH_PSEPU	623	PQQ_2.aln	654	9.5e-11	45.3	0.34	2200.0	1.1	353	414	272	347	260	354	0.65	3	5	0.1162079510703364	0.09951845906902086	PQQ_2
sp|A8R3S4|QEDH_PSEPU	623	PQQ_2.aln	654	9.5e-11	45.3	0.22	1500.0	1.7	572	589	500	517	494	531	0.82	4	5	0.027522935779816515	0.028892455858747994	PQQ_2
sp|A8R3S4|QEDH_PSEPU	623	PQQ_2.aln	654	9.5e-11	45.3	4.3e-05	0.29	13.9	563	595	532	564	522	596	0.8	5	5	0.05045871559633028	0.052969502407704656	PQQ_2
sp|Q9AF95|BDH_THABB	691	PQQ_2.aln	654	1.4e-10	44.7	2.4e-11	1.6e-07	34.6	521	614	103	198	97	209	0.79	1	3	0.14678899082568808	0.13603473227206947	PQQ_2
sp|Q9AF95|BDH_THABB	691	PQQ_2.aln	654	1.4e-10	44.7	4.5	30000.0	-2.6	394	416	299	321	295	365	0.65	2	3	0.035168195718654434	0.03328509406657019	PQQ_2
sp|Q9AF95|BDH_THABB	691	PQQ_2.aln	654	1.4e-10	44.7	0.0058	39.0	6.9	560	594	500	534	477	559	0.77	3	3	0.053516819571865444	0.05065123010130246	PQQ_2
sp|Q70JN9|SLDA_GLUOX	743	PQQ_2.aln	654	2.9e-10	43.7	2e-12	1.3e-08	38.2	149	415	103	400	77	415	0.69	1	2	0.45565749235474007	0.35935397039030953	PQQ_2
sp|Q70JN9|SLDA_GLUOX	743	PQQ_2.aln	654	2.9e-10	43.7	0.013	87.0	5.7	558	587	663	693	619	724	0.85	2	2	0.047400611620795105	0.040376850605652756	PQQ_2
sp|C5B120|XOXF1_METEA	601	PQQ_2.aln	654	1.4e-09	41.4	2e-10	1.3e-06	31.6	160	416	41	317	29	326	0.7	1	2	0.4235474006116208	0.4276206322795341	PQQ_2
sp|C5B120|XOXF1_METEA	601	PQQ_2.aln	654	1.4e-09	41.4	7.2e-05	0.48	13.2	540	599	480	539	469	587	0.78	2	2	0.09174311926605505	0.09983361064891846	PQQ_2
sp|Q8KIL1|SLDA_GLUTH	740	PQQ_2.aln	654	3.7e-09	40.0	1.1e-11	7.2e-08	35.7	150	416	100	397	80	433	0.71	1	2	0.45565749235474007	0.3608108108108108	PQQ_2
sp|Q8KIL1|SLDA_GLUTH	740	PQQ_2.aln	654	3.7e-09	40.0	0.038	250.0	4.2	562	588	663	690	616	722	0.84	2	2	0.04281345565749235	0.03648648648648649	PQQ_2
sp|O05542|ADHA_GLUOX	757	PQQ_2.aln	654	8.7e-09	38.8	3e-12	2e-08	37.6	143	415	42	340	25	350	0.67	1	3	0.45718654434250766	0.3606340819022457	PQQ_2
sp|O05542|ADHA_GLUOX	757	PQQ_2.aln	654	8.7e-09	38.8	0.096	640.0	2.9	562	596	532	566	516	619	0.66	2	3	0.053516819571865444	0.046235138705416116	PQQ_2
sp|O05542|ADHA_GLUOX	757	PQQ_2.aln	654	8.7e-09	38.8	0.26	1700.0	1.4	41	61	639	660	634	666	0.86	3	3	0.03363914373088685	0.02774108322324967	PQQ_2
sp|P28036|ADHA_GLUPO	738	PQQ_2.aln	654	3.7e-08	36.7	5.6e-12	3.7e-08	36.7	150	414	52	340	17	349	0.71	1	2	0.4418960244648318	0.35907859078590787	PQQ_2
sp|P28036|ADHA_GLUPO	738	PQQ_2.aln	654	3.7e-08	36.7	0.96	6400.0	-0.4	564	602	530	572	503	615	0.67	2	2	0.06574923547400612	0.052845528455284556	PQQ_2
sp|Q60282|Y3523_METJA	827	PQQ_2.aln	654	4.3e-08	36.5	0.15	1000.0	2.2	199	227	101	129	77	180	0.65	1	6	0.04434250764525994	0.03506650544135429	PQQ_2
sp|Q60282|Y3523_METJA	827	PQQ_2.aln	654	4.3e-08	36.5	0.25	1600.0	1.5	517	538	188	208	175	217	0.77	2	6	0.03211009174311927	0.026602176541717048	PQQ_2
sp|Q60282|Y3523_METJA	827	PQQ_2.aln	654	4.3e-08	36.5	3.1e-05	0.21	14.4	184	277	490	589	471	599	0.76	3	6	0.1529051987767584	0.11366384522370013	PQQ_2
sp|Q60282|Y3523_METJA	827	PQQ_2.aln	654	4.3e-08	36.5	0.035	230.0	4.3	174	232	613	671	589	684	0.64	4	6	0.09021406727828746	0.07134220072551391	PQQ_2
sp|Q60282|Y3523_METJA	827	PQQ_2.aln	654	4.3e-08	36.5	0.098	650.0	2.8	518	537	726	745	671	752	0.83	5	6	0.03058103975535168	0.02418379685610641	PQQ_2
sp|Q60282|Y3523_METJA	827	PQQ_2.aln	654	4.3e-08	36.5	0.18	1200.0	1.9	521	536	767	782	761	788	0.84	6	6	0.024464831804281346	0.019347037484885126	PQQ_2
sp|Q44002|ADHA_KOMEU	739	PQQ_2.aln	654	4.6e-08	36.4	6.9e-12	4.6e-08	36.4	150	414	52	341	15	352	0.7	1	2	0.4434250764525994	0.35859269282814615	PQQ_2
sp|Q44002|ADHA_KOMEU	739	PQQ_2.aln	654	4.6e-08	36.4	0.96	6400.0	-0.4	564	602	531	573	504	616	0.67	2	2	0.06574923547400612	0.05277401894451962	PQQ_2
sp|P18278|ADHA_ACEAC	742	PQQ_2.aln	654	6.8e-08	35.8	1e-11	6.8e-08	35.8	150	415	51	341	35	354	0.72	1	2	0.44495412844036697	0.3584905660377358	PQQ_2
sp|P18278|ADHA_ACEAC	742	PQQ_2.aln	654	6.8e-08	35.8	0.24	1600.0	1.6	564	592	530	558	499	613	0.66	2	2	0.04434250764525994	0.03908355795148248	PQQ_2
sp|P38539|DHM1_METME	573	PQQ_2.aln	654	2e-07	34.3	7.1e-08	0.00048	23.1	170	460	32	344	8	354	0.65	1	2	0.4785932721712538	0.5078534031413613	PQQ_2
sp|P38539|DHM1_METME	573	PQQ_2.aln	654	2e-07	34.3	4.7e-05	0.32	13.8	537	638	452	558	442	573	0.7	2	2	0.1636085626911315	0.17801047120418848	PQQ_2
sp|Q5RG49|ACSF4_DANRE	1149	PQQ_2.aln	654	4.1e-07	33.3	0.00011	0.71	12.6	516	592	895	971	802	977	0.56	1	3	0.11773700305810397	0.0670147954743255	PQQ_2
sp|Q5RG49|ACSF4_DANRE	1149	PQQ_2.aln	654	4.1e-07	33.3	0.45	3000.0	0.7	564	591	983	1009	978	1016	0.86	2	3	0.04128440366972477	0.024369016536118365	PQQ_2
sp|Q5RG49|ACSF4_DANRE	1149	PQQ_2.aln	654	4.1e-07	33.3	0.00011	0.71	12.6	555	625	1034	1106	1026	1116	0.73	3	3	0.11162079510703364	0.06179286335944299	PQQ_2
sp|P27175|DHG_GLUOX	808	PQQ_2.aln	654	2.1e-06	30.9	0.0011	7.5	9.3	146	227	159	250	138	257	0.8	1	3	0.14067278287461774	0.10148514851485149	PQQ_2
sp|P27175|DHG_GLUOX	808	PQQ_2.aln	654	2.1e-06	30.9	3.2e-05	0.22	14.4	316	414	363	467	348	476	0.83	2	3	0.16055045871559634	0.12252475247524752	PQQ_2
sp|P27175|DHG_GLUOX	808	PQQ_2.aln	654	2.1e-06	30.9	0.016	110.0	5.4	566	592	738	764	730	788	0.78	3	3	0.04128440366972477	0.03341584158415842	PQQ_2
sp|F7XXL0|BAMB_MOREP	388	PQQ_2.aln	654	3.6e-06	30.1	0.032	220.0	4.4	193	228	58	93	34	102	0.79	1	6	0.05504587155963303	0.09278350515463918	PQQ_2
sp|F7XXL0|BAMB_MOREP	388	PQQ_2.aln	654	3.6e-06	30.1	4.7e-06	0.031	17.1	187	239	103	155	99	158	0.9	2	6	0.08103975535168195	0.13659793814432988	PQQ_2
sp|F7XXL0|BAMB_MOREP	388	PQQ_2.aln	654	3.6e-06	30.1	0.11	750.0	2.6	562	601	156	195	153	217	0.81	3	6	0.06116207951070336	0.10309278350515463	PQQ_2
sp|F7XXL0|BAMB_MOREP	388	PQQ_2.aln	654	3.6e-06	30.1	1.1	7300.0	-0.6	457	486	205	233	200	246	0.76	4	6	0.04434250764525994	0.07731958762886598	PQQ_2
sp|F7XXL0|BAMB_MOREP	388	PQQ_2.aln	654	3.6e-06	30.1	0.017	110.0	5.4	559	592	249	282	213	291	0.83	5	6	0.05198776758409786	0.08762886597938144	PQQ_2
sp|F7XXL0|BAMB_MOREP	388	PQQ_2.aln	654	3.6e-06	30.1	7.5	50000.0	-3.4	389	409	297	317	293	326	0.71	6	6	0.03211009174311927	0.05412371134020619	PQQ_2
sp|Q32D50|BAMB_SHIDS	392	PQQ_2.aln	654	7e-06	29.2	0.23	1500.0	1.6	563	591	70	98	59	102	0.78	1	6	0.04434250764525994	0.07397959183673469	PQQ_2
sp|Q32D50|BAMB_SHIDS	392	PQQ_2.aln	654	7e-06	29.2	6e-05	0.4	13.5	184	238	103	157	96	161	0.83	2	6	0.08409785932721713	0.14030612244897958	PQQ_2
sp|Q32D50|BAMB_SHIDS	392	PQQ_2.aln	654	7e-06	29.2	0.26	1700.0	1.5	561	592	158	189	149	213	0.72	3	6	0.04892966360856269	0.08163265306122448	PQQ_2
sp|Q32D50|BAMB_SHIDS	392	PQQ_2.aln	654	7e-06	29.2	0.0071	48.0	6.6	499	586	247	279	201	279	0.55	4	6	0.05045871559633028	0.22448979591836735	PQQ_2
sp|Q32D50|BAMB_SHIDS	392	PQQ_2.aln	654	7e-06	29.2	0.00068	4.6	10.0	559	601	252	294	244	315	0.85	5	6	0.06574923547400612	0.1096938775510204	PQQ_2
sp|Q32D50|BAMB_SHIDS	392	PQQ_2.aln	654	7e-06	29.2	1.5	9900.0	-1.1	389	408	300	319	294	324	0.87	6	6	0.03058103975535168	0.05102040816326531	PQQ_2
sp|P77774|BAMB_ECOLI	392	PQQ_2.aln	654	7e-06	29.2	0.23	1600.0	1.6	563	591	70	98	60	102	0.78	1	6	0.04434250764525994	0.07397959183673469	PQQ_2
sp|P77774|BAMB_ECOLI	392	PQQ_2.aln	654	7e-06	29.2	6.3e-05	0.42	13.4	184	238	103	157	98	161	0.83	2	6	0.08409785932721713	0.14030612244897958	PQQ_2
sp|P77774|BAMB_ECOLI	392	PQQ_2.aln	654	7e-06	29.2	0.27	1800.0	1.4	561	592	158	189	150	218	0.73	3	6	0.04892966360856269	0.08163265306122448	PQQ_2
sp|P77774|BAMB_ECOLI	392	PQQ_2.aln	654	7e-06	29.2	0.0027	18.0	8.0	501	586	249	279	197	281	0.57	4	6	0.047400611620795105	0.2193877551020408	PQQ_2
sp|P77774|BAMB_ECOLI	392	PQQ_2.aln	654	7e-06	29.2	0.00056	3.8	10.2	559	601	252	294	218	315	0.85	5	6	0.06574923547400612	0.1096938775510204	PQQ_2
sp|P77774|BAMB_ECOLI	392	PQQ_2.aln	654	7e-06	29.2	1.6	11000.0	-1.2	389	408	300	319	297	324	0.87	6	6	0.03058103975535168	0.05102040816326531	PQQ_2
sp|Q9XD78|QUIA_XANCJ	790	PQQ_2.aln	654	8.9e-06	28.8	0.00035	2.3	10.9	257	329	216	300	203	304	0.66	1	3	0.12996941896024464	0.09240506329113925	PQQ_2
