hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|Q9HZY8|EST_PSEAE	201	SGNH_hydrolase.aln	201	2e-79	271.1	5.8e-84	2.2e-79	270.9	1	201	1	201	1	201	0.99	1	1	1.0	1.0	SGNH_hydrolase
sp|P0ADA1|TESA_ECOLI	208	SGNH_hydrolase.aln	201	5.8e-41	145.5	1.7e-45	6.7e-41	145.3	18	201	24	204	10	204	0.95	1	1	0.900497512437811	0.8846153846153846	SGNH_hydrolase
sp|P0ADA2|TESA_ECOL6	208	SGNH_hydrolase.aln	201	5.8e-41	145.5	1.7e-45	6.7e-41	145.3	18	201	24	204	10	204	0.95	1	1	0.900497512437811	0.8846153846153846	SGNH_hydrolase
sp|Q07792|ESTE_VIBMI	200	SGNH_hydrolase.aln	201	1e-40	144.7	3.3e-45	1.3e-40	144.4	21	187	20	186	6	196	0.95	1	1	0.8308457711442786	0.835	SGNH_hydrolase
sp|P54451|YQEF_BACSU	243	SGNH_hydrolase.aln	201	0.18	16.6	5.7e-06	0.22	16.3	40	130	46	139	24	210	0.7	1	1	0.46766169154228854	0.37448559670781895	SGNH_hydrolase
sp|P41134|ID1_HUMAN	155	SGNH_hydrolase.aln	201	1.1	14.0	3.8e-05	1.5	13.6	64	122	41	99	27	119	0.72	1	1	0.2935323383084577	0.38064516129032255	SGNH_hydrolase
sp|Q00017|RHA1_ASPAC	250	SGNH_hydrolase.aln	201	1.5	13.6	5.9e-05	2.3	13.0	8	98	4	93	1	100	0.87	1	1	0.44776119402985076	0.364	SGNH_hydrolase
sp|Q6FCS8|HISZ_ACIAD	388	SGNH_hydrolase.aln	201	1.6	13.4	7.3e-05	2.8	12.7	73	113	339	380	330	387	0.78	1	1	0.208955223880597	0.1056701030927835	SGNH_hydrolase
sp|A1K6S0|EFTS_AZOSB	297	SGNH_hydrolase.aln	201	3.0	12.6	0.00016	6.3	11.5	10	125	51	166	44	179	0.8	1	1	0.5771144278606966	0.39057239057239057	SGNH_hydrolase
sp|B0U330|KDSB_XYLFM	257	SGNH_hydrolase.aln	201	3.2	12.5	0.00012	4.6	12.0	33	99	41	109	31	143	0.79	1	1	0.34328358208955223	0.2607003891050584	SGNH_hydrolase
sp|D4AZY1|A1751_ARTBC	387	SGNH_hydrolase.aln	201	3.4	12.4	0.00015	5.8	11.7	10	78	95	163	90	183	0.86	1	1	0.34328358208955223	0.17829457364341086	SGNH_hydrolase
sp|Q1IIY8|ARGR_KORVE	148	SGNH_hydrolase.aln	201	3.8	12.3	0.00014	5.5	11.7	36	113	63	141	56	146	0.78	1	1	0.39303482587064675	0.527027027027027	SGNH_hydrolase
sp|A4SRH0|CYSG2_AERS4	480	SGNH_hydrolase.aln	201	4.3	12.1	0.0049	190.0	6.7	69	118	125	174	56	253	0.85	1	3	0.24875621890547264	0.10416666666666667	SGNH_hydrolase
sp|A4SRH0|CYSG2_AERS4	480	SGNH_hydrolase.aln	201	4.3	12.1	5.2	200000.0	-3.2	82	127	345	393	316	396	0.53	2	3	0.24378109452736318	0.09583333333333334	SGNH_hydrolase
sp|A4SRH0|CYSG2_AERS4	480	SGNH_hydrolase.aln	201	4.3	12.1	0.066	2500.0	3.0	5	32	417	445	413	455	0.82	3	3	0.14427860696517414	0.058333333333333334	SGNH_hydrolase
sp|Q87BW1|KDSB_XYLFT	252	SGNH_hydrolase.aln	201	5.2	11.8	0.00019	7.3	11.3	32	99	35	104	25	138	0.79	1	1	0.3482587064676617	0.2698412698412698	SGNH_hydrolase
sp|B2I6C4|KDSB_XYLF2	257	SGNH_hydrolase.aln	201	5.4	11.8	0.0002	7.6	11.3	32	99	40	109	30	143	0.79	1	1	0.3482587064676617	0.26459143968871596	SGNH_hydrolase
