hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|P13398|NYLA_PAEUR	493	PA.aln	413	6.3e-127	429.4	9.6e-130	7.6e-127	429.2	12	409	8	483	1	488	0.99	1	1	1.152542372881356	0.8073022312373225	PA
sp|P13397|NYLA_PSES8	493	PA.aln	413	2.4e-125	424.2	3.7e-128	2.9e-125	424.0	12	409	8	483	1	488	0.99	1	1	1.152542372881356	0.8073022312373225	PA
sp|Q79F77|NYLC_PAEUR	355	PA.aln	413	2.6e-95	325.3	3.8e-98	3e-95	325.1	5	363	19	353	1	354	0.94	1	1	0.8111380145278451	1.0112676056338028	PA
sp|Q1EPR4|NYLC_KOCS2	355	PA.aln	413	9.4e-95	323.5	1.3e-97	1.1e-94	323.3	5	363	5	353	1	354	0.94	1	1	0.8450363196125908	1.0112676056338028	PA
sp|Q1EPR5|NYLC_AGRS5	355	PA.aln	413	1.2e-94	323.1	1.7e-97	1.4e-94	322.9	5	363	19	353	1	354	0.94	1	1	0.8111380145278451	1.0112676056338028	PA
sp|Q14T92|NYLC2_AGRS5	306	PA.aln	413	5.9e-93	317.6	8.9e-96	7.1e-93	317.3	14	363	2	304	1	305	0.99	1	1	0.7336561743341404	1.1437908496732025	PA
sp|P07062|NYLB2_PAEUR	392	PA.aln	413	1.1e-74	257.3	1.7e-77	1.3e-74	257.1	1	400	1	391	1	392	0.98	1	1	0.9467312348668281	1.0204081632653061	PA
sp|Q52VH2|BAPA_SPHXN	402	PA.aln	413	2.3e-70	243.2	3e-73	2.4e-70	243.1	7	400	42	401	1	402	0.96	1	1	0.8716707021791767	0.9800995024875622	PA
sp|P07061|NYLB_PAEUR	392	PA.aln	413	2.8e-70	242.9	4e-73	3.2e-70	242.7	1	400	1	391	1	392	0.97	1	1	0.9467312348668281	1.0204081632653061	PA
sp|A0MTQ2|BAPA_SPHMI	396	PA.aln	413	4.3e-45	159.9	7.2e-48	5.7e-45	159.5	9	402	37	393	18	395	0.94	1	1	0.864406779661017	0.9949494949494949	PA
sp|P63495|AMI3_MYCBO	473	PA.aln	413	6e-45	159.4	9.9e-48	7.8e-45	159.0	10	407	13	467	2	472	0.92	1	1	1.1016949152542372	0.8414376321353065	PA
sp|P9WQ94|AMI3_MYCTO	473	PA.aln	413	6e-45	159.4	9.9e-48	7.8e-45	159.0	10	407	13	467	2	472	0.92	1	1	1.1016949152542372	0.8414376321353065	PA
