hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|P00590|CUTI1_FUSVN	230	Cutinase.aln	208	2.3e-90	306.9	5.3e-94	2.6e-90	306.7	1	208	1	225	1	225	0.99	1	1	1.0817307692307692	0.9043478260869565	Cutinase
sp|Q99174|CUTI_FUSSC	230	Cutinase.aln	208	7.2e-90	305.3	1.7e-93	8.1e-90	305.1	1	208	1	225	1	225	0.99	1	1	1.0817307692307692	0.9043478260869565	Cutinase
sp|Q96UT0|CUTI2_FUSVN	231	Cutinase.aln	208	1.5e-88	301.0	3.4e-92	1.6e-88	300.8	1	208	1	226	1	226	0.99	1	1	1.0865384615384615	0.9004329004329005	Cutinase
sp|Q96US9|CUTI3_FUSVN	231	Cutinase.aln	208	8.3e-88	298.5	1.9e-91	9.3e-88	298.4	1	208	1	226	1	226	0.99	1	1	1.0865384615384615	0.9004329004329005	Cutinase
sp|B8MVS3|CUTI1_ASPFN	213	Cutinase.aln	208	3.2e-75	257.4	7.3e-79	3.6e-75	257.2	1	206	1	212	1	213	0.98	1	1	1.0192307692307692	0.9671361502347418	Cutinase
sp|P52956|CUTI1_ASPOR	213	Cutinase.aln	208	3.2e-75	257.4	7.3e-79	3.6e-75	257.2	1	206	1	212	1	213	0.98	1	1	1.0192307692307692	0.9671361502347418	Cutinase
sp|P41744|CUTI_ALTBR	209	Cutinase.aln	208	3.9e-72	247.3	8.8e-76	4.3e-72	247.2	5	207	3	207	1	208	0.97	1	1	0.9855769230769231	0.9712918660287081	Cutinase
sp|B8NCM8|CUTI3_ASPFN	224	Cutinase.aln	208	5.9e-72	246.8	1.5e-75	7.2e-72	246.5	4	207	6	222	2	223	0.97	1	1	1.0432692307692308	0.9107142857142857	Cutinase
sp|Q2U199|CUTI3_ASPOR	224	Cutinase.aln	208	2.1e-71	245.0	5.2e-75	2.5e-71	244.7	4	207	6	222	2	223	0.96	1	1	1.0432692307692308	0.9107142857142857	Cutinase
sp|A1CVT3|CUTI2_NEOFI	215	Cutinase.aln	208	1.4e-70	242.2	3.2e-74	1.6e-70	242.1	1	206	1	212	1	214	0.97	1	1	1.0192307692307692	0.958139534883721	Cutinase
sp|P11373|CUTI1_COLGL	224	Cutinase.aln	208	1.5e-70	242.2	3.3e-74	1.6e-70	242.0	1	206	1	223	1	224	0.98	1	1	1.0721153846153846	0.9196428571428571	Cutinase
sp|B0Y537|CUTI2_ASPFC	214	Cutinase.aln	208	1.7e-70	242.0	3.8e-74	1.9e-70	241.8	1	207	1	213	1	214	0.97	1	1	1.0240384615384615	0.9672897196261683	Cutinase
sp|Q4WQV2|CUTI2_ASPFU	214	Cutinase.aln	208	1.7e-70	242.0	3.8e-74	1.9e-70	241.8	1	207	1	213	1	214	0.97	1	1	1.0240384615384615	0.9672897196261683	Cutinase
sp|P30272|CUTI1_PYRO7	228	Cutinase.aln	208	7.9e-70	239.8	1.8e-73	8.9e-70	239.6	1	208	1	227	1	227	0.98	1	1	1.0913461538461537	0.9122807017543859	Cutinase
sp|A1D9W1|CUTI3_NEOFI	217	Cutinase.aln	208	3e-69	237.9	6.6e-73	3.2e-69	237.8	6	207	7	216	1	217	0.96	1	1	1.0096153846153846	0.9308755760368663	Cutinase
sp|Q0CNE3|CUTI3_ASPTN	218	Cutinase.aln	208	3e-69	237.9	6.6e-73	3.3e-69	237.8	5	207	6	218	1	218	0.97	1	1	1.0240384615384615	0.9311926605504587	Cutinase
sp|B6H2E9|CUTI2_PENRW	212	Cutinase.aln	208	8.3e-69	236.5	1.9e-72	9.2e-69	236.3	1	206	1	211	1	212	0.96	1	1	1.0144230769230769	0.9716981132075472	Cutinase
sp|B0XRY3|CUTI1_ASPFC	211	Cutinase.aln	208	1.3e-68	235.8	3e-72	1.5e-68	235.7	2	206	2	211	1	211	0.95	1	1	1.0096153846153846	0.9715639810426541	Cutinase
sp|Q4X1N0|CUTI1_ASPFU	211	Cutinase.aln	208	1.3e-68	235.8	3e-72	1.5e-68	235.7	2	206	2	211	1	211	0.95	1	1	1.0096153846153846	0.9715639810426541	Cutinase
sp|B8NBB2|CUTI2_ASPFN	259	Cutinase.aln	208	1.9e-68	235.3	5.1e-72	2.5e-68	234.9	1	207	1	213	1	214	0.97	1	1	1.0240384615384615	0.7992277992277992	Cutinase
sp|A1DGN0|CUTI1_NEOFI	211	Cutinase.aln	208	2.6e-68	234.9	5.8e-72	2.8e-68	234.7	2	206	2	211	1	211	0.95	1	1	1.0096153846153846	0.9715639810426541	Cutinase
sp|Q2TZY7|CUTI2_ASPOR	221	Cutinase.aln	208	6.6e-68	233.5	1.6e-71	7.9e-68	233.3	1	204	1	210	1	213	0.97	1	1	1.0096153846153846	0.9230769230769231	Cutinase
sp|A2R2W3|CUTI1_ASPNC	262	Cutinase.aln	208	8e-68	233.2	2.1e-71	1e-67	232.9	8	207	11	225	4	226	0.95	1	1	1.0336538461538463	0.7633587786259542	Cutinase
sp|P10951|CUTI_COLTU	228	Cutinase.aln	208	9.2e-68	233.1	2.1e-71	1e-67	232.9	1	206	1	227	1	228	0.99	1	1	1.0913461538461537	0.9035087719298246	Cutinase
sp|Q0CD01|CUTI1_ASPTN	209	Cutinase.aln	208	1.5e-67	232.3	3.5e-71	1.7e-67	232.2	1	206	1	209	1	209	0.97	1	1	1.0048076923076923	0.9856459330143541	Cutinase
sp|Q5B2C1|CUTI1_EMENI	213	Cutinase.aln	208	2.2e-67	231.8	5e-71	2.5e-67	231.6	3	206	5	213	1	213	0.95	1	1	1.0048076923076923	0.9577464788732394	Cutinase
sp|B0YEP5|CUTI3_ASPFC	217	Cutinase.aln	208	4.2e-67	230.9	9.3e-71	4.5e-67	230.8	6	207	7	216	1	217	0.96	1	1	1.0096153846153846	0.9308755760368663	Cutinase
sp|Q4W9Z4|CUTI3_ASPFU	217	Cutinase.aln	208	4.2e-67	230.9	9.3e-71	4.5e-67	230.8	6	207	7	216	1	217	0.96	1	1	1.0096153846153846	0.9308755760368663	Cutinase
sp|Q5AX00|CUTI3_EMENI	221	Cutinase.aln	208	8.3e-67	229.9	1.9e-70	9.1e-67	229.8	1	206	1	219	1	221	0.94	1	1	1.0528846153846154	0.9321266968325792	Cutinase
sp|Q0CRP4|CUTI5_ASPTN	220	Cutinase.aln	208	3.9e-66	227.7	8.5e-70	4.2e-66	227.6	4	206	6	218	1	220	0.96	1	1	1.0240384615384615	0.9227272727272727	Cutinase
sp|Q0CW01|CUTI4_ASPTN	219	Cutinase.aln	208	7.1e-66	226.9	1.6e-69	7.8e-66	226.7	5	207	6	218	1	219	0.96	1	1	1.0240384615384615	0.9269406392694064	Cutinase
sp|Q5AVY9|CUTI2_EMENI	255	Cutinase.aln	208	9.7e-66	226.4	2.4e-69	1.2e-65	226.2	1	206	1	216	1	218	0.94	1	1	1.0384615384615385	0.807843137254902	Cutinase
sp|A1C9G0|CUTI3_ASPCL	215	Cutinase.aln	208	1.8e-65	225.5	4.1e-69	2e-65	225.4	1	206	1	215	1	215	0.95	1	1	1.0336538461538463	0.958139534883721	Cutinase
sp|Q0CES4|CUTI2_ASPTN	216	Cutinase.aln	208	2.4e-65	225.1	5.5e-69	2.7e-65	225.0	1	206	1	215	1	216	0.95	1	1	1.0336538461538463	0.9537037037037037	Cutinase
sp|P29292|CUTI_DIDRA	223	Cutinase.aln	208	7.7e-65	223.5	1.7e-68	8.4e-65	223.4	8	207	11	222	1	223	0.91	1	1	1.0192307692307692	0.8968609865470852	Cutinase
sp|A1CSZ4|CUTI1_ASPCL	211	Cutinase.aln	208	6.8e-64	220.4	1.5e-67	7.5e-64	220.3	2	206	2	211	1	211	0.96	1	1	1.0096153846153846	0.9715639810426541	Cutinase
sp|A5ABE6|CUTI2_ASPNC	271	Cutinase.aln	208	4.4e-63	217.8	1.1e-66	5.4e-63	217.5	1	206	1	212	1	214	0.95	1	1	1.0192307692307692	0.7601476014760148	Cutinase
sp|B6HLS9|CUTI1_PENRW	208	Cutinase.aln	208	1.8e-57	199.5	4.4e-61	2.2e-57	199.2	1	206	1	207	1	208	0.92	1	1	0.9951923076923077	0.9903846153846154	Cutinase
