hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|G8GER6|PETH1_THEFU	319	PLA.aln	246	1.3e-49	174.3	5.1e-52	1.7e-49	173.9	6	239	31	307	19	318	0.9	1	1	1.1260162601626016	0.7335423197492164	PLA
sp|Q47RJ7|PETH1_THEFY	319	PLA.aln	246	1.3e-49	174.3	5.1e-52	1.7e-49	173.9	6	239	31	307	19	318	0.9	1	1	1.1260162601626016	0.7335423197492164	PLA
sp|D4Q9N1|PETH1_THEAE	296	PLA.aln	246	9.5e-49	171.5	3.4e-51	1.2e-48	171.2	5	239	5	284	1	295	0.87	1	1	1.1382113821138211	0.793918918918919	PLA
sp|E9LVH9|PETH2_THECS	262	PLA.aln	246	5.5e-48	169.0	2.1e-50	7e-48	168.6	19	239	29	250	4	261	0.92	1	1	0.9024390243902439	0.8435114503816794	PLA
sp|F7IX06|PETH2_THEAE	300	PLA.aln	246	6.8e-48	168.7	2.4e-50	8.3e-48	168.4	6	239	24	288	1	299	0.86	1	1	1.0772357723577235	0.78	PLA
sp|Q47RJ6|PETH2_THEFY	301	PLA.aln	246	3.6e-47	166.3	1.4e-49	4.7e-47	165.9	13	239	21	289	4	300	0.87	1	1	1.0934959349593496	0.7541528239202658	PLA
sp|Q6A0I4|PETH2_THEFU	301	PLA.aln	246	3.6e-47	166.3	1.4e-49	4.7e-47	165.9	13	239	21	289	4	300	0.87	1	1	1.0934959349593496	0.7541528239202658	PLA
sp|E9LVH8|PETH1_THECS	262	PLA.aln	246	6.9e-46	162.1	2.6e-48	8.8e-46	161.8	20	239	33	250	6	261	0.92	1	1	0.8861788617886179	0.8396946564885496	PLA
sp|Q9L2J6|BHETH_STRCO	310	PLA.aln	246	8.3e-41	145.5	3.9e-43	1.3e-40	144.8	17	240	35	299	17	305	0.84	1	1	1.0772357723577235	0.7225806451612903	PLA
sp|P0DX29|PETH1_AMYMS	309	PLA.aln	246	3.3e-39	140.3	1.3e-41	4.4e-39	139.8	6	236	31	294	5	304	0.84	1	1	1.0731707317073171	0.7475728155339806	PLA
sp|P19833|LIP1_MORS1	319	PLA.aln	246	1.5e-37	134.8	5.6e-40	1.9e-37	134.5	6	238	16	306	4	315	0.87	1	1	1.1829268292682926	0.7304075235109718	PLA
sp|A0A0K8P6T7|PETH_PISS1	290	PLA.aln	246	2.1e-37	134.3	7.9e-40	2.7e-37	134.0	5	238	9	280	1	289	0.85	1	1	1.1056910569105691	0.8068965517241379	PLA
sp|G9BY57|PETH_UNKP	293	PLA.aln	246	3.6e-34	123.7	1.6e-36	5.4e-34	123.2	6	232	12	277	1	287	0.86	1	1	1.08130081300813	0.7747440273037542	PLA
sp|P26495|PHAZ_ECTOL	283	PLA.aln	246	8.9e-25	93.0	2.9e-27	9.8e-25	92.8	24	237	14	282	2	283	0.91	1	1	1.0934959349593496	0.7561837455830389	PLA
sp|Q59695|ACOC_PSEPU	370	PLA.aln	246	3.5e-22	84.5	1.2e-24	4e-22	84.3	30	225	112	369	49	370	0.83	1	1	1.048780487804878	0.5297297297297298	PLA
sp|P37957|ESTA_BACSU	212	PLA.aln	246	7.4e-21	80.2	2.5e-23	8.6e-21	79.9	1	228	1	205	1	211	0.88	1	1	0.8333333333333334	1.0754716981132075	PLA
sp|P27747|ACOC_CUPNH	374	PLA.aln	246	2e-19	75.5	7.1e-22	2.4e-19	75.2	19	210	104	360	51	374	0.74	1	1	1.0447154471544715	0.5133689839572193	PLA
sp|Q79F14|ESTB_BACSU	210	PLA.aln	246	1e-18	73.2	3.4e-21	1.1e-18	73.0	14	228	18	203	1	209	0.82	1	1	0.7560975609756098	1.0238095238095237	PLA
sp|Q68GV9|ALP_CORPA	382	PLA.aln	246	9e-18	70.0	3.6e-20	1.2e-17	69.6	1	222	1	355	1	374	0.8	1	1	1.443089430894309	0.581151832460733	PLA
sp|O64252|PRXH_BPMD2	278	PLA.aln	246	3.9e-17	67.9	1.5e-19	5.2e-17	67.6	21	192	8	236	3	266	0.73	1	1	0.9308943089430894	0.6187050359712231	PLA
sp|P0DUB8|LIP_BURPL	358	PLA.aln	246	5.3e-17	67.5	2.4e-19	8.3e-17	66.9	6	211	23	331	4	353	0.79	1	1	1.2560975609756098	0.5754189944134078	PLA
sp|P0A573|Y2734_MYCBO	341	PLA.aln	246	5.4e-17	67.5	2.1e-19	7e-17	67.1	32	226	33	296	9	321	0.85	1	1	1.0731707317073171	0.5718475073313783	PLA
sp|P9WNH2|Y2715_MYCTO	341	PLA.aln	246	5.4e-17	67.5	2.1e-19	7e-17	67.1	32	226	33	296	9	321	0.85	1	1	1.0731707317073171	0.5718475073313783	PLA
sp|P9WNH3|Y2715_MYCTU	341	PLA.aln	246	5.4e-17	67.5	2.1e-19	7e-17	67.1	32	226	33	296	9	321	0.85	1	1	1.0731707317073171	0.5718475073313783	PLA
sp|P0DUB9|LIP_PSEPS	319	PLA.aln	246	7.3e-17	67.1	3.4e-19	1.2e-16	66.4	33	211	5	292	3	314	0.84	1	1	1.170731707317073	0.5611285266457681	PLA
sp|Q02104|LIP1_PSYIM	317	PLA.aln	246	8e-17	66.9	2.6e-19	9e-17	66.8	17	223	19	313	1	317	0.73	1	1	1.1991869918699187	0.6529968454258676	PLA
sp|A0QNZ7|MGLL_MYCS2	280	PLA.aln	246	1e-16	66.6	3.8e-19	1.3e-16	66.3	24	225	16	278	8	280	0.76	1	1	1.0691056910569106	0.7214285714285714	PLA
sp|Q8K4F5|ABHDB_MOUSE	307	PLA.aln	246	1.6e-16	66.0	5.7e-19	1.9e-16	65.7	22	222	34	305	10	307	0.78	1	1	1.1056910569105691	0.6547231270358306	PLA
sp|Q8NFV4|ABHDB_HUMAN	306	PLA.aln	246	4.2e-16	64.6	1.5e-18	5e-16	64.3	20	223	30	305	4	306	0.73	1	1	1.1219512195121952	0.6666666666666666	PLA
sp|P9WLC6|Y2307_MYCTO	281	PLA.aln	246	4.8e-16	64.4	1.6e-18	5.4e-16	64.2	1	227	1	277	1	281	0.76	1	1	1.1260162601626016	0.8078291814946619	PLA
sp|P9WLC7|Y2307_MYCTU	281	PLA.aln	246	5.3e-16	64.2	1.7e-18	5.9e-16	64.1	17	227	17	277	1	281	0.76	1	1	1.0609756097560976	0.7508896797153025	PLA
sp|P24640|LIP3_MORS1	315	PLA.aln	246	8.6e-16	63.6	3e-18	1e-15	63.3	17	211	19	299	1	313	0.75	1	1	1.1422764227642277	0.6190476190476191	PLA
sp|O22975|LPAAT_ARATH	418	PLA.aln	246	1.8e-15	62.5	1.1e-17	3.8e-15	61.4	31	229	106	407	23	415	0.71	1	1	1.2276422764227641	0.47607655502392343	PLA
sp|Q476M7|MHPC_CUPPJ	289	PLA.aln	246	2.1e-15	62.3	7.9e-18	2.7e-15	61.9	31	208	31	273	5	288	0.76	1	1	0.9878048780487805	0.615916955017301	PLA
sp|Q0J0A4|LPAAT_ORYSJ	414	PLA.aln	246	2.8e-15	61.9	7.4e-17	2.5e-14	58.7	17	224	37	398	21	408	0.69	1	1	1.4715447154471544	0.5024154589371981	PLA
