hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|P50325|CDA_AMYRO	421	GH_CE.aln	508	3.6e-114	387.2	5.3e-116	5.8e-112	379.9	1	505	1	419	1	421	0.88	1	1	0.8248031496062992	1.1995249406175772	GH_CE
sp|O13842|CDA1_SCHPO	320	GH_CE.aln	508	1.2e-59	207.3	2.1e-62	2.3e-58	203.1	85	431	19	319	2	320	0.84	1	1	0.59251968503937	1.084375	GH_CE
sp|J9VND2|CDA2_CRYNH	455	GH_CE.aln	508	1.9e-56	196.7	4.4e-44	4.8e-40	142.6	67	275	56	252	42	254	0.84	1	2	0.38779527559055116	0.4593406593406593	GH_CE
sp|J9VND2|CDA2_CRYNH	455	GH_CE.aln	508	1.9e-56	196.7	8.5e-19	9.2e-15	59.2	305	470	253	403	252	428	0.81	2	2	0.297244094488189	0.3648351648351648	GH_CE
sp|Q55U20|CDA2_CRYNB	458	GH_CE.aln	508	1.5e-52	183.9	2.2e-43	2.4e-39	140.3	62	275	52	253	42	255	0.88	1	2	0.39763779527559057	0.4672489082969432	GH_CE
sp|Q55U20|CDA2_CRYNB	458	GH_CE.aln	508	1.5e-52	183.9	1.5e-15	1.6e-11	48.5	305	463	254	423	253	439	0.62	2	2	0.3346456692913386	0.3471615720524017	GH_CE
sp|J9VPD7|CDA1_CRYNH	470	GH_CE.aln	508	6.4e-25	92.7	3.9e-26	4.2e-22	83.4	112	489	113	448	100	468	0.78	1	1	0.6614173228346457	0.8042553191489362	GH_CE
sp|P82476|CDA3_CRYNH	412	GH_CE.aln	508	8.1e-25	92.4	6.8e-26	7.4e-22	82.6	117	480	79	404	62	410	0.73	1	1	0.6417322834645669	0.883495145631068	GH_CE
sp|P0CP77|CDA3_CRYNB	410	GH_CE.aln	508	1.4e-23	88.3	4.8e-25	5.2e-21	79.8	146	464	102	382	76	409	0.75	1	1	0.5531496062992126	0.7780487804878049	GH_CE
sp|P0CP76|CDA3_CRYNJ	410	GH_CE.aln	508	4.3e-23	86.7	1.6e-24	1.7e-20	78.1	146	464	102	382	76	409	0.75	1	1	0.5531496062992126	0.7780487804878049	GH_CE
