hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|Q6H941|ALKB2_PSEAE	377	Acyl-CoA_desat.aln	382	1.4e-244	816.1	3.4e-249	1.6e-244	816.0	1	377	1	377	1	377	1.0	1	1	0.9869109947643979	1.0	Acyl-CoA_desat
sp|Q9I0R2|ALKB1_PSEAE	382	Acyl-CoA_desat.aln	382	2.8e-235	785.6	6.4e-240	3.1e-235	785.4	1	382	1	382	1	382	1.0	1	1	1.0	1.0	Acyl-CoA_desat
sp|Q0VTH3|ALKB2_ALCBS	382	Acyl-CoA_desat.aln	382	3.3e-153	515.4	7.6e-158	3.6e-153	515.3	1	374	1	374	1	382	0.98	1	1	0.9790575916230366	0.9790575916230366	Acyl-CoA_desat
sp|O31250|ALKB_ACIAD	408	Acyl-CoA_desat.aln	382	2.8e-87	298.4	7.4e-92	3.5e-87	298.1	50	365	65	377	16	387	0.93	1	1	0.819371727748691	0.7745098039215687	Acyl-CoA_desat
sp|P12691|ALKB_ECTOL	401	Acyl-CoA_desat.aln	382	3.3e-85	291.6	9e-90	4.3e-85	291.2	14	371	18	371	7	382	0.89	1	1	0.9267015706806283	0.8927680798004988	Acyl-CoA_desat
sp|Q9WWW6|ALKB_PSEPU	402	Acyl-CoA_desat.aln	382	5.1e-83	284.4	1.4e-87	6.6e-83	284.0	14	373	17	373	6	380	0.91	1	1	0.9345549738219895	0.8955223880597015	Acyl-CoA_desat
sp|Q0VKZ3|ALKB1_ALCBS	404	Acyl-CoA_desat.aln	382	3.8e-81	278.2	1e-85	4.9e-81	277.9	18	367	26	372	19	382	0.92	1	1	0.9083769633507853	0.8663366336633663	Acyl-CoA_desat
sp|P21395|XYLM_PSEPU	369	Acyl-CoA_desat.aln	382	1.2e-23	88.9	4.3e-28	2.1e-23	88.2	96	363	72	333	19	352	0.77	1	1	0.6858638743455497	0.7262872628726287	Acyl-CoA_desat
sp|Q53683|YOE1_STRAT	229	Acyl-CoA_desat.aln	382	0.32	15.1	0.32	15000.0	-0.2	24	55	38	71	28	84	0.68	1	2	0.08900523560209424	0.13973799126637554	Acyl-CoA_desat
sp|Q53683|YOE1_STRAT	229	Acyl-CoA_desat.aln	382	0.32	15.1	1.8e-05	0.84	13.8	29	114	77	161	58	172	0.82	2	2	0.22251308900523561	0.37554585152838427	Acyl-CoA_desat
sp|P77529|TCYP_ECOLI	463	Acyl-CoA_desat.aln	382	2.8	12.1	0.00011	5.1	11.2	44	136	34	126	4	144	0.7	1	1	0.24345549738219896	0.20086393088552915	Acyl-CoA_desat
sp|Q9FVQ9|FB29_ARATH	591	Acyl-CoA_desat.aln	382	3.9	11.6	0.00013	6.4	10.9	186	230	412	452	406	461	0.82	1	1	0.10732984293193717	0.07614213197969544	Acyl-CoA_desat
sp|Q9D071|MMS19_MOUSE	1031	Acyl-CoA_desat.aln	382	6.4	10.9	0.00047	23.0	9.1	292	350	80	138	65	149	0.91	1	2	0.1544502617801047	0.05722599418040737	Acyl-CoA_desat
sp|Q9D071|MMS19_MOUSE	1031	Acyl-CoA_desat.aln	382	6.4	10.9	0.87	42000.0	-1.7	182	224	285	328	283	340	0.81	2	2	0.11518324607329843	0.041707080504364696	Acyl-CoA_desat
