hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|Q588Z1|PVADH_SPHS1	654	Beta_propeller.aln	654	0.0	1392.9	0.0	0.0	1392.8	1	654	1	654	1	654	1.0	1	1	1.0	1.0	Beta_propeller
sp|P77931|PVADH_PSESP	639	Beta_propeller.aln	654	0.0	1349.3	0.0	0.0	1349.1	1	654	1	639	1	639	1.0	1	1	0.9770642201834863	1.0234741784037558	Beta_propeller
sp|C5AXV8|EXAF_METEA	587	Beta_propeller.aln	654	2.2e-18	70.5	6.4e-20	4.3e-16	62.9	147	415	36	315	18	324	0.81	1	2	0.42813455657492355	0.45826235093696766	Beta_propeller
sp|I0JWN7|XOXF_METFB	611	Beta_propeller.aln	654	8.1e-17	65.3	3.6e-15	2.4e-11	47.2	151	415	45	331	32	340	0.71	1	2	0.43883792048929665	0.4337152209492635	Beta_propeller
sp|Q8GR64|QHED_PSEPU	690	Beta_propeller.aln	654	2.4e-16	63.7	1.3e-19	8.7e-16	61.9	150	416	36	316	15	330	0.79	1	4	0.42966360856269115	0.3869565217391304	Beta_propeller
sp|Q46444|QHED_COMTE	708	Beta_propeller.aln	654	5.3e-15	59.3	4.9e-17	3.3e-13	53.4	151	416	57	338	32	347	0.77	1	3	0.43119266055045874	0.3757062146892655	Beta_propeller
sp|Q88JH0|PEDH_PSEPK	595	Beta_propeller.aln	654	7.5e-14	55.5	6e-14	4e-10	43.2	151	415	41	321	33	329	0.74	1	2	0.42966360856269115	0.44537815126050423	Beta_propeller
sp|A0A3F2YLY8|XOXF_METBY	617	Beta_propeller.aln	654	8.5e-14	55.3	2.1e-14	1.4e-10	44.7	134	416	18	326	4	336	0.72	1	2	0.4724770642201835	0.4586709886547812	Beta_propeller
sp|P29968|XOXF_PARDE	600	Beta_propeller.aln	654	4.7e-13	52.9	3.5e-16	2.3e-12	50.6	151	416	32	317	25	326	0.78	1	2	0.43730886850152906	0.44333333333333336	Beta_propeller
sp|Q4W6G0|QGDA_PSEPU	718	Beta_propeller.aln	654	2e-11	47.5	3.4e-13	2.3e-09	40.7	152	416	49	328	40	337	0.78	1	2	0.42813455657492355	0.36908077994428967	Beta_propeller
sp|Q88JH5|PEDE_PSEPK	631	Beta_propeller.aln	654	2.1e-11	47.4	3.2e-10	2.2e-06	30.9	155	381	61	308	31	362	0.61	1	3	0.37920489296636084	0.35974643423137875	Beta_propeller
sp|Q70JN9|SLDA_GLUOX	743	Beta_propeller.aln	654	2.9e-10	43.7	2e-12	1.3e-08	38.2	149	415	103	400	77	415	0.69	1	2	0.45565749235474007	0.35935397039030953	Beta_propeller
sp|C5B120|XOXF1_METEA	601	Beta_propeller.aln	654	1.4e-09	41.4	2e-10	1.3e-06	31.6	160	416	41	317	29	326	0.7	1	2	0.4235474006116208	0.4276206322795341	Beta_propeller
sp|Q8KIL1|SLDA_GLUTH	740	Beta_propeller.aln	654	3.7e-09	40.0	1.1e-11	7.2e-08	35.7	150	416	100	397	80	433	0.71	1	2	0.45565749235474007	0.3608108108108108	Beta_propeller
sp|O05542|ADHA_GLUOX	757	Beta_propeller.aln	654	8.7e-09	38.8	3e-12	2e-08	37.6	143	415	42	340	25	350	0.67	1	3	0.45718654434250766	0.3606340819022457	Beta_propeller
sp|P28036|ADHA_GLUPO	738	Beta_propeller.aln	654	3.7e-08	36.7	5.6e-12	3.7e-08	36.7	150	414	52	340	17	349	0.71	1	2	0.4418960244648318	0.35907859078590787	Beta_propeller
sp|Q44002|ADHA_KOMEU	739	Beta_propeller.aln	654	4.6e-08	36.4	6.9e-12	4.6e-08	36.4	150	414	52	341	15	352	0.7	1	2	0.4434250764525994	0.35859269282814615	Beta_propeller
sp|P18278|ADHA_ACEAC	742	Beta_propeller.aln	654	6.8e-08	35.8	1e-11	6.8e-08	35.8	150	415	51	341	35	354	0.72	1	2	0.44495412844036697	0.3584905660377358	Beta_propeller
