hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|Q06174|EST_GEOSE	246	Hydrolase_4.aln	271	1.5e-55	193.4	4.2e-58	1.8e-55	193.1	21	265	8	246	3	246	0.91	1	1	0.8819188191881919	0.9959349593495935	Hydrolase_4
sp|O32232|EST_BACSU	246	Hydrolase_4.aln	271	5.7e-52	181.6	1.6e-54	6.9e-52	181.4	21	265	8	246	2	246	0.9	1	1	0.8819188191881919	0.9959349593495935	Hydrolase_4
sp|P82597|MGLP_BAC25	250	Hydrolase_4.aln	271	4.8e-43	152.4	3.2e-45	1.4e-42	150.9	21	263	13	248	4	250	0.86	1	1	0.8708487084870848	0.972	Hydrolase_4
sp|Q99390|YPT2_ECOLX	286	Hydrolase_4.aln	271	9.5e-28	102.2	2.6e-30	1.1e-27	102.0	24	263	22	285	3	286	0.76	1	1	0.974169741697417	0.8391608391608392	Hydrolase_4
sp|P29368|YPT1_ECOLX	286	Hydrolase_4.aln	271	1.1e-26	98.8	3e-29	1.3e-26	98.5	24	263	22	285	3	286	0.76	1	1	0.974169741697417	0.8391608391608392	Hydrolase_4
sp|A0QNZ7|MGLL_MYCS2	280	Hydrolase_4.aln	271	4.6e-26	96.7	1.3e-28	5.6e-26	96.4	24	263	28	279	15	280	0.85	1	1	0.9298892988929889	0.8571428571428571	Hydrolase_4
sp|O07427|MGLL_MYCTU	279	Hydrolase_4.aln	271	7.9e-25	92.6	2.4e-27	1e-24	92.3	25	263	28	278	15	279	0.84	1	1	0.9261992619926199	0.8566308243727598	Hydrolase_4
sp|Q99685|MGLL_HUMAN	303	Hydrolase_4.aln	271	2.3e-23	87.9	7.1e-26	3e-23	87.5	21	264	37	294	23	299	0.8	1	1	0.9520295202952029	0.8052805280528053	Hydrolase_4
sp|G2JHL6|AIDA_ACIBM	304	Hydrolase_4.aln	271	8.4e-23	86.0	1.1e-24	4.5e-22	83.6	5	263	15	300	13	303	0.78	1	1	1.055350553505535	0.8519736842105263	Hydrolase_4
sp|O35678|MGLL_MOUSE	303	Hydrolase_4.aln	271	2.1e-21	81.4	6.3e-24	2.7e-21	81.0	23	261	38	291	24	297	0.81	1	1	0.9372693726937269	0.7887788778877888	Hydrolase_4
sp|A0A7H0DN16|PG043_MONPV	276	Hydrolase_4.aln	271	2.3e-21	81.3	7.8e-24	3.4e-21	80.7	23	261	22	272	13	275	0.75	1	1	0.9261992619926199	0.8659420289855072	Hydrolase_4
sp|Q8R431|MGLL_RAT	303	Hydrolase_4.aln	271	6e-21	79.9	2e-23	8.7e-21	79.4	23	262	38	292	24	297	0.82	1	1	0.940959409594096	0.7920792079207921	Hydrolase_4
sp|O06734|YISY_BACSU	268	Hydrolase_4.aln	271	7.9e-20	76.3	2.4e-22	1e-19	75.8	24	259	19	265	14	268	0.74	1	1	0.9114391143911439	0.8805970149253731	Hydrolase_4
sp|P22862|ESTE_PSEFL	272	Hydrolase_4.aln	271	1.3e-19	75.6	3.9e-22	1.7e-19	75.2	27	261	21	271	17	272	0.77	1	1	0.9261992619926199	0.8639705882352942	Hydrolase_4
sp|Q1LZ86|ABHD6_BOVIN	337	Hydrolase_4.aln	271	1.9e-19	75.0	7.2e-22	3.1e-19	74.3	25	260	69	324	62	334	0.77	1	1	0.9446494464944649	0.7002967359050445	Hydrolase_4
sp|Q8R2Y0|ABHD6_MOUSE	336	Hydrolase_4.aln	271	3.1e-19	74.3	1.1e-21	4.7e-19	73.7	25	263	69	327	63	335	0.79	1	1	0.955719557195572	0.7113095238095238	Hydrolase_4
sp|Q5XI64|ABHD6_RAT	337	Hydrolase_4.aln	271	4.3e-19	73.8	1.5e-21	6.5e-19	73.2	25	262	69	326	61	333	0.8	1	1	0.9520295202952029	0.7062314540059347	Hydrolase_4
sp|Q9BV23|ABHD6_HUMAN	337	Hydrolase_4.aln	271	7.8e-19	73.0	2.6e-21	1.1e-18	72.5	25	263	69	327	61	335	0.81	1	1	0.955719557195572	0.7091988130563798	Hydrolase_4
