hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|P26495|PHAZ_ECTOL	283	PES.aln	244	1.9e-37	134.4	4.3e-40	2.2e-37	134.3	4	234	7	278	1	282	0.91	1	1	1.1147540983606556	0.8162544169611308	PES
sp|O05527|PHB_DELAC	494	PES.aln	244	2.3e-33	121.1	5.8e-36	2.9e-33	120.7	8	244	4	494	1	494	0.93	1	1	2.012295081967213	0.4797570850202429	PES
sp|P00590|CUTI1_FUSVN	230	PES.aln	244	5.1e-28	103.6	8.2e-29	4.2e-26	97.3	1	241	1	229	1	230	0.89	1	1	0.9385245901639344	1.0478260869565217	PES
sp|Q99174|CUTI_FUSSC	230	PES.aln	244	5.6e-27	100.2	1.1e-27	5.6e-25	93.6	1	241	1	229	1	230	0.89	1	1	0.9385245901639344	1.0478260869565217	PES
sp|P37957|ESTA_BACSU	212	PES.aln	244	5.7e-26	96.9	2.2e-28	1.1e-25	95.9	6	153	11	176	1	212	0.75	1	1	0.680327868852459	0.6981132075471698	PES
sp|Q96UT0|CUTI2_FUSVN	231	PES.aln	244	1.4e-24	92.3	4.4e-23	2.2e-20	78.6	1	147	1	178	1	187	0.91	1	2	0.7295081967213115	0.6363636363636364	PES
sp|Q96UT0|CUTI2_FUSVN	231	PES.aln	244	1.4e-24	92.3	0.011	5.5	11.8	198	241	190	230	180	231	0.89	2	2	0.1680327868852459	0.19047619047619047	PES
sp|Q96US9|CUTI3_FUSVN	231	PES.aln	244	1.1e-23	89.4	3.3e-24	1.7e-21	82.2	1	241	1	230	1	231	0.88	1	1	0.9426229508196722	1.0432900432900434	PES
sp|Q79F14|ESTB_BACSU	210	PES.aln	244	1.9e-23	88.6	5.2e-26	2.6e-23	88.1	10	167	12	180	1	204	0.83	1	1	0.6926229508196722	0.7523809523809524	PES
sp|P08658|LIP_PSEFR	293	PES.aln	244	5.9e-20	77.2	1.4e-22	7.1e-20	76.9	26	223	6	268	2	291	0.84	1	1	1.0778688524590163	0.6757679180887372	PES
sp|P12625|PHB_RALPI	488	PES.aln	244	2e-19	75.5	5e-22	2.5e-19	75.1	4	244	135	488	31	488	0.77	1	1	1.4508196721311475	0.49385245901639346	PES
sp|P15493|LIP_VIBCH	312	PES.aln	244	1.9e-16	65.7	4.1e-19	2.1e-16	65.6	18	241	21	311	1	312	0.76	1	1	1.1926229508196722	0.717948717948718	PES
sp|A2R2W3|CUTI1_ASPNC	262	PES.aln	244	3.5e-16	64.8	3.8e-18	1.9e-15	62.4	7	153	11	216	5	249	0.73	1	1	0.8442622950819673	0.5610687022900763	PES
sp|P26876|LIP_PSEAE	311	PES.aln	244	5.4e-16	64.2	1.4e-18	7.1e-16	63.8	16	238	18	307	2	310	0.77	1	1	1.1885245901639345	0.7170418006430869	PES
sp|Q2U199|CUTI3_ASPOR	224	PES.aln	244	8.3e-16	63.6	4.5e-18	2.3e-15	62.2	2	158	4	214	1	224	0.79	1	1	0.8647540983606558	0.7008928571428571	PES
