hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|Q3C1D2|TPDR2_COMSP	336	NAD_Ferredoxin.aln	336	6.4e-241	802.9	6.2e-244	7.1e-241	802.7	1	336	1	336	1	336	1.0	1	1	1.0	1.0	NAD_Ferredoxin
sp|Q3C1E0|TPDR1_COMSP	336	NAD_Ferredoxin.aln	336	1.5e-240	801.6	1.5e-243	1.7e-240	801.5	1	336	1	336	1	336	1.0	1	1	1.0	1.0	NAD_Ferredoxin
sp|P26395|RFBI_SALTY	330	NAD_Ferredoxin.aln	336	1.6e-51	180.3	1.7e-54	1.9e-51	180.0	1	331	1	323	1	327	0.93	1	1	0.9613095238095238	1.003030303030303	NAD_Ferredoxin
sp|Q66DP5|ASCD_YERPS	329	NAD_Ferredoxin.aln	336	3.9e-51	179.0	3.7e-54	4.3e-51	178.8	2	330	2	327	1	329	0.93	1	1	0.9702380952380952	1.0	NAD_Ferredoxin
sp|P68641|ASCD_YERPE	329	NAD_Ferredoxin.aln	336	4.7e-51	178.7	4.6e-54	5.2e-51	178.5	2	330	2	327	1	329	0.93	1	1	0.9702380952380952	1.0	NAD_Ferredoxin
sp|A0QTU9|MIMB_MYCS2	348	NAD_Ferredoxin.aln	336	1.5e-39	140.9	1.7e-42	1.9e-39	140.5	3	308	5	321	3	343	0.9	1	1	0.9434523809523809	0.8793103448275862	NAD_Ferredoxin
sp|Q7WTJ2|DMPP_ACIP2	353	NAD_Ferredoxin.aln	336	2.1e-39	140.4	2.2e-42	2.5e-39	140.1	1	334	1	340	1	342	0.87	1	1	1.0119047619047619	0.9461756373937678	NAD_Ferredoxin
sp|E9RFT0|MIMB_MYCGD	348	NAD_Ferredoxin.aln	336	5.4e-38	135.8	5.9e-41	6.7e-38	135.4	3	308	5	321	3	343	0.88	1	1	0.9434523809523809	0.8793103448275862	NAD_Ferredoxin
sp|P19734|DMPP_PSEUF	353	NAD_Ferredoxin.aln	336	3.4e-37	133.1	3.7e-40	4.2e-37	132.8	10	334	10	340	1	342	0.84	1	1	0.9851190476190477	0.9206798866855525	NAD_Ferredoxin
sp|Q52126|NDOR_PSEPU	328	NAD_Ferredoxin.aln	336	6.5e-35	125.6	7.5e-38	8.6e-35	125.2	12	329	10	324	2	327	0.9	1	1	0.9375	0.9695121951219512	NAD_Ferredoxin
sp|P21394|XYLA_PSEPU	350	NAD_Ferredoxin.aln	336	1.7e-33	120.9	2e-36	2.3e-33	120.5	12	330	27	346	18	350	0.83	1	1	0.9523809523809523	0.9114285714285715	NAD_Ferredoxin
sp|Q768T4|PRMB_GORST	346	NAD_Ferredoxin.aln	336	4.6e-31	113.0	5e-34	5.8e-31	112.7	3	328	5	339	3	344	0.89	1	1	0.9970238095238095	0.9421965317919075	NAD_Ferredoxin
sp|A7IPX7|XAMOF_XANP2	327	NAD_Ferredoxin.aln	336	9.6e-31	111.9	1e-33	1.2e-30	111.6	13	289	8	286	3	315	0.83	1	1	0.8303571428571429	0.8470948012232415	NAD_Ferredoxin
sp|Q0SJK8|PRMB_RHOJR	370	NAD_Ferredoxin.aln	336	2.7e-30	110.4	3e-33	3.5e-30	110.1	3	308	28	344	26	367	0.87	1	1	0.9434523809523809	0.827027027027027	NAD_Ferredoxin
sp|Q03304|TMOF_ECTME	326	NAD_Ferredoxin.aln	336	1.2e-29	108.3	1.3e-32	1.5e-29	108.0	14	310	13	306	2	318	0.87	1	1	0.875	0.911042944785276	NAD_Ferredoxin
sp|P0DPQ8|GCOB_AMYS7	334	NAD_Ferredoxin.aln	336	8.7e-28	102.2	9.8e-31	1.1e-27	101.8	15	307	13	309	7	331	0.81	1	1	0.8839285714285714	0.8772455089820359	NAD_Ferredoxin
sp|O52378|NAGAA_RALSP	328	NAD_Ferredoxin.aln	336	9.5e-28	102.1	1e-30	1.1e-27	101.8	16	329	14	324	5	328	0.89	1	1	0.9255952380952381	0.9573170731707317	NAD_Ferredoxin
sp|P07771|BENC_ACIAD	348	NAD_Ferredoxin.aln	336	1.3e-25	95.0	1.4e-28	1.6e-25	94.7	2	328	13	345	12	348	0.8	1	1	0.9910714285714286	0.9396551724137931	NAD_Ferredoxin
sp|Q8GI14|CARAD_METRE	329	NAD_Ferredoxin.aln	336	6.1e-25	92.9	5.6e-28	6.4e-25	92.8	15	247	13	249	2	328	0.82	1	1	0.7053571428571429	0.7082066869300911	NAD_Ferredoxin
