hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
59b2a8967d	383	Glyco_hydro_18.aln	428	6.2e-35	115.3	1.3e-34	1.9e-33	110.4	40	387	20	357	14	365	0.79	1	1	0.7897196261682243	0.9086161879895561	Glyco_hydro_18.hmm
4363ef0515	383	Glyco_hydro_18.aln	428	2.2e-34	113.5	1.2e-33	1.7e-32	107.2	40	387	20	357	12	371	0.78	1	1	0.7897196261682243	0.9086161879895561	Glyco_hydro_18.hmm
d067f42a88	410	Glyco_hydro_18.aln	428	2.3e-34	113.4	4.3e-34	6.5e-33	108.7	40	387	47	384	41	391	0.78	1	1	0.7897196261682243	0.848780487804878	Glyco_hydro_18.hmm
bbcdf9d411	383	Glyco_hydro_18.aln	428	3.5e-34	112.8	1.7e-33	2.5e-32	106.7	40	386	20	356	7	363	0.75	1	1	0.7873831775700935	0.9060052219321149	Glyco_hydro_18.hmm
2dfc35b340	383	Glyco_hydro_18.aln	428	1e-33	111.3	5.7e-33	8.5e-32	105.0	40	387	20	357	14	366	0.78	1	1	0.7897196261682243	0.9086161879895561	Glyco_hydro_18.hmm
e50684fc1d	361	Glyco_hydro_18.aln	428	5.8e-33	108.8	6.4e-33	9.5e-32	104.8	106	387	52	335	1	350	0.79	1	1	0.6635514018691588	0.7811634349030471	Glyco_hydro_18.hmm
a31a183afc	383	Glyco_hydro_18.aln	428	6.7e-33	108.6	2.8e-32	4.2e-31	102.7	60	387	43	357	14	370	0.75	1	1	0.735981308411215	0.856396866840731	Glyco_hydro_18.hmm
c6e7853f94	389	Glyco_hydro_18.aln	428	1.5e-32	107.5	6.5e-32	9.6e-31	101.5	39	386	27	365	13	372	0.79	1	1	0.7920560747663551	0.8946015424164524	Glyco_hydro_18.hmm
2fbb6704a4	390	Glyco_hydro_18.aln	428	9.8e-32	104.8	9.1e-31	1.4e-29	97.7	115	393	84	371	21	377	0.81	1	1	0.6728971962616822	0.7153846153846154	Glyco_hydro_18.hmm
66be5d4ef2	381	Glyco_hydro_18.aln	428	1.6e-31	104.1	5.9e-31	8.8e-30	98.4	39	387	17	355	12	363	0.82	1	1	0.7920560747663551	0.916010498687664	Glyco_hydro_18.hmm
bc53177eef	398	Glyco_hydro_18.aln	428	1.3e-27	91.2	1.1e-26	1.6e-25	84.3	119	387	83	365	77	372	0.77	2	2	0.6612149532710281	0.6758793969849246	Glyco_hydro_18.hmm
501458601d	402	Glyco_hydro_18.aln	428	1.4e-27	91.1	1e-25	1.5e-24	81.1	119	388	83	366	76	398	0.76	2	2	0.6635514018691588	0.6716417910447762	Glyco_hydro_18.hmm
