hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|P52960|PIP2_YEAST	996	Zn_clus.aln	996	0.0	2397.0	0.0	0.0	2396.8	1	996	1	996	1	996	1.0	1	1	1.0	1.0	Zn_clus
sp|P39720|OAF1_YEAST	1047	Zn_clus.aln	996	1.9e-240	805.5	1.7e-31	5.5e-28	102.2	14	93	55	134	43	155	0.9	1	2	0.08032128514056225	0.07640878701050621	Zn_clus
sp|P39720|OAF1_YEAST	1047	Zn_clus.aln	996	1.9e-240	805.5	4.5e-214	1.4e-210	706.6	117	996	181	1045	163	1045	0.9	2	2	0.8684738955823293	0.8404966571155683	Zn_clus
sp|P25611|RDS1_YEAST	832	Zn_clus.aln	996	1.2e-13	54.7	9.1e-08	0.00029	23.7	11	56	1	46	1	64	0.87	1	2	0.04618473895582329	0.055288461538461536	Zn_clus
sp|P25611|RDS1_YEAST	832	Zn_clus.aln	996	1.2e-13	54.7	9.4e-12	3e-08	36.9	254	478	199	411	190	755	0.85	2	2	0.21385542168674698	0.2704326923076923	Zn_clus
sp|Q12244|YL054_YEAST	843	Zn_clus.aln	996	8.6e-13	51.9	1.7e-06	0.0055	19.5	14	65	4	55	1	73	0.83	1	2	0.05220883534136546	0.06168446026097272	Zn_clus
sp|Q12244|YL054_YEAST	843	Zn_clus.aln	996	8.6e-13	51.9	4.3e-11	1.4e-07	34.7	248	704	205	655	136	791	0.76	2	2	0.4528112449799197	0.5421115065243179	Zn_clus
sp|Q6FXJ5|MAR1_CANGA	1355	Zn_clus.aln	996	5.1e-12	49.4	2.1e-08	6.9e-05	25.8	16	82	14	84	7	93	0.82	1	3	0.071285140562249	0.04944649446494465	Zn_clus
sp|Q6FXJ5|MAR1_CANGA	1355	Zn_clus.aln	996	5.1e-12	49.4	1.8e-06	0.0057	19.4	263	364	343	456	299	464	0.79	2	3	0.1144578313253012	0.07527675276752767	Zn_clus
sp|Q6FXJ5|MAR1_CANGA	1355	Zn_clus.aln	996	5.1e-12	49.4	0.0037	12.0	8.4	406	454	534	583	510	588	0.73	3	3	0.050200803212851405	0.03616236162361624	Zn_clus
sp|Q5A4G2|MRR1_CANAL	1108	Zn_clus.aln	996	4.4e-11	46.3	3e-05	0.096	15.4	15	64	21	70	10	78	0.77	1	2	0.050200803212851405	0.04512635379061372	Zn_clus
sp|Q5A4G2|MRR1_CANAL	1108	Zn_clus.aln	996	4.4e-11	46.3	3.1e-10	1e-06	31.8	265	465	423	627	400	645	0.86	2	2	0.20582329317269077	0.18140794223826714	Zn_clus
sp|A0A0J9W3S9|TF1A3_FUSO4	1072	Zn_clus.aln	996	1.9e-08	37.5	8.6e-12	2.8e-08	37.0	12	65	165	219	155	247	0.84	1	1	0.055220883534136546	0.05037313432835821	Zn_clus
sp|A0A0J9VT58|TF1C3_FUSO4	930	Zn_clus.aln	996	4.4e-08	36.3	2.1e-11	6.8e-08	35.7	12	66	124	179	114	226	0.8	1	1	0.05622489959839357	0.05913978494623656	Zn_clus
sp|Q1MTM9|YFN1_SCHPO	977	Zn_clus.aln	996	1e-07	35.2	3.1e-11	1e-07	35.2	13	56	60	103	49	122	0.9	1	1	0.04417670682730924	0.04503582395087001	Zn_clus
sp|A0A0J9WP80|FTF2_FUSO4	1072	Zn_clus.aln	996	1.3e-07	34.8	5.6e-11	1.8e-07	34.3	12	76	166	231	156	247	0.85	1	1	0.06626506024096386	0.06063432835820896	Zn_clus
sp|A0A0J9WAS0|TF1A2_FUSO4	1079	Zn_clus.aln	996	2.2e-07	34.0	9.8e-11	3.1e-07	33.5	12	65	164	218	154	261	0.84	1	1	0.055220883534136546	0.05004633920296571	Zn_clus
sp|A0A0J9VYS2|TF1A1_FUSO4	1024	Zn_clus.aln	996	2.2e-07	34.0	9.7e-11	3.1e-07	33.5	12	65	124	178	115	210	0.9	1	1	0.055220883534136546	0.052734375	Zn_clus
sp|A0A0J9W9G2|TF1C1_FUSO4	930	Zn_clus.aln	996	2.2e-06	30.7	9.6e-10	3.1e-06	30.2	12	65	124	178	114	213	0.89	1	1	0.055220883534136546	0.05806451612903226	Zn_clus
sp|A0A0J9WVC0|TF1C2_FUSO4	930	Zn_clus.aln	996	5.2e-06	29.5	2.3e-09	7.3e-06	29.0	12	65	124	178	115	202	0.87	1	1	0.055220883534136546	0.05806451612903226	Zn_clus
sp|Q0CJC9|PGMR_ASPTN	186	Zn_clus.aln	996	5.8e-06	29.3	2.2e-09	7.1e-06	29.0	20	69	14	64	3	67	0.85	1	1	0.05120481927710843	0.26881720430107525	Zn_clus
sp|Q59MJ1|MRR2_CANAL	710	Zn_clus.aln	996	1.5e-05	27.9	1.3e-06	0.0042	19.8	17	67	3	52	1	98	0.78	1	3	0.050200803212851405	0.07183098591549296	Zn_clus
sp|Q59MJ1|MRR2_CANAL	710	Zn_clus.aln	996	1.5e-05	27.9	0.012	39.0	6.7	273	346	202	275	193	327	0.93	2	3	0.07429718875502007	0.10422535211267606	Zn_clus
sp|Q59MJ1|MRR2_CANAL	710	Zn_clus.aln	996	1.5e-05	27.9	4.7	15000.0	-1.9	425	487	334	390	318	403	0.72	3	3	0.0572289156626506	0.08873239436619719	Zn_clus
sp|Q12172|YRR1_YEAST	810	Zn_clus.aln	996	2.8e-05	27.0	1.3e-08	4.2e-05	26.5	12	70	41	97	33	135	0.71	1	1	0.0572289156626506	0.0728395061728395	Zn_clus
sp|Q9P4U8|AKTR2_ALTAL	435	Zn_clus.aln	996	4.7e-05	26.3	1.9e-08	6e-05	26.0	15	61	6	52	1	65	0.86	1	1	0.04718875502008032	0.10804597701149425	Zn_clus
sp|A0A142I723|PHOD2_DIALO	469	Zn_clus.aln	996	4.7e-05	26.3	1.9e-08	6.2e-05	25.9	15	62	4	51	1	58	0.89	1	1	0.04819277108433735	0.1023454157782516	Zn_clus
sp|A0A8J9RRX1|PHOD1_DIALO	469	Zn_clus.aln	996	4.7e-05	26.3	1.9e-08	6.2e-05	25.9	15	62	4	51	1	58	0.89	1	1	0.04819277108433735	0.1023454157782516	Zn_clus
sp|P08657|LAC9_KLULA	865	Zn_clus.aln	996	8.4e-05	25.5	2e-07	0.00063	22.6	13	59	82	131	66	177	0.75	1	2	0.050200803212851405	0.05433526011560694	Zn_clus
sp|P08657|LAC9_KLULA	865	Zn_clus.aln	996	8.4e-05	25.5	0.27	870.0	2.2	273	303	379	409	305	463	0.86	2	2	0.03112449799196787	0.035838150289017344	Zn_clus
sp|P0CU78|ALNR_EMENI	407	Zn_clus.aln	996	8.9e-05	25.4	3.8e-08	0.00012	24.9	15	68	14	66	1	88	0.8	1	1	0.05321285140562249	0.13267813267813267	Zn_clus
sp|Q6CXS0|OAF3_KLULA	657	Zn_clus.aln	996	9.3e-05	25.3	4.9e-08	0.00016	24.6	16	55	12	51	6	63	0.9	1	1	0.040160642570281124	0.060882800608828	Zn_clus
sp|A0A1U9YI06|VERZ_CLORO	458	Zn_clus.aln	996	0.00014	24.8	5.9e-08	0.00019	24.3	18	69	110	165	99	168	0.78	1	1	0.05622489959839357	0.11353711790393013	Zn_clus
sp|Q4WI89|ATRR_ASPFU	895	Zn_clus.aln	996	0.00014	24.7	1.5e-07	0.00047	23.0	10	69	54	111	44	123	0.8	1	2	0.05823293172690763	0.0670391061452514	Zn_clus
sp|Q4WI89|ATRR_ASPFU	895	Zn_clus.aln	996	0.00014	24.7	7.3	23000.0	-2.5	421	453	414	445	412	455	0.81	2	2	0.0321285140562249	0.03687150837988827	Zn_clus
sp|Q589W9|ACTTR_ALTAL	435	Zn_clus.aln	996	0.00015	24.7	5.8e-08	0.00019	24.3	15	67	6	60	1	67	0.86	1	1	0.055220883534136546	0.12183908045977011	Zn_clus
sp|A0A5B8YUX3|GME70_PESMI	409	Zn_clus.aln	996	0.00016	24.5	7.4e-08	0.00024	24.0	21	63	13	55	5	67	0.87	1	1	0.04317269076305221	0.10513447432762836	Zn_clus
sp|B8MKY7|TSTO_TALSN	559	Zn_clus.aln	996	0.00021	24.2	8.8e-08	0.00028	23.7	11	63	9	62	1	81	0.8	1	1	0.05421686746987952	0.09481216457960644	Zn_clus
sp|Q96VB4|AFTR1_ALTAL	445	Zn_clus.aln	996	0.00024	24.0	1.1e-07	0.00034	23.5	15	67	7	61	2	68	0.87	1	1	0.055220883534136546	0.11910112359550562	Zn_clus
sp|A0A348HAZ0|PHIO_FUNX7	440	Zn_clus.aln	996	0.00024	24.0	9.6e-08	0.00031	23.6	20	63	7	51	1	64	0.81	1	1	0.045180722891566265	0.1	Zn_clus
sp|P0CU72|CLAE_PASFU	446	Zn_clus.aln	996	0.00026	23.9	1.1e-07	0.00035	23.4	20	73	54	106	40	111	0.84	1	1	0.05321285140562249	0.1210762331838565	Zn_clus
sp|Q50LF9|AFTR2_ALTAL	444	Zn_clus.aln	996	0.00026	23.9	1.1e-07	0.00034	23.5	15	67	6	60	1	67	0.87	1	1	0.055220883534136546	0.11936936936936937	Zn_clus
sp|V5XYQ2|AKTR3_ALTAL	444	Zn_clus.aln	996	0.00027	23.8	1.1e-07	0.00034	23.5	15	61	6	52	1	67	0.85	1	1	0.04718875502008032	0.10585585585585586	Zn_clus
sp|G2WJ80|HAP1_YEASK	1480	Zn_clus.aln	996	0.00027	23.8	8.2e-08	0.00027	23.8	11	77	50	120	44	132	0.72	1	4	0.071285140562249	0.04527027027027027	Zn_clus
sp|G2WJ80|HAP1_YEASK	1480	Zn_clus.aln	996	0.00027	23.8	7.1	23000.0	-2.4	893	949	164	218	139	231	0.68	2	4	0.055220883534136546	0.038513513513513516	Zn_clus
sp|G2WJ80|HAP1_YEASK	1480	Zn_clus.aln	996	0.00027	23.8	0.053	170.0	4.6	270	308	469	507	454	569	0.66	3	4	0.0391566265060241	0.026351351351351353	Zn_clus
sp|G2WJ80|HAP1_YEASK	1480	Zn_clus.aln	996	0.00027	23.8	0.1	330.0	3.6	426	451	681	706	674	718	0.78	4	4	0.02610441767068273	0.01756756756756757	Zn_clus
sp|Q9P4V0|AKTR1_ALTAL	444	Zn_clus.aln	996	0.00027	23.8	1.1e-07	0.00036	23.4	15	67	6	60	1	67	0.87	1	1	0.055220883534136546	0.11936936936936937	Zn_clus
sp|C8ZDL9|HAP1_YEAS8	1483	Zn_clus.aln	996	0.00028	23.7	8.7e-08	0.00028	23.7	11	77	50	120	44	133	0.72	1	4	0.071285140562249	0.045178691840863115	Zn_clus
sp|C8ZDL9|HAP1_YEAS8	1483	Zn_clus.aln	996	0.00028	23.7	10.0	32000.0	-2.9	881	949	147	218	136	231	0.66	2	4	0.07228915662650602	0.04652730950775455	Zn_clus
sp|C8ZDL9|HAP1_YEAS8	1483	Zn_clus.aln	996	0.00028	23.7	0.041	130.0	5.0	269	310	471	512	451	572	0.68	3	4	0.04216867469879518	0.028320971004720162	Zn_clus
sp|C8ZDL9|HAP1_YEAS8	1483	Zn_clus.aln	996	0.00028	23.7	0.1	330.0	3.6	426	451	684	709	677	721	0.78	4	4	0.02610441767068273	0.01753202966958867	Zn_clus
sp|P0CS82|HAP1_YEASX	1483	Zn_clus.aln	996	0.00028	23.7	8.7e-08	0.00028	23.7	11	77	50	120	44	133	0.72	1	4	0.071285140562249	0.045178691840863115	Zn_clus
sp|P0CS82|HAP1_YEASX	1483	Zn_clus.aln	996	0.00028	23.7	10.0	32000.0	-2.9	881	949	147	218	136	231	0.66	2	4	0.07228915662650602	0.04652730950775455	Zn_clus
sp|P0CS82|HAP1_YEASX	1483	Zn_clus.aln	996	0.00028	23.7	0.046	150.0	4.8	270	310	472	512	457	572	0.67	3	4	0.04116465863453815	0.027646662171274445	Zn_clus
sp|P0CS82|HAP1_YEASX	1483	Zn_clus.aln	996	0.00028	23.7	0.1	330.0	3.6	426	451	684	709	677	721	0.78	4	4	0.02610441767068273	0.01753202966958867	Zn_clus
sp|P0CE41|HAP1_YEAST	1502	Zn_clus.aln	996	0.00028	23.7	8.7e-08	0.00028	23.7	11	77	50	120	44	133	0.72	1	4	0.071285140562249	0.04460719041278296	Zn_clus
sp|P0CE41|HAP1_YEAST	1502	Zn_clus.aln	996	0.00028	23.7	9.7	31000.0	-2.9	881	949	147	218	136	231	0.66	2	4	0.07228915662650602	0.045938748335552594	Zn_clus
sp|P0CE41|HAP1_YEAST	1502	Zn_clus.aln	996	0.00028	23.7	0.046	150.0	4.8	270	310	472	512	457	572	0.67	3	4	0.04116465863453815	0.02729693741677763	Zn_clus
sp|P0CE41|HAP1_YEAST	1502	Zn_clus.aln	996	0.00028	23.7	0.11	340.0	3.6	426	451	684	709	677	721	0.78	4	4	0.02610441767068273	0.017310252996005325	Zn_clus
sp|A7A1D7|HAP1_YEAS7	1483	Zn_clus.aln	996	0.00029	23.7	8.9e-08	0.00029	23.7	11	77	50	120	44	132	0.72	1	4	0.071285140562249	0.045178691840863115	Zn_clus
sp|A7A1D7|HAP1_YEAS7	1483	Zn_clus.aln	996	0.00029	23.7	8.0	26000.0	-2.6	886	949	152	218	136	231	0.66	2	4	0.06726907630522089	0.04315576534052596	Zn_clus
sp|A7A1D7|HAP1_YEAS7	1483	Zn_clus.aln	996	0.00029	23.7	0.048	160.0	4.7	269	308	471	510	451	572	0.67	3	4	0.040160642570281124	0.026972353337828724	Zn_clus
sp|A7A1D7|HAP1_YEAS7	1483	Zn_clus.aln	996	0.00029	23.7	0.1	330.0	3.6	426	451	684	709	677	721	0.78	4	4	0.02610441767068273	0.01753202966958867	Zn_clus
