hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|Q9X6U2|BDHA_CUPNH	258	NADP_Rossmann.aln	260	1.6e-77	265.4	3.5e-80	1.8e-77	265.2	5	259	1	257	1	258	0.97	1	1	0.9884615384615385	0.9883720930232558	NADP_Rossmann
sp|O86034|BDHA_RHIME	258	NADP_Rossmann.aln	260	1.5e-76	262.2	3.3e-79	1.7e-76	262.1	9	259	3	257	1	258	0.96	1	1	0.9807692307692307	0.9728682170542635	NADP_Rossmann
sp|P42317|YXJF_BACSU	257	NADP_Rossmann.aln	260	1.3e-44	157.6	3.1e-47	1.6e-44	157.3	10	259	5	256	2	257	0.95	1	1	0.9692307692307692	0.9727626459143969	NADP_Rossmann
sp|P50842|KDUD_BACSU	254	NADP_Rossmann.aln	260	4.6e-38	136.1	1.1e-40	5.7e-38	135.8	6	258	10	252	7	254	0.9	1	1	0.9346153846153846	0.9960629921259843	NADP_Rossmann
sp|Q05528|KDUD_DICD3	253	NADP_Rossmann.aln	260	6.3e-33	119.3	1.6e-35	8e-33	118.9	6	259	8	252	5	253	0.92	1	1	0.9423076923076923	1.0039525691699605	NADP_Rossmann
sp|P76633|YGCW_ECOLI	261	NADP_Rossmann.aln	260	1.5e-30	111.4	5.6e-33	2.8e-30	110.6	6	257	16	258	12	260	0.91	1	1	0.9346153846153846	0.9655172413793104	NADP_Rossmann
sp|P37769|KDUD_ECOLI	253	NADP_Rossmann.aln	260	3.4e-30	110.3	8.6e-33	4.4e-30	109.9	6	259	8	252	5	253	0.9	1	1	0.9423076923076923	1.0039525691699605	NADP_Rossmann
sp|P51831|FABG_BACSU	246	NADP_Rossmann.aln	260	3.5e-30	110.3	1.4e-32	7.2e-30	109.2	6	257	2	244	1	246	0.92	1	1	0.9346153846153846	1.024390243902439	NADP_Rossmann
sp|P0A2D1|UCPA_SALTY	263	NADP_Rossmann.aln	260	2.9e-29	107.3	7.3e-32	3.7e-29	106.9	6	258	4	254	2	255	0.88	1	1	0.9653846153846154	0.9619771863117871	NADP_Rossmann
sp|P0A2D2|UCPA_SALTI	263	NADP_Rossmann.aln	260	2.9e-29	107.3	7.3e-32	3.7e-29	106.9	6	258	4	254	2	255	0.88	1	1	0.9653846153846154	0.9619771863117871	NADP_Rossmann
sp|A0QYC2|DTHD_MYCS2	260	NADP_Rossmann.aln	260	4.4e-29	106.6	1.4e-31	7.3e-29	105.9	5	258	14	258	10	260	0.87	1	1	0.9423076923076923	0.9769230769230769	NADP_Rossmann
sp|C8WGQ3|3BHD2_EGGLE	260	NADP_Rossmann.aln	260	6.1e-29	106.2	2.1e-31	1.1e-28	105.4	5	259	9	259	6	260	0.89	1	1	0.9653846153846154	0.9807692307692307	NADP_Rossmann
sp|Q00593|ALKJ_ECTOL	558	NADP_Rossmann.aln	260	1.1e-28	105.3	2.9e-31	1.5e-28	104.9	4	201	80	531	69	544	0.79	1	1	1.7384615384615385	0.3548387096774194	NADP_Rossmann
sp|P17611|NODG_AZOBR	246	NADP_Rossmann.aln	260	1.1e-27	102.0	4.8e-30	2.4e-27	101.0	7	257	2	243	1	245	0.88	1	1	0.9307692307692308	1.0203252032520325	NADP_Rossmann
sp|P37440|UCPA_ECOLI	263	NADP_Rossmann.aln	260	1.6e-27	101.6	4e-30	2e-27	101.2	6	258	4	254	2	255	0.87	1	1	0.9653846153846154	0.9619771863117871	NADP_Rossmann
sp|P50199|GNO_GLUOX	256	NADP_Rossmann.aln	260	2e-27	101.2	5.5e-30	2.8e-27	100.8	6	258	9	253	7	255	0.89	1	1	0.9423076923076923	0.98828125	NADP_Rossmann
sp|Q8XBJ4|UCPA_ECO57	263	NADP_Rossmann.aln	260	2.3e-27	101.0	5.9e-30	3e-27	100.7	6	258	4	254	2	255	0.87	1	1	0.9653846153846154	0.9619771863117871	NADP_Rossmann
sp|Q01373|FOX2_NEUCR	894	NADP_Rossmann.aln	260	3.1e-27	100.6	3.3e-13	1.7e-10	45.8	75	186	84	195	3	245	0.77	1	2	0.4307692307692308	0.12527964205816555	NADP_Rossmann
sp|Q01373|FOX2_NEUCR	894	NADP_Rossmann.aln	260	3.1e-27	100.6	1.1e-15	5.7e-13	53.9	7	187	313	490	307	517	0.87	2	2	0.6846153846153846	0.20246085011185683	NADP_Rossmann
sp|Q92GE0|FABG_RICCN	241	NADP_Rossmann.aln	260	1.4e-26	98.4	4.1e-29	2.1e-26	97.9	6	257	4	238	2	241	0.92	1	1	0.9038461538461539	1.045643153526971	NADP_Rossmann
sp|P50941|FABG_RICPR	241	NADP_Rossmann.aln	260	1.8e-26	98.1	5.1e-29	2.6e-26	97.6	6	257	4	238	2	241	0.92	1	1	0.9038461538461539	1.045643153526971	NADP_Rossmann
sp|P41177|DHKR_STRVG	261	NADP_Rossmann.aln	260	2.2e-26	97.8	5e-29	2.5e-26	97.6	9	257	7	258	3	261	0.89	1	1	0.9692307692307692	0.9540229885057471	NADP_Rossmann
sp|Q5P5I4|PED_AROAE	249	NADP_Rossmann.aln	260	2.9e-26	97.4	8.6e-29	4.4e-26	96.8	6	257	5	246	2	248	0.91	1	1	0.9307692307692308	1.0120481927710843	NADP_Rossmann
sp|Q5HPW0|FABG_STAEQ	244	NADP_Rossmann.aln	260	5e-26	96.7	1.7e-28	8.8e-26	95.8	9	257	3	242	1	244	0.92	1	1	0.9230769230769231	1.0204918032786885	NADP_Rossmann
sp|Q8CPI3|FABG_STAES	244	NADP_Rossmann.aln	260	5e-26	96.7	1.7e-28	8.8e-26	95.8	9	257	3	242	1	244	0.92	1	1	0.9230769230769231	1.0204918032786885	NADP_Rossmann
sp|Q9WWW2|ALKJ_PSEPU	552	NADP_Rossmann.aln	260	8.4e-26	95.9	2.3e-28	1.2e-25	95.4	4	201	80	531	69	541	0.81	1	1	1.7384615384615385	0.358695652173913	NADP_Rossmann
sp|Q2UEK6|ASTE_ASPOR	261	NADP_Rossmann.aln	260	8.5e-26	95.9	2.2e-28	1.1e-25	95.5	6	257	10	258	6	261	0.88	1	1	0.9576923076923077	0.9655172413793104	NADP_Rossmann
