hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|Q4W8C9|3HBOH_CUPNH	293	Abhydrolase_6.aln	293	1.2e-164	551.6	1.6e-168	1.4e-164	551.4	1	293	1	293	1	293	1.0	1	1	1.0	1.0	Abhydrolase_6
sp|P26174|BCHO_RHOCA	284	Abhydrolase_6.aln	293	0.00019	25.7	3.2e-08	0.00028	25.2	28	119	32	122	21	146	0.9	1	1	0.310580204778157	0.323943661971831	Abhydrolase_6
sp|A2BGU9|SERHL_DANRE	326	Abhydrolase_6.aln	293	0.00055	24.2	1.1e-07	0.00091	23.5	26	120	37	130	32	173	0.9	1	1	0.32081911262798635	0.29141104294478526	Abhydrolase_6
sp|Q59093|ELH1_ACIAD	266	Abhydrolase_6.aln	293	0.0037	21.5	7.6e-06	0.066	17.4	48	137	43	129	16	161	0.8	1	2	0.29692832764505117	0.3383458646616541	Abhydrolase_6
sp|Q59093|ELH1_ACIAD	266	Abhydrolase_6.aln	293	0.0037	21.5	0.29	2600.0	2.3	236	283	208	254	178	263	0.76	2	2	0.16040955631399317	0.18045112781954886	Abhydrolase_6
sp|P9WNH0|BPOC_MYCTO	262	Abhydrolase_6.aln	293	0.0059	20.8	8.5e-05	0.74	13.9	31	125	13	104	1	147	0.8	1	2	0.31399317406143346	0.36259541984732824	Abhydrolase_6
sp|P9WNH0|BPOC_MYCTO	262	Abhydrolase_6.aln	293	0.0059	20.8	0.041	350.0	5.1	228	286	194	252	174	259	0.72	2	2	0.20136518771331058	0.22519083969465647	Abhydrolase_6
sp|P9WNH1|BPOC_MYCTU	262	Abhydrolase_6.aln	293	0.0059	20.8	8.5e-05	0.74	13.9	31	125	13	104	1	147	0.8	1	2	0.31399317406143346	0.36259541984732824	Abhydrolase_6
sp|P9WNH1|BPOC_MYCTU	262	Abhydrolase_6.aln	293	0.0059	20.8	0.041	350.0	5.1	228	286	194	252	174	259	0.72	2	2	0.20136518771331058	0.22519083969465647	Abhydrolase_6
sp|I6XU97|EST45_MYCTU	298	Abhydrolase_6.aln	293	0.006	20.8	0.0079	69.0	7.5	22	135	41	149	33	189	0.82	1	2	0.3720136518771331	0.3825503355704698	Abhydrolase_6
sp|I6XU97|EST45_MYCTU	298	Abhydrolase_6.aln	293	0.006	20.8	0.0005	4.4	11.4	224	282	227	286	217	293	0.88	2	2	0.20477815699658702	0.19798657718120805	Abhydrolase_6
sp|P19076|DMPD_PSEUF	283	Abhydrolase_6.aln	293	0.021	19.0	3.8e-06	0.033	18.4	51	131	51	130	15	141	0.81	1	1	0.27303754266211605	0.2862190812720848	Abhydrolase_6
sp|Q9H4I8|SEHL2_HUMAN	314	Abhydrolase_6.aln	293	0.021	19.0	3.8e-05	0.33	15.1	20	114	21	114	1	169	0.88	1	2	0.32081911262798635	0.30254777070063693	Abhydrolase_6
sp|Q9H4I8|SEHL2_HUMAN	314	Abhydrolase_6.aln	293	0.021	19.0	0.33	2900.0	2.2	203	235	250	284	213	307	0.74	2	2	0.11945392491467577	0.10509554140127389	Abhydrolase_6
sp|A0A242M8J4|EPOXH_CABSO	329	Abhydrolase_6.aln	293	0.023	18.9	3.7e-06	0.032	18.4	22	120	25	123	19	152	0.83	1	1	0.3378839590443686	0.3009118541033435	Abhydrolase_6
sp|Q6F9F4|TGND_ACIAD	263	Abhydrolase_6.aln	293	0.033	18.4	0.075	660.0	4.3	92	174	80	157	18	172	0.55	1	2	0.26621160409556316	0.3155893536121673	Abhydrolase_6
sp|Q6F9F4|TGND_ACIAD	263	Abhydrolase_6.aln	293	0.033	18.4	0.0003	2.6	12.2	219	288	187	256	180	260	0.89	2	2	0.23890784982935154	0.2661596958174905	Abhydrolase_6
sp|P0A573|Y2734_MYCBO	341	Abhydrolase_6.aln	293	0.053	17.7	0.00034	3.0	11.9	34	138	40	142	23	154	0.8	1	2	0.3515358361774744	0.30791788856304986	Abhydrolase_6
sp|P0A573|Y2734_MYCBO	341	Abhydrolase_6.aln	293	0.053	17.7	0.11	950.0	3.7	205	287	204	290	201	296	0.62	2	2	0.29692832764505117	0.2434017595307918	Abhydrolase_6
sp|P9WNH2|Y2715_MYCTO	341	Abhydrolase_6.aln	293	0.053	17.7	0.00034	3.0	11.9	34	138	40	142	23	154	0.8	1	2	0.3515358361774744	0.30791788856304986	Abhydrolase_6
sp|P9WNH2|Y2715_MYCTO	341	Abhydrolase_6.aln	293	0.053	17.7	0.11	950.0	3.7	205	287	204	290	201	296	0.62	2	2	0.29692832764505117	0.2434017595307918	Abhydrolase_6
sp|P9WNH3|Y2715_MYCTU	341	Abhydrolase_6.aln	293	0.053	17.7	0.00034	3.0	11.9	34	138	40	142	23	154	0.8	1	2	0.3515358361774744	0.30791788856304986	Abhydrolase_6
sp|P9WNH3|Y2715_MYCTU	341	Abhydrolase_6.aln	293	0.053	17.7	0.11	950.0	3.7	205	287	204	290	201	296	0.62	2	2	0.29692832764505117	0.2434017595307918	Abhydrolase_6
sp|O07937|YRAK_BACSU	271	Abhydrolase_6.aln	293	0.064	17.4	1e-05	0.089	17.0	34	119	26	110	14	127	0.89	1	1	0.2901023890784983	0.3173431734317343	Abhydrolase_6
sp|P23133|TODF_PSEP1	276	Abhydrolase_6.aln	293	0.075	17.2	1.2e-05	0.11	16.7	13	128	11	125	3	136	0.85	1	1	0.3924914675767918	0.42028985507246375	Abhydrolase_6
sp|P64304|DHMA2_MYCBO	286	Abhydrolase_6.aln	293	0.084	17.0	0.0026	22.0	9.1	30	133	33	134	23	164	0.81	1	3	0.34812286689419797	0.36363636363636365	Abhydrolase_6
sp|P64304|DHMA2_MYCBO	286	Abhydrolase_6.aln	293	0.084	17.0	0.097	840.0	3.9	50	69	178	197	169	207	0.83	2	3	0.06825938566552901	0.06993006993006994	Abhydrolase_6
sp|P64304|DHMA2_MYCBO	286	Abhydrolase_6.aln	293	0.084	17.0	0.89	7800.0	0.7	265	286	259	280	245	283	0.89	3	3	0.07508532423208192	0.07692307692307693	Abhydrolase_6
sp|P9WMS0|DHMA2_MYCTO	286	Abhydrolase_6.aln	293	0.084	17.0	0.0026	22.0	9.1	30	133	33	134	23	164	0.81	1	3	0.34812286689419797	0.36363636363636365	Abhydrolase_6
sp|P9WMS0|DHMA2_MYCTO	286	Abhydrolase_6.aln	293	0.084	17.0	0.097	840.0	3.9	50	69	178	197	169	207	0.83	2	3	0.06825938566552901	0.06993006993006994	Abhydrolase_6
sp|P9WMS0|DHMA2_MYCTO	286	Abhydrolase_6.aln	293	0.084	17.0	0.89	7800.0	0.7	265	286	259	280	245	283	0.89	3	3	0.07508532423208192	0.07692307692307693	Abhydrolase_6
sp|P9WMS1|DHMA2_MYCTU	286	Abhydrolase_6.aln	293	0.084	17.0	0.0026	22.0	9.1	30	133	33	134	23	164	0.81	1	3	0.34812286689419797	0.36363636363636365	Abhydrolase_6
sp|P9WMS1|DHMA2_MYCTU	286	Abhydrolase_6.aln	293	0.084	17.0	0.097	840.0	3.9	50	69	178	197	169	207	0.83	2	3	0.06825938566552901	0.06993006993006994	Abhydrolase_6
sp|P9WMS1|DHMA2_MYCTU	286	Abhydrolase_6.aln	293	0.084	17.0	0.89	7800.0	0.7	265	286	259	280	245	283	0.89	3	3	0.07508532423208192	0.07692307692307693	Abhydrolase_6
sp|B9JLT6|RUTD_RHIR8	262	Abhydrolase_6.aln	293	0.086	17.0	0.00012	1.0	13.5	53	119	34	99	9	131	0.84	1	2	0.22525597269624573	0.25572519083969464	Abhydrolase_6
sp|B9JLT6|RUTD_RHIR8	262	Abhydrolase_6.aln	293	0.086	17.0	0.5	4300.0	1.6	227	282	191	246	162	254	0.71	2	2	0.19112627986348124	0.21374045801526717	Abhydrolase_6
sp|P23974|MENH_BACSU	274	Abhydrolase_6.aln	293	0.13	16.4	3.6e-05	0.31	15.2	33	129	25	120	11	140	0.79	1	2	0.32764505119453924	0.354014598540146	Abhydrolase_6
sp|P23974|MENH_BACSU	274	Abhydrolase_6.aln	293	0.13	16.4	5.8	50000.0	-1.9	225	243	206	224	192	268	0.55	2	2	0.06484641638225255	0.06934306569343066	Abhydrolase_6
sp|Q9NQF3|SERHL_HUMAN	203	Abhydrolase_6.aln	293	0.13	16.4	1.6e-05	0.14	16.3	20	114	21	114	2	172	0.89	1	1	0.32081911262798635	0.46798029556650245	Abhydrolase_6
sp|Q988D4|AAMHY_RHILO	278	Abhydrolase_6.aln	293	0.18	16.0	4.4e-05	0.38	14.9	224	281	209	266	194	276	0.89	1	1	0.19795221843003413	0.20863309352517986	Abhydrolase_6
sp|P07383|TPES_PSEPU	272	Abhydrolase_6.aln	293	0.19	15.9	3.7e-05	0.32	15.1	17	139	22	141	15	152	0.84	1	1	0.40955631399317405	0.4522058823529412	Abhydrolase_6
sp|B1M5I5|RUTD_METRJ	259	Abhydrolase_6.aln	293	0.19	15.9	3.4e-05	0.3	15.2	29	120	11	101	4	151	0.84	1	1	0.310580204778157	0.3552123552123552	Abhydrolase_6
sp|Q57427|Y193_HAEIN	287	Abhydrolase_6.aln	293	0.21	15.7	0.00018	1.6	12.8	18	134	32	145	22	151	0.85	1	2	0.3890784982935154	0.4076655052264808	Abhydrolase_6
sp|Q57427|Y193_HAEIN	287	Abhydrolase_6.aln	293	0.21	15.7	0.69	6000.0	1.1	183	283	175	276	133	285	0.72	2	2	0.34812286689419797	0.3519163763066202	Abhydrolase_6
sp|Q6Q2C2|HYES_PIG	555	Abhydrolase_6.aln	293	0.31	15.2	0.0037	32.0	8.6	57	130	284	357	257	408	0.82	1	2	0.2525597269624573	0.13333333333333333	Abhydrolase_6
sp|Q6Q2C2|HYES_PIG	555	Abhydrolase_6.aln	293	0.31	15.2	0.068	590.0	4.4	237	283	489	534	482	539	0.83	2	2	0.15699658703071673	0.08468468468468468	Abhydrolase_6
sp|B0RMQ9|BIOH_XANCB	253	Abhydrolase_6.aln	293	0.68	14.1	0.12	1000.0	3.6	102	144	72	118	54	159	0.83	1	2	0.16040955631399317	0.16996047430830039	Abhydrolase_6
sp|B0RMQ9|BIOH_XANCB	253	Abhydrolase_6.aln	293	0.68	14.1	0.0034	30.0	8.7	239	288	197	246	177	251	0.8	2	2	0.17064846416382254	0.1976284584980237	Abhydrolase_6
sp|Q4UZP1|BIOH_XANC8	253	Abhydrolase_6.aln	293	0.68	14.1	0.12	1000.0	3.6	102	144	72	118	54	159	0.83	1	2	0.16040955631399317	0.16996047430830039	Abhydrolase_6
sp|Q4UZP1|BIOH_XANC8	253	Abhydrolase_6.aln	293	0.68	14.1	0.0034	30.0	8.7	239	288	197	246	177	251	0.8	2	2	0.17064846416382254	0.1976284584980237	Abhydrolase_6
sp|Q8PDF3|BIOH_XANCP	253	Abhydrolase_6.aln	293	0.68	14.1	0.12	1000.0	3.6	102	144	72	118	54	159	0.83	1	2	0.16040955631399317	0.16996047430830039	Abhydrolase_6
sp|Q8PDF3|BIOH_XANCP	253	Abhydrolase_6.aln	293	0.68	14.1	0.0034	30.0	8.7	239	288	197	246	177	251	0.8	2	2	0.17064846416382254	0.1976284584980237	Abhydrolase_6
sp|B8H3S9|DHMA_CAUVN	302	Abhydrolase_6.aln	293	0.84	13.8	0.00014	1.2	13.2	29	118	43	133	30	152	0.83	1	1	0.310580204778157	0.2980132450331126	Abhydrolase_6
sp|Q9A919|DHMA_CAUVC	302	Abhydrolase_6.aln	293	0.84	13.8	0.00014	1.2	13.2	29	118	43	133	30	152	0.83	1	1	0.310580204778157	0.2980132450331126	Abhydrolase_6
sp|Q9XG98|KPRS1_SPIOL	336	Abhydrolase_6.aln	293	1.2	13.2	10.0	87000.0	-2.7	138	166	34	65	21	69	0.72	1	2	0.10921501706484642	0.08630952380952381	Abhydrolase_6
sp|Q9XG98|KPRS1_SPIOL	336	Abhydrolase_6.aln	293	1.2	13.2	0.00032	2.8	12.0	54	149	181	288	164	310	0.77	2	2	0.36860068259385664	0.2857142857142857	Abhydrolase_6
sp|A7NE28|RF3_FRATF	525	Abhydrolase_6.aln	293	1.3	13.1	0.005	43.0	8.1	213	246	203	236	187	246	0.93	1	2	0.11604095563139932	0.06476190476190476	Abhydrolase_6
sp|A7NE28|RF3_FRATF	525	Abhydrolase_6.aln	293	1.3	13.1	0.28	2400.0	2.4	135	167	387	417	359	432	0.79	2	2	0.10580204778156997	0.06285714285714286	Abhydrolase_6
sp|Q0BKK2|RF3_FRATO	525	Abhydrolase_6.aln	293	1.3	13.1	0.005	43.0	8.1	213	246	203	236	187	246	0.93	1	2	0.11604095563139932	0.06476190476190476	Abhydrolase_6
sp|Q0BKK2|RF3_FRATO	525	Abhydrolase_6.aln	293	1.3	13.1	0.28	2400.0	2.4	135	167	387	417	359	432	0.79	2	2	0.10580204778156997	0.06285714285714286	Abhydrolase_6
sp|Q2A1V8|RF3_FRATH	525	Abhydrolase_6.aln	293	1.3	13.1	0.005	43.0	8.1	213	246	203	236	187	246	0.93	1	2	0.11604095563139932	0.06476190476190476	Abhydrolase_6
sp|Q2A1V8|RF3_FRATH	525	Abhydrolase_6.aln	293	1.3	13.1	0.28	2400.0	2.4	135	167	387	417	359	432	0.79	2	2	0.10580204778156997	0.06285714285714286	Abhydrolase_6
sp|B2SF23|RF3_FRATM	525	Abhydrolase_6.aln	293	1.4	13.0	0.0053	46.0	8.0	213	246	203	236	187	246	0.93	1	2	0.11604095563139932	0.06476190476190476	Abhydrolase_6
sp|B2SF23|RF3_FRATM	525	Abhydrolase_6.aln	293	1.4	13.0	0.28	2400.0	2.4	135	167	387	417	359	432	0.79	2	2	0.10580204778156997	0.06285714285714286	Abhydrolase_6
sp|A4IW75|RF3_FRATW	525	Abhydrolase_6.aln	293	1.4	13.0	0.0053	46.0	8.0	213	246	203	236	187	246	0.93	1	2	0.11604095563139932	0.06476190476190476	Abhydrolase_6
sp|A4IW75|RF3_FRATW	525	Abhydrolase_6.aln	293	1.4	13.0	0.28	2400.0	2.4	135	167	387	417	359	432	0.79	2	2	0.10580204778156997	0.06285714285714286	Abhydrolase_6
sp|Q15493|RGN_HUMAN	299	Abhydrolase_6.aln	293	1.4	13.0	0.00024	2.0	12.5	147	198	52	100	27	135	0.86	1	1	0.16723549488054607	0.17391304347826086	Abhydrolase_6
sp|Q14JV7|RF3_FRAT1	525	Abhydrolase_6.aln	293	1.4	13.0	0.0054	47.0	8.0	213	246	203	236	190	246	0.92	1	2	0.11604095563139932	0.06476190476190476	Abhydrolase_6
sp|Q14JV7|RF3_FRAT1	525	Abhydrolase_6.aln	293	1.4	13.0	0.28	2400.0	2.4	135	167	387	417	359	432	0.79	2	2	0.10580204778156997	0.06285714285714286	Abhydrolase_6
sp|Q5NIF4|RF3_FRATT	525	Abhydrolase_6.aln	293	1.4	13.0	0.0054	47.0	8.0	213	246	203	236	190	246	0.92	1	2	0.11604095563139932	0.06476190476190476	Abhydrolase_6
sp|Q5NIF4|RF3_FRATT	525	Abhydrolase_6.aln	293	1.4	13.0	0.28	2400.0	2.4	135	167	387	417	359	432	0.79	2	2	0.10580204778156997	0.06285714285714286	Abhydrolase_6
