hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|O86034|BDHA_RHIME	258	adh_short_C2.aln	260	1.1e-91	311.8	2.3e-94	1.2e-91	311.7	8	259	2	257	1	258	0.97	1	1	0.9846153846153847	0.9767441860465116	adh_short_C2
sp|Q9X6U2|BDHA_CUPNH	258	adh_short_C2.aln	260	1.5e-90	308.1	3.1e-93	1.7e-90	307.9	6	259	2	257	1	258	0.97	1	1	0.9846153846153847	0.9844961240310077	adh_short_C2
sp|P42317|YXJF_BACSU	257	adh_short_C2.aln	260	3.8e-59	205.2	7.8e-62	4.1e-59	205.1	9	259	4	256	1	257	0.95	1	1	0.9730769230769231	0.9766536964980544	adh_short_C2
sp|P50842|KDUD_BACSU	254	adh_short_C2.aln	260	9.4e-44	154.7	2.6e-46	1.4e-43	154.2	6	258	10	252	5	254	0.9	1	1	0.9346153846153846	0.9960629921259843	adh_short_C2
sp|Q01373|FOX2_NEUCR	894	adh_short_C2.aln	260	2e-43	153.6	1.4e-22	7.2e-20	76.5	7	186	8	195	1	247	0.78	1	2	0.7230769230769231	0.20134228187919462	adh_short_C2
sp|Q01373|FOX2_NEUCR	894	adh_short_C2.aln	260	2e-43	153.6	1.2e-23	6.2e-21	79.9	7	187	313	490	308	511	0.89	2	2	0.6846153846153846	0.20246085011185683	adh_short_C2
sp|P22414|FOX2_CANTR	906	adh_short_C2.aln	260	1.9e-41	147.2	9.5e-19	5.1e-16	63.8	8	185	8	193	4	218	0.83	1	2	0.7153846153846154	0.19646799116997793	adh_short_C2
sp|P22414|FOX2_CANTR	906	adh_short_C2.aln	260	1.9e-41	147.2	5.2e-25	2.8e-22	84.4	6	186	320	498	317	527	0.9	2	2	0.6884615384615385	0.1997792494481236	adh_short_C2
sp|Q02207|FOX2_YEAST	900	adh_short_C2.aln	260	2.4e-38	137.0	4e-19	2.1e-16	65.1	9	185	10	195	4	223	0.8	1	2	0.7153846153846154	0.19666666666666666	adh_short_C2
sp|Q02207|FOX2_YEAST	900	adh_short_C2.aln	260	2.4e-38	137.0	3.3e-21	1.7e-18	71.9	4	187	318	501	316	548	0.83	2	2	0.7076923076923077	0.20444444444444446	adh_short_C2
sp|P51831|FABG_BACSU	246	adh_short_C2.aln	260	1.5e-37	134.4	1.3e-39	7.1e-37	132.2	6	257	2	244	1	246	0.92	1	1	0.9346153846153846	1.024390243902439	adh_short_C2
sp|P76633|YGCW_ECOLI	261	adh_short_C2.aln	260	1.6e-37	134.3	1.4e-39	7.2e-37	132.2	6	257	16	258	11	260	0.89	1	1	0.9346153846153846	0.9655172413793104	adh_short_C2
sp|P0A2D1|UCPA_SALTY	263	adh_short_C2.aln	260	1.1e-36	131.5	2.8e-39	1.5e-36	131.1	6	258	4	254	2	255	0.9	1	1	0.9653846153846154	0.9619771863117871	adh_short_C2
sp|P0A2D2|UCPA_SALTI	263	adh_short_C2.aln	260	1.1e-36	131.5	2.8e-39	1.5e-36	131.1	6	258	4	254	2	255	0.9	1	1	0.9653846153846154	0.9619771863117871	adh_short_C2
sp|Q05528|KDUD_DICD3	253	adh_short_C2.aln	260	2.9e-36	130.2	9.3e-39	4.9e-36	129.4	6	259	8	252	2	253	0.88	1	1	0.9423076923076923	1.0039525691699605	adh_short_C2
sp|P37440|UCPA_ECOLI	263	adh_short_C2.aln	260	7.2e-36	128.9	1.8e-38	9.5e-36	128.5	6	258	4	254	2	255	0.89	1	1	0.9653846153846154	0.9619771863117871	adh_short_C2
sp|Q8XBJ4|UCPA_ECO57	263	adh_short_C2.aln	260	1.1e-35	128.3	2.7e-38	1.4e-35	127.9	6	258	4	254	2	255	0.89	1	1	0.9653846153846154	0.9619771863117871	adh_short_C2
sp|Q53217|Y4VI_SINFN	548	adh_short_C2.aln	260	2.3e-35	127.2	1.4e-25	7.5e-23	86.2	7	259	8	249	4	250	0.85	1	2	0.9307692307692308	0.46167883211678834	adh_short_C2
sp|Q53217|Y4VI_SINFN	548	adh_short_C2.aln	260	2.3e-35	127.2	3.2e-12	1.7e-09	42.5	8	257	277	513	273	516	0.85	2	2	0.9115384615384615	0.4562043795620438	adh_short_C2
sp|P41177|DHKR_STRVG	261	adh_short_C2.aln	260	3e-35	126.8	6.9e-38	3.7e-35	126.6	8	257	6	258	3	261	0.86	1	1	0.9730769230769231	0.9578544061302682	adh_short_C2
sp|Q5P5I4|PED_AROAE	249	adh_short_C2.aln	260	6.9e-35	125.7	2.4e-37	1.3e-34	124.8	6	257	5	246	1	248	0.91	1	1	0.9307692307692308	1.0120481927710843	adh_short_C2
sp|P17611|NODG_AZOBR	246	adh_short_C2.aln	260	7.4e-35	125.6	6.6e-37	3.5e-34	123.4	7	257	2	243	1	245	0.88	1	1	0.9307692307692308	1.0203252032520325	adh_short_C2
sp|C8WGQ3|3BHD2_EGGLE	260	adh_short_C2.aln	260	3e-34	123.6	1.4e-36	7.5e-34	122.3	5	259	9	259	6	260	0.87	1	1	0.9653846153846154	0.9807692307692307	adh_short_C2
sp|P37769|KDUD_ECOLI	253	adh_short_C2.aln	260	3.4e-34	123.4	1.2e-36	6.5e-34	122.5	6	259	8	252	3	253	0.87	1	1	0.9423076923076923	1.0039525691699605	adh_short_C2
sp|Q93X68|FABG5_BRANA	317	adh_short_C2.aln	260	1.4e-33	121.4	1.4e-35	7.3e-33	119.0	10	258	76	316	71	317	0.9	1	1	0.926923076923077	0.7854889589905363	adh_short_C2
sp|P50199|GNO_GLUOX	256	adh_short_C2.aln	260	1.5e-33	121.3	6.5e-36	3.4e-33	120.1	6	258	9	253	6	255	0.89	1	1	0.9423076923076923	0.98828125	adh_short_C2
sp|Q5HPW0|FABG_STAEQ	244	adh_short_C2.aln	260	2.4e-33	120.6	1.8e-35	9.6e-33	118.7	9	257	3	242	1	244	0.93	1	1	0.9230769230769231	1.0204918032786885	adh_short_C2
sp|Q8CPI3|FABG_STAES	244	adh_short_C2.aln	260	2.4e-33	120.6	1.8e-35	9.6e-33	118.7	9	257	3	242	1	244	0.93	1	1	0.9230769230769231	1.0204918032786885	adh_short_C2
sp|P39640|BACC_BACSU	253	adh_short_C2.aln	260	2.6e-33	120.5	5.7e-36	3e-33	120.3	6	259	3	252	1	253	0.9	1	1	0.9615384615384616	1.0039525691699605	adh_short_C2
sp|Q949M3|FABG3_BRANA	315	adh_short_C2.aln	260	1.1e-32	118.5	1.1e-34	5.8e-32	116.1	10	257	74	313	69	315	0.91	1	1	0.9230769230769231	0.7873015873015873	adh_short_C2
sp|Q93X62|FABG1_BRANA	320	adh_short_C2.aln	260	1.2e-32	118.4	1.2e-34	6.1e-32	116.0	10	257	79	318	74	320	0.91	1	1	0.9230769230769231	0.775	adh_short_C2
