hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|F7IX06|PETH2_THEAE	300	PBAT.aln	294	2.3e-49	173.9	3.3e-52	2.9e-49	173.5	4	279	60	299	10	300	0.92	1	1	0.8163265306122449	0.92	PBAT
sp|D4Q9N1|PETH1_THEAE	296	PBAT.aln	294	6.8e-49	172.3	9.9e-52	8.7e-49	172.0	4	279	56	295	14	296	0.93	1	1	0.8163265306122449	0.9324324324324325	PBAT
sp|E9LVH8|PETH1_THECS	262	PBAT.aln	294	4.7e-46	163.0	6.2e-49	5.5e-46	162.8	4	279	22	261	1	262	0.94	1	1	0.8163265306122449	1.0534351145038168	PBAT
sp|Q47RJ6|PETH2_THEFY	301	PBAT.aln	294	7e-46	162.4	9.9e-49	8.7e-46	162.1	4	279	61	300	10	301	0.93	1	1	0.8163265306122449	0.9169435215946844	PBAT
sp|Q6A0I4|PETH2_THEFU	301	PBAT.aln	294	7e-46	162.4	9.9e-49	8.7e-46	162.1	4	279	61	300	10	301	0.93	1	1	0.8163265306122449	0.9169435215946844	PBAT
sp|E9LVH9|PETH2_THECS	262	PBAT.aln	294	7.6e-46	162.3	1e-48	8.8e-46	162.1	4	279	22	261	1	262	0.94	1	1	0.8163265306122449	1.0534351145038168	PBAT
sp|G8GER6|PETH1_THEFU	319	PBAT.aln	294	1.3e-45	161.5	1.9e-48	1.7e-45	161.2	4	279	79	318	25	319	0.93	1	1	0.8163265306122449	0.8652037617554859	PBAT
sp|Q47RJ7|PETH1_THEFY	319	PBAT.aln	294	1.3e-45	161.5	1.9e-48	1.7e-45	161.2	4	279	79	318	25	319	0.93	1	1	0.8163265306122449	0.8652037617554859	PBAT
sp|Q9L2J6|BHETH_STRCO	310	PBAT.aln	294	7.3e-35	126.2	1.1e-37	9.8e-35	125.8	4	281	70	309	23	310	0.91	1	1	0.8163265306122449	0.896774193548387	PBAT
sp|Q5U780|LIP_BACSP	416	PBAT.aln	294	1.5e-34	125.2	2.2e-37	2e-34	124.8	26	282	32	375	13	413	0.86	1	1	1.1700680272108843	0.6177884615384616	PBAT
sp|P0DX29|PETH1_AMYMS	309	PBAT.aln	294	8.1e-32	116.3	1.9e-34	1.6e-31	115.2	35	279	107	306	60	308	0.86	1	1	0.6802721088435374	0.7928802588996764	PBAT
sp|G9BY57|PETH_UNKP	293	PBAT.aln	294	1.4e-31	115.5	2.2e-34	2e-31	115.0	4	252	55	276	14	286	0.87	1	1	0.7551020408163265	0.8498293515358362	PBAT
sp|A0A0K8P6T7|PETH_PISS1	290	PBAT.aln	294	7.1e-27	100.0	1.5e-29	1.3e-26	99.1	32	265	81	278	18	288	0.8	1	1	0.673469387755102	0.8068965517241379	PBAT
sp|P37967|PNBA_BACSU	489	PBAT.aln	294	1.9e-22	85.5	3.2e-25	2.8e-22	85.0	25	140	93	224	40	260	0.86	1	1	0.4489795918367347	0.23721881390593047	PBAT
sp|P86325|EST1_THEFU	497	PBAT.aln	294	1.2e-21	82.9	1.9e-24	1.7e-21	82.4	25	186	94	264	50	322	0.85	1	1	0.5816326530612245	0.32595573440643866	PBAT
sp|Q47M62|EST1_THEFY	497	PBAT.aln	294	1.2e-21	82.8	2e-24	1.8e-21	82.3	25	186	94	264	50	316	0.85	1	1	0.5816326530612245	0.32595573440643866	PBAT
sp|Q7A7P2|LIP2_STAAN	691	PBAT.aln	294	2e-20	78.9	5.3e-23	4.7e-20	77.7	11	265	285	617	262	630	0.75	1	1	1.1326530612244898	0.36903039073806077	PBAT
sp|Q99WQ6|LIP2_STAAM	691	PBAT.aln	294	2e-20	78.9	5.3e-23	4.7e-20	77.7	11	265	285	617	262	630	0.75	1	1	1.1326530612244898	0.36903039073806077	PBAT
sp|Q6GCF1|LIP2_STAAS	690	PBAT.aln	294	2.4e-20	78.6	5.3e-23	4.7e-20	77.6	11	265	284	616	261	629	0.75	1	1	1.1326530612244898	0.3695652173913043	PBAT
sp|Q8NYC2|LIP2_STAAW	690	PBAT.aln	294	2.4e-20	78.6	5.3e-23	4.7e-20	77.6	11	265	284	616	261	629	0.75	1	1	1.1326530612244898	0.3695652173913043	PBAT
sp|P10335|LIP2_STAAU	690	PBAT.aln	294	2.9e-20	78.3	7.9e-23	7e-20	77.1	11	265	284	616	261	629	0.74	1	1	1.1326530612244898	0.3695652173913043	PBAT
sp|Q2G155|LIP2_STAA8	690	PBAT.aln	294	2.9e-20	78.3	7.9e-23	7e-20	77.1	11	265	284	616	261	629	0.74	1	1	1.1326530612244898	0.3695652173913043	PBAT
sp|Q5HJ48|LIP2_STAAC	690	PBAT.aln	294	2.9e-20	78.3	7.9e-23	7e-20	77.1	11	265	284	616	261	629	0.74	1	1	1.1326530612244898	0.3695652173913043	PBAT
sp|Q6GJZ6|LIP2_STAAR	691	PBAT.aln	294	3.3e-20	78.1	7.9e-23	6.9e-20	77.1	11	265	285	617	263	630	0.75	1	1	1.1326530612244898	0.36903039073806077	PBAT
sp|Q5HKP6|LIP_STAEQ	688	PBAT.aln	294	1.5e-19	76.0	1.7e-22	1.5e-19	76.0	23	265	300	622	254	634	0.74	1	1	1.098639455782313	0.35319767441860467	PBAT
sp|P0C0R3|LIP_STAEP	688	PBAT.aln	294	5.8e-19	74.1	6.5e-22	5.8e-19	74.1	25	265	306	622	272	634	0.73	1	1	1.0782312925170068	0.3502906976744186	PBAT
