hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|P19136|PEM4_PHACH	382	Peroxidase_ext.aln	387	1.5e-215	720.3	1.8e-219	1.6e-215	720.2	3	383	1	382	1	382	0.99	1	1	0.9870801033591732	0.9973821989528796	Peroxidase_ext
sp|Q02567|PEM1_PHACH	378	Peroxidase_ext.aln	387	7.8e-211	704.8	9.5e-215	8.7e-211	704.6	3	383	1	378	1	378	0.98	1	1	0.9767441860465116	1.007936507936508	Peroxidase_ext
sp|P78733|PEM3_PHACH	380	Peroxidase_ext.aln	387	3.9e-200	669.5	4.8e-204	4.4e-200	669.4	6	383	5	380	1	380	0.98	1	1	0.9715762273901809	0.9947368421052631	Peroxidase_ext
sp|Q70LM3|PEM2_PHLRA	390	Peroxidase_ext.aln	387	1.8e-182	611.4	2.4e-186	2.2e-182	611.1	1	383	1	381	1	384	0.99	1	1	0.9844961240310077	0.982051282051282	Peroxidase_ext
sp|Q9UVP6|VPS1_PLEER	370	Peroxidase_ext.aln	387	1.5e-108	368.0	2e-112	1.8e-108	367.7	25	361	30	362	5	368	0.93	1	1	0.8604651162790697	0.9108108108108108	Peroxidase_ext
sp|P11542|LIG4_PHACH	372	Peroxidase_ext.aln	387	1.5e-99	338.4	2e-103	1.8e-99	338.1	6	362	7	361	1	367	0.94	1	1	0.917312661498708	0.9596774193548387	Peroxidase_ext
sp|Q96TS6|PEM3_PHLRA	362	Peroxidase_ext.aln	387	2e-99	338.0	2.6e-103	2.4e-99	337.7	3	365	1	358	1	361	0.95	1	1	0.9250645994832042	1.0027624309392265	Peroxidase_ext
sp|Q9UR19|VPL1_PLEER	361	Peroxidase_ext.aln	387	1.5e-98	335.1	1.9e-102	1.7e-98	334.9	9	364	11	356	1	360	0.93	1	1	0.8940568475452196	0.9861495844875346	Peroxidase_ext
sp|O94753|VPL2_PLEER	361	Peroxidase_ext.aln	387	2.6e-98	334.3	3.4e-102	3.1e-98	334.1	9	364	11	356	1	360	0.93	1	1	0.8940568475452196	0.9861495844875346	Peroxidase_ext
sp|P50622|LIG6_PHACH	372	Peroxidase_ext.aln	387	2.7e-96	327.7	3.6e-100	3.2e-96	327.4	7	358	5	358	1	367	0.92	1	1	0.9147286821705426	0.946236559139785	Peroxidase_ext
sp|P11543|LIG5_PHACH	371	Peroxidase_ext.aln	387	1.6e-94	321.8	2.1e-98	2e-94	321.5	3	361	1	360	1	366	0.93	1	1	0.9302325581395349	0.967654986522911	Peroxidase_ext
sp|P06181|LIG8_PHACH	372	Peroxidase_ext.aln	387	3.9e-94	320.5	5.2e-98	4.7e-94	320.3	5	359	3	359	1	367	0.92	1	1	0.9224806201550387	0.9543010752688172	Peroxidase_ext
sp|P31838|LIGB_PHACH	372	Peroxidase_ext.aln	387	1.4e-93	318.8	1.8e-97	1.6e-93	318.5	10	359	11	359	1	367	0.92	1	1	0.9018087855297158	0.9408602150537635	Peroxidase_ext
sp|P31837|LIGA_PHACH	372	Peroxidase_ext.aln	387	3.9e-92	314.0	5.2e-96	4.7e-92	313.7	7	360	8	360	1	367	0.92	1	1	0.9121447028423773	0.9516129032258065	Peroxidase_ext
