hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|P06873|PRTK_PARAQ	384	Peptidase_S8.aln	373	7.9e-169	566.6	5.8e-172	8.9e-169	566.5	1	373	1	382	1	382	0.99	1	1	1.0241286863270778	0.9713541666666666	Peptidase_S8
sp|P80146|SEPR_THESR	410	Peptidase_S8.aln	373	2.7e-167	561.6	2e-170	3e-167	561.4	1	372	1	409	1	410	0.96	1	1	1.096514745308311	0.9073170731707317	Peptidase_S8
sp|P23653|PRTR_PARAQ	387	Peptidase_S8.aln	373	1.1e-155	523.4	8e-159	1.2e-155	523.2	1	373	1	385	1	385	0.96	1	1	1.032171581769437	0.9638242894056848	Peptidase_S8
sp|P00780|SUBC_BACLI	379	Peptidase_S8.aln	373	1.6e-145	490.0	1.1e-148	1.7e-145	489.8	1	372	2	379	1	379	0.98	1	1	1.0134048257372654	0.9815303430079155	Peptidase_S8
sp|P08594|AQL1_THEAQ	513	Peptidase_S8.aln	373	6.5e-143	481.4	5.5e-146	8.4e-143	481.0	6	370	8	400	1	402	0.93	1	1	1.0536193029490617	0.7115009746588694	Peptidase_S8
sp|P41362|ELYA_SHOCL	380	Peptidase_S8.aln	373	4.1e-135	455.7	3e-138	4.6e-135	455.5	15	372	11	380	1	380	0.92	1	1	0.9919571045576407	0.9421052631578948	Peptidase_S8
sp|P27693|ELYA_ALKAL	380	Peptidase_S8.aln	373	8.9e-135	454.6	6.4e-138	9.9e-135	454.4	15	372	11	380	1	380	0.92	1	1	0.9919571045576407	0.9421052631578948	Peptidase_S8
sp|Q99405|PRTM_SHOC1	380	Peptidase_S8.aln	373	1.4e-134	453.9	1e-137	1.6e-134	453.8	15	372	11	380	1	380	0.92	1	1	0.9919571045576407	0.9421052631578948	Peptidase_S8
sp|P29138|CUDP_METAN	388	Peptidase_S8.aln	373	3.3e-133	449.4	2.7e-136	4.1e-133	449.1	1	371	1	386	1	387	0.94	1	1	1.03485254691689	0.9561855670103093	Peptidase_S8
sp|Q68GV9|ALP_CORPA	382	Peptidase_S8.aln	373	1e-129	437.9	8e-133	1.2e-129	437.7	1	370	1	378	1	380	0.92	1	1	1.0134048257372654	0.9685863874345549	Peptidase_S8
