hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|P12625|PHB_RALPI	488	PHB.aln	425	1.7e-91	312.7	3.5e-94	2.1e-91	312.4	17	395	17	488	2	488	0.93	1	1	1.1105882352941177	0.7766393442622951	PHB
sp|P52090|PHA1_PAULE	414	PHB.aln	425	1.1e-80	277.1	2.2e-83	1.3e-80	276.9	14	354	13	376	1	393	0.87	1	1	0.8564705882352941	0.8236714975845411	PHB
sp|O05527|PHB_DELAC	494	PHB.aln	425	1.4e-55	194.4	3.7e-58	2.2e-55	193.7	125	395	24	494	2	494	0.94	1	1	1.108235294117647	0.548582995951417	PHB
sp|B2NHN2|PHAZ_TALFU	339	PHB.aln	425	1.1e-37	135.4	1.3e-39	7.5e-37	132.6	125	301	16	315	11	335	0.88	1	1	0.7058823529411765	0.5221238938053098	PHB
sp|G2QND5|FAEB_THET4	291	PHB.aln	425	4.4e-35	126.8	8.7e-38	5.1e-35	126.6	18	243	7	264	1	281	0.89	1	1	0.6070588235294118	0.7766323024054983	PHB
sp|Q9HGR3|FAEB_NEUCR	292	PHB.aln	425	3e-33	120.8	6e-36	3.5e-33	120.5	17	248	6	266	1	283	0.82	1	1	0.6141176470588235	0.7945205479452054	PHB
sp|Q5B037|AXE1_EMENI	304	PHB.aln	425	1.1e-31	115.6	2.1e-34	1.2e-31	115.5	21	242	10	254	1	299	0.85	1	1	0.5764705882352941	0.7302631578947368	PHB
sp|B8NBI2|AXE1_ASPFN	307	PHB.aln	425	3.5e-29	107.4	7.3e-32	4.3e-29	107.1	22	233	11	262	2	299	0.8	1	1	0.5929411764705882	0.6905537459283387	PHB
sp|A8PB24|AXE1_COPC7	374	PHB.aln	425	6e-29	106.6	1.4e-31	7.9e-29	106.2	30	268	90	360	57	370	0.83	1	1	0.6376470588235295	0.6390374331550802	PHB
sp|A9JPE6|AXE1_ASPFL	307	PHB.aln	425	9e-29	106.0	1.9e-31	1.1e-28	105.7	22	233	11	262	2	299	0.8	1	1	0.5929411764705882	0.6905537459283387	PHB
sp|Q75P26|AXE1_ASPOR	307	PHB.aln	425	9e-29	106.0	1.9e-31	1.1e-28	105.7	22	233	11	262	2	299	0.8	1	1	0.5929411764705882	0.6905537459283387	PHB
sp|Q92194|AXE1_ASPAW	304	PHB.aln	425	5.3e-28	103.5	1.1e-30	6.1e-28	103.3	17	242	3	267	1	298	0.83	1	1	0.6235294117647059	0.743421052631579	PHB
sp|A1CSZ8|AXE1_ASPCL	308	PHB.aln	425	1.9e-27	101.7	3.7e-30	2.2e-27	101.5	18	268	8	294	1	304	0.77	1	1	0.6752941176470588	0.814935064935065	PHB
sp|A2QZI3|AXE1_ASPNC	303	PHB.aln	425	4.6e-27	100.4	9.3e-30	5.4e-27	100.2	14	266	10	288	1	297	0.81	1	1	0.6564705882352941	0.834983498349835	PHB
sp|Q96W96|AXE1_ASPFI	303	PHB.aln	425	5.4e-27	100.2	1.1e-29	6.3e-27	99.9	14	266	10	288	1	297	0.81	1	1	0.6564705882352941	0.834983498349835	PHB
sp|B8M9H9|FAEB_TALSN	358	PHB.aln	425	5.5e-27	100.1	1.5e-29	8.7e-27	99.5	16	329	6	334	2	355	0.77	1	1	0.7741176470588236	0.8770949720670391	PHB
sp|Q9HE18|FAEB_TALFU	353	PHB.aln	425	7e-27	99.8	1.7e-29	9.9e-27	99.3	17	341	7	335	2	351	0.81	1	1	0.7741176470588236	0.9206798866855525	PHB
sp|A1DBP9|AXE1_NEOFI	368	PHB.aln	425	1.2e-25	95.7	4.5e-28	2.6e-25	94.6	20	271	8	295	1	364	0.79	1	1	0.6776470588235294	0.6847826086956522	PHB
sp|Q4WBW4|AXE1_ASPFU	371	PHB.aln	425	1.3e-25	95.6	5.2e-28	3.1e-25	94.4	21	300	9	304	1	362	0.78	1	1	0.6964705882352941	0.7547169811320755	PHB
sp|A9GMG8|CE1_SORC5	456	PHB.aln	425	1.5e-25	95.4	2.5e-28	1.5e-25	95.4	14	270	11	301	3	336	0.87	1	1	0.6847058823529412	0.5635964912280702	PHB
sp|Q51718|PHAZ_PSEFL	278	PHB.aln	425	6.4e-25	93.3	1.3e-27	7.5e-25	93.1	14	223	8	247	1	273	0.88	1	1	0.5647058823529412	0.7553956834532374	PHB
sp|Q8NJP6|AXE1_TALPU	382	PHB.aln	425	2e-23	88.4	6.7e-26	3.9e-23	87.4	30	340	21	354	1	378	0.75	1	1	0.7858823529411765	0.8141361256544503	PHB
sp|Q0C8Z1|AXE1_ASPTN	311	PHB.aln	425	4e-23	87.4	8.5e-26	5e-23	87.1	18	266	12	296	2	307	0.77	1	1	0.6705882352941176	0.8006430868167203	PHB
sp|Q0K9H3|HBOH_CUPNH	718	PHB.aln	425	5.6e-22	83.6	1.3e-24	7.7e-22	83.2	13	425	9	718	1	718	0.81	1	1	1.6705882352941177	0.575208913649025	PHB
sp|P19833|LIP1_MORS1	319	PHB.aln	425	8.4e-22	83.1	1.7e-24	1e-21	82.8	3	228	2	260	1	316	0.88	1	1	0.6094117647058823	0.7084639498432602	PHB
sp|B8YG19|XS20E_NEOPA	671	PHB.aln	425	6.4e-21	80.2	1.7e-23	1e-20	79.5	30	300	19	279	2	539	0.77	1	1	0.6141176470588235	0.4038748137108793	PHB
