hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|B2NHN2|PHAZ_TALFU	339	CBM_1.aln	454	1.9e-169	569.5	4.2e-173	2.2e-169	569.3	55	382	11	337	3	339	0.98	1	1	0.7202643171806168	0.967551622418879	CBM_1
sp|O05527|PHB_DELAC	494	CBM_1.aln	454	4.1e-74	255.2	7.8e-78	4.1e-74	255.2	54	425	8	381	2	408	0.81	1	1	0.8237885462555066	0.7530364372469636	CBM_1
sp|A8PB24|AXE1_COPC7	374	CBM_1.aln	454	2.4e-13	54.9	8.1e-09	4.3e-05	27.7	411	450	17	56	7	58	0.81	1	3	0.0881057268722467	0.10695187165775401	CBM_1
sp|A8PB24|AXE1_COPC7	374	CBM_1.aln	454	2.4e-13	54.9	4.1	22000.0	-1.0	288	328	131	168	101	184	0.71	2	3	0.08370044052863436	0.10962566844919786	CBM_1
sp|A8PB24|AXE1_COPC7	374	CBM_1.aln	454	2.4e-13	54.9	3.3e-09	1.7e-05	29.0	57	192	193	324	178	335	0.76	3	3	0.2907488986784141	0.36363636363636365	CBM_1
sp|O59843|CBHB_ASPAC	540	CBM_1.aln	454	4.9e-13	53.9	3.5	19000.0	-0.8	396	436	311	349	295	365	0.65	1	2	0.08590308370044053	0.07592592592592592	CBM_1
sp|O59843|CBHB_ASPAC	540	CBM_1.aln	454	4.9e-13	53.9	9.3e-17	4.9e-13	53.9	383	451	467	540	449	540	0.7	2	2	0.16299559471365638	0.12777777777777777	CBM_1
sp|Q4WBW4|AXE1_ASPFU	371	CBM_1.aln	454	4.9e-11	47.3	0.08	420.0	4.7	254	334	33	105	7	131	0.71	1	3	0.16079295154185022	0.2183288409703504	CBM_1
sp|Q4WBW4|AXE1_ASPFU	371	CBM_1.aln	454	4.9e-11	47.3	0.0014	7.4	10.5	65	176	131	243	118	265	0.82	2	3	0.2488986784140969	0.3018867924528302	CBM_1
sp|Q4WBW4|AXE1_ASPFU	371	CBM_1.aln	454	4.9e-11	47.3	1.8e-13	9.4e-10	43.1	381	451	303	371	285	371	0.83	3	3	0.15198237885462554	0.19137466307277629	CBM_1
sp|B0Y8K2|CBHB_ASPFC	532	CBM_1.aln	454	1.2e-10	46.1	5.4e-14	2.9e-10	44.8	377	451	458	532	438	532	0.81	1	1	0.16519823788546256	0.14097744360902256	CBM_1
sp|Q4WM08|CBHB_ASPFU	532	CBM_1.aln	454	1.2e-10	46.1	5.4e-14	2.9e-10	44.8	377	451	458	532	438	532	0.81	1	1	0.16519823788546256	0.14097744360902256	CBM_1
sp|Q8NJP6|AXE1_TALPU	382	CBM_1.aln	454	2.6e-10	44.9	0.096	510.0	4.4	254	333	36	107	14	126	0.73	1	3	0.15859030837004406	0.2094240837696335	CBM_1
sp|Q8NJP6|AXE1_TALPU	382	CBM_1.aln	454	2.6e-10	44.9	0.0029	15.0	9.4	65	176	134	246	118	276	0.85	2	3	0.2488986784140969	0.2931937172774869	CBM_1
sp|Q8NJP6|AXE1_TALPU	382	CBM_1.aln	454	2.6e-10	44.9	3.1e-13	1.6e-09	42.3	383	451	309	382	288	382	0.74	3	3	0.16299559471365638	0.1806282722513089	CBM_1
sp|Q0CMT2|CBHB_ASPTN	541	CBM_1.aln	454	3.1e-10	44.7	1.4e-13	7.6e-10	43.4	379	451	460	541	438	541	0.73	1	1	0.18061674008810572	0.13493530499075784	CBM_1
sp|Q8WZJ4|XYNA_TALFU	529	CBM_1.aln	454	4.2e-10	44.2	6.3	33000.0	-1.6	60	134	21	95	4	141	0.74	1	2	0.16519823788546256	0.14177693761814744	CBM_1
sp|Q8WZJ4|XYNA_TALFU	529	CBM_1.aln	454	4.2e-10	44.2	8e-14	4.2e-10	44.2	381	451	457	529	405	529	0.74	2	2	0.16079295154185022	0.1342155009451796	CBM_1
sp|Q5ZNB1|XYND_TALFU	407	CBM_1.aln	454	1.2e-09	42.8	3.8	20000.0	-0.9	108	144	213	247	207	274	0.76	1	3	0.07709251101321586	0.09090909090909091	CBM_1
sp|Q5ZNB1|XYND_TALFU	407	CBM_1.aln	454	1.2e-09	42.8	2.5	13000.0	-0.2	191	250	252	310	225	323	0.54	2	3	0.1299559471365639	0.14742014742014742	CBM_1
sp|Q5ZNB1|XYND_TALFU	407	CBM_1.aln	454	1.2e-09	42.8	2.2e-13	1.2e-09	42.8	380	451	336	407	325	407	0.72	3	3	0.15859030837004406	0.1769041769041769	CBM_1
sp|A1DBP9|AXE1_NEOFI	368	CBM_1.aln	454	4.2e-09	40.9	0.039	210.0	5.7	254	333	33	104	11	124	0.72	1	3	0.15859030837004406	0.21739130434782608	CBM_1
sp|A1DBP9|AXE1_NEOFI	368	CBM_1.aln	454	4.2e-09	40.9	0.0054	28.0	8.5	65	177	131	244	118	272	0.76	2	3	0.2511013215859031	0.3070652173913043	CBM_1
sp|A1DBP9|AXE1_NEOFI	368	CBM_1.aln	454	4.2e-09	40.9	6.6e-12	3.5e-08	37.9	383	451	303	368	293	368	0.82	3	3	0.14537444933920704	0.1875	CBM_1
sp|Q9HEZ1|XYNA_PHACH	408	CBM_1.aln	454	8.5e-09	39.9	1.6e-12	8.5e-09	39.9	416	451	19	55	11	58	0.91	1	1	0.08149779735682819	0.08823529411764706	CBM_1
sp|A2QAI7|CBHB_ASPNC	536	CBM_1.aln	454	1.2e-08	39.4	2.3e-12	1.2e-08	39.4	380	451	464	536	455	536	0.85	1	1	0.16079295154185022	0.13432835820895522	CBM_1
sp|Q9UVS8|CBHB_ASPNG	536	CBM_1.aln	454	1.2e-08	39.4	2.3e-12	1.2e-08	39.4	380	451	464	536	455	536	0.85	1	1	0.16079295154185022	0.13432835820895522	CBM_1
sp|A0A2U7QU15|XYN1_PENPR	404	CBM_1.aln	454	1.9e-08	38.8	6.3e-12	3.3e-08	38.0	349	451	299	404	269	404	0.78	1	1	0.23348017621145375	0.25495049504950495	CBM_1
sp|P50272|PSBP_PORPU	210	CBM_1.aln	454	2e-08	38.7	4.7e-09	2.5e-05	28.5	401	451	7	58	3	60	0.86	1	4	0.1145374449339207	0.24285714285714285	CBM_1
sp|P50272|PSBP_PORPU	210	CBM_1.aln	454	2e-08	38.7	8.2e-05	0.43	14.5	421	452	70	102	63	104	0.89	2	4	0.07268722466960352	0.1523809523809524	CBM_1
sp|P50272|PSBP_PORPU	210	CBM_1.aln	454	2e-08	38.7	9.8	52000.0	-2.2	420	445	128	154	114	162	0.76	3	4	0.05947136563876652	0.12380952380952381	CBM_1
sp|P50272|PSBP_PORPU	210	CBM_1.aln	454	2e-08	38.7	0.00043	2.2	12.2	420	451	172	206	167	208	0.84	4	4	0.07709251101321586	0.1523809523809524	CBM_1
sp|A1DNL0|CBHB_NEOFI	530	CBM_1.aln	454	2.4e-08	38.4	1e-11	5.3e-08	37.3	390	451	468	530	433	530	0.8	1	1	0.13876651982378854	0.1169811320754717	CBM_1
sp|Q9HE18|FAEB_TALFU	353	CBM_1.aln	454	3.3e-08	38.0	0.026	140.0	6.3	354	388	95	129	14	133	0.86	1	3	0.07709251101321586	0.09915014164305949	CBM_1
sp|Q9HE18|FAEB_TALFU	353	CBM_1.aln	454	3.3e-08	38.0	5.6e-08	0.00029	25.0	67	177	120	232	113	253	0.85	2	3	0.2488986784140969	0.31444759206798867	CBM_1
sp|Q9HE18|FAEB_TALFU	353	CBM_1.aln	454	3.3e-08	38.0	2.5e-06	0.013	19.5	391	451	292	353	272	353	0.84	3	3	0.13656387665198239	0.17280453257790368	CBM_1
sp|B2B629|LP9A_PODAN	351	CBM_1.aln	454	3.9e-08	37.8	1.3e-11	6.9e-08	36.9	383	451	279	351	242	351	0.82	1	1	0.16079295154185022	0.19658119658119658	CBM_1
sp|Q7SHI8|LP9C_NEUCR	359	CBM_1.aln	454	4.9e-08	37.4	9.4e-12	4.9e-08	37.4	386	451	286	358	281	359	0.65	1	1	0.16079295154185022	0.18384401114206128	CBM_1
sp|A1CU44|CBHB_ASPCL	539	CBM_1.aln	454	5.2e-08	37.4	1.9e-11	1e-07	36.4	384	451	471	539	453	539	0.88	1	1	0.15198237885462554	0.1261595547309833	CBM_1
sp|B7SIW2|XYNC_PHACH	399	CBM_1.aln	454	2.5e-07	35.1	4.8e-11	2.5e-07	35.1	414	451	18	56	5	57	0.84	1	2	0.08590308370044053	0.09523809523809523	CBM_1
sp|B7SIW2|XYNC_PHACH	399	CBM_1.aln	454	2.5e-07	35.1	5.6	29000.0	-1.4	55	95	148	188	135	206	0.7	2	2	0.09030837004405286	0.10275689223057644	CBM_1
sp|Q99036|MANA_HYPJR	437	CBM_1.aln	454	3.5e-07	34.6	7.2	38000.0	-1.8	217	273	65	123	19	225	0.64	1	2	0.1299559471365639	0.13043478260869565	CBM_1
sp|Q99036|MANA_HYPJR	437	CBM_1.aln	454	3.5e-07	34.6	6.6e-11	3.5e-07	34.6	390	451	374	435	333	437	0.75	2	2	0.13656387665198239	0.14187643020594964	CBM_1
sp|Q8NK02|CBHB_EMENI	526	CBM_1.aln	454	3.8e-07	34.5	1.9e-10	9.7e-07	33.1	387	451	465	526	446	526	0.8	1	1	0.13656387665198239	0.12357414448669202	CBM_1
sp|Q8J0K5|XYNB_TALFU	282	CBM_1.aln	454	3.9e-07	34.5	5.9	31000.0	-1.5	183	212	50	78	40	118	0.7	1	2	0.06387665198237885	0.10638297872340426	CBM_1
sp|Q8J0K5|XYNB_TALFU	282	CBM_1.aln	454	3.9e-07	34.5	7.4e-11	3.9e-07	34.5	359	450	186	281	124	282	0.76	2	2	0.21145374449339208	0.3262411347517731	CBM_1
sp|A2R5N0|LP9A_ASPNC	412	CBM_1.aln	454	4.4e-07	34.3	8.4e-11	4.4e-07	34.3	386	451	343	409	336	411	0.9	1	1	0.14757709251101322	0.16019417475728157	CBM_1
sp|A0A0A7EQR3|GCE_CERUI	474	CBM_1.aln	454	5.4e-07	34.0	1e-10	5.4e-07	34.0	412	451	15	55	7	58	0.89	1	1	0.09030837004405286	0.08438818565400844	CBM_1
sp|G0RV93|GCE_HYPJQ	460	CBM_1.aln	454	5.6e-07	33.9	1.1e-10	5.6e-07	33.9	415	451	16	53	10	54	0.9	1	1	0.08370044052863436	0.08043478260869565	CBM_1
sp|Q0CFP1|CBHC_ASPTN	468	CBM_1.aln	454	6.1e-07	33.8	1.2e-10	6.1e-07	33.8	416	451	18	54	6	56	0.89	1	1	0.08149779735682819	0.07692307692307693	CBM_1
sp|A0A384JJB6|LP9C_BOTFB	321	CBM_1.aln	454	7.1e-07	33.6	10.0	53000.0	-2.2	87	148	22	81	7	112	0.6	1	3	0.13215859030837004	0.19314641744548286	CBM_1
sp|A0A384JJB6|LP9C_BOTFB	321	CBM_1.aln	454	7.1e-07	33.6	4.8	25000.0	-1.2	368	448	184	215	151	235	0.7	2	3	0.07048458149779736	0.2523364485981308	CBM_1
sp|A0A384JJB6|LP9C_BOTFB	321	CBM_1.aln	454	7.1e-07	33.6	1.4e-10	7.1e-07	33.6	384	451	248	319	238	320	0.73	3	3	0.15859030837004406	0.2118380062305296	CBM_1
sp|P62694|GUX1_HYPJE	513	CBM_1.aln	454	8.1e-07	33.4	1.7e-10	9.1e-07	33.2	403	451	461	513	401	513	0.76	1	1	0.11674008810572688	0.09551656920077972	CBM_1
sp|P62695|GUX1_TRIKO	513	CBM_1.aln	454	8.1e-07	33.4	1.7e-10	9.1e-07	33.2	403	451	461	513	401	513	0.76	1	1	0.11674008810572688	0.09551656920077972	CBM_1
sp|A0A024RXP8|GUX1_HYPJR	514	CBM_1.aln	454	9.5e-07	33.2	2e-10	1.1e-06	33.0	402	451	461	514	401	514	0.79	1	1	0.11894273127753303	0.09727626459143969	CBM_1
sp|G2Q9T3|LP9H_THET4	342	CBM_1.aln	454	9.5e-07	33.2	2.9e-10	1.5e-06	32.5	369	451	256	342	241	342	0.79	1	1	0.19162995594713655	0.24269005847953215	CBM_1
sp|P0CT87|GCE1_PHACR	472	CBM_1.aln	454	9.6e-07	33.2	1.8e-10	9.6e-07	33.2	415	451	19	56	6	57	0.88	1	1	0.08370044052863436	0.07838983050847458	CBM_1
sp|P52090|PHA1_PAULE	414	CBM_1.aln	454	1e-06	33.1	0.03	160.0	6.1	249	332	32	106	23	115	0.74	1	2	0.16519823788546256	0.2028985507246377	CBM_1
sp|P52090|PHA1_PAULE	414	CBM_1.aln	454	1e-06	33.1	2e-10	1e-06	33.1	68	186	139	253	121	308	0.81	2	2	0.2533039647577093	0.28743961352657005	CBM_1
sp|A0A384K4U6|LP9A_BOTFB	323	CBM_1.aln	454	1.1e-06	33.0	3.1e-10	1.6e-06	32.4	373	451	240	323	219	323	0.7	1	1	0.18502202643171806	0.24458204334365324	CBM_1
sp|Q9P7F1|YKK5_SCHPO	197	CBM_1.aln	454	1.1e-06	33.0	2.7e-07	0.0014	22.7	410	451	19	61	2	64	0.75	1	2	0.0947136563876652	0.2131979695431472	CBM_1
sp|Q9P7F1|YKK5_SCHPO	197	CBM_1.aln	454	1.1e-06	33.0	2.3e-07	0.0012	23.0	416	451	68	104	63	107	0.85	2	2	0.08149779735682819	0.18274111675126903	CBM_1
sp|Q00023|LP9_AGABI	320	CBM_1.aln	454	1.6e-06	32.4	5.6e-10	2.9e-06	31.6	382	451	254	320	226	320	0.76	1	1	0.14757709251101322	0.21875	CBM_1
sp|G2QCS4|CEL7A_THET4	464	CBM_1.aln	454	1.6e-06	32.4	0.92	4800.0	1.2	186	247	154	215	126	227	0.78	1	2	0.13656387665198239	0.1336206896551724	CBM_1
sp|G2QCS4|CEL7A_THET4	464	CBM_1.aln	454	1.6e-06	32.4	3.1e-10	1.6e-06	32.4	403	451	409	464	346	464	0.7	2	2	0.12334801762114538	0.10560344827586207	CBM_1
sp|P15828|GUX1_HUMIN	525	CBM_1.aln	454	2.1e-06	32.1	8.1e-10	4.3e-06	31.0	380	451	456	525	434	525	0.76	1	1	0.15418502202643172	0.13714285714285715	CBM_1
sp|B7SIW1|XYNB_PHACH	290	CBM_1.aln	454	2.9e-06	31.6	8.8e-10	4.6e-06	30.9	380	451	209	290	189	290	0.63	1	1	0.18061674008810572	0.2482758620689655	CBM_1
sp|P13860|GUX1_PHACH	516	CBM_1.aln	454	3.3e-06	31.4	1.4e-09	7.5e-06	30.2	383	450	447	515	435	516	0.9	1	1	0.15198237885462554	0.13178294573643412	CBM_1
sp|P19355|GUX1_HYPRU	514	CBM_1.aln	454	3.5e-06	31.3	6.7e-10	3.5e-06	31.3	386	451	445	514	403	514	0.77	1	1	0.15418502202643172	0.12840466926070038	CBM_1
sp|P07982|GUN2_HYPJE	418	CBM_1.aln	454	3.9e-06	31.2	7.3e-10	3.9e-06	31.2	416	451	21	57	10	59	0.86	1	2	0.08149779735682819	0.0861244019138756	CBM_1
sp|P07982|GUN2_HYPJE	418	CBM_1.aln	454	3.9e-06	31.2	0.49	2600.0	2.1	372	406	370	409	353	416	0.62	2	2	0.0881057268722467	0.08373205741626795	CBM_1
sp|B2ADG1|LP9H_PODAN	370	CBM_1.aln	454	4.5e-06	31.0	1.5e-09	7.9e-06	30.1	415	448	271	304	244	307	0.89	1	1	0.07488986784140969	0.0918918918918919	CBM_1
sp|A0A024SH20|GUN2_HYPJR	418	CBM_1.aln	454	5.2e-06	30.8	9.8e-10	5.2e-06	30.8	415	451	20	57	11	60	0.88	1	2	0.08370044052863436	0.08851674641148326	CBM_1
sp|A0A024SH20|GUN2_HYPJR	418	CBM_1.aln	454	5.2e-06	30.8	0.6	3200.0	1.8	372	405	370	408	353	416	0.6	2	2	0.08590308370044053	0.08133971291866028	CBM_1
