hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|P52090|PHA1_PAULE	414	PHV.aln	431	1.4e-165	556.2	3.2e-169	1.9e-165	555.8	2	400	12	392	2	396	0.99	1	1	0.8839907192575406	0.9637681159420289	PHV
sp|P12625|PHB_RALPI	488	PHV.aln	431	1.6e-123	417.6	3.5e-127	2e-123	417.3	14	431	13	488	1	488	0.9	1	1	1.1044083526682134	0.8565573770491803	PHV
sp|O05527|PHB_DELAC	494	PHV.aln	431	3.5e-46	162.8	3.3e-21	1.9e-17	68.1	124	321	23	247	2	251	0.77	1	3	0.5220417633410673	0.4008097165991903	PHV
sp|O05527|PHB_DELAC	494	PHV.aln	431	3.5e-46	162.8	1e-23	5.9e-20	76.4	347	431	350	494	331	494	0.57	3	3	0.33642691415313225	0.1720647773279352	PHV
sp|G2QND5|FAEB_THET4	291	PHV.aln	431	2.3e-43	153.5	5.1e-47	2.9e-43	153.2	17	266	11	261	2	276	0.9	1	1	0.5823665893271461	0.8591065292096219	PHV
sp|Q9HGR3|FAEB_NEUCR	292	PHV.aln	431	2.7e-43	153.3	5.8e-47	3.4e-43	153.0	26	268	14	263	2	282	0.85	1	1	0.580046403712297	0.8321917808219178	PHV
sp|Q9HE18|FAEB_TALFU	353	PHV.aln	431	4.9e-42	149.2	8.4e-46	4.9e-42	149.2	25	288	18	281	3	284	0.89	1	1	0.6125290023201856	0.7478753541076487	PHV
sp|B8M9H9|FAEB_TALSN	358	PHV.aln	431	9.1e-42	148.3	1.6e-45	9.1e-42	148.3	26	287	18	280	4	281	0.88	1	2	0.6102088167053364	0.7318435754189944	PHV
sp|A8PB24|AXE1_COPC7	374	PHV.aln	431	9.4e-42	148.2	1.6e-45	9.4e-42	148.2	28	288	101	362	82	371	0.88	2	2	0.6078886310904872	0.6978609625668449	PHV
sp|A1CSZ8|AXE1_ASPCL	308	PHV.aln	431	1.5e-41	147.6	3.1e-45	1.8e-41	147.3	22	287	24	295	4	303	0.87	1	1	0.6310904872389791	0.8636363636363636	PHV
sp|Q5B037|AXE1_EMENI	304	PHV.aln	431	8.7e-40	141.7	1.8e-43	1e-39	141.5	28	247	31	253	3	286	0.87	1	1	0.5174013921113689	0.7236842105263158	PHV
sp|B8NBI2|AXE1_ASPFN	307	PHV.aln	431	3.9e-39	139.6	8.2e-43	4.7e-39	139.3	26	254	32	263	4	292	0.87	1	1	0.5382830626450116	0.745928338762215	PHV
sp|A9JPE6|AXE1_ASPFL	307	PHV.aln	431	2e-38	137.3	4.1e-42	2.4e-38	137.0	26	254	32	263	4	292	0.87	1	1	0.5382830626450116	0.745928338762215	PHV
sp|Q75P26|AXE1_ASPOR	307	PHV.aln	431	2e-38	137.3	4.1e-42	2.4e-38	137.0	26	254	32	263	4	292	0.87	1	1	0.5382830626450116	0.745928338762215	PHV
sp|A1DBP9|AXE1_NEOFI	368	PHV.aln	431	2.1e-38	137.2	3.5e-42	2.1e-38	137.2	11	286	7	292	2	299	0.89	1	1	0.6635730858468677	0.75	PHV
sp|Q4WBW4|AXE1_ASPFU	371	PHV.aln	431	4e-38	136.2	6.9e-42	4e-38	136.2	11	287	7	293	2	302	0.88	1	1	0.665893271461717	0.7466307277628033	PHV
sp|Q8NJP6|AXE1_TALPU	382	PHV.aln	431	4.2e-37	132.9	7.3e-41	4.2e-37	132.9	10	288	8	297	1	306	0.87	1	1	0.6728538283062645	0.7303664921465969	PHV
sp|Q96W96|AXE1_ASPFI	303	PHV.aln	431	4.9e-36	129.4	9.9e-40	5.7e-36	129.1	5	287	8	291	1	298	0.9	1	1	0.6589327146171694	0.933993399339934	PHV
sp|Q92194|AXE1_ASPAW	304	PHV.aln	431	7.6e-36	128.7	1.7e-39	9.6e-36	128.4	28	287	32	292	9	299	0.91	1	1	0.605568445475638	0.8552631578947368	PHV
sp|A2QZI3|AXE1_ASPNC	303	PHV.aln	431	3.3e-35	126.6	6.7e-39	3.9e-35	126.4	5	287	8	291	1	298	0.9	1	1	0.6589327146171694	0.933993399339934	PHV
sp|Q0C8Z1|AXE1_ASPTN	311	PHV.aln	431	1.9e-33	120.9	4e-37	2.3e-33	120.6	19	286	21	298	4	306	0.84	1	1	0.6450116009280742	0.8617363344051447	PHV
sp|B2NHN2|PHAZ_TALFU	339	PHV.aln	431	8.3e-32	115.4	4.5e-27	2.6e-23	87.4	129	300	22	214	15	216	0.81	1	3	0.44779582366589327	0.5073746312684366	PHV
sp|A9GMG8|CE1_SORC5	456	PHV.aln	431	4.8e-28	103.1	1.2e-31	6.9e-28	102.5	12	294	16	308	8	420	0.84	1	1	0.679814385150812	0.6206140350877193	PHV
sp|Q5J1R3|NOCK_NOCUT	344	PHV.aln	431	1.4e-08	38.9	7.9e-12	4.6e-08	37.2	39	172	67	201	11	210	0.78	1	2	0.31322505800464034	0.38953488372093026	PHV
