hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|G8GER6|PETH1_THEFU	319	AB_hydrolase.aln	334	1.1e-95	326.5	3.7e-98	1.3e-95	326.2	11	276	28	318	13	319	0.89	1	1	0.8712574850299402	0.8338557993730408	AB_hydrolase
sp|Q47RJ7|PETH1_THEFY	319	AB_hydrolase.aln	334	1.1e-95	326.5	3.7e-98	1.3e-95	326.2	11	276	28	318	13	319	0.89	1	1	0.8712574850299402	0.8338557993730408	AB_hydrolase
sp|D4Q9N1|PETH1_THEAE	296	AB_hydrolase.aln	334	2.4e-95	325.3	7.8e-98	2.7e-95	325.2	14	276	12	295	1	296	0.9	1	1	0.8502994011976048	0.8885135135135135	AB_hydrolase
sp|Q47RJ6|PETH2_THEFY	301	AB_hydrolase.aln	334	7.2e-95	323.7	2.3e-97	7.9e-95	323.6	10	276	9	300	1	301	0.89	1	1	0.874251497005988	0.8870431893687708	AB_hydrolase
sp|Q6A0I4|PETH2_THEFU	301	AB_hydrolase.aln	334	7.2e-95	323.7	2.3e-97	7.9e-95	323.6	10	276	9	300	1	301	0.89	1	1	0.874251497005988	0.8870431893687708	AB_hydrolase
sp|F7IX06|PETH2_THEAE	300	AB_hydrolase.aln	334	2.1e-93	318.9	6.8e-96	2.3e-93	318.8	12	276	10	299	1	300	0.89	1	1	0.8682634730538922	0.8833333333333333	AB_hydrolase
sp|E9LVH9|PETH2_THECS	262	AB_hydrolase.aln	334	5.2e-92	314.3	1.7e-94	5.7e-92	314.2	45	276	7	261	1	262	0.95	1	1	0.7634730538922155	0.8854961832061069	AB_hydrolase
sp|E9LVH8|PETH1_THECS	262	AB_hydrolase.aln	334	5e-91	311.1	1.6e-93	5.6e-91	311.0	45	276	7	261	1	262	0.95	1	1	0.7634730538922155	0.8854961832061069	AB_hydrolase
sp|Q9L2J6|BHETH_STRCO	310	AB_hydrolase.aln	334	5.9e-89	304.3	2.1e-91	7.1e-89	304.0	25	277	26	308	13	310	0.9	1	1	0.8473053892215568	0.8161290322580645	AB_hydrolase
sp|P0DX29|PETH1_AMYMS	309	AB_hydrolase.aln	334	5.1e-86	294.7	1.8e-88	6.1e-86	294.4	26	277	29	307	14	309	0.93	1	1	0.8353293413173652	0.8155339805825242	AB_hydrolase
sp|A0A0K8P6T7|PETH_PISS1	290	AB_hydrolase.aln	334	9.6e-86	293.7	3.1e-88	1e-85	293.6	17	275	8	289	1	290	0.89	1	1	0.844311377245509	0.8931034482758621	AB_hydrolase
sp|G9BY57|PETH_UNKP	293	AB_hydrolase.aln	334	4.7e-84	288.2	1.5e-86	5.1e-84	288.1	15	274	6	290	1	293	0.89	1	1	0.8532934131736527	0.8873720136518771	AB_hydrolase
sp|P19833|LIP1_MORS1	319	AB_hydrolase.aln	334	2.2e-66	230.1	7.2e-69	2.5e-66	229.9	11	275	2	318	1	319	0.87	1	1	0.9491017964071856	0.8307210031347962	AB_hydrolase
sp|P52090|PHA1_PAULE	414	AB_hydrolase.aln	334	1e-30	112.8	3.5e-33	1.2e-30	112.6	13	299	14	413	1	414	0.69	1	1	1.1976047904191616	0.6932367149758454	AB_hydrolase
sp|P12625|PHB_RALPI	488	AB_hydrolase.aln	334	1.1e-23	89.7	4.3e-26	1.5e-23	89.3	17	294	4	450	1	481	0.65	1	1	1.3383233532934131	0.569672131147541	AB_hydrolase
sp|P9WLC6|Y2307_MYCTO	281	AB_hydrolase.aln	334	1.4e-21	82.8	5e-24	1.7e-21	82.5	28	252	11	273	1	279	0.71	1	1	0.7874251497005988	0.800711743772242	AB_hydrolase
