hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|F7IX06|PETH2_THEAE	300	PBSA.aln	285	3.2e-53	186.5	1.1e-55	4.5e-53	186.0	5	279	12	299	1	299	0.88	1	1	1.0105263157894737	0.9166666666666666	PBSA
sp|D4Q9N1|PETH1_THEAE	296	PBSA.aln	285	7.9e-50	175.3	2.8e-52	1.1e-49	174.9	5	279	12	295	1	295	0.88	1	1	0.9964912280701754	0.9290540540540541	PBSA
sp|P25275|LIP_PSES5	364	PBSA.aln	285	4e-47	166.4	1.3e-49	4.9e-47	166.2	5	275	5	360	1	363	0.83	1	1	1.249122807017544	0.7445054945054945	PBSA
sp|P22088|LIP_BURCE	364	PBSA.aln	285	8.5e-47	165.4	2.7e-49	1e-46	165.1	5	274	5	359	1	363	0.81	1	1	1.2456140350877194	0.7417582417582418	PBSA
sp|P0DUB8|LIP_BURPL	358	PBSA.aln	285	8.2e-45	158.9	2.4e-47	9.5e-45	158.7	1	276	5	355	1	358	0.88	1	1	1.231578947368421	0.770949720670391	PBSA
sp|G8GER6|PETH1_THEFU	319	PBSA.aln	285	2.9e-44	157.1	1e-46	4e-44	156.6	6	278	32	317	19	318	0.85	1	1	1.0035087719298246	0.8557993730407524	PBSA
sp|Q47RJ7|PETH1_THEFY	319	PBSA.aln	285	2.9e-44	157.1	1e-46	4e-44	156.6	6	278	32	317	19	318	0.85	1	1	1.0035087719298246	0.8557993730407524	PBSA
sp|Q47RJ6|PETH2_THEFY	301	PBSA.aln	285	1e-43	155.3	3.5e-46	1.4e-43	154.9	5	278	13	299	1	300	0.85	1	1	1.0070175438596491	0.9102990033222591	PBSA
sp|Q6A0I4|PETH2_THEFU	301	PBSA.aln	285	1e-43	155.3	3.5e-46	1.4e-43	154.9	5	278	13	299	1	300	0.85	1	1	1.0070175438596491	0.9102990033222591	PBSA
sp|P0DUB9|LIP_PSEPS	319	PBSA.aln	285	3.5e-43	153.5	1e-45	4e-43	153.3	55	276	6	316	1	319	0.91	1	1	1.0912280701754387	0.6959247648902821	PBSA
sp|E9LVH9|PETH2_THECS	262	PBSA.aln	285	7.4e-41	145.9	2.6e-43	1e-40	145.5	26	278	3	260	1	261	0.88	1	1	0.9052631578947369	0.9656488549618321	PBSA
sp|E9LVH8|PETH1_THECS	262	PBSA.aln	285	4.7e-40	143.3	1.6e-42	6.4e-40	142.8	26	278	3	260	1	261	0.88	1	1	0.9052631578947369	0.9656488549618321	PBSA
sp|Q9L2J6|BHETH_STRCO	310	PBSA.aln	285	5.8e-39	139.7	2.1e-41	8.4e-39	139.2	16	264	41	276	17	301	0.86	1	1	0.8280701754385965	0.8032258064516129	PBSA
sp|P0DX29|PETH1_AMYMS	309	PBSA.aln	285	3.7e-37	133.8	3e-39	1.2e-36	132.1	14	259	32	284	13	309	0.8	1	1	0.887719298245614	0.7961165048543689	PBSA
sp|A0A0K8P6T7|PETH_PISS1	290	PBSA.aln	285	1.4e-34	125.3	8.2e-37	3.2e-34	124.1	15	263	19	251	7	278	0.87	1	1	0.8175438596491228	0.8586206896551725	PBSA
sp|G9BY57|PETH_UNKP	293	PBSA.aln	285	4.9e-33	120.2	4.3e-35	1.7e-32	118.5	10	279	11	275	2	279	0.81	1	1	0.9298245614035088	0.9215017064846417	PBSA
sp|P37957|ESTA_BACSU	212	PBSA.aln	285	9.6e-23	86.5	1.1e-24	4.4e-22	84.3	7	211	5	163	1	203	0.79	1	1	0.5578947368421052	0.9669811320754716	PBSA
sp|Q02104|LIP1_PSYIM	317	PBSA.aln	285	2e-21	82.1	6.9e-24	2.7e-21	81.7	20	251	28	298	9	311	0.75	1	1	0.9508771929824561	0.7318611987381703	PBSA
sp|P24640|LIP3_MORS1	315	PBSA.aln	285	1.9e-20	78.9	5.9e-23	2.3e-20	78.6	15	258	23	305	1	313	0.77	1	1	0.9929824561403509	0.7746031746031746	PBSA
sp|P27747|ACOC_CUPNH	374	PBSA.aln	285	3.1e-20	78.2	1e-22	4.1e-20	77.8	12	160	77	236	60	358	0.73	1	1	0.5614035087719298	0.3983957219251337	PBSA
sp|P19833|LIP1_MORS1	319	PBSA.aln	285	1.2e-19	76.3	1.9e-21	7.5e-19	73.7	15	252	66	271	38	284	0.82	1	1	0.7228070175438597	0.7460815047021944	PBSA
sp|O05235|YUGF_BACSU	273	PBSA.aln	285	5.9e-19	74.0	2.2e-21	8.4e-19	73.5	43	256	12	265	4	272	0.88	1	1	0.8912280701754386	0.7838827838827839	PBSA
sp|Q79F14|ESTB_BACSU	210	PBSA.aln	285	1.2e-18	73.1	3.7e-21	1.4e-18	72.8	57	168	32	170	11	204	0.84	1	1	0.48771929824561405	0.5333333333333333	PBSA
sp|P26876|LIP_PSEAE	311	PBSA.aln	285	1.3e-18	72.9	4.4e-21	1.7e-18	72.5	6	259	2	265	1	310	0.72	1	1	0.9263157894736842	0.8167202572347267	PBSA
sp|P26174|BCHO_RHOCA	284	PBSA.aln	285	3.2e-18	71.6	1.1e-20	4.1e-18	71.3	26	249	10	268	3	278	0.86	1	1	0.9087719298245615	0.7887323943661971	PBSA
sp|O05691|THCF_RHOER	274	PBSA.aln	285	4.4e-18	71.2	1.5e-20	5.9e-18	70.7	43	247	7	256	4	271	0.78	1	1	0.8771929824561403	0.7481751824817519	PBSA
sp|B8MVS3|CUTI1_ASPFN	213	PBSA.aln	285	9.5e-18	70.1	2.9e-20	1.1e-17	69.8	1	168	1	179	1	208	0.84	1	1	0.6280701754385964	0.7887323943661971	PBSA
sp|P52956|CUTI1_ASPOR	213	PBSA.aln	285	9.5e-18	70.1	2.9e-20	1.1e-17	69.8	1	168	1	179	1	208	0.84	1	1	0.6280701754385964	0.7887323943661971	PBSA
sp|Q55921|PRXC_SYNY3	276	PBSA.aln	285	1.4e-17	69.5	4.9e-20	1.9e-17	69.1	44	254	12	266	5	272	0.87	1	1	0.8947368421052632	0.7644927536231884	PBSA
sp|P29715|BPOA2_KITAU	278	PBSA.aln	285	2.3e-17	68.8	8.8e-20	3.4e-17	68.2	45	253	13	266	6	273	0.82	1	1	0.8912280701754386	0.7517985611510791	PBSA
sp|O31168|PRXC_KITAU	278	PBSA.aln	285	2.8e-17	68.5	1.1e-19	4.3e-17	67.9	45	253	13	266	6	273	0.82	1	1	0.8912280701754386	0.7517985611510791	PBSA
