hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|P32470|CHI1_APHAL	423	Glyco_hydro_18.aln	428	5e-164	551.2	1.1e-167	5.9e-164	551.0	41	426	37	422	16	423	0.98	1	1	0.9018691588785047	0.9125295508274232	Glyco_hydro_18
sp|C5P230|CHI1_COCP7	427	Glyco_hydro_18.aln	428	7.8e-164	550.6	1.8e-167	9.6e-164	550.3	35	428	31	427	25	427	0.98	1	1	0.927570093457944	0.9227166276346604	Glyco_hydro_18
sp|Q1E3R8|CHI1_COCIM	427	Glyco_hydro_18.aln	428	8.9e-164	550.4	2e-167	1.1e-163	550.1	35	428	31	427	25	427	0.98	1	1	0.927570093457944	0.9227166276346604	Glyco_hydro_18
sp|P0CB51|CHI1_COCPS	427	Glyco_hydro_18.aln	428	9.1e-164	550.3	2e-167	1.1e-163	550.1	36	428	32	427	27	427	0.98	1	1	0.9252336448598131	0.9203747072599532	Glyco_hydro_18
sp|E9ERT9|CHI1_METRA	424	Glyco_hydro_18.aln	428	9e-160	537.2	2e-163	1.1e-159	536.9	36	426	33	423	15	424	0.98	1	1	0.9135514018691588	0.9221698113207547	Glyco_hydro_18
sp|G5EAZ3|CHIB1_EMENI	398	Glyco_hydro_18.aln	428	9e-158	530.6	1.9e-161	1e-157	530.4	41	428	3	397	1	397	0.96	1	1	0.9228971962616822	0.9748743718592965	Glyco_hydro_18
sp|Q92222|CHIB_EMEND	398	Glyco_hydro_18.aln	428	9e-158	530.6	1.9e-161	1e-157	530.4	41	428	3	397	1	397	0.96	1	1	0.9228971962616822	0.9748743718592965	Glyco_hydro_18
sp|O14456|CHI1_METAN	423	Glyco_hydro_18.aln	428	2e-154	519.6	4.3e-158	2.3e-154	519.3	38	426	35	422	16	423	0.97	1	1	0.9065420560747663	0.9196217494089834	Glyco_hydro_18
sp|P48827|CHI42_TRIHA	423	Glyco_hydro_18.aln	428	3.4e-154	518.8	7.4e-158	4.1e-154	518.6	37	426	33	422	22	423	0.98	1	1	0.9112149532710281	0.9219858156028369	Glyco_hydro_18
sp|A6N6J0|CHI46_TRIHA	430	Glyco_hydro_18.aln	428	1e-152	514.0	2.2e-156	1.2e-152	513.7	39	426	36	429	20	430	0.97	1	1	0.9205607476635514	0.9023255813953488	Glyco_hydro_18
sp|E9QRF2|CHIB1_ASPFU	433	Glyco_hydro_18.aln	428	2.1e-152	512.9	4.6e-156	2.5e-152	512.6	35	427	36	432	25	433	0.97	1	1	0.927570093457944	0.9076212471131639	Glyco_hydro_18
sp|Q873X9|CHIB1_ASPFM	433	Glyco_hydro_18.aln	428	2.1e-152	512.9	4.6e-156	2.5e-152	512.6	35	427	36	432	25	433	0.97	1	1	0.927570093457944	0.9076212471131639	Glyco_hydro_18
sp|Q9W5U2|CHI10_DROME	2286	Glyco_hydro_18.aln	428	6.6e-103	349.8	1.9e-16	1e-12	52.7	42	304	219	470	205	565	0.75	1	4	0.5887850467289719	0.11504811898512686	Glyco_hydro_18
sp|Q9W5U2|CHI10_DROME	2286	Glyco_hydro_18.aln	428	6.6e-103	349.8	9.7e-29	5.3e-25	93.2	37	387	960	1310	954	1322	0.76	2	4	0.8200934579439252	0.15354330708661418	Glyco_hydro_18
sp|Q9W5U2|CHI10_DROME	2286	Glyco_hydro_18.aln	428	6.6e-103	349.8	3.9e-34	2.1e-30	110.9	35	386	1402	1752	1396	1759	0.79	3	4	0.8200934579439252	0.15398075240594924	Glyco_hydro_18
sp|Q9W5U2|CHI10_DROME	2286	Glyco_hydro_18.aln	428	6.6e-103	349.8	1.9e-26	1e-22	85.6	41	387	1907	2253	1896	2283	0.8	4	4	0.8107476635514018	0.15179352580927383	Glyco_hydro_18
sp|P20533|CHIA1_NIACI	699	Glyco_hydro_18.aln	428	5.4e-63	218.3	2e-58	1.1e-54	191.0	80	389	112	440	106	450	0.85	2	2	0.7686915887850467	0.4434907010014306	Glyco_hydro_18
sp|Q5AM60|CHI4_CANAL	388	Glyco_hydro_18.aln	428	4.1e-60	208.8	9.9e-64	5.4e-60	208.4	42	412	22	385	14	387	0.89	1	1	0.8504672897196262	0.9561855670103093	Glyco_hydro_18
sp|Q06350|CHI2_YEAST	511	Glyco_hydro_18.aln	428	7.2e-54	188.3	4.7e-57	2.6e-53	186.4	42	399	73	466	68	476	0.81	1	1	0.9205607476635514	0.700587084148728	Glyco_hydro_18
