hmm	tlen	query	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
sp|Q3C1E1|TPHB_COMSP	315	Iso_DH.aln	315	4.4e-219	730.8	2e-222	4.9e-219	730.6	1	315	1	315	1	315	1.0	1	1	1.0	1.0	Iso_DH
sp|Q5D0X4|TPHB_COMTE	315	Iso_DH.aln	315	5.5e-219	730.4	2.5e-222	6.2e-219	730.3	1	315	1	315	1	315	1.0	1	1	1.0	1.0	Iso_DH
sp|Q92X16|PDXA2_RHIME	321	Iso_DH.aln	315	3.4e-51	179.2	1.6e-54	4.1e-51	179.0	8	308	5	305	1	311	0.95	1	1	0.9555555555555556	0.9376947040498442	Iso_DH
sp|Q8CUU4|PDXA2_OCEIH	332	Iso_DH.aln	315	2.2e-45	160.1	1.5e-48	3.8e-45	159.3	9	306	8	321	4	328	0.89	1	1	0.9968253968253968	0.8975903614457831	Iso_DH
sp|Q0K4F5|PDXA2_CUPNH	333	Iso_DH.aln	315	4.2e-45	159.2	5.7e-48	1.4e-44	157.5	9	306	9	321	6	327	0.84	1	1	0.9936507936507937	0.8948948948948949	Iso_DH
sp|A8ZUN0|PDXA_DESOH	338	Iso_DH.aln	315	4.4e-45	159.1	4.8e-48	1.2e-44	157.7	9	309	8	324	4	330	0.87	1	1	1.0063492063492063	0.8905325443786982	Iso_DH
sp|Q6AB12|PDXA2_CUTAK	346	Iso_DH.aln	315	2.5e-41	146.8	3.5e-44	8.6e-41	145.0	9	302	8	317	5	326	0.88	1	1	0.9841269841269841	0.8497109826589595	Iso_DH
sp|P58716|PDXA2_SALTI	327	Iso_DH.aln	315	8.7e-41	145.0	7.9e-44	2e-40	143.9	6	309	4	322	1	325	0.85	1	1	1.0126984126984127	0.9296636085626911	Iso_DH
sp|P58718|PDXA2_SALTY	327	Iso_DH.aln	315	8.7e-41	145.0	8e-44	2e-40	143.8	6	309	4	322	1	325	0.85	1	1	1.0126984126984127	0.9296636085626911	Iso_DH
sp|C0QBU5|PDXA_DESAH	340	Iso_DH.aln	315	2.3e-40	143.7	0.016	39.0	8.2	8	29	8	29	1	62	0.82	1	2	0.06984126984126984	0.06470588235294118	Iso_DH
