query	hmm	tlen	qlen	full_E	full_score	c_E	i_E	dom_score	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc	dom_index	dom_of	qcov	hcov	hmm_file
ECOVIO-FT.aln	sp|A0A0K8P6T7|PETH_PISS1	290	316	8.5e-88	299.5	1.4e-91	9.8e-88	299.3	48	312	30	286	10	290	0.92	1	1	0.8132911392405063	0.9137931034482759	ECOVIO-FT
Impranil.aln	sp|P0DX29|PETH1_AMYMS	309	309	5.9e-151	507.0	1.3e-154	7.3e-151	506.7	17	309	29	309	19	309	0.96	1	1	0.9093851132686084	0.948220064724919	Impranil
NR.aln	sp|Q3L8N0|LCP_STRK3	407	414	4.4e-192	643.3	8.5e-198	4.9e-192	643.1	1	413	1	406	1	407	0.99	1	1	0.9806763285024155	1.0147420147420148	NR
O-PVA.aln	sp|Q9LCQ7|OPH_PSESP	379	382	4.1e-247	824.0	3.4e-251	4.6e-247	823.8	1	381	1	379	1	379	1.0	1	1	0.9921465968586387	1.0052770448548813	O-PVA
P3HP.aln	sp|P12625|PHB_RALPI	488	540	5.4e-214	716.8	8.3e-218	6.5e-214	716.5	1	540	1	488	1	488	1.0	1	1	0.9037037037037037	1.1065573770491803	P3HP
P4HB.aln	sp|P12625|PHB_RALPI	488	540	5.4e-214	716.8	8.3e-218	6.5e-214	716.5	1	540	1	488	1	488	1.0	1	1	0.9037037037037037	1.1065573770491803	P4HB
PA.aln	sp|P13398|NYLA_PAEUR	493	413	6.3e-127	429.4	9.6e-130	7.6e-127	429.2	12	409	8	483	1	488	0.99	1	1	1.152542372881356	0.8073022312373225	PA
PBAT.aln	sp|F7IX06|PETH2_THEAE	300	294	2.3e-49	173.9	3.3e-52	2.9e-49	173.5	4	279	60	299	10	300	0.92	1	1	0.8163265306122449	0.92	PBAT
PBS.aln	sp|A0A0K8P6T7|PETH_PISS1	290	332	7.1e-71	244.9	3.3e-74	8e-71	244.7	1	277	1	289	1	290	0.98	1	1	0.8704819277108434	0.9551724137931035	PBS
PBSA.aln	sp|F7IX06|PETH2_THEAE	300	285	3.2e-53	186.5	1.1e-55	4.5e-53	186.0	5	279	12	299	1	299	0.88	1	1	1.0105263157894737	0.9166666666666666	PBSA
PBSeT.aln	sp|A0A0K8P6T7|PETH_PISS1	290	316	8.5e-88	299.5	1.4e-91	9.8e-88	299.3	48	312	30	286	10	290	0.92	1	1	0.8132911392405063	0.9137931034482759	PBSeT
PCL.aln	sp|D4Q9N1|PETH1_THEAE	296	261	2.1e-75	258.7	6.7e-78	2.3e-75	258.6	8	243	20	295	1	296	0.93	1	1	1.0574712643678161	0.7972972972972973	PCL
